"id","name","prefix","year1","year2","language","nodesid"
"23686","Tralouwe",null,null,null,null,"10524"
"23687","Tralow",null,null,null,null,"10524"
"23688","Tralaw",null,null,null,null,"10524"
"23689","Gropceke",null,null,null,null,"12461"
"23690","Groptzik",null,null,null,null,"12461"
"23691","Grobezk",null,null,null,null,"12461"
"23692","Gropz",null,null,null,null,"12461"
"23693","Gropczk",null,null,null,null,"12461"
"23694","Gropzigk",null,null,null,null,"12461"
"23695","Gröbzigk",null,null,null,null,"12461"
"23696","Bvotestat",null,null,null,null,"10532"
"23697","Butestat",null,null,null,null,"10532"
"23698","Budinstetin",null,null,null,null,"10532"
"23699","Botenstete",null,null,null,null,"10532"
"23700","Butstat",null,null,null,null,"10532"
"23701","Sumeringe",null,null,null,null,"10538"
"23702","Sumeridi",null,null,null,null,"10538"
"23703","Sumerde",null,null,null,null,"10538"
"23704","Rossbach",null,null,null,null,"10530"
"23705","Rozbach",null,null,null,null,"10530"
"23706","Odansue",null,null,null,null,"10539"
"23707","Othensuuigensem",null,null,null,null,"10539"
"23708","Othensia",null,null,null,null,"10539"
"23709","Othense",null,null,null,null,"10539"
"23710","Othoniensi",null,null,null,null,"10539"
"23711","Óðinsey",null,null,null,null,"10539"
"23712","Othænsø",null,null,null,null,"10539"
"23713","Ottens",null,null,null,null,"10539"
"23714","Botstædæ",null,null,null,null,"14533"
"23715","Baadsted",null,null,null,null,"14533"
"23716","Helmstorf",null,null,null,null,"10829"
"23717","Helmerekestorppe",null,null,null,null,"10829"
"23718","Replo",null,null,null,null,"10544"
"23719","Reple",null,null,null,null,"10544"
"23720","Reiple",null,null,null,null,"10544"
"23721","Neveri",null,null,null,null,"10543"
"23722","Nebrue",null,null,null,null,"10543"
"23723","Neuiri",null,null,null,null,"10543"
"23724","Nevereheim",null,null,null,null,"10543"
"23725","Nebre",null,null,null,null,"10543"
"23726","Nebraw",null,null,null,null,"10543"
"23727","Blüchersche Mühle",null,null,null,null,"3250"
"23728","Blüchers molen",null,null,null,null,"3250"
"23729","Blüchers Kist",null,null,null,null,"3250"
"23730","Hettlicher Turm",null,null,null,null,"10568"
"23734","Steiniger thurm",null,null,null,null,"10577"
"23735","Gremerstorpe",null,null,null,null,"10685"
"23736","Jena-Burgau",null,null,null,null,"10612"
"23737","Lutenberc",null,null,null,null,"10616"
"23738","Luthenberg",null,null,null,null,"10616"
"23739","Lutinberg",null,null,null,null,"10616"
"23740","Lutemberg",null,null,null,null,"10616"
"23741","Lentforde",null,null,null,null,"10629"
"23742","Lenthforth",null,null,null,null,"10629"
"23743","Lindtforen",null,null,null,null,"10629"
"23744","Lintford",null,null,null,null,"10629"
"23745","Lentförden",null,null,null,null,"10629"
"23746","Stutgin",null,null,null,null,"10640"
"23747","Nindorf",null,null,null,null,"10641"
"23748","Nindorpe",null,null,null,null,"10641"
"23749","Nyndorp",null,null,null,null,"10641"
"23750","Wilstera",null,null,null,null,"10645"
"23751","Wilstria",null,null,null,null,"10645"
"23752","Wilstrie",null,null,null,null,"10645"
"23753","Welster",null,null,null,null,"10645"
"23754","Nindorf",null,null,null,null,"10830"
"23755","Nenthorppe",null,null,null,null,"10830"
"23756","Nenthorpe",null,null,null,null,"10830"
"23757","Kongsbakke",null,null,null,null,"10655"
"23758","Kongsbak",null,null,null,null,"10655"
"23759","Konghensbacke",null,null,null,null,"10655"
"23760","Kongæsbacke",null,null,null,null,"10655"
"23761","Gondsbach",null,null,null,null,"10655"
"23762","Övraby",null,null,null,null,"10656"
"23763","Broktorp",null,null,null,null,"10656"
"23764","Halmstæde",null,null,null,null,"10656"
"23765","Halmstathæ",null,null,null,null,"10656"
"23766","Hallmstet",null,null,null,null,"10656"
"23767","hallemstedbÿ",null,null,null,null,"10656"
"23768","Halmsta",null,null,null,null,"10656"
"23769","Halmsted",null,null,null,null,"10656"
"23770","Lagholm",null,null,null,null,"10657"
"23771","Lauholm",null,null,null,null,"10657"
"23772","Utine",null,null,null,null,"10668"
"23773","Uthine",null,null,null,null,"10668"
"23774","Utin",null,null,null,null,"10668"
"23775","Oytin",null,null,null,null,"10668"
"23776","Oithin",null,null,null,null,"10668"
"23777","Ewthin",null,null,null,null,"10668"
"23778","Ewtyn",null,null,null,null,"10668"
"23779","Euthin",null,null,null,null,"10668"
"23780","Burghaeby",null,null,null,null,"10676"
"23781","Borch",null,null,null,null,"10676"
"23782","thor de Borch",null,null,null,null,"10676"
"23783","Borg uppe Vemeren",null,null,null,null,"10676"
"23784","Castro",null,null,null,null,"10676"
"23785","Lundona",null,null,null,null,"10688"
"23786","Lunde",null,null,null,null,"10688"
"23787","Lundensis",null,null,null,null,"10688"
"23788","Lundensi",null,null,null,null,"10688"
"23789","Lundis",null,null,null,null,"10688"
"23790","Lundh",null,null,null,null,"10688"
"23791","Lundt",null,null,null,null,"10688"
"23792","Lunden",null,null,null,null,"10688"
"23793","Lwnde",null,null,null,null,"10688"
"23794","Lunndt",null,null,null,null,"10688"
"23795","Getthing",null,null,null,null,"10689"
"23796","Gerthing",null,null,null,null,"10689"
"23797","Giaerthning",null,null,null,null,"10689"
"23798","Gerdinghe",null,null,null,null,"10689"
"23799","Gerdingen",null,null,null,null,"10689"
"23800","Gardingk",null,null,null,null,"10689"
"23801","Giæthningheret",null,null,null,null,"10689"
"23802","Gardinge",null,null,null,null,"10689"
"23803","Tønning",null,null,null,null,"10690"
"23804","Tunnighen",null,null,null,null,"10690"
"23805","Tunnige",null,null,null,null,"10690"
"23806","Thunnigheret",null,null,null,null,"10690"
"23807","Thynnynghen",null,null,null,null,"10690"
"23808","Tunnyngen",null,null,null,null,"10690"
"23809","Tunning",null,null,null,null,"10690"
"23732","Brohterbeke","","1198",null,"","10573"
"23733","Brugterbeke","","1219",null,"","10573"
"23810","Tonnigen",null,null,null,null,"10690"
"23811","Lückstadt",null,null,null,null,"10691"
"23812","Crimpa",null,null,null,null,"10692"
"23813","Crimpe",null,null,null,null,"10692"
"23814","Crempe",null,null,null,null,"10692"
"23815","Crimpen",null,null,null,null,"10692"
"23816","Krempa",null,null,null,null,"10692"
"23817","Krempen",null,null,null,null,"10692"
"23818","Liutchaburg",null,null,null,null,"10693"
"23819","Laxo",null,null,null,null,"10693"
"23820","Lutilinburg",null,null,null,null,"10693"
"23821","Lutilenburg",null,null,null,null,"10693"
"23822","Lutelenburg",null,null,null,null,"10693"
"23823","Luttelinburg",null,null,null,null,"10693"
"23824","Luttekenburg",null,null,null,null,"10693"
"23825","Luttelenburg",null,null,null,null,"10693"
"23826","Lutekenborgh",null,null,null,null,"10693"
"23827","Luetekenborch",null,null,null,null,"10693"
"23828","Lutkenborch",null,null,null,null,"10693"
"23829","Pesnitz",null,null,null,null,"10699"
"23830","Peznik",null,null,null,null,"10699"
"23831","Pezcenig",null,null,null,null,"10699"
"23832","Pesnig",null,null,null,null,"10699"
"23833","Rogae",null,null,null,null,"10710"
"23834","Roghe",null,null,null,null,"10710"
"23835","Helltrung",null,null,null,null,"12474"
"23836","Heltrunga",null,null,null,null,"12474"
"23837","Haldrungen",null,null,null,null,"12474"
"23838","Husheldrungen",null,null,null,null,"12474"
"23839","Vere",null,null,null,null,"9442"
"23840","Tzarnesdorpe",null,null,null,null,"19514"
"23841","Tzarenstorpe",null,null,null,null,"19514"
"23842","Serrendors",null,null,null,null,"19514"
"23843","Treleburg",null,null,null,null,"10702"
"23844","Træleburgis",null,null,null,null,"10702"
"23845","Træleborg",null,null,null,null,"10702"
"23846","Trælleborg",null,null,null,null,"10702"
"23847","Thrælæburgh",null,null,null,null,"10702"
"23848","Trelborg",null,null,null,null,"10702"
"23849","Trelborrig",null,null,null,null,"10702"
"23850","Threlleborre",null,null,null,null,"10702"
"23851","Skanør",null,null,null,null,"10713"
"23852","te der Linde(n)",null,null,null,null,"10720"
"23853","Skinderup Bro",null,null,null,null,"10758"
"23854","Ekkerstorf",null,null,null,null,"10763"
"23855","Ekberstorp",null,null,null,null,"10763"
"23856","Eckmerstorph",null,null,null,null,"10763"
"23857","Egmerstorff",null,null,null,null,"10763"
"23858","Eckmersdorf",null,null,null,null,"10763"
"23859","Eckmanstorff",null,null,null,null,"10763"
"23860","Eckensdorff",null,null,null,null,"10763"
"23861","Eckmannsdorff",null,null,null,null,"10763"
"23862","Melmestorp",null,null,null,null,"10764"
"23863","Melmesdorff",null,null,null,null,"10764"
"23864","Melmestorff",null,null,null,null,"10764"
"23865","Melmstorff",null,null,null,null,"10764"
"23866","Melnnsdorf",null,null,null,null,"10764"
"23867","Melnnstorff",null,null,null,null,"10764"
"23868","Mielmeßdorf",null,null,null,null,"10764"
"23869","Mellnßdorff",null,null,null,null,"10764"
"23870","Mellmsdorf",null,null,null,null,"10764"
"23871","Lievenwerde",null,null,null,null,"10765"
"23872","Libenwerde",null,null,null,null,"10765"
"23873","Dobra",null,null,null,null,"10768"
"23874","Welmyn",null,null,null,null,"10772"
"23875","Welmene",null,null,null,null,"10772"
"23876","Welme",null,null,null,null,"10772"
"23877","Wölmen",null,null,null,null,"10772"
"23878","Awos",null,null,null,null,"10774"
"23879","Aos",null,null,null,null,"10774"
"23880","Aosiensem",null,null,null,null,"10774"
"23881","Aosienses",null,null,null,null,"10774"
"23882","Aahus",null,null,null,null,"10774"
"23883","Aoos",null,null,null,null,"10774"
"23884","Ous",null,null,null,null,"10774"
"23885","Offuis",null,null,null,null,"10774"
"23886","Aahuss",null,null,null,null,"10774"
"23887","Aahuuss",null,null,null,null,"10774"
"23888","Ørbek F",null,null,null,null,"14934"
"23889","Ørbæc",null,null,null,null,"14934"
"23890","Petersberg",null,null,null,null,"5896"
"23891","Petersberghe",null,null,null,null,"5896"
"23892","Peteresbergh",null,null,null,null,"5896"
"23893","Osestorp",null,null,null,null,"5744"
"23894","Kirkebye",null,null,null,null,"14936"
"23895","Væ",null,null,null,null,"10777"
"23896","Wæ",null,null,null,null,"10777"
"23897","We",null,null,null,null,"10777"
"23898","Wæe",null,null,null,null,"10777"
"23899","Wae",null,null,null,null,"10777"
"23900","Vee",null,null,null,null,"10777"
"23901","Wee",null,null,null,null,"10777"
"23902","Wææ",null,null,null,null,"10777"
"23903","Whae",null,null,null,null,"10777"
"23904","Whae Bÿe",null,null,null,null,"10777"
"23905","Sulverborg",null,null,null,null,"10778"
"23906","Sølvesborg",null,null,null,null,"10778"
"23907","Horn",null,null,null,null,"14939"
"23908","Quernthorp",null,null,null,null,"14935"
"23909","Bøggeden",null,null,null,null,"14940"
"23910","Trannækyær",null,null,null,null,"14937"
"23911","Kiellenees",null,null,null,null,"15002"
"23912","Kildernæs",null,null,null,null,"15002"
"23913","Vester Tirsted",null,null,null,null,"15003"
"23914","Tiirstath",null,null,null,null,"15003"
"23915","Søndher Tyerstæde",null,null,null,null,"15003"
"23916","Kiettinge",null,null,null,null,"15008"
"23917","Kiætingæ",null,null,null,null,"15008"
"23918","Fwglesog",null,null,null,null,"15007"
"23919","Fwglesank",null,null,null,null,"15007"
"23920","Oldersem",null,null,null,null,"5631"
"23921","Døllefelldt",null,null,null,null,"15009"
"23922","Dønæfelle",null,null,null,null,"15009"
"23923","Horst",null,null,null,null,"13915"
"23924","Veigerløse",null,null,null,null,"15011"
"23925","Sualbach",null,null,null,null,"16983"
"23926","Wetflar",null,null,null,null,"8379"
"23927","Wetzflar",null,null,null,null,"8379"
"23928","Witflaria",null,null,null,null,"8379"
"23929","Wetflaria",null,null,null,null,"8379"
"23930","Wetzler",null,null,null,null,"8379"
"23931","Passahe",null,null,null,null,"608"
"23932","Bessehe",null,null,null,null,"608"
"23933","Bessen",null,null,null,null,"608"
"23934","Bessahe",null,null,null,null,"608"
"23935","Bessee",null,null,null,null,"608"
"23936","superiori Besse",null,null,null,null,"608"
"23937","Overen Besse",null,null,null,null,"608"
"23938","Ober Besse",null,null,null,null,"608"
"23939","Obernbesse",null,null,null,null,"608"
"23940","Beisse",null,null,null,null,"608"
"23941","Beß",null,null,null,null,"608"
"23942","Besße",null,null,null,null,"608"
"23943","Bessa",null,null,null,null,"608"
"23944","Beeß",null,null,null,null,"608"
"23945","Oberbesse",null,null,null,null,"608"
"23946","Wüstenmark",null,null,null,null,"8664"
"23947","Wostermarke",null,null,null,null,"8664"
"23948","Wustemarke",null,null,null,null,"8664"
"23949","Vognsted",null,null,null,null,"15006"
"23950","Wapnæstath",null,null,null,null,"15006"
"23951","Stockæmarc",null,null,null,null,"15034"
"23952","Birckett",null,null,null,null,"15033"
"23953","Maklæby",null,null,null,null,"15042"
"23954","Fiscbechi",null,null,null,null,"8033"
"23955","Fischboeki",null,null,null,null,"8033"
"23956","Visbechi",null,null,null,null,"8033"
"23957","Staveren",null,null,null,null,"10793"
"23958","Stavera",null,null,null,null,"10793"
"23959","Staveren",null,null,null,null,"10793"
"23960","Staueren",null,null,null,null,"10793"
"23961","Staver",null,null,null,null,"10793"
"23962","Staefferden",null,null,null,null,"10793"
"23963","Steveren",null,null,null,null,"10793"
"23964","Dambsholt",null,null,null,null,"15041"
"23965","Damsholt",null,null,null,null,"15041"
"23966","Ermelunde",null,null,null,null,"15043"
"23967","Ermelund",null,null,null,null,"15043"
"23968","Thoræby",null,null,null,null,"15030"
"23969","Højby",null,null,null,null,"15062"
"23970","Kirkethorp",null,null,null,null,"15052"
"23971","Kyrkorp",null,null,null,null,"15052"
"23972","Soerdrup",null,null,null,null,"15071"
"23973","Othinstorp",null,null,null,null,"15072"
"23974","Othestorp",null,null,null,null,"15072"
"23975","Otterstorp",null,null,null,null,"15072"
"23976","Toxwærthæ",null,null,null,null,"15051"
"23977","Tokswerthæ",null,null,null,null,"15051"
"23978","Schielbye",null,null,null,null,"15079"
"23979","Skelby",null,null,null,null,"15079"
"23980","Holløse Mølle",null,null,null,null,"15080"
"23981","Breideruord",null,null,null,null,"10794"
"23982","Brederuorht",null,null,null,null,"10794"
"23983","Bredervorth",null,null,null,null,"10794"
"23984","Bredervoert",null,null,null,null,"10794"
"23985","Bredervoert",null,null,null,null,"10794"
"23986","Bredevoert",null,null,null,null,"10794"
"23987","Brevoort",null,null,null,null,"10794"
"23988","Bredevoort",null,null,null,null,"10794"
"23989","Breidervort",null,null,null,null,"10794"
"23990","Uuerliazi",null,null,null,null,"12523"
"23991","Vuerlazi",null,null,null,null,"12523"
"23992","Worgelez",null,null,null,null,"12523"
"23993","Wergelitz",null,null,null,null,"12523"
"23994","Worlicz",null,null,null,null,"12523"
"23995","Worgelitz",null,null,null,null,"12523"
"23996","Wergelez",null,null,null,null,"12523"
"23997","Wergeliz",null,null,null,null,"12523"
"23998","Werlicz",null,null,null,null,"12523"
"23999","Worlitcz",null,null,null,null,"12523"
"24000","Werlitz",null,null,null,null,"12523"
"24001","Worlitz",null,null,null,null,"12523"
"24002","Mechelen",null,null,null,null,"14627"
"24003","Mechluns",null,null,null,null,"14627"
"24004","Mechele",null,null,null,null,"14627"
"24005","Mechilne",null,null,null,null,"14627"
"24006","Machlinia",null,null,null,null,"14627"
"24007","Mahillon",null,null,null,null,"14627"
"24008","Machelen",null,null,null,null,"14627"
"24009","Mechle",null,null,null,null,"14627"
"24010","Mechlen",null,null,null,null,"14627"
"24011","Meghlen",null,null,null,null,"14627"
"24012","Mechghelhem",null,null,null,null,"14627"
"24013","Meghelheym",null,null,null,null,"14627"
"24014","Mekel",null,null,null,null,"14627"
"24017","Withfuglebyergh",null,null,null,null,"15078"
"24018","Fullæberg",null,null,null,null,"15078"
"24019","Bisethorp",null,null,null,null,"15077"
