"id","nodesid","name","continuationfromid","fromyear","toyear","description","category","commodities","date","fixedday","fixedmonth","numberofdays","weekday","beforeafter","datedependson","startmax","startmin","endmax","endmin"
"2","1828",null,null,"1346",null,"Inventio Crucis (for wool and cloth)","local","wool; cloth","fixed","3","5",null,null,null,null,null,"-1",null,"1"
"3","1828",null,null,"1422",null,"Sacramentum","local",null,"movable",null,null,null,null,null,"Sacramentum",null,"-1",null,"1"
"4","1828",null,null,"1422",null,"Ascension Day","local",null,"movable",null,null,null,null,null,"Ascension",null,"-1",null,"1"
"5","1828",null,null,"1465",null,"Sunday and Monday after the birth of St Mary. Mentioned by the town chronicler in 1465 to have been the new fair among the three fairs in the town","local",null,"movable","8","9",null,"Sunday","after","Fixed date",null,"0",null,"1"
"1966","2685","",null,"1544",null,"Three-day fair on St Hubert","local","","fixed","3","11",null,"","","",null,null,null,"2"
"260","973","",null,"965","1381","Autumn fair, which took place on seven days before St Willehad (8 November), according to a 1035 privilege. In 1288 it took place on the Birth of the Virgin Mary. The 1339 privilege for retail traders (&#039;kr&auml;mer&#039;) mentions the eight days after the Nativity of the Virgin Mary.","regional","","fixed","8","9",null,"","","",null,null,null,"7"
"266","973",null,"260","1382","1637","In 1382, the Autumn fair is mentioned to take place in the week after St Dionysius.","regional",null,"fixed","9","10",null,null,null,null,null,null,null,"7"
"1042","5460","",null,"1491",null,"Horse and cattle fair, which is held once a year on the square known as Pferdemarkt (horse market) since 1491. It was cancelled at a later date and revived in 1715.","local","horses; cattle","fixed",null,null,null,"","","",null,null,null,null
"42","7714","",null,"1447",null,"The horse fair started eight days before St James. The market right started four days earlier. ","local","horses","fixed","17","7",null,"","","","-4",null,null,null
"1886","4181","",null,"1549",null,"A (horse) fair on Sunday after St John&#039;s day was privileged in 1549.","local","horses","movable","24","6",null,"Sunday","after","Fixed date",null,null,null,null
"1880","2024","",null,"1625",null,"A second cattle market on St Bartholomew was privileged in 1625. In the first hour of the market, only the duke was allowed to trade, in the second hour only Friedland citizens. Afterwards the market was free.","local","cattle","fixed","24","8",null,"","","",null,null,null,null
"1881","6947","",null,"1364",null,"Fair on Sunday before St Simon and Jude","local","","movable","28","10",null,"Sunday","before","Fixed date",null,null,null,null
"1901","18126","Oulu fair",null,"1642",null,"Saloinen (Raahe) St Olaf&rsquo;s (29 July) fair was relocated to Oulu in 1642 and set to St Laurentius (10 August), which may also have been an older date of fairs in Oulu rivermouth. The fair was confirmed to last eight days in 1650 and lengthened to twelve days in 1652.","regional","","fixed","10","8",null,"","","",null,null,null,"7"
"1887","19621","Winter fair",null,"1638","1708","Tammerkoski winter fair was ordained to be held for three days on St. Matthew (24 February) in 1638, but transferred to Epiphany (6 January) in 1639. The fair was relocated in 1708 to Harju and in 1750 to Pispala.","local","","fixed","6","1",null,"","","",null,null,null,"3"
"1888","19621","Tammerkoski autumn fair",null,"1638","1708","Tammerkoski autumn fair was ordained to be held for three days on St Bartholomew (24 August). The fair was relocated in 1708 to Harju and in 1750 to Pispala.","local","","fixed","24","8",null,"","","",null,null,null,"3"
"834","6505","",null,"1400","1497","The fair on St Walpurga was one of the original three fairs in R&ouml;mhild, which date was moved in 1498. It is unknown how old it was.","local","","fixed","1","5",null,"","","",null,null,null,null
"1891","19662","",null,"1498",null,"Carnival fair, granted in 1498","local","","movable",null,null,null,"Tuesday","before","Ash",null,null,null,null
"1889","19624","Harju winter fair",null,"1602","1638","Burghers of Pori were granted the rights of annual Candlemas winter fair in Harju in 1602 and again in 1604. The actual status of the fair since the 1610s is unknown. The fair was relocated in 1638 to Tammerkoski village.","local","","fixed","2","2",null,"","","",null,null,null,null
"1196","12499","","1194","1540",null,"Fair on Friday before St Martin.","local","","movable","11","11",null,"Friday","before","Fixed date",null,null,null,null
"1194","12499","",null,"1409","1539","Fair on Sunday after Corpus Christi","local","","movable",null,null,null,"Sunday","after","Sacramentum",null,null,null,null
"638","8752","Brüdermarkt/Brüderablass",null,"1252",null,"Fair connected to the church dedication festival on Ascension Day. Only locals are allowed to trade at first, in 1532 trade by non-locals is allowed.","local","","movable",null,null,null,"","","Ascension",null,null,null,null
"1894","19664","Kemi Haminasaari",null,"1420","1821","In 1622 the annual winter and summer fair in Kemi was set to New Year&rsquo;s day (1 January) and St John the Baptist (24 June). In 1660 annual fairs were held in summer starting from the feast of apostle Peter (29 June) for 14 days.","interregional","","fixed","24","6",null,"","","",null,null,null,"14"
"1895","19664","Kemi Haminasaari winter fair",null,"1622","1650","In 1622 the annual winter and summer fair in Kemi was set to New Year&rsquo;s day (1 January) and St John the Baptist (24 June). In 1660 annual fairs were held in summer starting from the feast of apostle Peter (29 June) for 14 days.","regional","","fixed","1","1",null,"","","",null,null,null,null
"1896","19682","Paltaniemi fair",null,"1625","1650","The burghers of Oulu were granted the right of two annual fairs in Kajaneborg parish in 1625. Of these the summer fair was to be held at midsummer (24 June) in Paltaniemi. The fair was relocated to Kajaani in 1650.","regional","","fixed","24","6",null,"","","",null,null,null,null
"1996","16915","",null,"1339",null,"Eight-day fair on the eve of St Mary Magdalene (21 July)","regional","","fixed","21","7",null,"","","",null,null,null,"7"
"1903","18133","Kokkola fair",null,"1642","1650","The annual fair in Kokkola was in 1642 ordained to be held on St Bartholomeus (24 August), in 1650 on St Olaf (29 July) and in 1652 again on St Bartholomeus.","local","","fixed","24","8",null,"","","",null,null,null,null
"908","3612","",null,"1350",null,"Fair on St Bartholomew&#039;s day","local","","fixed","24","8",null,"","","",null,null,null,null
"1904","18134","Uusikaarlepyy fair",null,"1624",null,"The annual St Olaf summer fair (29 July) in Peders&ouml;re was transferred to Nykarleby in 1624 and ordered to last for three days","local","","fixed","29","7",null,"","","",null,null,null,"2"
"1906","18131","Vaasa winter fair",null,"1606",null,"In the privileges of 1606 and 1611 Vaasa was confirmed two annual fairs, one on Candlemas (2 February) and one St Laurentius (10 August). The early autumn fair of St Laurentius was confirmed also in 1640 and is cited in 1708. Both fairs may date to the late 14th century.","local","","fixed","2","2",null,"","","",null,null,null,null
"1905","19713","Pedersöre St Olaf&#39;s fair",null,"1616","1624","In 1616 burghers of Stockholm, Turku, Rauma and Pori were granted the right for annual fair of two weeks in Peders&ouml;re and Saloinen starting from St Olaf&rsquo;s (29 July). In 1624 Peders&ouml;re the fair was transferred to Nykarleby and set to last for three days.","regional","","fixed","29","7",null,"","","",null,null,null,"14"
"1998","268","Bamismarkt",null,"1325",null,"Fair on St. Bavo (1 October), with a duration of c. six weeks.","interregional","","fixed","1","10",null,"","","",null,null,null,"41"
"43","7714","",null,"1447",null,"The cloth fair on St. James&#039; Day lasted three days. The market right lasted a day longer. It has been moved to Petri ad Cathedram in an unknown year. ","local","cloth","fixed","25","7",null,"","","",null,null,"4","3"
"1882","6947","",null,"1483",null,"Fair on Monday after Judica","local","","movable",null,null,null,"Monday","after","Judica",null,null,null,null
"1890","8752","",null,"1479",null,"A fair on Sunday Cantate was granted in 1479.","local","","movable",null,null,null,"","","Cantate",null,null,null,null
"838","6505","",null,"1498",null,"Fair on Monday after Letare.","local","","movable",null,null,null,"Monday","after","Letare",null,null,null,null
"1892","19662","",null,"1498",null,"Fair on Peter and Paul&#039;s Day, granted in 1498.","local","","fixed","29","6",null,"","","",null,null,null,null
"1907","18131","Vaasa summer fair",null,"1606",null,"In the privileges of 1606 and 1611 Vaasa was confirmed two annual fairs, one on Candlemas (2 February) and one St Laurentius (10 August). The early autumn fair of St Laurentius was confirmed also in 1640 and is cited in 1708. Both fairs may date to the late 14th century.","local","","fixed","10","8",null,"","","",null,null,null,null
"1934","19794","Pyhtää Church fair",null,"1584",null,"St Laurentius (10 August) fair at Pyht&auml;&auml; Church is cited in 1584 when they were frequented by Helsinki burghers.","local","","fixed","10","8",null,"","","",null,null,null,null
"1935","19846","Korkeakoski fair",null,"1600",null,"St Laurentius (10 August) Fair at Korkeakoski is cited in 1600 and 1606.","local","","fixed","10","8",null,"","","",null,null,null,null
"1943","19703","Kalajoki winter fair",null,"1621",null,"The rights for Kalajoki winter fair on St Henrik (20.1.) were transferred to the new town of Kokkola (Karleby) in 1621. In 1622 the king granted the burghers of Kokkola and Oulu the right to trade in Kalajoki fairs on 18 May (feast of St Erik) and Laurentius (10.8.).","regional","","fixed","20","1",null,"","","",null,null,null,null
"694","1257","",null,"1535",null,"Fair during the rogation days.","local","","movable",null,null,null,"Wednesday","before","Ascension",null,null,null,null
"696","1257","",null,"1535",null,"Fair on St. Gall&#039;s day (16 October).","local","","fixed","16","10",null,"","","",null,null,null,null
"1937","19865","Halikko Fair",null,"1650",null,"The medieval St Bridget (7 October) local peasant fair at Halikko church was relocated to Salo bridge some time in the early modern era.","local","","fixed",null,null,null,"","","",null,null,null,null
"1938","19866","Salo Bartholomeus fair",null,"1606",null,"The known dates of Salo fairs in the 17th century are Apostle Bartolomeus (24 August) and Apostle Matteus (21 September) together with St Bridget (7 October) and a local peasant fair on the Assumption of Mary (15 August).","regional","","fixed","24","8",null,"","","",null,null,null,null
"612","5092","",null,"1317","1638","Fair held on St. Kilian&#039;s day (8 July). Its date changed slightly over the years. It could have lasted until St. Margaret&#039;s (22 July).","regional","","fixed","8","7",null,"","","",null,null,"14","7"
"1885","7669","",null,"1575","1845","Market on Saturday before St John&#039;s day, founded in 1575.","local","","movable","24","6",null,"Saturday","before","Fixed date",null,null,null,null
"1942","18135","Tornio summer fair",null,"1519","1650","The summer fair in Tornio started in the Middle Ages and in 1519 at Midsummer (24 June). In 1649 the town applied the relocation of the fair to start on the eight day before midsummer.","interregional","","fixed","24","6",null,"","","",null,null,null,null
"1946","18125","Pori Fair",null,"1585",null,"Pori was in 1602 and 1604 granted rights to three annual fairs, one of which took place in the town on apostle Bartolomeus (24 August) and is cited in almanacks in 1585 and 1598.","local","","fixed","24","8",null,"","","",null,null,null,null
"1947","19888","Lammainen fair",null,"1604",null,"Pori was in 1602 and 1604 granted rights to three annual fairs, one of which took place in the town on apostle Bartolomeus (24 August). The other two fairs took place in Pirkkala in Harju at Candlemas (2 February) and on St Laurentius (10.8.) in Ulvila (Nakkila) Lammainen (some 25 kms upstream from Pori and 20 kms downstream from Kokem&auml;ki).","local","","fixed","10","8",null,"","","",null,null,null,null
"1948","18121","Rauma winter fair",null,"1585","1624","Rauma annual winter fair on Candlemas (2 February) is cited in 1585 and 1598 and was confirmed in 1607. In 1624 the day was changed to Conversion of St Paul (25 January).","local","","fixed","2","2",null,"","","",null,null,null,null
"1952","18292","Männäinen Fair",null,"1616",null,"M&auml;nn&auml;inen annual summer fair was in 1616 held on St Olaf (29 July).","local","","fixed","29","7",null,"","","",null,null,null,null
"1953","1813","",null,"1517",null,"Fair on Thursday after Easter.","local","","movable",null,null,null,"Thursday","after","Easter",null,null,null,null
"1955","18291","Mynämäki winter fair",null,"1623","1625","Myn&auml;m&auml;ki annual winter fair was in 1623 held on Candlemas (2 February).","local","","fixed","2","2",null,"","","",null,null,null,null
"1958","18132","Uusikaupunki winter fair",null,"1625","1689","Uusikaupunki annual winter fair was in 1625&ndash;89 held on the second Sunday of Lent (15 February - 21 March).","local","","movable",null,null,null,"","","Reminiscere",null,null,null,null
"1960","18122","Naantali winter fair",null,"1452",null,"The annual winter fair on Ash Wednesday (4 February&ndash;10 March) in Naantali is mentioned in 1506, but they were possibly held as early as 1452. During the reign of Queen Christina (1632&ndash;54), the burghers of Naantali applied to have St Bridget (7 October) to be set as an annual fair day with Ash Wednesday, which may hint about St Bridget fairs medieval origins. The request was granted in 1660, when the autumn fair was set to Michaelmas (29 September).","regional","","movable",null,null,null,"","","Ash",null,null,null,null
"1961","19929","Inkoo fair",null,"1594",null,"Burghers of Helsinki were in 1594 granted rights to annual apostle Matteus (21 September) fair in Inkoo. In 1614, the burghers of Tammisaari (sw. Eken&auml;s) tried unsuccessfully to relocate the fair in their town.","local","","fixed","21","9",null,"","","",null,null,null,null
"952","7529","",null,"1599",null,"Fair eight days before St. Martin&#039;s day.","local","","fixed","4","11",null,"","before","Fixed date",null,null,null,null
"1962","19927","Lohja Candlemas Fair",null,"1592",null,"Lohja Candlemas fair (2 February) is mentioned in 1592, 1618, 1627 and 1650. The fair was translocated together with Saturday before Mid-Lent fair (28/29 February &ndash; 3 April) to Tammisaari, from where they were moved back before 1634.","regional","","fixed","2","2",null,"","","",null,null,null,null
"1967","19925","Perniö fair",null,"1599",null,"The earliest record of the Perni&ouml; Laurentius (10.8.) fair is from 1599, but since Apostle Laurentius is cited as the patron saint of Perni&ouml; stone church built in 1460&ndash;80 it is of medieval origin.","local","","fixed","10","8",null,"","","",null,null,null,null
"1997","16915","",null,"1339",null,"Eight-day fair on the Feast of the eleven thousand Virgins (21 October).","regional","","fixed","21","10",null,"","","",null,null,null,"7"
"1999","268","",null,"1325",null,"Pentecost fair with a duration of c. six weeks.","interregional","","movable",null,null,null,"","","Pentecost",null,null,null,"41"
"1883","6947","",null,"1541",null,"Cattle and free fair on Saturday after St Lawrence.","local","cattle","movable","10","8",null,"Saturday","after","Fixed date",null,null,null,null
"1893","19662","",null,"1498",null,"Fair on Sunday before St Burkhard&#039;s day, granted in 1498.","local","","movable","14","10",null,"Sunday","before","Fixed date",null,null,null,null
"1899","19683","Kajaani summer fair",null,"1650",null,"Paltaniemi midsummer fair was relocated to Kajaani in 1650.","interregional","","fixed","24","6",null,"","","",null,null,null,null
"1908","18140","Kristiinankaupunki autumn fair",null,"1650",null,"In 1650-51 two annual fairs were confirmed for Kristiinankaupunki; one at the elevation of Holy Cross (14 September) and the other at Candlemas (2 February).","local","","fixed","14","9",null,"","","",null,null,null,null
"1909","18140","Kristiinankaupunki winter fair",null,"1650",null,"In 1650-51 two annual fairs were confirmed for Kristiinankaupunki; one at the elevation of Holy Cross (14 September) and the other at Candlemas (2 February).","local","","fixed","2","2",null,"","","",null,null,null,null
"1910","2409","",null,"1524",null,"Fair on All Saints Day.","local","","fixed","1","11",null,"","","",null,null,null,null
"872","1377","",null,"1428","1519","Fair on Sunday after the Assumption of Mary.","local","","movable","15","8",null,"Sunday","after","Fixed date",null,null,null,null
"1912","1377","",null,"1388","1400","Fair on St Gall","local","","fixed","16","8",null,"","","",null,null,null,null
"1913","18119","Porvoo autumn fair",null,"1584",null,"The earliest information on annual fairs in Porvoo are from the year 1584 when king Johan III confirmed the town its two traditional fairs on Visitation of Mary (2 July, apparently in Saksala) and Exaltation of the Holy Cross (14 September, in town). The latter fair is cited in almanacs in 1598. Both days were again confirmed in 1594. In 1650 an annual winter fair in Porvoo was confirmed to be hold at Epiphany (6 January).","regional","","fixed","14","9",null,"","","",null,null,null,null
"1919","19779","Vöyri summer fair",null,"1622",null,"In 1622 V&ouml;yri had two annual fairs on St Margaret (20 July) and St Mary (8 September?). In 1650 burghers of Nykarleby were further granted sole right to hold a local fair for four days starting on St Nicolaus (6 December) in V&ouml;yri.","local","","fixed","20","7",null,"","","",null,null,null,null
"1916","4858","",null,"1336","1500","Fair on the Nativity of Mary, with a duration of eight days before and 15 days after the feast day.","regional","","fixed","8","9",null,"","","","-7",null,"14",null
"1917","5629","",null,"1373","1500","Fair on the Nativity of St John the Baptist, with a duration of eight days.","regional","","fixed","24","6",null,"","","",null,null,null,"7"
"1922","18293","Isokyrö winter fair",null,null,null,"In 1622 Isokyr&ouml; fairs were held on the feast of St Henrik (of Finland, 20 January) in winter and St Laurentius (10 August) in late summer, both dates of which may go back to the Middle Ages.","local","","fixed","20","1",null,"","","",null,null,null,null
"1923","18293","Isokyrö autumn fair",null,"1622",null,"In 1622 Isokyr&ouml; fairs were held on the feast of St Henrik (of Finland, 20 January) in winter and St Laurentius (10 August) in late summer, both dates of which may go back to the Middle Ages.","local","","fixed","10","8",null,"","","",null,null,null,null
"1924","19783","Lapua winter fair",null,"1622",null,"Lapua fair was in 1622 held on Candlemas (2 February). Another fair was in the early 17th century held at Michaelmas (29 September).","local","","fixed","2","2",null,"","","",null,null,null,null
"1926","19789","Pernaja autumn fair",null,"1584",null,"Pernaja fair was in 1584 held on Michaelmas (29 September).","local","","fixed","29","9",null,"","","",null,null,null,null
"1927","19791","Pyhtää Vähä-Ahvenkoski fair",null,"1553",null,"Pyht&auml;&auml; fair is first cited in 1553. In 1584 the St Bartholomeus (24 August) fair was very likely held at V&auml;h&auml;-Ahvenkoski fair site which remained in use to the 19th century. Information also exists on St Laurentius (10 August) fair at Pyht&auml;&auml; church.","local","","fixed","24","8",null,"","","",null,null,null,null
"1928","19785","Sipoo midsummer fair",null,"1576","1584","Sipoo Midsummer fair (24 June) is first cited in 1576. The fair was relocated in Helsinki in 1584. The burghers of Helsinki also had rights over an autumn fair in Sipoo on St Mary (8 September) as early as 1616. The duration of the fair was in 1682 confirmed to two days.","local","","fixed","24","6",null,"","","",null,null,null,null
"1383","10645","",null,"1390",null,"Fair on St Bartholomew&#039;s Day, probably going back to the dedication of the local church.","local","","fixed","24","8",null,"","","",null,null,null,null
"1930","19786","Helsinki summer fair",null,"1640",null,"When king Johan III in 1584 ordained the midsummer fair (24 June) at Sipoo (sw. Sibbo) to be relocated to Helsinki, he also confirmed a winter fair to be held on Epiphany (6 January). Both fairs were continued in the new town in the 1640s. In the 1650s the burghers applied the date of the winter fair to be changed first to Candlemas (2 February) and to Apostle Paul (25 January) in 1680. ","local","","fixed","24","6",null,"","","",null,null,null,null
"1932","18124","Helsinki summer fair",null,"1584","1640","When king Johan III in 1584 ordained the midsummer fair (24 June) at Sipoo (sw. Sibbo) to be relocated to Helsinki, he also confirmed a winter fair to be held on Epiphany (6 January). Both fairs were continued in the new town in the 1640s. ","local","","fixed","24","6",null,"","","",null,null,null,null
"1939","19866","Salo Matteus Fair",null,null,null,"The known dates of Salo fairs in the 17th century are Apostle Bartolomeus (24 August) and Apostle Matteus (21 September) together with St Bridget (7 October) and a local peasant fair on the Assumption of Mary (15 August).","regional","","fixed","22","9",null,"","","",null,null,null,null
"1944","19703","Kalajoki spring fair",null,"1622",null,"In 1622 the king granted the burghers of Kokkola and Oulu the right to trade in Kalajoki fairs on 18 May (feast of St Erik) and Laurentius (10.8.).","regional","","fixed","18","5",null,"","","",null,null,null,null
"1949","18121","Rauma winter fair 1624",null,"1624","1660","Rauma annual winter fair on Candlemas (2 February) is cited in 1585 and 1598 and was confirmed in 1607. In 1624 the day was changed to Conversion of St Paul (25 January).","local","","fixed","25","1",null,"","","",null,null,null,null
"1954","1813","",null,"1517",null,"Fair on the first working day after St Martin (11 November).","local","","fixed","12","11",null,"","","",null,null,null,null
"1956","18291","Mynämäki autumn fair",null,"1623","1623","Myn&auml;m&auml;ki annual autumn fair was in 1623 held on St Laurentius (10 August).","local","","fixed","10","8",null,"","","",null,null,null,null
"1959","18132","Uusikaupunki autumn fair",null,"1623","1654","Uusikaupunki annual autumn fair was in 1623&ndash;1654 held on St Laurentius (10 August).","local","","fixed","10","8",null,"","","",null,null,null,null
"172","50",null,null,null,null,"Fair on St Dionysius.","local",null,"fixed","9","10",null,null,null,null,null,null,null,null
"1884","6947","",null,"1541",null,"Cattle and free fair on Monday after St Lawrence","local","","movable","10","8",null,"Monday","after","Fixed date",null,null,null,null
"1900","19683","Kajaani winter fair",null,"1650",null,"Kajaani annual winter fair was ordained in 1650 to be held on Candlemas (2 February).","interregional","","fixed","2","2",null,"","","",null,null,null,null
"1911","2409","",null,"1250",null,"Fair on St James&#039;s Day","local","","fixed","25","7",null,"","","",null,null,null,null
"874","1377","","872","1520",null,"Fair on Sunday after the Assumption of Mary is moved to Sunday after All Saint&#039;s Day, because the original fair took place during harvest time.","local","","movable","1","11",null,"Sunday","after","Fixed date",null,null,null,null
"1519","13815",null,null,"1573","1650","An annual midsummer fair, which probably took place June 21. Held at Thisted from 1547 to 1573 when it was moved back to Vestervig. ","regional",null,"fixed","21","6",null,null,null,null,null,null,null,null
"502","1154",null,null,"1559",null,"A Pentecost market is mentioned in 1559.","local",null,"movable",null,null,null,null,null,"Pentecost",null,null,null,"2"
"1914","18119","Porvoo winter fair",null,"1650",null,"The earliest information on annual fairs in Porvoo are from the year 1584 when king Johan III confirmed the town its two traditional fairs on Visitation of Mary (2 July, apparently in Saksala) and Exaltation of the Holy Cross (14 September, in town). The latter fair is cited in almanacs in 1598. Both days were again confirmed in 1594. In 1650 an annual winter fair in Porvoo was confirmed to be hold at Epiphany (6 January).","local","","fixed",null,null,null,"","","",null,null,null,null
"1918","5629","",null,"1373","1500","Fair on the Nativity of Mary, with a duration of eight days.","local","","fixed","8","9",null,"","","",null,null,null,"7"
"1925","19783","Lapua autumn fair",null,"1650",null,"Lapua fair was in 1622 held on Candlemas (2 February). Another fair was in the early 17th century held at Michaelmas (29 September).","local","","fixed","29","9",null,"","","",null,null,null,null
"1929","19785","Sipoo autumn fair",null,"1616",null,"Sipoo Midsummer fair (24 June) is first cited in 1576. The fair was relocated in Helsinki in 1584. The burghers of Helsinki also had rights over an autumn fair in Sipoo on St Mary (8 September) as early as 1616. The duration of the fair was in 1682 confirmed to two days.","local","","fixed","8","9",null,"","","",null,null,null,"1"
"1931","19786","Helsinki winter fair",null,"1640",null,"When king Johan III in 1584 ordained the midsummer fair (24 June) at Sipoo (sw. Sibbo) to be relocated to Helsinki, he also confirmed a winter fair to be held on Epiphany (6 January). Both fairs were continued in the new town in the 1640s. In the 1650s the burghers applied the date of the winter fair to be changed first to Candlemas (2 February) and to Apostle Paul (25 January) in 1680. ","local","","fixed","6","1",null,"","","",null,null,null,null
"1933","18124","Helsinki winter fair",null,"1584","1640","When king Johan III in 1584 ordained the midsummer fair (24 June) at Sipoo (sw. Sibbo) to be relocated to Helsinki, he also confirmed a winter fair to be held on Epiphany (6 January). Both fairs were continued in the new town in the 1640s. ","local","","fixed","6","1",null,"","","",null,null,null,null
"1940","19866","Salo St Bridget Fair",null,"1650",null,"The known dates of Salo fairs in the 17th century are Apostle Bartolomeus (24 August) and Apostle Matteus (21 September) together with St Bridget (7 October) and a local peasant fair on the Assumption of Mary (15 August).","local","","fixed",null,null,null,"","","",null,null,null,null
"1945","19703","Kalajoki autumn fair",null,"1622",null,"In 1622 the king granted the burghers of Kokkola and Oulu the right to trade in Kalajoki fairs on 18 May (feast of St Erik) and Laurentius (10.8.).","regional","","fixed",null,null,null,"","","",null,null,null,null
"1950","18121","Rauma summer fair",null,"1607","1624","Rauma summer fair was in 1607 confirmed to be held on Midsummer (24 June). In 1624 the annual fair was changed to St Bartholomeus (24 August).","local","","fixed","24","6",null,"","","",null,null,null,null
"1936","19864","Paimio Fair",null,"1650","1672","Paimio St James Fair (25 July) is cited in 1672 when the burghers of Turku applied for their closure. Very likely a local peasant fair of medieval origin, the fair was held near to the old (pre 1680s) site of the parish church.","local","","fixed","25","7",null,"","","",null,null,null,null
"1963","19927","1627",null,null,null,"Lohja Saturday before Mid-Lent fair (28/29 February &ndash; 3 April) is cited in 1627.","local","","movable",null,null,null,"Saturday","before","Oculi",null,null,null,null
"1920","19779","Vöyri autumn fair",null,"1622",null,"In 1622 V&ouml;yri had two annual fairs on St Margaret (20 July) and St Mary (8 September?). In 1650 burghers of Nykarleby were further granted sole right to hold a local fair for four days starting on St Nicolaus (6 December) in V&ouml;yri.","local","","fixed","8","9",null,"","","",null,null,null,null
"1941","19866","Salo Assumption of Mary Fair",null,"1650",null,"The known dates of Salo fairs in the 17th century are Apostle Bartolomeus (24 August) and Apostle Matteus (21 September) together with St Bridget (7 October) and a local peasant fair on the Assumption of Mary (15 August).","local","","fixed","15","8",null,"","","",null,null,null,null
"1951","18121","Rauuma autumn fair",null,"1624","1660","Rauma summer fair was in 1607 confirmed to be held on Midsummer (24 June). In 1624 the annual fair was changed to St Bartholomeus (24 August).","local","","fixed","24","8",null,"","","",null,null,null,null
"1968","20041","Jääski fair",null,"1542",null,"Apostle Peter&rsquo;s (29 June) annual fair in J&auml;&auml;ski was confirmed in 1542 and 1594.","local","","fixed","29","6",null,"","","",null,null,null,null
"1964","19928","Karjalohja winter fair",null,"1627",null,"Karjalohja&#039;s fair was held in 1627 on the feast of Apostle Paul (25 January).","local","","fixed","25","1",null,"","","",null,null,null,null
"1965","18123","Tammisaari winter fair",null,"1627","1633","In 1627, Lohja Candlemas (2 February) and Saturday before Mid-Lent Sunday (28/29 February &ndash; 3 April) fairs were moved together with the Apostle Paul&#039;s (25 January) fair of Karjalohja to Tammisaari to be held as a single Candlemas (2 February) fair in the town. The fairs were returned to Lohja and Karjalohja before 1634.","local","","fixed","2","2",null,"","","",null,null,null,null
"1969","20044","1542",null,null,null,"Annual fair on the elevation of the Holy Cross (14 September) in &Auml;yr&auml;p&auml;&auml; was confirmed in 1542 and 1594. The rights of burghers of Viborg to annual fair in Muolaa was confirmed in 1627.","local","","fixed","14","9",null,"","","",null,null,null,null
"1970","19930","Vehkalahti Sf Olaf&#39;s fair",null,"1542","1584","Burghers of Viborg were in 1542 granted sole right for annual fair in Vehkalahti on St Olaf&rsquo;s (29 July). In 1585 the fair was held on apostle Bartholomeus (24 August). In 1594 the fair day was confirmed as St Laurentius (10 August).","local","","fixed","29","7",null,"","","",null,null,null,null
"1973","4698","",null,"1243",null,"Fair on St Servatius (13 May), with a duration of eight days before and after that date.","regional","","fixed","13","5",null,"","","",null,"-7",null,"7"
"1975","4698","",null,"1243",null,"Fair on St Remigius (1 October), with a duration of eight days before and after that date","regional","","fixed","1","10",null,"","","",null,"-7",null,"7"
"1976","18141","Lapvesi Nativity of Mary fair",null,"1542",null,"Burghers of Viborg were in 1542 granted sole right for an annual fair in Lapvesi on the Nativity of Mary (8 September). The right was confirmed in 1594. In 1621 the fair was confirmed to last one week.","regional","Tar","fixed","8","9",null,"","","",null,null,null,"6"
"1915","19741","Saksala fair",null,"1584",null,"The Visitation of Mary fair (2 July) confirmed for Porvoo in 1584 appears to have been traditionally organised in Saksala. In 1616 the tar fair organised by burghers of Helsinki in Porvoo area on 1 July was called St Enewald&rsquo;s fair, which may echo a 15th century date for the summer fair in Porvoonjoki area. Local fairs were organised in Saksala as late as in the early 19th century.","regional","","fixed","2","7",null,"","","",null,null,null,null
"1978","8009","1647",null,null,null,"Viipuri was in 1647 granted an annual cattle fair to be held on St Bartholomeus (24 August), but its popularity remained low.","local","catlle","fixed","24","8",null,"","","",null,null,null,null
"1979","18138","Häömeenlinnan winter fair",null,"1650",null,"H&auml;meenlinna was in 1650 confirmed two annual fairs on Epiphany (6 January), and 1 September, of which the latter was in the same year changed to St Olaf (29 July).","local","","fixed","6","1",null,"","","",null,null,null,null
"1981","20096","Saaresmäki",null,"1625","1625","The burghers of Oulu were granted the right of two annual fairs in Kajaneborg parish in 1625. Of these the summer fair was to be held at midsummer (24 June) in Paltaniemi and the winter fair on 15 December in Saaresm&auml;ki (S&auml;rism&auml;ki). It is unknown if the Saaresm&auml;ki fair took place.","local","","fixed","15","12",null,"","","",null,null,null,null
"1982","7230","",null,"1100",null,"Fair on the Birth of St Mary, mentioned in 1417 as already in existence","local","","fixed","8","9",null,"","","",null,null,null,null
"1985","5591","",null,"1542",null,"Fair on St. Michael&#039;s day","local","","fixed","29","9",null,"","","",null,null,null,null
"1988","18139","Savonlinna summer fair",null,"1643",null,"In 1643 an annual fair was proposed to be established on the day of the Apostles St. Peter and St Paul (29 June) in Savonlinna.","local","","fixed","29","6",null,"","","",null,null,null,null
"1989","19890","Turkhauta fair",null,"1614","1654","The burghers of Helsinki were in 1614 granted the sole right to the annual fair market held in Turkhauta in Janakkala on 1 September. In 1654, the fair day was changed to 14 September.","regional","","fixed","1","9",null,"","","",null,null,null,null
