"id","nodesid","name","continuationfromid","fromyear","toyear","description","category","commodities","date","fixedday","fixedmonth","numberofdays","weekday","beforeafter","datedependson","startmax","startmin","endmax","endmin"
"1607","9544","Nibe Pentecost Fair",null,"1350","1490","Annual Pentecost Fair. The fair took place on the second day of Pentecost. In 1460 the town of Aalborg unsuccessfully tried to prevent the fair in Nibe, but it continued until c. 1490, when the fair was moved to Aalborg. A new Pentecost fair in Nibe was established in 1590 but it was prohibited in 1594.","local","Fish","movable",null,null,null,null,null,"Pentecost",null,null,null,null
"1609","3881","Saint Mikkel’s fair ",null,"1450","1491","Saint Mikkel&rsquo;s fair was held on Michaelmas (September 29th) up until 1491, when king Hans (1481-1513) moved the opening of the fair to the feast of Saint Francis (October 4th). The age of the fair is unknown","local","oxen; horses","fixed","29","9",null,null,null,null,null,null,"3",null
"1611","3881","Saint Francis fair",null,"1491",null,"Saint Francis fair on the feast of Saint Francis (October 4th). One of the most important annual fairs in Denmark. In the year 1491 about 4000 oxen from the fair in Kolding were exported to Germany via the toll station at Gottorp. The fair lasted three days. ","regional",null,"fixed","4","10",null,null,null,null,null,null,null,"3"
"1613","3881","Saint Oluf fair",null,null,null,"Saint Oluf fair (July 29th). First mentioned in 1447 in a privilege granted by king Christoffer the Bavarian (1440-1448). Unknown when the fair was established. ","local",null,"fixed",null,null,null,null,null,null,null,null,null,null
"1615","3881","Fastelavn Fair",null,"1641",null,"In 1641 king Christian IV (1596-1648) granted Kolding the right to another fair. This took place on the first Monday after Fastelavn, a part of the carnival, and lasted until the end of the week.","regional","oxen; horses","movable",null,null,null,"Monday","after","Ash",null,null,null,"6"
"1617","2456","Vrijmarkt",null,"1100","1608","Possibly from the twelfth century onward, a &#039;vrijmarkt&#039; took place in the town of Groningen around the Feast of Saint Otger (10 September). This &#039;vrijmarkt&#039; was extended during the sixteenth century, until it lasted until the 2nd of October. In 1609, the duration of this fair was limited to 7-13 September.","regional",null,"fixed","10","9",null,null,null,null,"-6","-3","22","3"
"1619","2456",null,null,"1434","1554","The fair during Laetare Sunday was instituted in 1434. According to Bos, this fair already ceased to exist in 1436. Benders, however, shows that it was still in function in 1485 (Oud Archief Elburg reg. 533a). Around 1554, the fair is no longer mentioned. ","local",null,"movable",null,null,null,"Sunday",null,"Letare",null,null,null,null
"1621","2456",null,null,"1434","1608","The fair during Quasimodo Sunday was instituted in 1434. In 1609, the duration of the fair was extended with three days by the town council. ","regional",null,"movable",null,null,null,"Sunday",null,"Quasimodo",null,"-8",null,"8"
"1623","2456",null,null,"1434",null,"The fair on Saint Vitus (15 June) was instituted in 1434. According to Bos, this fair already ceased to exist in 1436. Benders, however, suggests this may need more proof, since Bos also thought that the fair during Laetare Sunday ceased to exist in 1436, and this has been proven wrong. Around 1554, both fairs are no longer mentioned.","local",null,"fixed","15","6",null,null,null,null,null,null,null,null
"1625","2456",null,null,"1434",null,"The fair on Saint James (25 July) was instituted in 1434. ","regional",null,"fixed","25","7",null,null,null,null,null,"-8",null,"8"
"1627","2456",null,null,"1434",null,"The fair on Assumption Mary (15 August) was instituted in 1434.","local",null,"fixed","15","8",null,null,null,null,null,null,null,null
"1629","2456",null,null,"1436",null,"The fair on Saint Michael (29 September) was instituted in 1436.","local",null,"fixed","29","9",null,null,null,null,null,null,null,null
"1631","10713","Skanör fair",null,"1200","1550","The Skan&ouml;r/Scania fairs began at Skan&ouml;r around 1200 but soon spread to towns such as Falsterbo, Malm&ouml;, Ystad, Trelleborg, Landskrona and Drag&oslash;r. The fairs were held annually between August 15th and October 9th.   
","interregional","Herring; salt; cloth; beer ","fixed","15","8",null,null,null,null,null,null,null,"55"
"1633","2456",null,"1617","1609",null,"Possibly from the twelfth century onward, a &#039;vrijmarkt&#039; (free fair) took place in the town of Groningen around the Feast of Saint Otger (10 September). This &#039;vrijmarkt&#039; was extended during the sixteenth century, until it lasted until the 2nd of October. In 1609, the duration of this fair was limited to 7-13 September.","regional",null,"fixed","10","9",null,null,null,null,null,"-3",null,"3"
"1635","2456",null,"1621","1609",null,"The fair during Quasimodo Sunday was instituted in 1434. In 1609, the duration of the fair was extended with three days by the town council. ","regional",null,"fixed",null,null,null,null,null,null,null,"-8","11","8"
"1637","4880",null,null,"1460",null,"Since 1460, a fair of 15 days took place in Meppel in April. ","regional",null,"fixed",null,"4",null,null,null,null,null,"-7",null,"7"
"1785","1258",null,null,"1598",null,"Fair on Sunday Letare","local",null,"movable",null,null,null,null,null,"Letare",null,null,null,null
"1639","4880",null,null,"1460","1559","Since 1460, a fair took place in Meppel around Saint Lambert (17 September). In 1560, this fair was moved up to September 14th.","regional",null,"fixed","17","9",null,null,null,null,null,"-7",null,"7"
"1641","4880",null,"1639","1560",null,"Since 1460, a fair took place in Meppel around Saint Lambert (17 September). In 1560, this fair was moved up to September 14th.","regional",null,"fixed","14","9",null,null,null,null,null,"-7",null,"7"
"1643","11654","Sankt Mikkels marked",null,"1549",null,"Sankt Mikkels marked. Relocated to Helsing&oslash;r in 1549. Held on  Michaelmas (Danish: Sankt Mikkels dag) on September 29th. ","local",null,"fixed","29","9",null,null,null,null,null,null,null,null
"1645","72","Saint Olav&#39;s Fair",null,"1200",null,"Sankt Olav&rsquo;s fair. Began on the feast of Olav (July 29th), and in the 17th century the fairs lasted for two weeks. This was probably also the case in the medieval period. Probably founded in the 13th century, if not before. ","regional",null,"fixed","29","7",null,null,null,null,null,null,null,"14"
"1647","11709",null,null,"1400",null,"Roskilde Easter Fair. Documented from the 15th century but is likely to be older. ","local",null,"movable",null,null,null,null,null,"Easter",null,null,null,null
"1649","11709","Roskilde Saint Dionysius Fair",null,"1400",null,"Fair of Saint Dionysius, held on/around the saint&#039;s feast (October 3th). Documented from the 15th century but is likely to be older. ","local",null,"fixed","3","9",null,null,null,null,null,null,"3",null
"1651","11709","Spurvehøgsmarked",null,"1559",null,"&quot;Spurveh&oslash;gsmarked&rdquo;. Fair moved from the settlement of &Oslash;m to Roskilde in 1559. ","local",null,"unknown",null,null,null,null,null,null,null,null,null,null
"1653","1240",null,null,"1541",null,"The fair on the Monday before Pentecost was instituted in 1541.","regional",null,"movable",null,null,null,"Monday","before","Pentecost",null,"-4",null,"4"
"1655","1240",null,null,"1541",null,"The fair on Saint Odulf (12 June) was instituted in 1541.","regional",null,"fixed","12","6",null,null,null,null,null,"-4",null,"4"
"1657","1240",null,null,"1436",null,"The fair of Saint Giles (1 September) probably already existed before 1440. In a letter dated 14 August 1436-1440, the publican of Coevorden mentions the next free fair (&lsquo;vrijmarkt&rsquo;) in Coevorden. This could be the fair of Saint Giles; its institution in 1541 thus might have been a re-institution. This fair may have come into existence as a &lsquo;kermis&rsquo; to celebrate the dedication of the parish church. ","regional",null,"fixed","1","9",null,null,null,null,null,"-4",null,"4"
"1659","9608","Randers Saint Bartholomew fair",null,"1500",null,"Saint Bartholomew fair. Mentioned in the 16th century, but probably older. Held on/around August 24th.","local","Oxen","fixed","24","8",null,null,null,null,null,null,null,null
"1661","9608","Randers Saint Gallus fair",null,"1500",null,"Saint Gallus fair. Mentioned in the 16th century, but probably older. Held on/around 16th October 16th.","local","oxen","fixed","16","10",null,null,null,null,null,null,null,null
"1663","9608","Randers Fasterlavns Fair",null,null,null,"Fair held on the first Tuesday after Carnival Sunday (Danish: Fastelavns s&oslash;ndag).
","local",null,"movable",null,null,null,"Tuesday","after","Invocavit",null,null,null,null
"1665","9608",null,null,null,null,"Fair held on Saint Mary&rsquo;s feast (September 8th).","local",null,"fixed","8","9",null,null,null,null,null,null,null,null
"1671","10688","Fair of Saint Laurentius",null,null,null,"Fair of Saint Laurentius. Held or began on the feast of Saint Laurentius (August 10th) Mentioned in 1504 but is older. ","local",null,"fixed","10","8",null,null,null,null,null,null,"3",null
"1673","10688","“Trehøjemarked”",null,null,null,"&ldquo;Treh&oslash;jemarked&rdquo;. Fair held at Easter. Mentioned in 1504 but is older. ","local",null,"movable",null,null,null,null,null,"Easter",null,null,null,null
