"id","fairid","language","description"
"2007","1914","fin","Varhaisimmat tiedot Porvoon vuotuismarkkinoiden ajankohdista ovat vuodelta 1584, jolloin kuningas Juhana III vahvisti p&auml;iviksi vanhastaan k&auml;yt&ouml;ss&auml; olleet Marian visitaation (2.7., Saksalassa?) ja pyh&auml;n Ristin ylent&auml;misen (Exaltatio, 14.9., kaupungissa?). Samat oikeudet vahvistettiin 1594. Porvoon Ristin ylent&auml;misen markkinat mainitaan almanakassa 1598. Vuonna 1650 Porvoon vuotuiseksi markkinap&auml;iv&auml;ksi vahvistettiin my&ouml;s loppiainen (6.1.)."
"614","608","deu","Bartholomäimarkt"
"2063","1969","fin","&Auml;yr&auml;p&auml;&auml;n pyh&auml;n ristin kohottamisen (14.9.) vuotuismarkkinat vahvistettiin 1542 ja 1594. Viipurin oikeus Muolaan markkinoihin vahvistettiin 1627."
"626","620","deu","Jahrmarkt am Tag der Erhöhung des hl. Kreuzes"
"628","622","deu","Jahrmarkt am Tag der Auffindung des hl. Kreuzes."
"2011","1918","deu","Jahrmarkt am Tag der Geburt Mari&auml;, mit einer Dauer von acht Tagen."
"2013","1921","fin","V&ouml;yrin markkinap&auml;iv&auml;t olivat 1622 Margareta (20.7.) ja Maria (8.9.?). Vuodesta 1650 l&auml;htien V&ouml;yrill&auml; pidettiin my&ouml;s Uudenkaarlepyyn porvareille varatut nelj&auml; p&auml;iv&auml;&auml; kest&auml;neet Nikolauksenp&auml;iv&auml;n (6.12.) markkinat."
"634","628","deu","Auf Wirken von Leipzig musste die Messe eingestellt werden. Ein weiterer Jahrmarkt an Palmsonntag wurde von Leipzig zugelassen, allerdings ohne die ausgedehnten Privilegien, die ein überregionaler Jahrmarkt wie der Peter-Pauls-Markt mit sich brachte. Er ist bis heute bekannt als der Topfmarkt und wurde 1894 auf den Freitag nach Ostern verlegt."
"2017","1925","fin","Lapuan markkinap&auml;iv&auml; oli 1622 kynttil&auml;np&auml;iv&auml; (2.2), 1600-luvun alkupuolella my&ouml;s Mikkelinp&auml;iv&auml; (29.9.)"
"2021","1929","fin","Sipoon viimeist&auml;&auml;n vuodesta 1576 tunnetut juhannusmarkkinat (24.6.) siirrettiin 1584 Helsinkiin. Sipoossa j&auml;rjestettiin viimeist&auml;&auml;n 1616 my&ouml;s Helsingin porvareiden oikeuksiin kuuluneet Marianp&auml;iv&auml;n (8.9.) markkinat, jotka vahvistettiin 1682 kahden p&auml;iv&auml;n mittaisiksi."
"2023","1931","fin","Helsingin Vanhassakaupungissa vuodesta 1584 pidetyt vuotuiset juhannus- (24.6.) ja loppiaismarkkinat (6.1.) jatkuivat uudessa kaupungissa 1640-luvulla. Helsingin porvarit anoivat 1650-luvulla talvimarkkinoiden ajankohdan muuttamista, niin ett&auml; ne siirrettiin ensin kynttil&auml;np&auml;iv&auml;&auml;n (2.2.) ja 1680 Paavalinp&auml;iv&auml;&auml;n (25.1.)."
"650","648","deu","Jahrmarkt bei der Georgenkirche am Sonntag Lätare."
"652","650","deu","Jahrmarkt bei der Frauenkirche zu Johannis"
"654","652","deu","Jahrmarkt bei der Nikolaikirche an Matthäi."
"2025","1933","fin","Helsingiss&auml; pidettiin vuodesta 1584 vuotuiset juhannus- (24.6.) ja loppiaismarkkinat (6.1.), jotka jatkuivat uudessa kaupungissa 1640-luvulla."
"698","696","deu","Jahrmarkt am Gallustag (16. Oktober)."
"684","682","deu","Dionysiusmarkt"
"686","684","deu","Ursulamarkt"
"688","686","deu","Viehmarkt zu Johannis Baptiste."
"690","688","deu","Viehmarkt zu Michaelis"
"692","690","deu","Viehmarkt zu Allerheiligen"
"2036","1941","fin","Salon sillan markkinoilla ker&auml;ttiin vuodesta 1622 l&auml;htien k&auml;ytt&ouml;&ouml;notettua pikkutullia, joka oli 1/32-osa maaseudulta tuodun kaupunkiin tai markkinoille myyt&auml;v&auml;ksi tarkoitetun tavaran arvosta."
"696","694","deu","Jahrmarkt während der Kreuzwoche."
"620","614","deu","Jahrmarkt am Montag nach Exaudi, auf dem Obermarkt, mit einer Dauer von einer Woche."
"618","612","deu","Jahrmarkt am Kilianstag (8. Juli), der &uuml;ber die Jahre etwas im Termin &auml;nderte. Er k&ouml;nnte bis Margarethentag (22. Juli) gedauert haben."
"2046","1951","fin","Rauman vuotuiseksi markkinap&auml;iv&auml;ksi kes&auml;ll&auml; vahvistettiin 1607 juhannus (24.6.). Vuonna 1624 p&auml;iv&auml;ksi tuli Bartolomeus (24.8.)."
"2051","1956","fin","Myn&auml;m&auml;en vuotuiset syysmarkkinat pidettiin 1623 pyh&auml;n Laurentiuksen p&auml;iv&auml;n&auml; (10.8.)."
"2052","1958","fin","Uudenkaupungin vuotuiset talvimarkkinat pidettiin 1625&ndash;89 toisena paastosunnuntaina (15.2.&ndash;21.3.)."
"2064","1970","fin","Viipurin porvarit saivat 1542 yksinoikeuden Vehkalahden pyh&auml;n Olavin (29.7.) vuotuismarkkinoihin. Vuonna 1585 markkinap&auml;iv&auml; oli pyh&auml; Bartolomeus (24.8.) ja vuonna 1594 p&auml;iv&auml;ksi vahvistettiin Laurentius (10.8.)."
"2067","1973","nld","Jaarmarkt op St Servatius (13 mei), met een duur van acht dagen voor en na de feestdag."
"2070","1976","fin","Viipurin porvarit saivat 1542 yksinoikeuden Lapveden Marianmessun (8.9.) vuotuismarkkinoihin. Oikeus vahvistettiin 1594. Vuonna 1621 markkinoiden kestoksi vahvistettiin viikko."
"1450","11","nld","Jaarmarkt tussen Halfvasten en Palmzondag. Het is echter de vraag of deze ooit daadwerkelijk is georganiseerd."
"2072","1978","fin","Viipuriin perustettiin 1647 Bartolomeuksen (24.8.) karjamarkkinat, joiden merkitys j&auml;i pieneksi."
"2073","1979","fin","H&auml;meenlinnan markkinap&auml;iviksi vahvistettiin 1650 loppiainen (6.1.) ja 1.9., joista j&auml;lkimm&auml;inen muutettiin samana vuonna Olavinp&auml;iv&auml;ksi (29.7.)."
"2075","1981","fin","Oulun porvarit saivat 1625 oikeudet kaksiin vuosimarkkinoihin Kajaneborgin (Paltamon) pit&auml;j&auml;ss&auml;. Niist&auml; juhannusmarkkinat pidettiin (24.6.) Paltaniemess&auml; ja talvimarkkinat (15.12.) Saaresm&auml;ess&auml; (S&auml;rism&auml;ki). Saaresm&auml;en markkinoiden toteutuminen on ep&auml;selv&auml;&auml;."
"2076","1982","deu","Jahrmarkt auf Mari&auml; Geburt, 1417 als bereits bestehend erw&auml;hnt."
"2080","1985","deu","Jahrmarkt zu Michaelis"
"2082","1988","fin","Savonlinnaan ehdotettiin 1643 perustettavaksi Pietarin ja Paavalin p&auml;iv&auml;n&auml; (29.6.) pidetyt vuotuismarkkinat."
"1977","1890","deu","1479 wurde ein Jahrmarkt am Sonntag Cantate eingerichtet."
"2053","1959","fin","Uudenkaupungin vuotuiset syysmarkkinat pidettiin 1623&ndash;54 pyh&auml;n Laurentiuksen p&auml;iv&auml;n&auml; (10.8.)"
"2065","1971","fin","Viipurin porvarit saivat 1542 yksinoikeuden Vehkalahden pyh&auml;n Olavin (29.7.) vuotuismarkkinoihin. Vuonna 1585 markkinap&auml;iv&auml; oli pyh&auml; Bartolomeus (24.8.) ja vuonna 1594 p&auml;iv&auml;ksi vahvistettiin Laurentius (10.8.)."
"2068","1975","nld","Jaarmarkt op St Remigius (1 oktober), met een duur van acht dagen voor en na de feestdag."
"2071","1977","fin","Viipurin porvarit saivat 1621 Lapvedell&auml; lis&auml;oikeuden Mikaelinp&auml;iv&auml;n&auml; (29.9.) alkaviin kahden viikon markkinoihin."
"1452","12","nld","Jaarmarkt op zondag voor St. Cornelius. Het is echter onduidelijk of deze ooit daadwerkelijk is georganiseerd."
"2074","1980","fin","H&auml;meenlinnan markkinap&auml;iviksi vahvistettiin 1650 loppiainen (6.1.) ja 1.9., joista j&auml;lkimm&auml;inen muutettiin samana vuonna Olavinp&auml;iv&auml;ksi (29.7.)."
"2077","1983","deu","Jahrmarkt von zwei Tagen vor bis zwei Tagen nach St. Ulrich (4. Juli, dem Kirchweihtag der Patroklikirche), wie 1417 erw&auml;hnt. Laut einer Beschwerde von 1504 erhielt der Markt Besucher aus den L&auml;ndern K&ouml;ln, Utrecht, M&uuml;nster, Osnabr&uuml;ck, Paderborn, Kleve, Mark, Berg, Hessen, Lippe und Rietberg."
"2081","1987","deu","Jahrmarkt am Sonntag nach Kiliani"
"2083","1989","fin","Helsingin porvarit saivat 1614 yksinoikeuden Turkhaudassa 1.9. viikkoa ennen Marianp&auml;iv&auml;&auml; pidettyihin vuotuismarkkinoihin. Vuonna 1654 markkinap&auml;iv&auml;ksi muutettiin 14.9."
"2089","1920","fin","V&ouml;yrin markkinap&auml;iv&auml;t olivat 1622 Margareta (20.7.) ja Maria (8.9.?). Vuodesta 1650 l&auml;htien V&ouml;yrill&auml; pidettiin my&ouml;s Uudenkaarlepyyn porvareille varatut nelj&auml; p&auml;iv&auml;&auml; kest&auml;neet Nikolauksenp&auml;iv&auml;n (6.12.) markkinat."
"1082","774","deu","Jahrmarkt an Reminiscere"
"180","158","deu","Jahrmarkt am Sonntag Laetare und der Tag nachher, 1501 erw&auml;hnt &quot;na older wonheit&quot;."
"2054","1960","fin","Naantalin tuhkakeskiviikon (4.2.&ndash;10.3.) talviset vuotuismarkkinat mainitaan 1506, mutta niit&auml; j&auml;rjestettiin mahdollisesti jo 1452. Naantalin porvarit anoivat kuningatar Kristinan aikaan (1632&ndash;54) tuhkakeskiviikon rinnalle syksyn vuotuiseksi markkinap&auml;iv&auml;ksi Birgitanp&auml;iv&auml;&auml; (7.10.), joka on voinut olla my&ouml;s keskiaikainen markkinap&auml;iv&auml;. Pyynt&ouml;&ouml;n suostuttiin 1660, jolloin syysmarkkinat sijoitettiin Mikaelinp&auml;iv&auml;&auml;n (29.9.)."
"2055","1961","fin","Helsingin porvarit saivat 1594 oikeuden Inkoon apostoli Matteuksen (21.9.) markkinoihin. Tammisaaren porvarit yrittiv&auml;t 1614 siirt&auml;&auml; markkinat tuloksetta kaupunkiin."
"2056","1962","fin","Lohjan kynttil&auml;np&auml;iv&auml;n (2.2.) markkinat mainitaan 1592, 1618, 1627 ja 1650. Markkinat siirrettiin yhdess&auml; keskipaaston (28./29.2.&ndash;3.4.) markkinoiden kanssa Tammisaareen 1627, josta ne palautuivat ennen vuotta 1634."
"2058","1964","fin","Karjalohjan markkinat pidettiin 1627 apostoli Paavalin juhlana (25.1.)."
"2059","1965","fin","Karjalohjan apostoli Paavalin (25.1.) sek&auml; Lohjan kynttil&auml;np&auml;iv&auml;n (2.2.) ja keskipaastosunnuntaita edelt&auml;v&auml;n lauantain (28./29.2.&ndash;3.4.) markkinat siirrettiin 1627 Tammisaareen yksiksi kynttil&auml;np&auml;iv&auml;n markkinoiksi. Markkinat palautuivat takaisin Karjalohjalle ja Lohjalle ennen vuotta 1634."
"2066","1972","fin","Viipurin porvarit saivat 1542 yksinoikeuden Vehkalahden pyh&auml;n Olavin (29.7.) vuotuismarkkinoihin. Vuonna 1585 markkinap&auml;iv&auml; oli pyh&auml; Bartolomeus (24.8.) ja vuonna 1594 p&auml;iv&auml;ksi vahvistettiin Laurentius (10.8.)."
"2069","1974","nld","Jaarmarkt op St Remaclus (3 september), met een duur van acht dagen voor en na de feestdag."
"2078","1984","deu","Jahrmarkt von drei Tagen vor bis drei Tagen nach Allerheiligen, wie 1417 erw&auml;hnt. Die Allerheiligenkirmes besteht noch heutzutage."
"2084","1990","fin","Helsingin porvarit saivat 1584 oikeuden Espoon (Kirkkonummen) Bob&auml;ckiss&auml; pyh&auml;n Mikaelin p&auml;iv&auml;n&auml; 29.9. pidettyihin vuotuismarkkinoihin. Oikeudet vahvistettiin 1594, jolloin p&auml;iv&auml; oli Marianmessu (8.9.) ja paikka Brendebergs sund."
"2085","1991","fin","Turun vuosittaiset Henrikinp&auml;iv&auml;n talvimarkkinat mainitaan 1531, mutta takautuvat 1300-luvulle."
"2087","1994","nld","Op 4 juli 1303 verleende graaf Jan een jaarmarkt op St. Margrieten avond (12 juli). Deze moet later in onbruik zijn geraakt, daar de markt in 1497 door aartshertog Filips met een duur van 8 dagen weer werd ingesteld."
"2088","1995","nld","Jaarmarkt op Kruisdag (14 september), de kerkwijdingsdag (kermis) van de Pieterskerk. De burggraaf hief een tol op de markt, die rond 1360 voor het eerst wordt genoemd. "
"1753","1667","nld","Paardenmarkt op Sint Micha&euml;l (29 september), die in de beginperiode wellicht ook in mei plaatsgevonden zou kunnen hebben. De markt werd in 1633 naar Sint Matthe&uuml;s verplaatst."
"1998","1905","fin","Raahen (r. Brahestad) kaupunginoikeudet annettiin ensin 1649 Satamalahdessa olleelle Saloksi nimitetylle kaupungille, mutta paikka siirrettiin sitten Fantinniemelle ja nimeksi tuli kaupungin perustaneen kenraalikuvern&ouml;&ouml;ri Pietari Brahen mukaan 1652 Brahestad. Kaupunkialueen ensimm&auml;inen suunnitelma on vuodelta 1650."
"2057","1963","fin","Lohjan keskipaaston (28./29.2.&ndash;3.4.) markkinat mainitaan 1627."
"2086","1992","fin","Turun vuosittaiset Henrikinp&auml;iv&auml;n kes&auml;markkinat mainitaan 1531, mutta takautuvat 1300-luvulle."
"100","76","deu","Jahrmarkt am St. Veitstag"
"104","80","deu","Siebent&auml;giger Jakobimarkt"
"106","82","deu","Siebent&auml;giger Jahrmarkt am zweiten Sonntag nach Ostern"
"108","84","deu","Jahrmarkt in den acht Tagen nach der Kirchweihe (Geburt Marias), der m&ouml;glich auf das Marktprivileg aus 1181 zur&uuml;ck geht. F&uuml;r den Besuch des Marktes wurde eine Standgeb&uuml;hr entrichtet, die vor 1565 dem Propst des Klosters, nach 1565 dem Grafen, und ab 1615 der Stadt zukam. Um 1565 wurde der Zeitraum des Marktes vor&uuml;bergehend auf 3 Tage beschr&auml;nkt."
"110","86","deu","Siebent&auml;giger Jahrmarkt am Montag vor Michaelis, vor 1462 gegr&uuml;ndet."
"112","88","deu","Jahrmarkt am Montag nach Oculi, mit Marktfreiheit drei Tage vor- und nachher."
"114","90","deu","Jahrmarkt am Montag nach Exaudi, mit Marktfreiheit drei Tage vor- und nachher."
"120","96","deu","Siebent&auml;giger Jahrmarkt um St. Simon und Judas"
"122","98","deu","Jahrmarkt zu Mari&auml; Himmelfahrt (Kirchweihfest), der m&ouml;glicherweise bis um 1220 zur&uuml;ckgeht. Geleitbriefe wurden um 1300 ausgestellt f&uuml;r die vier Tage vor und nach dem Feiertag. Um 1577 verlegt zu einem Gel&auml;nde au&szlig;erhalb der Stadt, wegen Pestseuchen und Platzmangel. Der Markt ist seitdem bekannt als &quot;Stoppelmarkt&quot;, entweder weil er auf den Stoppeln der Felder gehalten wurde, oder als Korruption von &quot;Stapelmarkt&quot;."
"132","108","deu","Jahrmarkt zu Mari&auml; Geburt und St. Gorgonius, 1528 aufgehoben."
"134","112","deu","Jahrmarkt am St. Martini mit einer Dauer von 14 Tagen."
"136","114","deu","Jahrmarkt zu Mari&auml; Reinigung, 1528 aufgehoben."
"138","116","deu","Der Martinimarkt wurde 1528 auf acht Tage vor St. Martini festgelegt."
"140","118","deu","Jahrmarkt an acht Tagen nach St. Walpurgis."
"142","120","deu","Jahrmarkt am Montag nach Reminiscere."
"144","122","deu","Jahrmarkt am Montag nach Johannis Baptiste."
"146","124","deu","Jahrmarkt am Montag nach Laurentii."
"158","136","deu","Jahrmarkt am Johannistag."
"164","142","deu","1521 wurde der &Auml;gidiusmarkt zu einer Messe von 6 Tagen erweitert."
"166","144","deu","Der Jahrmarkt auf dem Tag nach Mari&auml; Empf&auml;ngnis, vorher Neujahrsmarkt, wurde 1521 auf 6 Tage beschr&auml;nkt."
"170","148","deu","Dreit&auml;giger Jahrmarkt am Sonntag vor Walpurgis."
"172","150","deu","Dreit&auml;giger Jahrmarkt an St. Mauritius."
"174","152","deu","Dreit&auml;giger Jahrmarkt am Sonntag vor St. Martin."
"176","154","deu","Der Mauritiusjahrmarkt wurde 1412 auf Sonntag nach Mari&auml; Himmelfahrt verlegt."
"188","166","deu","Montag nach Invocavit."
"190","168","deu","Montag nach Oculi."
"192","170","deu","Montag nach dem Siebenbr&uuml;dertag."
"194","172","deu","Jahrmarkt am St. Dionysius."
"198","176","deu","Herzog Otto gr&uuml;ndete 1380 einen Jahrmarkt von Mittwoch in der Pfingstwoche bis zum Tag vor Fronleichnam. 1399 ist von dem Trinitatismarkt die Rede."
"204","182","deu","Markt an St. Gallus, eingerichtet von Bischof Reinhard."
"206","184","deu","Neujahrsmarkt in Halle. Als 1458 in Leipzig ebenso ein Neujahrsmarkt eingerichtet wurde, f&uuml;hrte dies zu einem Konflikt zwischen beiden St&auml;dten. Der Markt in Halle muss also bereits vorher bestanden haben. Er wurde 1464 durch Kaiser Friedrich III. best&auml;tigt."
"210","188","deu","1445 wird ein Jahrmarkt zu St. Egidius erw&auml;hnt."
"212","190","deu","Jahrmarkt an St. Simon und Judas Thadd&auml;us der 1444 durch einen Walpurgismarkt ersetzt wurde."
"214","192","deu","Jahrmarkt am Gr&uuml;ndonnerstag, erw&auml;hnt 1399.  Er muss vor 1444 verschwunden sein, da in dem Jahr erw&auml;hnt wird, dass in Hannover kein Freimarkt stattfand au&szlig;er am Walpurgistag."
"216","194","deu","Jahrmarkt am St. Jacobus, erw&auml;hnt 1399. Er muss vor 1444 verschwunden sein, da in dem Jahr erw&auml;hnt wird, dass in Hannover kein Freimarkt stattfand au&szlig;er am Walpurgistag."
"218","196","deu","Jahrmarkt am Mari&auml; Verk&uuml;ndigung. Die Standgeb&uuml;hren in den Stadtrechnungen ab 1379 zeigen dass er von den M&auml;rkten in Hildesheim am besten besucht wurde, wurde aber 1460 von neuen Jahrm&auml;rkten ersetzt."
"220","198","deu","Jahrmarkt am Mari&auml; Himmelfahrt."
"222","200","deu","Jahrmarkt am St. Michael."
"224","202","deu","Die Innung der Kr&auml;mer 1310 erw&auml;hnt einen Jahrmarkt am St. Godehard."
"226","204","deu","Michaelismarkt"
"228","206","deu","Die Herrenmesse wird 1179 erstmals urkundlich erw&auml;hnt, allerdings ist sie vielleicht schon mit einer Erw&auml;hnung von 1010 in Verbindung zu bringen. Im Beginn der 1460er Jahre kam es zum Streit um den Jahrmarkt zwischen der Stadt und dem Stadtherren, worauf 1463 entschieden wurde, den Markt vom Tag nach Mauritius bis St. Michael zu organisieren."
"230","208","deu","Dreit&auml;giger Jahrmarkt am Sonntag nach St. Johannis"
"232","210","deu","Dreit&auml;giger Jahrmarkt am Sonntag nach St. Bartholom&auml;us"
"234","212","deu","Dreit&auml;giger Jahrmarkt am Sonntag nach St. Andreas"
"252","230","deu","Dreit&auml;giger Jahrmarkt am Mittwoch nach Mari&auml; Himmelfahrt, 1448 eingerichtet. In der Folgezeit wird der Markt allerdings nicht mehr erw&auml;hnt."
"254","232","deu","Dreit&auml;giger Jahrmarkt am Montag nach Misericordia, 1448 eingerichtet. In der Folgezeit wird er allerdings nicht mehr erw&auml;hnt."
"256","234","deu","1458 verlieh Kurf&uuml;rst Friedrich das Recht, einen weiteren einw&ouml;chigen Jahrmarkt von Neujahr bis dem Tag nach Dreik&ouml;nige zu organisieren. Dies f&uuml;hrte zu Konflikten mit Halle und Magdeburg."
"258","236","deu","Nach etlichen Best&auml;tigungen und Widerrufen der Leipziger und Haller Neujahresm&auml;rkte (sogar ein Verbot des Haller Neujahrsmarktes 1468) wurde 1470 beschlossen, den Haller Neujahrsmarkt nach Beendigung des Leipziger Marktes zu organisieren."
"260","238","deu","Von den alten Jahrm&auml;rkten blieb nach 1460 nur der Michaelismarkt bestehen und wurde auf 6 Tage verl&auml;ngert."
"262","240","deu","Jahrmarkt an 6 Tagen um Sonntag Misericordia, 1460 eingerichtet."
"266","244","deu","Jahrmarkt von Montag bis Mittwoch nach Fronleichnam, 1497 eingerichtet. Der Besuch dieses Marktes wurde 1499 vom Herzog von Sachsen wegen Konkurrenz mit Leipzig verboten."
"268","246","deu","Jahrmarkt von Montag bis Mittwoch nach Septuagesima. Der Besuch dieses Marktes wurde 1499 vom Herzog von Sachsen wegen Konkurrenz mit Leipzig verboten."
"280","258","deu","Frauenmesse (Herbstmesse) von Mari&auml; Himmelfahrt bis Mari&auml; Geburt."
"290","268","deu","Ulrichsmarkt, dessen Bedeutung im 15. Jh. allm&auml;hlich zur&uuml;ckgegangen sein wird; 1507 wird er neu priviligiert als dreit&auml;giger Markt."
"292","270","deu","Jahrmarkt am St. Simon und Juda, im Laufe des 15. Jhs. wahrscheinlich verschwunden."
"294","272","deu","Jahrmarkt am St Georg, 1529 wieder verschwunden."
"296","276","deu","Acht Tage vor Mitfasten"
"298","278","deu","Acht Tage nach Michaelis"
"300","280","deu","Jahrmarkt am Ilientag, erstmals 1497 erw&auml;hnt"
"302","282","deu","Pfingstmarkt"
"304","284","deu","Jahrmarkt am Johannistag. Der Markt scheint keine gro&szlig;e Rolle gespielt zu haben, m&ouml;glich wegen Konkurrenz mit dem Johannismarkt im nah gelegenen Landegge."
"306","286","deu","Achtt&auml;giger Jahrmarkt am Ilientag"
"308","288","deu","Achtt&auml;giger Jahrmarkt am Fest der Elftausend Jungfrauen."
"310","290","deu","Jahrmarkt am Donnerstag vor St. Johannis."
"336","316","deu","Der Misericordia-Jahrmarkt muss zwischen 1488 und 1523 auf drei Tage verk&uuml;rzt worden sein."
"338","318","deu","Der Michaelismarkt wurde zwischen 1488 und 1532 auf drei Tage verk&uuml;rzt."
"340","320","deu","Der Jahrmarkt am Mari&auml; Verk&uuml;ndigung wurde zwischen 1488 und 1523 als dreit&auml;giger Markt wiederbelebt."
"342","322","deu","Ein dreit&auml;giger Jahrmarkt am Mittwoch in der Pfingstwoche wurde zwischen 1488 und 1523 neu eingerichtet."
"344","324","deu","Der Jahrmarkt vom Sonntag Jubilate bis Cantate war ein der zwei &auml;ltesten Jahrm&auml;rkte der Stadt und geht wom&ouml;glich auf die Stadtgr&uuml;ndung 1170 zur&uuml;ck. Im 15. Jh. wuchs er zu internationaler Bedeutung."
"346","326","deu","Der achtt&auml;gige Jahrmarkt am Sonntag nach Michaelis war ein der zwei &auml;ltesten Jahrm&auml;rkte der Stadt und geht wom&ouml;glich auf die Stadtgr&uuml;ndung 1170 zur&uuml;ck (an anderer Stelle hei&szlig;t es, er wurde von Zeitz nach Leipzig verlegt). Im 15. Jh. wuchs er zu internationaler Bedeutung."
"520","510","deu","1542 wurde die Kirchweihe auf den Sonntag nach Mari&auml; Geburt verlegt."
"348","328","deu","Die Fastenmesse, deren Termin immer wieder &uuml;berschritten wurde, wurde 1384 um zwei Wochen verl&auml;ngert. 10 Jahre sp&auml;ter wurde diese Verl&auml;ngerung aber wieder zur&uuml;ckgenommen."
"350","330","deu","Die Herbstmesse wurde 1384 um zwei Wochen verl&auml;ngert. 10 Jahre sp&auml;ter wurde diese Verl&auml;ngerung aber wieder zur&uuml;ckgenommen."
"362","342","deu","Jahrmarkt am Sonntag nach Estomihi"
"364","344","deu","Jahrmarkt am Tag der 11.000 Jungfrauen."
"366","346","deu","Jahrmarkt am St Dionysius"
"368","348","deu","Der Vieh-, Pferde- und Warenmarkt, vier Tage vor Dionysius, wurde 1601 gegr&uuml;ndet vom Delmenhorster Grafen. Der Besuch wurde daraufhin von seinem Bruder, dem Oldenburger Grafen, f&uuml;r seine Untertanen verboten. Der Markt scheint sp&auml;ter eingegangen zu sein, weil er 1653 wieder belebt wurde."
"374","354","deu","Jahrmarkt am Sonntag Jubilate."
"378","358","deu","Die viert&auml;gige &quot;Herrenmesse&quot; am Fest der Heiligen St. Crispin und Crispinian, zugleich Domkirchweih, geht m&ouml;glich auf das Osnabr&uuml;cker Marktrecht vom Jahre 1002 zur&uuml;ck."
"380","360","deu","Der viert&auml;gige Jahrmarkt am Mittfasten geht m&ouml;glich auf das Osnabr&uuml;cker Marktrecht vom Jahre 1002 zur&uuml;ck."
"388","368","deu","Achtt&auml;giger Jahrmarkt am Sonntag Laetare"
"392","372","deu","Michaelismarkt"
"394","376","deu","Viehmarkt am Mittwoch vor dem 1. Mai"
"396","378","deu","Viehmarkt am Mittwoch vor Pfingsten"
"398","380","deu","Pfingstmarkt"
"400","382","deu","Markt am Johannistag"
"402","384","deu","Markt am Mari&auml; Geburt"
"562","554","deu","1620 wird als Termin f&uuml;r den Domweihmarkt Quasimodogeniti genannt. Ebenso wird 1598 ein Jahrmarkt am Quasimodogeniti in &quot;Veerden&quot; in einem Almanach aus Neudamm (Dębno) genannt; wahrscheinlich betrifft es hier der gleiche Markt."
"408","390","nld","In 1449 wordt voor het eerst melding gemaakt van een kermis gerelateerd aan de wijding van de kloosterkerk van de Augustijnen. Het klooster is gesticht rond 1325; de buurbrief van 1327 wijst in deze periode op handelsactiviteiten in Appingedam gedurende het jaar. Volgens een bron uit het begin van de zestiende eeuw duurde deze jaarmarkt (bekend als de Broederkermis) acht dagen vanaf de zondag na Kruisverheffing (de zondag na 14 september). Hij sloot aan op de vrije jaarmarkt van Groningen, die veertien dagen duurde rond 8 september. In 1504 werd de Broederkermis heringesteld en verplaatst naar de zaterdag na Kruisverheffing. Mogelijk raakte deze markt in verval vanaf 1536. "
"410","392","nld","In 1504 werd het recht toegekend op een achtdaagse jaarmarkt vanaf de dag voor Maria-Tenhemelopneming (14 augustus)."
"412","394","deu","Gallimarkt, 1508 eingerichtet"
"428","410","deu","Dreit&auml;giger Jahrmarkt am Quasimodogeniti, der 1638 der Pfingstjahrmarkt ersetzte."
"430","412","deu","Dreit&auml;giger Jahrmarkt am Himmelfahrtstag, der 1638 den Pfingstjahrmarkt ersetzte."
"444","426","deu","Jahrmarkt am Bonifatius, um 1350 erstmals erw&auml;hnt. 1556 wurde er durch zwei neue Jahrm&auml;rkte ersetzt."
"446","428","deu","Jahrmarkt am Michaelis, um 1350 erstmals erw&auml;hnt."
"448","430","deu","Jahrmarkt &quot;tho der hoighen kerkemisse&quot; (Allerheiligen), erstmals um 1350 erw&auml;hnt."
"450","432","deu","Der Jahrmarkt am Michaelis wird 1556 am Montag nach Michaelis erw&auml;hnt."
"452","434","deu","Der Jahrmarkt an Allerheiligen wird 1556 am Montag nach Allerheiligen erw&auml;hnt."
"454","436","deu","Jahrmarkt am Montag nach Letare, erstmals 1556 erw&auml;hnt."
"456","438","deu","Jahrmarkt am zweiten Montag nach Trinitatis, erstmals 1556 erw&auml;hnt."
"458","440","deu","Jahrmarkt am Himmelfahrtstag."
"460","442","deu","Jahrmarkt am Matth&auml;i, 1565 gegr&uuml;ndet."
"462","444","deu","Jahrmarkt am Fest der Zehntausend M&auml;rtyrer, 1565 gegr&uuml;ndet."
"464","446","deu","Jahrmarkt am Patronatsfest der Geburt Johannes des T&auml;ufers, entstanden im 14. Jh."
"466","448","deu","Jahrmarkt am Kirchweihfest am Tag der Kreuzerh&ouml;hung, entstanden im 14. Jh."
"468","450","deu","1497 wird der Jahrmarkt in Meppen, vorher am Michaelistag, an St. Simon und Judas erw&auml;hnt."
"472","454","deu","Viehmarkt am Tag nach St. Georg"
"474","456","deu","Viehmarkt auf St. Viktors Abend"
"476","458","deu","Jahrmarkt an drei Tagen vor und nach dem Tag unserer Frauen. 1557 wurde er durch einen neuen Markt ersetzt."
"478","460","deu","Jahrmarkt an drei Tagen vor und nach St. Dionysius. 1577 wurde er durch einen neuen Markt ersetzt."
"480","464","deu","Viehmarkt am Montag nach Palmarum. Der Markt wird in einer Best&auml;tigung des Jahrmarktrechts 1614 nicht mehr erw&auml;hnt."
"482","466","deu","Viehmarkt am Tag nach St. Matth&auml;i. 1614 wurde er best&auml;tigt."
