"id","nodesid","language","pertainsto","description"
"22415","5389","deu","toll","Eine Zollstelle in Niemes wird 1371 erstmals erw&auml;hnt. In der zweiten H&auml;lfte des 15. Jh. bestand ein Konflikt &uuml;ber den Besitz eines Teils der Eink&uuml;nfte zwischen Johann von Dieczin und Dippold von Ryzemburg. Vor 1659 wurde der Zoll nach Sv&eacute;bořice/Schwabitz verlegt, weil Kaufleute die Stra&szlig;e zwischen Gabel und Wei&szlig;wasser abk&uuml;rzten und dabei Niemes umgingen."
"22613","19961","fin","settlement","&lt;b&gt;Kievari:&lt;/b&gt; J&ouml;ren Bonde piti vuonna 1543 kievaria Martinkyl&auml;ss&auml;. Sipoon ja Helsingin pit&auml;jien krouvit maksoivat vuonna 1543 oluenmyyntiveronsa luonnossa toimittamalla humalia Viipurin linnaan ja Porvoon kuninkaankartanoon. M&aring;rtesbyn kyl&auml; sijaitsi Vantaanjoen etel&auml;puolella."
"22017","18217","fin","settlement","&lt;b&gt;Postitalo:&lt;/b&gt; Valtakunnanvouti Bernhardt Steen von Steenhausen perusti vuonna 1638 postitalon Perni&ouml;&ouml;n M&auml;kisaurun kyl&auml;&auml;n."
"22021","18219","fin","settlement","&lt;b&gt;Postitalo:&lt;/b&gt; Valtakunnanvouti Bernhardt Steen von Steenhausen perusti vuonna 1638 postitalon Tenholaan Kullan kyl&auml;&auml;n."
"22023","18220","fin","settlement","&lt;b&gt;Postitalo:&lt;/b&gt; Pohjan Ramskullan kyl&auml;&auml;n on perustettu l&auml;hteiden mukaan postitalo viimeist&auml;&auml;n vuonna 1645."
"21841","18131","fin","settlement","Mustasaaren alueen pysyv&auml; maanviljelysasutus takautuu 1200-luvun j&auml;lkipuolen ja 1300-luvun alun ruotsalaiseen uudisasutukseen, jolloin Mustasaaren kyl&auml;n l&auml;heisyyteen rakennettiin varhaisin kirkko. Mustasaari mainitaan N&auml;rpi&ouml;n (r. N&auml;rpes) ja Peders&ouml;ren tavoin kirkkopit&auml;j&auml;n&auml; 1348, jolloin niiden asukkaat saivat oikeuden myyd&auml; ja vaihtaa kesken&auml;&auml;n elintarvikkeita. Pit&auml;j&auml;n keskus sijaitsi L&aring;gfj&auml;rdenin kohdalla olleen salmen it&auml;puolella olleella saarella, jonka etel&auml;p&auml;&auml;h&auml;n perustettiin viimeist&auml;&auml;n Bo Jonssonin (Grip) aikaan ennen vuotta 1384 Korsholman linna. Linna ja sit&auml; seurannut kuninkaankartano toimivat vuoteen 1441 saakka koko Merenkurkun pohjoispuolisen Pohjanlahden alueen hallintokeskuksena, siit&auml; eteenp&auml;in jaksoittain ja viimeist&auml;&auml;n vuodesta 1525 l&auml;&auml;ninhallinnon perustamiseen 1635 koko Suomen puoleisen Pohjanlahden rannikon tai sen etel&auml;isest&auml; osasta muodostetun voutikunnan keskuksena. Keskiajalta l&auml;htien Satakuntaan kuulunut N&auml;rpi&ouml; liitettiin Korsholman voutikuntaan 1595. Vuonna 1635 perustettu Pohjanmaan l&auml;&auml;ni (r. &Ouml;sterbottens l&auml;n) oli 1642-48 jaettuna Vaasan ja Oulun l&auml;&auml;neiksi, mutta lopullinen jako tehtiin vasta 1776."
"21863","18141","fin","city","Kuningatar Kristina perusti Lappeenrannan (r. Vilmanstrad) kaupungin ja vahvisti sen privilegiot 1649. Kaupunki perustettiin Lapveden kirkon pohjoispuoliselle niemelle, jossa vanhastaan sijaitsi Lapveden markkinapaikka. Vanhin asemakaavasuunnitelma on vuodelta 1649."
"22421","19836","fin","settlement","Vuolenkosken alueen pysyv&auml; maanviljelysasutus takautuu 1200-luvulle. Kyl&auml; mainitaan ensimm&auml;isen kerran 1472. Ylisell&auml; Viipurintiell&auml; Siltasaaren luona ollut silta mainitaan 1592 ja 1599. Lautta 1600-1936.

&lt;b&gt;Kievari:&lt;/b&gt; Sillan ja lautan luona on voitu tarjoilla ruokaa ja juomaa jo aiemmin. Virallinen kestikievari mainitaan vuonna 1642, jolloin Jyri Hannunpoika oli sen is&auml;nt&auml;. "
"22419","19833","fin","bridge","Suurella Rantatiell&auml; my&ouml;hempien Sorvalin ja Neisytniemen kaupunginosien v&auml;lill&auml; ollut Viipurin Pitk&auml;silta mainitaan ensimm&auml;isen kerran 1548. Varhaisin silta saattaa takautua jo Suuren Rantatien yll&auml;pidon j&auml;rjest&auml;misen aikaan 1340- ja 1360-luvuille. Siltaa yll&auml;pitiv&auml;t 1600-luvulla Lapveden ja J&auml;&auml;sken kihlakunnat. Silta on merkitty vuoden 1655 karttaan Viipurin kaupungin ymp&auml;rist&ouml;st&auml;."
"21861","18140","fin","city","Kenraalikuvern&ouml;&ouml;ri kreivi Pietari Brahe nuorempi m&auml;&auml;r&auml;si 1649 kaupungin perustettavaksi Kopp&ouml;n niemelle Lapv&auml;&auml;rtin pit&auml;j&auml;&auml;n. Brahe antoi kaupungin privilegiot 1651, jolloin sen nimeksi tuli joko h&auml;nen vaimonsa Kristina Stenbockin tai kuningatar Kristiinan mukaan Kristiinankaupunki (r. Kristinestad). Kaupungin asemakaavasta on s&auml;ilynyt kolme suunnitelmaa 1649&ndash;52, varhaisin mittaus on vuodelta 1658. Vuodesta 1617 voimassa olleiden tapulis&auml;&auml;nn&ouml;sten vuoksi kaupungin vienti sai 1800-luvun alkuun saakka suuntautua vain Turkuun ja Tukholmaan, joiden pohjoispuoliselle Pohjanlahdelle ja Ahvenanmaalle kruunu kielsi kaiken ulkomaisen laivauksen 1636."
"21857","18139","fin","settlement","Savonlinnan alueen pysyv&auml; asutus takautuu 1200-luvulle. Alue sijaitsi P&auml;hkin&auml;saaren rauhan 1323 j&auml;lkeen Ruotsin ja Novgorodin rajaseudulla Novgorodin puolella, jonne Viipurin linnaa pit&auml;nyt Erik Axelsson (Tott) perusti 1475 uuden linnan (Olavinlinna, r. Nyslott, Olofsborg). Alueen Ruotsin puoleinen asutus kuului vuonna 1442 perustettuun Juvan kirkkopit&auml;j&auml;&auml;n, josta se erotettiin omaksi S&auml;&auml;mingin pit&auml;j&auml;kseen viimeist&auml;&auml;n 1510."
"22615","19963","fin","settlement","&lt;b&gt;Kievari:&lt;/b&gt; Lommilaan (Gloms) perustettiin kestikievari vuonna 1653. "
"22617","19965","fin","settlement","&lt;b&gt;Kievari:&lt;/b&gt; Kirkkonummella sijaitsi vuosille 1545-1550 p&auml;iv&auml;tyn luettelon mukaan krouvi, joka palveli sek&auml; maata ett&auml; merta pitkin matkustavia. Tarkka sijainti ei ole tiedossa."
"21855","18138","fin","settlement","H&auml;meenlinnan (r. Tavastehus) seudun pysyv&auml; maanviljelysasutus takautuu rautakauteen. H&auml;meen ensimm&auml;iset kirkkopit&auml;j&auml;t perustettiin viimeist&auml;&auml;n 1200-luvun toisella nelj&auml;nneksell&auml; tai puolimaissa. H&auml;meenlinnan vuonna 1639 perustettua kaupunkia on saattanut edelt&auml;&auml; jo 1400-luvulla linnan pohjoispuolella sijainnut asutus."
"106","114","deu","settlement","Erstmalig im 11. Jahrhundert erwähnt."
"22025","18221","fin","settlement","&lt;b&gt;Kievari:&lt;/b&gt; Grabbackan lampuotitila, B&auml;ltari, piti krouvia Sannaisten kyl&auml;ss&auml; vuonna 1570. 

&lt;b&gt;Postitalo:&lt;/b&gt; Valtakunnanvouti Bernhardt Steen von Steenhausen perusti vuonna 1638 postitalon Karjaalle Sannaisten kyl&auml;&auml;n."
"15322","2321","nld","settlement","Vroegste vermelding in 1275."
"22410","19820","deu","bridge","Eine h&ouml;lzerne Zugbr&uuml;cke &uuml;ber den Graben vor dem Burgtor existierte bereits 1241. Die heutige viel gr&ouml;&szlig;ere Burgtorbr&uuml;cke wurde erst beim Kanalbau zwischen Trave und Wakenitz 1900 errichtet."
"23035","19880","fin","bridge","Turusta pohjoiseen vieneell&auml; tiell&auml; Raisionjoen yli vienytt&auml; Raision siltaa yll&auml;piti 1638 Raision ja Maarian yhteinen k&auml;r&auml;j&auml;kunta. Yll&auml;pidon j&auml;rjestelyt takautuvat keskiaikaan, mahdollisesti jo 1300-luvulle."
