"description","id"
"The winter way and portage trail from Savo to S&auml;r&auml;isniemi and Oulu are included in the report by the castellan of Olavinlinna Ture Pedersson (Bielke) to King Gustav Vasa in 1556. The actual route started from Joroinen, from where it was 20 Swedish miles (about 120 km) to Tavinsalmi and further 17 miles (about 100 km) to Ouluntaipale, from where the route took to Lake Ouluj&auml;rvi (Vuolijoki) and further to S&auml;r&auml;isniemi. From there, the winter way and the portage trail continued along the river to Oulu. Alongside the norther part of the route the burghers of Oulu were in 1625 granted the right to hold a winter fair in Saaresm&auml;ki village. The southern end of the route may have branched off from Joroinen to both Juva (1556) and Rantasalmi, and further to Olavinlinna. The route marked in Viabundus is indicative, not geographically precise.","453"
"English description will be completed later.","455"
"The road from East of Viborg via Ihantala to Kuukauppi ferry site and further Saviniemi royal manor, K&auml;kisalmi (sw. Kexholm, rus. Korela, Priozersk) and J&auml;&auml;ski is apparently of medieval origin. The Saviniemi royal manor is mentioned in 1523, but it was probably founded as early as in the late 14th or early 15th century. The road was very likely organised into a common road no later than the 15th century. The section leading to K&auml;kisalmi was improved after the Peace of Stolbova in 1617.","502"
"The road leading from H&auml;me Castle to Tammerkoski via Kalvola, S&auml;&auml;ksm&auml;ki Saarioispuoli, Akaa and Lemp&auml;&auml;l&auml; has existed since the 15th century. All the parishes along the road had inns in 1544, and the road was called a common road at the turn of the 16th and 17th centuries. Arrangements for the maintenance of the road date back to the 15th century at the latest. The summer road had parallel winter ways and water routes connected to it.","464"
"The road leading from Kangasala to Orivesi via Ponsa dates back to the latter part of the 15th century at the latest. The date when the road was organised as a common road is unclear. The information in Viabundus will be supplemented in future updates.","475"
"The winter way from S&auml;r&auml;isniemi via Manamansalo church to Paltamo and Vuohenginkoki stream in Kajaani existed already in the 1550s, when it was part of an older portage-trail from K&auml;ikisalmi (sw. Kexholma) to the mouth of Oulujoki river documented and used by Karelian merchants in 1556. The route marked in Viabundus is indicative, not geographically precise.","488"
"The roads branching from Laitikkala in P&auml;lk&auml;ne to Hauho Church and from there to Tuulos Syrj&auml;ntaka and Hauho Etel&auml;inen were part of the area&#039;s common roads in the 1550s. Both were connected to the old routes from Vanaja area to Hauho and from P&auml;lk&auml;ne to Lammi. The section between P&auml;lk&auml;ne and Tuulos is mentioned in Jakob Teitt&#039;s list of the most important common roads in Finland from 1555&ndash;56 as part of the road from Olavinlinna Castle (sw. Nyslott) via Hauho, Pirkkala and Huittinen to Loimaa and Turku. Both roads were organized as public roads maintained by land-owning peasants at the latest in the early 15th century, possibly as early as the end of the 14th century.","497"
"This road was a flood-free connection between Rudolstadt and Saalfeld.","58"
"A significant crossroads was formed in Asikkala Kurhila in the Middle Ages, from which roads run off to the Upper Viborg Road via Lammi and Hollola, and its upper alignment and the Great Savolax Road via V&auml;&auml;ksy and Uraj&auml;rvi. The road was used in the 1550s for traffic between H&auml;me and Olavinlinna Castle. Asikkala, which was along it, is mentioned in Jakob Teitt&#039;s 1555&ndash;56 list of the most important common roads in Finland. The time when the road was organised as a common road maintained by land-owning peasants is unknown, but it probably dates back to the early 16th or 15th century. A route that was mainly used as a winter way led from Asikkala to Hirvensalmi via Sysm&auml; and Hartola, from which the Vahvaj&auml;rvi winter way, used by the Bishop of Turku on his inspection tour to Savilahti in the 1440s, branched off in Sysm&auml;. The roads of the Sysm&auml; region will be added to the Viabundus database later.","499"
"The roads branching from Laitikkala in P&auml;lk&auml;ne to Hauho Church and from there to Tuulos Syrj&auml;ntaka and Hauho Etel&auml;inen were part of the area&#039;s common roads in the 1550s. Both were connected to the old routes from Vanaja area to Hauho and from P&auml;lk&auml;ne to Lammi. The section between P&auml;lk&auml;ne and Tuulos is mentioned in Jakob Teitt&#039;s list of the most important common roads in Finland from 1555&ndash;56 as part of the road from Olavinlinna Castle (sw. Nyslott) via Hauho, Pirkkala and Huittinen to Loimaa and Turku. Both roads were organized as public roads maintained by land-owning peasants at the latest in the early 15th century, possibly as early as the end of the 14th century.","498"
"The road from Orip&auml;&auml; to Huittinen via Vampula is mentioned in Jakob Teitt&#039;s 1555&ndash;56 list of the most important common roads in Finland as part of the common road from Olavinlinna Castle via Hauho and Pirkkala to Huittinen and Turku. Other common roads branched off from the road from Vampula to Virttaa and via Alastaro to Loimaa. The road between Orip&auml;&auml; and Huittinen was organized as a common road maintained by land-owning peasants no later than the 15th century. The winter way from Huittinen and Punkalaidun region to the Aurajoki River valley also ran parallel to it in the Middle Ages. The road network in the Loimaa area will be supplemented in the following updates to Viabundus.","482"
"The road from Orip&auml;&auml; to Huittinen via Vampula is mentioned in Jakob Teitt&#039;s 1555&ndash;56 list of the most important common roads in Finland as part of the common road from Olavinlinna Castle via Hauho and Pirkkala to Huittinen and Turku. Other common roads branched off from the road from Vampula to Virttaa and via Alastaro to Loimaa. The road between Orip&auml;&auml; and Huittinen was organized as a common road maintained by land-owning peasants no later than the 15th century. The winter way from Huittinen and Punkalaidun region to the Aurajoki River valley also ran parallel to it in the Middle Ages. The road network in the Loimaa area will be supplemented in the following updates to Viabundus.","471"
"In 1414, the Bishop of Turku agreed with his tenant farmers in Ylivesi, Sattula and Taipale in Pirkkala that they would annually transport the bishop&#039;s tax parcels from Karkku (Sastamala) Church, to Kokem&auml;ki Lammainen. The winter road that came from Kulovesi to Nokia Manor via Taivalkunta is also mentioned in 1596. The road continued in the northeast via Vihola to Lake Pyh&auml;j&auml;rvi, where it took past the Pirkkala vicarage to Harju and Tammerkoski. The burghers of Turku used the winter road for their trade in Tammerkoski winter fair in 1638&ndash;1708. The route marked in Viabundus is indicative, not geographically precise.","454"
"","456"
"English description will be completed later.","452"
"The road from Virttaa to S&auml;kyl&auml;, Eura and Eurajoki was part of the late Iron Age (11th to 12th century) network of roads on the Eastern and Northern side of Lake Pyh&auml;j&auml;rvi, where the section from Virttaa to Kankaanp&auml;&auml; and S&auml;kyl&auml; was part of the Huovintie road organised as a common road in the latter half of the 14th century or beginning of the 15th. The oldest section of the summer road from Virttaa to K&ouml;yli&ouml; Kankaanp&auml;&auml; ran along the ridge and was moved closer to the lake Pyh&auml;j&auml;rvi sometime in the late 15th century. The section that led from S&auml;kyl&auml; over Kauttua bridge to Eura and Eurajoki connected the area to the coast. Information about the summer road along Eurajoki river to Sakyl&auml; exists from 1580s. An important crossroads area, a medieval tavern was active in S&auml;kyl&auml; in the latter half of the 15th century.","472"
"The winter way from S&auml;r&auml;isniemi via Manamansalo church to Paltamo and Vuohenginkoski stream in Kajaani existed already in the 1555, when it was part of an older portage-trail from K&auml;ikisalmi (sw. Kexholma) to the mouth of Oulujoki river documented and used by Karelian merchants in 1556. Alongside the winter road, a waterway was used during the thaw from S&auml;r&auml;isniemi to the mouth of the Kajaaninjoki River and further to Vuohenginkoski, which was supported by a road between Paltamo and Kajaani, built no later than after the founding of Kajaani Castle in 1604.","489"
"The so-called Hiidentie (Devil&rsquo;s Road), which led from Somero to Uskela, Salo and Halikko in the early 13th century, was organized as a common road maintained by land-owning peasants possibly in the Middle Ages or the 16th century. The section of the road from Salo to Pertteli, or a route parallel to it, was called Paavintie (the Pope&rsquo;s Road) in the 18th century.","476"
"The Tavastian road (fi. H&auml;meentie) from H&auml;me Castle via Janakkala, Pengerkoski, Tuusula and Helsinki parish church to Malmi and the mouth of Vantaanjoki River, was based on older land routes between Vanaja region and the coast. The road was in active use between H&auml;me Castle, the mouth of Vantaanjoki River and Reval (est. Tallinn) in the early 16th century and was probably organised as a common road maintained by land-owning peasants in the early 15th century, possibly as early as the 14th century. A parallel winter way of the summer road existed very likely already in the late Middle Ages. The founding of Helsinki town and Royal Manor at the mouth of Vantaanjoki River in 1550 further supported the use of the road as the main connection between the coast and inner Tavastland. When the town of Helsinki was relocated to its present site in Vironniemi, the road was ordered in 1639 to be built in a condition suitable for carriages.","462"
"According to Bruns &amp; Weczerka (1967) the route via Freyburg was the older road between Merseburg and Naumburg, which was later superseded by the road via Markr&ouml;hlitz.","60"
"Since 1515 contractually agreed upon compulsory road from Hamburg, L&uuml;beck and Eisleben from the Harz to Th&uuml;ringen. In a report to Guthmannshausen, the road via Nebra, Tauhardt and Guthmannshausen was referred to as the main road for wares originating from L&uuml;beck, Braunschweig and Magdeburg and going to Franken. Course of the medieval &#039;copper road&#039; (&quot;Kupferstra&szlig;e&quot;).","66"
"Already in the Middle Ages, a road led from H&auml;me Castle via Hattula and P&auml;lk&auml;ne to Tammerkoski and further via Karkku and Tyrv&auml;&auml; to Huittinen, which in Jakob Teitt&#039;s list of the most important common roads in Finland from 1555&ndash;56 was presented in the administrative plans of the time as part of the road from Olavinlinna Castle via Hauho, Pirkkala and Huittinen to Loimaa and Turku. The section of the road from Huittinen to H&auml;me Castle is also included in the contemporaneous list of Duke John&#039;s lodgings in 1556. Several 15th century sources mention the road as a common road in the context of bridges and boundary markers alongside it. In places, such as in Tampere Messukyl&auml;, the road&#039;s alignment can be traced back to the 12th and 13th centuries, and the road may have been a relatively uniform horse track connecting different areas of settlement in Tavastland and Satakunta already at that time. The various sections of the route were organised as a common road maintained by land-owning peasants in a period from the late 14th century to the early 15th century. From Lauttakyl&auml; in Huittinen the road branched off via Kokem&auml;ki to Lammainen in Harjavalta and further to Ulvila and Pori, and along the Loimijoki River to Vampula and from there to Virttaa, Alastaro and Orip&auml;&auml;. The road had parallel winter ways in Hauho-P&auml;lk&auml;ne-Kangasala region, and a winter way leading from Pirkkala via Nokia to Sastamala Church and from there to Lammainen, mentioned as early as 1414.","465"
"Already in the latter half of the 15th century a land route and road existed from Kurhila in Asikkala on the western side of Lake P&auml;ij&auml;nne via Padasjoki and Kuhmoinen to J&auml;ms&auml; along which bridges are documented in 1466 and 1548. Information on the use of the road and the winter way parallel to it exists from the time of the Finnish peasant revolt in 1596. The winter way from Hollola region to J&auml;ms&auml; was equipped with inns in 1640. In Kurhila an important intersection of various land routes existed already in the late Middle Ages, with roads branching off to Upper Viborg Road via Hollola and Lammi and a road leading to the upper alignment of Upper Viborg Road via V&auml;&auml;ksy and Uraj&auml;rvi. The time when the various sections of the roads were organised into common roads maintained by land-owning peasants is unknown, but it probably consists of the period from the mid-15th century to the end of the 16th century. The area also had a network of winter roads that led across Lake P&auml;ij&auml;nne to Sysm&auml; and followed both shores of Lake P&auml;ij&auml;nne.","470"
"English description will be completed later.","457"
"Already in the latter half of the 15th century a land route and road existed from Kurhila in Asikkala on the western side of Lake P&auml;ij&auml;nne via Padasjoki and Kuhmoinen to J&auml;ms&auml; along which bridges are documented in 1466 and 1548. Information on the use of the road and the winter way parallel to it exists from the time of the Finnish peasant revolt in 1596. The winter way from Hollola region to J&auml;ms&auml; was equipped with inns in 1640. In Kurhila an important intersection of various land routes existed already in the late Middle Ages, with roads branching off to Upper Viborg Road via Hollola and Lammi and a road leading to the upper alignment of Upper Viborg Road via V&auml;&auml;ksy and Uraj&auml;rvi. The time when the various sections of the roads were organised into common roads maintained by land-owning peasants is unknown, but it probably consists of the period from the mid-15th century to the end of the 16th century. The area also had a network of winter roads that led across Lake P&auml;ij&auml;nne to Sysm&auml; and followed both shores of Lake P&auml;ij&auml;nne.","469"
"The road from H&auml;me Castle to Lohja via Janakkala and Vihti and from Karjaa on the northern alignment of the Great Coastal Road to Raseborg and Tammisaari (sw. Eken&auml;s) is cited as Meritie (Road to the Sea) in several sources in Tavastland from the 1560s to the 18th century. The road is known to have connected the castles of H&auml;me and Raseborg at the latest in 1508, and tax goods were transported along it from H&auml;me Castle to Stockholm via Tammisaari in the 16th century. The northern Section of the road was used as a winter road for troop movements in 1571. The route that originally connected Vanaja region to Lohja and the coast was probably organised as a common road between Janakkala and Lohja at the latest in the mid-15th century, possibly as early as the end of the 14th century.","473"
"The Great Coastal Road (fi. Suuri Rantatie, sw. Stora Strandv&auml;gen) from Turku (sw. &Aring;bo) to Viipuri (sw. Vyborg) t, was organized into a common road maintained by land-owning peasants of the coastal parishes during the 1340s and 1360s, according to surviving information on the maintenance of the large bridges over the Kymi River. The road had a military significance early on. Information on the use of the road and the corresponding winter ways has been preserved since the early 15th century. At the beginning of May 1511, a courier travelling from Viipuri to Turku on horseback spent about eight days on the journey. The road is also presented in Jakob Teitt&#039;s 1555&ndash;56 list of the most important common roads in Finland. The earliest alignment of the road in Perni&ouml; (sw. Bjern&aring;) went through the Royal Manor, but was straightened up to the ridge at the beginning of the 17th century. The road branched off in Western Uusimaa from Karjaa (sw. Karis) to the upper routes leading to Lohja  (sw. Lojo) and Siuntio (sw. Sjund&aring;) and lower via Raseborg and Inkoo (sw. Ing&aring;) to Pikkala in Siuntio. The importance of the branch that led from Espoo (Sw. Esbo) to Munkkiniemi and further to Vironniemi increased after the transfer of the town of Helsinki to Vironniemi in 1640, but may be based on an older local road. The branch from the early Helsinki town and the Royal Manor to the Great Coastal Road in the east was established as common road after the founding of the town and the Manor to the mouth of Vantaa River in 1550. The Great Coastal Road is documented as a proper name for the road in several different 18th century sources. The more recent name of King&#039;s Road, which has been used to mark the route in commercial and other activities, , is based on the 1735 Royal Decree on Common Roads, according to which the King&#039;s Road (sw. Kungsv&auml;gen) was the highest maintenance class of roads in Sweden. The term is known to have been used for major common roads in Swedish-speaking coastal parishes not only in Uusimaa but also in Ostrobothnia.","500"
"Two parallel routes were formed between the settlements of Upper Satakunta and the Kyr&ouml;njoki Valley by the 13th century at the latest, one of which was the summer road, which led from the H&auml;meenkyr&ouml; region to Kauhajoki along the ridges, and the other was the winter road that led from H&auml;meenkyr&ouml; to Kurikka via Ikaalinen, Parkano and Jalasj&auml;rvi. The summer road continued from Kauhajoki to the village of Talvitie (&ldquo;Winterway&rdquo;) in Ilmajoki, from where the summer and winter roads crossed the forests to Ylistaro and further via Isokyr&ouml; Church towards the mouths of the Kyr&ouml;njoki and Lapuanjoki rivers. The importance of the summer and winter roads grew in the late Middle Ages, when the routes became part of the strategic connection between Korsholma Castle, founded in the 1380s, and H&auml;me Castle. Both seasonal roads were in use in the 15th century, the winter way in 1459. The road leading through the &ldquo;Wilderness&rdquo; is mentioned in Jaakko Teitt&rsquo;s 1555&ndash;56 list of the most important common roads in Finland as part of the route between the castles of Korsholm and H&auml;me. The winter road branching from Ostrobothnia to H&auml;meenkyr&ouml; and from there via Kirkkoj&auml;rvi to Siuro and Nokia and via Viljakkala to Kyr&ouml;nlahti in N&auml;sij&auml;rvi was a central part of the events of the peasant uprising in 1597.","491"
"The Upper Viborg Road (fi. Ylinen Viipurintie), which connected the castles of H&auml;me and Viborg, is included in Jakob Teitt&#039;s 1555&ndash;1556 list of the most important public roads in Finland. The initial part of the road from H&auml;me Castle via Hauho Etel&auml;inen, Tuulos and Hollola to Uusikyl&auml; (r. Nyby) is also included in the 1556 list of lodgings of Duke John. From the village of Lahti in Hollola east of the road, two alternative routes have been in use, one of which, the upper alignment, followed the inner Salpausselk&auml; ridge via Vuolenkoski to Savitaipale and further to Lapvesi. The lower alignment continued in the direction of the outer Salpausselk&auml; ridge to Iitti, Kelti ferry and Lapvesi. Both are based on natural routes that had been in use for a long time. The description in Teitt&#039;s list follows the lower alignment, but the upper alignment via Vuolenkoski bridge was still in use at the end of the 16th century, until the bridge was burned down in the 1590s and replaced by a ferry at the beginning of the 17th century. The bridge had been maintained by the parishes of Hollola district in H&auml;me and Lapvesi district in Viborg, which suggests a medieval arrangement. In 1556, King Gustav I ordered one of the two alignments to be destroyed, but the project was not implemented. The lower alignment leading through the Keltti ferry was clearly the main road from the early 17th century. In 1617, a winter road parallel to the summer road also ran through it. The upper and lower alignments, which joined at Lapvesi, continued as at least two parallel roads to Tienhaara in Viborg. Of these, the westernmost road leading through Kauskila and Vaalimaa is included in the Teitt&rsquo;s list and was also part of the road leading from Kauskila to the Taipale royal manor and Puumala to Olavinlinna Castle, which will be added to the Viabundus database later. The easternmost alignment leading through Kasukkala and the Hanhijoki River in Viipuri parish became more active in the 17th century. The Upper Viborg Road also included the road that led to the Lapvesi marketplace at the beginning of the 16th century at the latest. The Upper Viborg Road was organised in various parts as a common road maintained by land-owning peasants at the beginning of the 15th century at the latest, but possibly as early as the mid-14th century","483"
"At least two different land routes existed in the last quarter of the 15th century between the castle of Viborg and that of Olavinlinna founded in 1475. The older of these was the amphibious road and water route from Tienhaara west of Viborg via Lapvesi, Kauskila, Taipale Royal Manor and Puumala to Olavinlinna castle together with a parallel winter way included in Jakob Teitt&#039;s 1555&ndash;1556 list of the most important common roads in Finland. Another early route possibly organised into a common road already in the early 15th century, headed from east of Viborg to Ihantala and via Ahvola to J&auml;&auml;ski. The northern part of the road from J&auml;&auml;ski to Olavinlinna Castle via Ruokolahti and Puumala was only organised as a common road in the latter part of the 17th century. Both routes were early on connected by a land route running through Joutseno, the age of which as a common road is unclear.","466"
null,"379"
null,"381"
null,"387"
"English description will be completed later.","458"
"According to Eberhardt, the toll station of Gottern was located in Altengottern, which indicates that the old route between M&uuml;hlhausen and Langensalza took a northerly course between Langensalza and Gro&szlig;engottern until the 15th century. This would be unlikely, as this route would mean a considerable detour.","42"
"According to Le Coq&#039;s map of Westfalia (1796-1813), the road between Heede and Rhede was only usable in dry weather conditions.","12"
"According to a 1690 report, the road between Salzwedel and L&uuml;bbow was only a footpath, and it was decided that the road was to be developed and a bridge had to be built to make it suitable for heavier traffic. However, it is unclear whether this observation reflects the situation in the preceding centuries, or if the road was once much used, but had deteriorated in the meantime: there is evidence for both possibilities. In any case, the waterway between Salzwedel and L&uuml;chow provided a viable alternative to the land route.","14"
"Presumably, the road between Siek and Sandesneben via Sch&ouml;nberg became only usual for transit traffic in the 17th century; in the Middle Ages, most of the traffic must have taken the route via the toll station Trittau.","16"
"On the &lt;cite&gt;Kurhannoversche Landesaufnahme&lt;/cite&gt; (1764-1784), the road between Escheburg and Schnakenbek via Geesthacht is indicated as the post road in winter between Hamburg and Lauenburg. In summer, the post took a more northerly road via Fahrendorf and Krukow, circumventing Geesthacht.","18"
"The road between Iprump and Dingstede via Ganderkesee, circumventing Delmenhorst, was the main road before 1311, and was also used in later times in case of inundations of the road through Delmenhorst.","20"
"According to Aulepp a road used during the High Middle Ages to reach M&uuml;hlhausen. According to Born, this is the Zellscher Marktstieg. A wooden bridge led across the M&uuml;hlhausen ditch (&#039;M&uuml;hlh&auml;user Landgraben&#039;) and it was originally meant for traffic on foot. In 1616 illegal broadening of the path was detected, which led to a destruction of the wooden bridges across the M&uuml;hlhausen ditch in 1621.","22"
"The road between Worbis and M&uuml;hlhausen via Eigenrode gained more significance in the Late Middle Ages.","24"
"This road has its greatest significance in the High and Late Middle Ages. In 1609 it is mentioned as the road of safe conduct from M&uuml;hlhausen to Dingelst&auml;dt.","26"
"This part of the road is reconstructed with Eberhardt (1982), who states that the western route to Tennstedt bacame marshy up until most recent times, or was impassable because of a body of water. In the 15th century, this road from Eisenach to Wei&szlig;ensee was blocked in order to force traffic to Erfurt.","30"
"In the 15th century, the road from Eisenach to Wei&szlig;ensee was prohibited for long-distance traffic in order to force traffic through Erfurt.","32"
"The route between Borxleben and Sangerhausen via Edersleben was only used as a main road since the 16th century. Since 1450 a dam existed between Edersleben and Oberr&ouml;blingen, which facilitated crossing the Helme and made this route more attractive.","34"
"According to Nagel (2001) the so-called &quot;Roter Steiger&quot; formed the ascent into the Harz mountains from Quedlinburg.","36"
"Historical connection between Quedlinburg and Hoym via deserted village Gro&szlig; Orden according to Nagel (2001).","38"
"The road between Merseburg and Halle via the stations of safe conduct Holleben and Passendorf was the main route between the two towns, which circumvented the wetlands around the confluence of the Saale and Wei&szlig;e Elster rivers.","40"
"According to Bahn (2002) this is the earlier (early medieval) course of the via regia from Erfurt to Naumburg.","44"
"This part of the road originates in the 19th century and is part of the &#039;modern&#039; via regia.","46"
"The road of safe conduct between Coburg and Gr&auml;fenthal is mentioned in 1414 as the &quot;Jew&#039;s road&quot;. The name was probably derived from the settlement Judenbach (&#039;Jew&#039;s brook&#039;) along the road.","50"
"This traveling route has been taken several times by Martin Luther, who traveled from Wittenberg to Borna either via Eilenburg or via Torgau &ndash; Grimma. He had to consider territorial borders, in this case the course of the Ernestinian borders around 1485 - 1547.","132"
"Since 1515 contractually agreed upon compulsory road from Hamburg, L&uuml;beck and Eisleben from the Harz to Th&uuml;ringen. In the &quot;Acta die Landstra&szlig;e von Wei&szlig;ensee nach Erfurt und die Sachsenburgische Stra&szlig;e betr. von 1522 - 72&quot; (M. st. A. Hep. A 24 b Tit. XXIV, Nr 11.) the main road from Sachsenburg to Sangerhausen is described as going via Ringleben. Shortly before the 30-year-war the Saxonian part of the road was blocked, which was supposed to force traffic to Southern Germany via Leipzig. The blockade was barely heeded due to the war, however.","70"
"The leg of the via regia between Hassenhausen and Naumburg that crossed the Saale river at K&ouml;sen was located on marshy terrain, and was only made possible by the work of the monks of Pforta monastery in the 12th century, possibly even only since the middle of the 14th century with the construction of a bridge in K&ouml;sen.","142"
"The direct route between Gotha and Herbsleben was the established route in 1515 that had to be taken if one did not cross the Th&uuml;ringer forest on their way to Hessia. In the &quot;Acta die Landstra&szlig;e von Wei&szlig;ensee nach Erfurt und die Sachsenburgische Stra&szlig;e betr. von 1522 - 72&quot; (M. st. A. Hep. A 24 b Tit. XXIV, Nr 11.) from 1522 the road is already declared deserted, due to the forced passage (&#039;Stra&szlig;enzwang&#039;) via Erfurt.","72"
"According to a contract from 1515, whoever came from the north, passed the Harz and wanted to go to Crawinkel or Tambach, had to go via Erfurt with its staple.","74"
"This route was used to save on the fees of safe conduct in Sangerhausen and Sachsenburg, as well as to circumvent Erfurt. The safe conduct in Eisleben was cheaper and the route continued on to Tauhardt and into the zone of safe conduct of Weimar, to continue on to the Th&uuml;ringer Wald. Course of the medieval copper road (&#039;Kupferstra&szlig;e&#039;) (Gr&auml;fenthalstra&szlig;e/Saalfeldsche Stra&szlig;e/Querstra&szlig;e/Kreuzweg).","76"
"In the 16th century, the circumvention of the safe conduct in Sachsenburg and Wei&szlig;ensee via Kutzleben and Gebesee on the way to Erfurt was only allowed to wagoners from Nordhausen.","78"
"Because the mill weir in the Havel provided an obstacle for ships, water traffic was routed through a side canal, first mentioned in 1315, later known as Jacob&#039;s ditch (&#039;Jakobsgraben&#039;). The construction of a pound lock in the town canal in 1548-1550 allowed for a shorter route, setting the detour via the Jakobsgraben out of use.","80"
"In 1548-1550 a pound lock was constructed in the town canal of Brandenburg, which allowed for a shorter route around the mill weir, previously only possible via the Jacob&#039;s ditch (&#039;Jakobsgraben&#039;). Possibly, the expansion of the canal and the lock had already begun in 1455.","82"
"Southern circumvention of Erfurt&#039;s safe conduct according to a complaint from Erfurt.","86"
"&quot;Br&uuml;cknerscher-&quot; or &quot;Ur-Rennsteig&quot;. Already mentioned on a map of 1589 as &quot;Renstick&quot;, which makes it the oldest mention of the Rennsteig on a map.","88"
"The Rennsteig, a ridgeway along the heights of the Thuringian Forest, was essentially created as a hiking trail in 1830 by officer Julius Pl&auml;nckner from Gotha. However, some segments can be traced until the 14th and 15th century. A report from 1597 shows that from then on at the latest the Rennsteig was seen as one connecting ridgeway. It was not used by heavy freight traffic.","90"
"Segment of the Rennsteig which is already mentioned and called as such in 1330 in the description of the Frankensteiner Wildbann.","92"
"Segment of the Rennsteig that is already mentioned in records from 1039, 1143/44, 1227 and 1270, but only refered to as &#039;platea&#039;, a road. Also mentioned in 1330 in the description of the Frankensteiner Wildbann.","94"
"&quot;Stromelbe&quot;, only navigable leg of the Elbe at Magdeburg. It was blocked by pileworks (&#039;Pfahlwerke&#039;) in the 30-year-war and silted up. Only with the construction of the &quot;Roste&quot;-dike until 1686 the Elbe was forced back into its Western leg.","96"
"The marshy area of the &quot;langen wish&quot; was first made crossable with a causeway around 1400. In the 14th century, wagons must have taken a detour via Bodenstedt.","98"
"In 1150 a &quot;strata publica&quot; is mentioned, which is probably connected to the Klusdamm. The Klusdamm itself is first mentioned in 1479. It was well maintained in the following years, since it was a constantly dry passage through the Elbe lowland.","108"
"In 1579-87 a rafting ditch (&#039;Flo&szlig;graben&#039;) was channeled off at Krossen, in order to transport firewood to the salines in Teuditz and K&ouml;tzschau.","116"
"An entry in a register of the margraves of Mei&szlig;en from 1378 refers to a fee that had to be paid for navigating the Plei&szlig;e; there was probably a regular supply transport for the town of Leipzig from the surroundings. The Plei&szlig;e was probably navigable from R&ouml;tha.","118"
"The direct route between Hannover and Braunschweig via Peine probably only became significant after Hannover had become the residence of the dukes of Brunswick-L&uuml;neburg (1636). Before, most of the traffic must have taken a detour through Hildesheim territory to the south, or north via Burgdorf.","120"
"According to a 1688 report, the road via D&ouml;mitz was hard to travel on in wet weather conditions, especially in spring and autumn. Therefore, wagons took the more northerly road via the mill Findenwirunshier, where the toll that normally had to be paid in D&ouml;mitz was levied.","122"
"The main road between Bremen and Wildeshausen must have gone through Delmenhorst since an agreement between the count of Delmenhorst and the town of Bremen from 1311. Travellers were sometimes stopped in Varrel and forced to travel via Delmenhorst. However, still in 1652, wagoners from Wildeshausen declared that the common road to Bremen went via Horstedt and Varrel.","124"
"Due to the marshy terrain, heavier traffic took a detour via Kirch- and Sandhatten. The early modern post road circumvented both villages more to the north.","126"
"The original road around the Zwischenahner Meer took the northern route. The more direct but difficult southern route via Zwischenahn is first attested as main road in the 17th century.","128"
"Around Apen the road was in a bad condition and often flooded. The traffic between Bremen and East Frisia was therefore often handled via the waterways.","130"
"English description will be completed later.","459"
"In 1489 the dilapidated causeway at the narrowest place of the Fien mire (&#039;Fiener Bruch&#039;) near the village Rog&auml;sen was repaired by the bishop of Brandenburg. As a consequence, the route via the causeway became the main road between Magdeburg and Berlin.","134"
"The course of the road from Erfurt to Wei&szlig;ensee via Stotternheim, Alperstedt, Ha&szlig;leben and Wundersleben is described in the &quot;Acta die Landstra&szlig;e von Wei&szlig;ensee nach Erfurt und die Sachsenburgische Stra&szlig;e betr. von 1522-72&quot; (M. st. A. Hep. A 24 b Tit. XXIV, Nr 11.) ","136"
"In documents concerning the safe conduct of Artern from 1661, it is stated that the road between Artern and Reinsdorf, that consisted of several bridges, dams, ditches and pavements in order to cross the Unstrut, was badly damaged by the 30-year-war.","138"
"A dam was constructed through the marshy terrain between Artern and Allstedt after 1580, related to the revival of the Artern saltworks.","140"
"This leg of the road only gains meaning from 1560 when it is opened for traffic from the Netherlands via M&uuml;hlhausen to Leipzig. It loses significance in the 19th century.","144"
"This road already held significance in the Early Middle Ages; Henry I. and his bride used it to travel from Herford to Wallhausen. Later it gained significance with the rising trade centres Leipzig and Antwerp. It&#039;s direct connection to the Wipper-Leine valley and thus to Hessia and Western Germany gave this route its importance. Therefore, it carried names such as the &quot;Leipzig road&quot;, &quot;the proper country and military road from the Harz, Eichsfeld and Nordhausen to Leipzig and Naumburg&quot; or &quot;main Rhine road&quot;.","146"
"The route via the valley of the Unstrut was only used rarely, even though only the leg between Memleben and Nebra posed geographical difficulties. Supposedly, the northwest-southeast direction was only seldomly used during the Middle Ages.","148"
"Since 1515, this was supposed to be the proper road from Nuremberg to Erfurt. One had a choice from Gehren to go via Langewiesen and Ilmenau or via Gr&auml;finau.","150"
"This connection between Nordhausen and Sondershausen probably only emerged in the 17th and 18th century. It can only be found in a map from 1750, where it is referred to as postal and country road, while the leg further West via R&uuml;xleben is referred to as &quot;common road&quot;.","152"
"This road was determined to be the proper road to Nuremberg from Leipzig in 1683.","154"
"English description will be completed later.","460"
"In 1433 and 1459 it was decreed that traffic between Brandenburg and Magdeburg had to travel via Plaue, where toll had to be paid. With the reconstruction of the Fien dam, traffic began to move via Ziesar and this leg of the road became deserted.","158"
"The road through the valley at the foot of the Harz mountains was probably only used from the 17th century. Before, most of the traffic between Osterode and Herzberg must have taken the route higher up on the hill to the east.","160"
