"id","refshort","reflong","type"
"4210","Pylkkänen 1999","Pylkkänen, Ali, &#60;q&#62;Aurajoen laaksosta kaupan keskus&#60;/q&#62;, in &#60;cite&#62;Turun sataman historia&#60;/cite&#62; ed by Jussi T. Lappalainen, (Jyväskylä, 1999), 53–68.","secondary"
"4211","Kostet 1999","Kostet, Juhani, &#60;q&#62;Aurajoen laaksosta kaupan keskus&#60;/q&#62;, in &#60;cite&#62;Turun sataman historia&#60;/cite&#62; ed by Jussi T. Lappalainen, (Jyväskylä, 1999), 69–74.","secondary"
"4212","Sjöblom-Immala 1999","Sjöblom-Immala, Heli, &#60;q&#62;Aurajoen laaksosta kaupan keskus&#60;/q&#62;, in &#60;cite&#62;Turun sataman historia&#60;/cite&#62; ed by Jussi T. Lappalainen, (Jyväskylä, 1999), 11–36.","secondary"
"1648","Dann 2013","Dann, Thomas M., &#60;cite&#62;Schloss Varenholz&#60;/cite&#62;, Lippische Kulturlandschaften 24 (Detmold, 2013)","secondary"
"1708","Vogelsang 1989","Vogelsang, Richard, &#60;cite&#62;Geschichte der Stadt Bielefeld&#60;/cite&#62; (Bielefeld, 1989: 2nd ed.)","secondary"
"3279","GA, OA Arnhem","Gelders Archief, Oud Archief Arnhem","archive"
"2099","Pajung 2010","Pajung, Stefan, &#60;cite&#62;Coasts, Commerce, Contacts and Culture Exchange&#60;/cite&#62; (Roskilde, 2010)","secondary"
"1899","Haugner 1938","Haugner, C. C., &#60;cite&#62;Maribo Historie. Købstaden&#60;/cite&#62; (Nakskov, 1938)","secondary"
"1891","Jacobsen 1969","Jacobsen, J. Søndergaard &#60;cite&#62;Lemvig købstads historie&#60;/cite&#62; (Lemvig, 1969)","secondary"
"1893","Aldal 1939","Aldal, J., &#60;cite&#62;Holstebros historie gennem tiderne 1274-1939&#60;/cite&#62; (Holstebro ,1939)","secondary"
"1901","Jensen & Roesdahl 2014","Jensen, Lars Meldgaard Sass; Else Roesdahl, &#60;q&#62;Esbern Snare og hans borg i Kalundborg&#60;⁄q&#62;, in &#60;cite&#62;Menneskers veje - kulturhistoriske essays i 100-året for Kalundborgs Museum&#60;⁄cite&#62;, ed. by Lisbeth Pedersen (Kalundborg, 2014), 149-175.","secondary"
"1903","Hansen 1909","Hansen, Carl Adam, &#60;cite&#62;Nysted. 1409 - 7. december - 1909&#60;/cite&#62; (Nysted, 1909)","secondary"
"1905","Henningsen 1954","Henningsen, Sven, &#60;cite&#62;Stubbekøbing 1354-1954&#60;/cite&#62; (København, 1954)","secondary"
"1975","Nielsen 1985","Nielsen, Ingrid, &#60;cite&#62;Middelalderbyen Ribe&#60;/cite&#62; (Viby J, 1985)","secondary"
"1977","Witte 2019","J., Witte, &#60;cite&#62;Aabenraa i højmiddelalderen: Livet i købstaden 1230-1375&#60;/cite&#62; (Aabenraa, 2019)","secondary"
"1979",null,"Andersen, Aage, &#60;cite&#62;Middelalderbyen Næstved&#60;/cite&#62; (Viby J.,1987)","secondary"
"1989","Poulsen 1989","Poulsen, B, &#60;q&#62;Løvinden og lokalcentrene&#60;/q&#62;,&#60;cite&#62;Sønderjyske Årbøger&#60;/cite&#62; 101 (1989), 99-114","secondary"
"2025","Hassø 1921","Hassø, Erik &#60;cite&#62;Ringsted Købstads Historie &#60;/cite&#62; (Ringsted, 1921)","secondary"
"2027","Johansen 1986","Johansen, Marianne, &#60;cite&#62;Middelalderbyen Køge&#60;/cite&#62; (Viby J, 1986)","secondary"
"2029","Nielsen 1985","Nielsen, Helge (ed.), &#60;cite&#62;Køge bys historie 1288-1988. Bind I&#60;/cite&#62; (København, 1985)","secondary"
"2051","Johansen 1992","Johansen, Erik; Bodil Møller Knudsen and Jan Kock &#60;cite&#62;Fra Aalborgs fødsel til Grevens Fejde 1534. Aalborgs historie 1&#60;/cite&#62; (Aalborg, 1992).","secondary"
"2053","Jensen & Vedsted 2001","Jensen, Knud Chr. And Jakob Vedsted &#60;cite&#62;Ebeltoft - Købstadsliv i 700 årh.&#60;/cite&#62; (Ebeltoft, 2001)","secondary"
"2055","Ravn 1987","Ravn, Helle, &#60;cite&#62;Rudkøbing 700 år. Blade af byens historie&#60;/cite&#62; (Rudkøbing, 1987)","secondary"
"2069","Dragsbo & Hansen 1996","Dragsbo, Peters; Merete Harriet Hansen &#60;cite&#62;  Middelfart. Fra færgeby til broby. Middelfarts Historie 1200-1940&#60;/cite&#62; (Odense, 1996)","secondary"
"2081","Jantzen 2013","Jantzen, Connie, &#60;cite&#62;Middelalderbyen Aarhus&#60;/cite&#62; (Aarhus, 2013)","secondary"
"2083","Linaa 2016","Linaa, Jette, &#60;cite&#62;Urban Consumption. Tracing urbanity in the archaeological record of Aarhus c. AD 800-1800&#60;/cite&#62; (Højbjerg, 2016)","secondary"
"2085","Paludan 1984","Paludan, Helge, &#60;cite&#62;Århus bys historie. Fra vikingetid til nutid&#60;/cite&#62; (Århus, 1984)","secondary"
"2095","Porsmose 2000","Porsmose, Erland, &#60;cite&#62;Kerteminde Bys Historie. Bind 1. 1350-1659&#60;/cite&#62; (Odense, 2000)","secondary"
"2097","Lauridsen & Munkøe 1997","Lauridsen, Henning Ringgaard and Lars Munkøe (ed.), &#60;cite&#62; Viborgs historie 1 &#60;/cite&#62; (Viborg, 1997)","secondary"
"2101","Ladewig 1984","Ladewig Petersen, E. and others, &#60;cite&#62;Odense bys historie. De fede år. Odense 1559-1660&#60;/cite&#62; (Odense, 1984)","secondary"
"2103","Thrane 1982","Thrane, Henrik, &#60;cite&#62;Odense bys historie. Fra boplads til bispeby. Odense til 1559&#60;/cite&#62; (Odense, 1982)","secondary"
"2105","Wittendorff 1973","Wittendorff, Alex, &#60;cite&#62;Alvej og Kongevej&#60;/cite&#62; (Odense, 1973)","secondary"
"2107","Høgsbro 1984","Høgsbro, Kirsten-Elizabeth, &#60;q&#62;Historiske broer - Magtens symbol&#60;/q&#62;, in &#60;cite&#62;Turistårbogen 1983-86&#60;/cite&#62;, ed. Henning Dehn-Nielsen (Viborg,1984), 38-64","secondary"
"2121","Wittendorff 1984","Wittendorff, Alex, &#60;q&#62;Færgesteder og færgekroer gennem tiderne&#60;/q&#62;, in &#60;cite&#62;Turistårbogen 1983-86&#60;/cite&#62;, ed. Henning Dehn-Nielsen (Viborg,1984), 12-37","secondary"
"2123","Venge 1987","Venge, Mikael &#60;cite&#62;Dansk Toldhistorie I. Fra åretold til toldetat. Middelalderen indtil 1660&#60;/cite&#62; (København, 1987)","secondary"
"2129","Sørensen 1994","Sørensen, Svend, &#60;cite&#62;Thisted købstads historie&#60;/cite&#62; (Thisted, 1994)","secondary"
"2187","NA, AGH inv.nr. 1738","Nationaal Archief, Archief Graven van Holland inv.nr. 1738","archive"
"2257","NA, AGH inv.no. 228","Nationaal Archief, Archief Graven van Holland inv.nr. 228","archive"
"2399",null,null,"secondary"
"2679","Peeters 1987","Peeters, R. M., &#60;cite&#62;De straten van Tilburg&#60;/cite&#62; (Tilburg, 1987).","secondary"
"3089",null,null,"secondary"
"3145","RAD, OAD","Regionaal Archief Dordrecht, Oud Archief Dordrecht","archive"
"3303",null,null,"secondary"
"3425",null,null,"secondary"
"3281","GA, Huizen Waardenburg en Neerijnen","Gelders Archief (Arnhem), Huizen Waardenburg en Neerijnen","archive"
"3673",null,"III nr. 615","edition"
"3829","ZA Middelburg","Zeeuws Archief Middelburg","archive"
"3905","Kalveen 1974","Kalveen, C.A. van, &#60;cite&#62;Het bestuur van bisschop en Staten in het Nedersticht, Oversticht en Drenthe 1483-1520&#60;/cite&#62; (Utrecht 1974)","secondary"
"4","Bruns; Weczerka 1967","Bruns, Friedrich; Hugo Weczerka, &#60;cite&#62;Hansische Handelsstraßen Bd. 2: Textband&#60;/cite&#62; (Köln; Graz, 1967).","secondary"
"6","Gönnenwein 1939","Gönnenwein, Otto, &#60;cite&#62;Das Stapel- und Niederlagsrecht&#60;/cite&#62;. Quellen und Darstellungen zur hansischen Geschichte N.F. 11. (Weimar, 1939)","secondary"
"28","Benders 2001","Benders, Jeroen F. &#60;q&#62;&#39;Item instituimus ibidem singulis annis nundinas&#39;. Fairs in the principality of Guelders, 1294-1543&#60;/q&#62;. In &#60;cite&#62;Fiere e mercati nella integrazione delle economie europee secc. XIII-XVIII&#60;/cite&#62; (Atti delle &#34;Settimane di Studi&#34; e altri Convegni; No. Serie II, no. 32), ed. by S. Cavaciocchi (Florence 2001), 645-667.","secondary"
"30","Rüthing 1987","Rüthing, Heinrich. &#60;q&#62;Beobachtungen zur Weserschiffahrt im 16. Jahrhundert&#60;/q&#62;. In Bachmann, Jutta, and Hartmann, Helmut (eds.). &#60;cite&#62;Schiffahrt - Handel - Häfen. Beiträge zur Geschichte der Schiffahrt auf Weser und Mittellandkanal&#60;/cite&#62; (Minden 1987), 75-92.",null
"32","Vogtherr 2013","Vogtherr, Thomas, &#60;q&#62;Die Grafen von Holstein-Schaumburg als Städtegründer. Die Entstehung der Schaumburger Städte&#60;/q&#62;, in &#60;cite&#62;Schaumburg im Mittelalter&#60;/cite&#62;, ed. by Stefan Brüdermann, Schaumburger Studien 70 (Bielefeld, 2013), 325-351.","secondary"
"34","Weingarten 2013","Weingarten, Hendrik, &#60;q&#62;Mittelalterliche Wirtschaftsgeschichte Schaumburgs&#60;/q&#62;, in &#60;cite&#62;Schaumburg im Mittelalter&#60;/cite&#62;, ed. by Stefan Brüdermann, Schaumburger Studien 70 (Bielefeld, 2013), 265-275.","secondary"
"36","Wegner 1913","Wegner, Paul. &#60;q&#62;Die mittelalterliche Flußschiffahrt im Wesergebiet&#60;/q&#62;. &#60;cite&#62;Hansische Geschichtsblätter&#60;/cite&#62; 19 (1913), 93-161","secondary"
"38","Niemeyer 2012","Niemeyer, Manfred (ed.), &#60;cite&#62;Deutsches Ortsnamenbuch&#60;/cite&#62; (Berlin, 2012)","secondary"
"40","Engel 1982","Engel, Werner, &#60;q&#62;Joist Moers im Dienste des Landgrafen Moritz von Hessen. Ein Beitrag zu seiner späten Landmessertätigkeit und zugleich zur Schiffahrtsgeschichte der Fulda&#60;/q&#62;, &#60;cite&#62;Hessisches Jahrbuch für Landesgeschichte&#60;/cite&#62; 32 (1982), 165-173.",null
"42","Brunner","Brunner, Hugo, &#60;q&#62;Beiträge zur Geschichte der Schiffahrt in Hessen, besonders auf der Fulda&#60;/q&#62;, &#60;cite&#62;Zeitschrift des Vereins für Hessische Geschichte und Landeskunde&#60;/cite&#62; N.F. 16 (1891), 202-243.",null
"44","Maack 1970","Maack, Walter, &#60;cite&#62;Die Rintelner Statuten des 14. bis 16. Jahrhunderts&#60;/cite&#62;, Schaumburger Studien 24 (Rinteln, 1970).",null
"46","Fischer 1936","Fischer, Fritz, &#60;cite&#62;Stapelrecht und Schiffahrt der Stadt Münden bis zum Beginn des 18. Jahrhunderts&#60;/cite&#62; (Hann. Münden, 1936)",null
"50","Keller 1901","Keller, Hermann, &#60;cite&#62;Weser und Ems, ihre Stromgebiete und ihre wichtigsten Nebenflüsse, Bd. II: Quell- und Nebenflüsse der Weser (ohne Aller)&#60;/cite&#62; (Berlin, 1901).",null
"52","Engel 1958","Engel, Franz, &#60;q&#62;Das mittelalterliche Stadthagen und seine zentrale Bedeutung&#60;/q&#62;, &#60;cite&#62;Unsere schaumburg-lippische Heimat. Mitteilungen des Vereins für schaumburg-lippische Geschichte, Altertümer und Landeskunde e. V.&#60;/cite&#62; 13 (1958), 11-51.",null
"54","Jäkel 1958","Jäkel, Kurt, &#60;q&#62;Rechtsentwicklung Stadthagens bis zur Formulierung des Stadtrechts 1344&#60;/q&#62;, &#60;cite&#62;Unsere schaumburg-lippische Heimat. Mitteilungen des Vereins für schaumburg-lippische Geschichte, Altertümer und Landeskunde e. V.&#60;/cite&#62; 13 (1958), 51-86.",null
"56","Brosius 1972","Brosius, Dieter, &#60;cite&#62;Das Stift Obernkirchen 1167-1565&#60;/cite&#62; (Bückeburg, 1972).",null
"58","Kölling 1956","Kölling, Friedrich, &#60;cite&#62;Hessisch Oldendorf. 700 Jahre Entwicklung einer niedersächsischen Kleinstadt&#60;/cite&#62; (Rinteln, 1956).",null
"60","Keyser 1952","Keyser, Erich (ed.), &#60;cite&#62;Niedersächsisches Städtebuch&#60;/cite&#62;, Deutsches Städtebuch Bd. III (Stuttgart 1952).","secondary"
"62","Ohainski; Udolph 1998","Ohainski, Uwe; Udolph, Jürgen, &#60;cite&#62; Niedersächsisches Ortsnamenbuch, Teil I: Die Ortsnamen des Landkreises und der Stadt Hannover&#60;/cite&#62; (Bielefeld, 1998).","secondary"
"64","Korsmeier 2001","Korsmeier, Claudia Maria, &#60;cite&#62;Die Ortsnamen der Stadt Münster und des Kreises Warendorf&#60;/cite&#62;, Westfälisches Ortsnamenbuch, 3&#60;/cite&#62;, ed. by  Kirstin Casemir and Jürgen Udolph (Bielefeld 2011)","secondary"
"212","Fricke 1985","Fricke, Ludwig, &#60;cite&#62;Latferde&#60;/cite&#62; (1985).",null
"68","Ohainski; Udolph 2000","Ohainski, Uwe; Udolph, Jürgen (ed.), &#60;cite&#62;Niedersächsisches Ortsnamenbuch, Teil II: Die Ortsnamen des Landkreises Osterode&#60;/cite&#62; (Bielefeld, 2000)",null
"3907","Register Charters Kampen","&#60;cite&#62;Register van charters en bescheiden in het oude archief van Kampen. Eerste deel. Van 1251 tot 1496&#60;/cite&#62; (Kampen1862)","edition"
"70","Casemir 2003","Casemir, Kirstin (ed.), &#60;cite&#62; Niedersächsisches Ortsnamenbuch, Teil IV: Die Ortsnamen des Landkreises Göttingen &#60;/cite&#62; (Bielefeld 2003)","secondary"
"72","Casemir; Menzel 2005","Casemir, Kirstin; Menzel, Franziska (ed.), &#60;cite&#62;Niedersächsisches Ortsnamenbuch, Teil V: Die Ortsnamen des Landkreises Northeim&#60;/cite&#62; (Bielefeld, 2005)",null
"74","Flöer; Korsmeier 2009","Flöer, Michael; Korsmeier, Claudia Maria (ed.), &#60;cite&#62;Westfälisches Ortsnamenbuch, Teil I: Die Ortsnamen des Kreises Soest&#60;/cite&#62; (Bielefeld 2009)","secondary"
"76","Herbst 1926","Herbst, Albert, &#60;cite&#62;Die alten Heer- und Handelsstraßen Südhannovers und angrenzender Gebiete&#60;/cite&#62; (Göttingen 1926).","secondary"
"78","Streich 1996","Streich, Gerhard, &#60;q&#62;Altstraßen&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Höxter&#60;/cite&#62;, ed. by Gerhard Streich (Bielefeld 1996), 157-160.",null
"80","Casemir; Ohainski 2016","Casemir, Kirstin; Ohainski, Uwe, &#60;cite&#62;Die Ortsnamen des Kreises Höxter&#60;/cite&#62; (Bielefeld 2016).",null
"82","Koch 2015","Koch, Michael, &#60;q&#62;Die Landwehr um Höxter - zum Nutzen des ganzen Landes&#60;/q&#62;, in &#60;cite&#62;Hoxter. Geschichte einer westfälischen Stadt, Bd. 2: Höxter und Corvey im Spätmittelalter&#60;/cite&#62;, ed. by Michael Koch, Andreas König and Gerhard Streich (Paderborn 2015), 164-190.",null
"236","Bippen 1892","Bippen, Wilhelm von, &#60;cite&#62;Geschichte der Stadt Bremen, Bd. 1&#60;/cite&#62; (Bremen, 1892).",null
"84","König, Rabe, Streich 2003","König, Andreas; Rabe, Holger; Streich, Gerhard, &#60;cite&#62;Höxter. Geschichte einer westfälischen Stadt, Bd. 1: Höxter und Corvey im Früh- und Hochmittelalter&#60;/cite&#62; (Hannover 2003).",null
"86","Streich 2015","Streich, Gerhard, &#60;q&#62;Heiligenberg und seine Dörfer Bosseborn, Ovenhausen und Lütmarsen&#60;/q&#62;, in &#60;cite&#62;Hoxter. Geschichte einer westfälischen Stadt, Bd. 2: Höxter und Corvey im Spätmittelalter&#60;/cite&#62;, ed. by Michael Koch, Andreas König and Gerhard Streich (Paderborn 2015), 622-636.",null
"88","Rüthing 1986","Rüthing, Heinrich, &#60;cite&#62;Höxter um 1500: Analyse einer Stadtgesellschaft&#60;/cite&#62; (Paderborn 1986).",null
"90","Streich, Koch, König 2015","Streich, Gerhard; Koch, Michael; König, Andreas, &#60;q&#62;Aspekte der Wirtschafts- und Sozialgeschichte&#60;/q&#62;, in &#60;cite&#62;Höxter. Geschichte einer westfälischen Stadt, Bd. 2: Höxter und Corvey im Spätmittelalter&#60;/cite&#62; (Paderborn 2015), 423-449.",null
"96","Casemir; Ohainski 2007","Casemir; Kirsten; Ohainski, Uwe (ed.), &#60;cite&#62;Niedersächsisches Ortsnamenbuch, Teil VI: Die Ortsnamen des Landkreises Holzminden&#60;/cite&#62; (Bielefeld, 2007)","secondary"
"118","Casemir; Ohainski 2017","Casemir, Kirstin; Ohainski, Uwe (ed.), &#60;cite&#62;Niedersächsisches Ortsnamenbuch, Teil VIII: Die Ortsnamen des Landkreises Peine&#60;/cite&#62; (Bielefeld 2017)","secondary"
"120","Wintzigeroda-Knorr 1903","Wintzingeroda-Knorr, Levin Freiherr von, &#60;cite&#62;Die Wüstungen des Eichsfeldes&#60;/cite&#62; (Halle 1903; reprint Duderstadt 1995)",null
"122","Kohl 1991","Kohl, Willy, &#60;q&#62;Vechta unter münsterischer Herrschaft (1252-1803)&#60;/q&#62;, in Wilhelm Hanisch, Franz Hellbernd, Joachim Kuropka (eds.), &#60;cite&#62;Beiträge zur Geschichte der Stadt Vechta&#60;/cite&#62;, Bd. 1 (Vechta 1975-1991), 63-96.",null
"124","Hanisch 1991","Hanisch, Wilhelm, &#60;q&#62;Vechta unter den Ravensbergern&#60;/q&#62;, in Wilhelm Hanisch, Franz Hellbernd, Joachim Kuropka (eds.), &#60;cite&#62;Beiträge zur Geschichte der Stadt Vechta&#60;/cite&#62;, Bd. 1 (Vechta 1975-1991), 43-62.",null
"126","Landau 1837","Landau, Georg, &#60;q&#62;Einiges über Weserzölle und Weserhandel im 16&#60;sup&#62;ten&#60;/sup&#62; Jahrhundert&#60;/q&#62;, in &#60;cite&#62;Zeitschrift des Vereins für hessische Geschichte und Landeskunde&#60;/cite&#62; 1 (1837), 165-169.",null
"130","Holterman 2019","Blbla",null
"132","Holterman 2019","Blbla",null
"134","Streich, Reuschel 1996","Streich, Gerhard, Reuschel, Andreas, &#60;q&#62;Städtische Siedlung&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Höxter&#60;/cite&#62;, ed. by Gerhard Streich (Bielefeld 1996), 46-66.",null
"136","Junge 1983","Junge, Walter, &#60;cite&#62;Chronik des Fleckens Bodenfelde. Von den Anfängen bis zur Gegenwart&#60;/cite&#62; (Bodenfelde 1983).",null
"138","Meyer 1997","Meyer, Gerhard, &#60;q&#62;Ältere Gewerbe und Industrien des 19. und 20. Jahrhunderts&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Holzminden&#60;/cite&#62;, ed. by Gerhard Streich (Bielefeld 1997), 108-114.",null
"140","Meyer 1997","Meyer, Gerhard, &#60;q&#62;Städtische Siedlungen&#60;/q&#62;, in &#60;cite&#62; Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Holzminden&#60;/cite&#62;, ed. by Gerhard Streich (Bielefeld 1997), 65-80.",null
"142","Lilge 1997","Lilge, Andreas, &#60;q&#62;Ländliche Siedlungen&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Holzminden&#60;/cite&#62;, ed. by Gerhard Streich (Bielefeld 1997), 29-43.",null
"144","Köhler 2010","Köhler, Michael, &#60;cite&#62;Thüringer Burgen und befestigte vor- und frühgeschichtliche Wohnplätze&#60;/cite&#62;, 3rd edition (Jena 2010).",null
"146","Hellbernd 1974","Hellbernd, Franz, &#60;q&#62;Stoppelmarkt in Vechta. Die Vechtaer Märkte im Wandel der Jahrhunderte&#60;q&#62;, in &#60;cite&#62;Beiträge zur Geschichte der Stadt Vechta, Band II&#60;/cite&#62;, ed. by Wilhelm Hanisch and Franz Hellbernd (Vechta 1974), 123-310.",null
"148","Casemir, Udolph 2011","Casemir, Kirstin; Udolph, Jürgen (ed.),&#60;cite&#62;Westfälisches Ortsnamenbuch, Teil IV: Die Ortsnamen des Kreises Herford&#60;/cite&#62; (Bielefeld, 2011).",null
"214","Dörries 1929","Dörries, Hans, &#60;cite&#62;Entstehung und Formenbildung der niedersächsischen Stadt. Eine vergleichende Städtegeographie&#60;/cite&#62; (Stuttgart 1929).",null
"150","Leiber 1997","Leiber, Christian, &#60;q&#62;Wallanlagen und Burgen&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Holzminden&#60;/cite&#62;, ed. by Gerhard Streich (Bielefeld 1997), 81-90.",null
"152","Knoke 2003","Knoke, Horst, &#60;cite&#62;Hamelner Wasserbauwerke an der Weser: Die Geschichte der Schleusen und Wehre, der Münsterbrücke und des Hafens &#60;/cite&#62; (Bielefeld 2003).",null
"1066","Canon van Kampen","&#60;a href=&#34;www.entoen.nu/nl/overijssel/salland/kampen/ijsselbrug&#34;&#62;&#60;/a&#62;.","secondary"
"154","Pischke 2000","Pischke, Gudrun, &#60;q&#62;Die Weserstädte im Mittelalter&#60;/q&#62;, in &#60;cite&#62;Die Weser. EinFluss in Europa: Leuchtendes Mittelalter&#60;/cite&#62;, ed. by Norbert Humburg (Holzminden 2000), 38-53.",null
"156","Casemir; Menzel; Ohainski 2011","Casemir, Kirstin; Menzel, Franziska; Ohainski, Uwe (ed.), &#60;cite&#62;Niedersächsisches Ortsnamenbuch, Teil VII: Die Ortsnamen des Landkreises Helmstedt und der Stadt Wolfsburg&#60;/cite&#62; (Bielefeld 2011)","secondary"
"158","Peters 1913","Peters, A., &#60;cite&#62;Die Geschichte der Schiffahrt auf der Aller, Leine und Oker bis 1618&#60;/cite&#62; (Hannover 1913).",null
"160","Meineke 2013","Meineke, Birgit (ed.),&#60;cite&#62;Westfälisches Ortsnamenbuch, Teil V: Die Ortsnamen der Stadt Bielefeld&#60;/cite&#62; (Bielefeld 2013)",null
"162","Keyser; Stoob 1954","Keyser, Erich; Stoob, Heinz (eds.), &#60;cite&#62;Westfälisches Städtebuch&#60;/cite&#62;, Deutsches Städtebuch Bd. 3:2 (Stuttgart 1954).","secondary"
"168","Berner 1954","Berner, Hans, &#60;cite&#62;Das Amt Ohsen&#60;/cite&#62; (Göttingen 1954).",null
"170","Gerke 2001","Gerke, Wilfried, &#60;q&#62;Der Dreyer Zoll. Eine historische Stätte im Norden des Landkreises Diepholz&#60;/q&#62;, &#60;cite&#62;Heimatblätter des Landkreises Diepholz&#60;/cite&#62; 20 (2001/2004), 143.",null
"172","Gerke 2004","Gerke, Wilfried, &#60;q&#62;Diepholz um 1300. Versuch der Rekonstruktion einer Zeit / Vom Leben im Mittelalter&#60;/q&#62;, &#60;cite&#62;Heimatblätter des Landkreises Diepholz&#60;/cite&#62; 21 (2004-2007), 49.",null
"1046","Hendricks 2006","Hendricks, Reiner, &#60;cite&#62;Geschichte des Fleckens Ahlden&#60;/cite&#62; (Ahlden, 2006)","secondary"
"174","Korinth 2000","Korinth, Dirk, &#60;q&#62;Güter auf dem Fluß&#60;/q&#62;, in &#60;cite&#62;Die Weser. EinFluss in Europa, Bd. 2: Aufbruch in die Neuzeit&#60;/cite&#62;, ed. by José Kastler and Vera Lüpkes (Holzminden 2000), 150-155.",null
"176","Weidinger 2000","Weidinger, Ulrich, &#60;q&#62;Häfen und Schlachten&#60;/q&#62;, in &#60;cite&#62;Die Weser. EinFluss in Europa, Bd. 2: Aufbruch in die Neuzeit&#60;/cite&#62;, ed. by José Kastler and Vera Lüpkes (Holzminden 2000), 114-127.",null
"178","Weidinger 1997","Weidinger, Ulrich, &#60;cite&#62;Mit Koggen zum Marktplatz. Bremens Hafenstrukturen vom frühen Mittelalter bis zum Beginn der Industrialisierung&#60;/cite&#62; (Bremen 1997).",null
"180","Schwarzwälder 2000","Schwarzwälder, Herbert, &#60;q&#62;Reisende auf der Weser&#60;/q&#62;, in &#60;cite&#62;Die Weser. EinFluss in Europa, Bd. 2: Aufbruch in die Neuzeit&#60;/cite&#62; (Holzminden 2000), 204-215.",null
"182","Lutosch 1983","Lutosch, Gerhard, &#60;cite&#62;Die Siedlungsnamen des Landkreises Diepholz. Ihr Alter und ihre Bedeutung&#60;/cite&#62; (Syke 1983).",null
"184","Spanuth 1939","Spanuth, Heinrich, &#60;cite&#62;Geschichte der Stadt Hameln. Von den Anfängen bis zur Reformationszeit&#60;/cite&#62; (Hameln 1939).",null
"186","Henkel 1907","Henkel, Adolf, &#60;q&#62;Die Saline Sooden a.d. Werra unter den Landgrafen Philipp dem Großmütigen und Wilhelm IV.&#60;/q&#62;, &#60;cite&#62;Zeitschrift des Vereins für hessische Geschichte und Landeskunde&#60;/cite&#62; 41 (1907), 1-67.",null
"188","Heine 1985","Heine, Hans-Wilhelm, &#60;q&#62;Ur- und frühgeschichtliche sowie mittelalterliche Wehranlagen&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Stadthagen&#60;/cite&#62;, ed. by Dieter Brosius (Hildesheim, 1985), 50-63.",null
"190","Brosius 1985","Brosius, Dieter, &#60;q&#62;Städtische Siedlungen&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Stadthagen&#60;/cite&#62;, ed. by Dieter Brosius (Hildesheim, 1985), 41-49.",null
"192","Nordsiek 2017","Nordsiek, Hans, &#60;q&#62;Minden an der Weser. Stadtentwicklung, Stadtautonomie und Stadtherrschaft von den Anfängen bis 1806&#60;/q&#62;, &#60;cite&#62;Mitteilungen des Mindener Geschichtsvereins&#60;/cite&#62; 89 (2017), 7-94.",null
"194","Behr 1977","Behr, Hans-Joachim, &#60;q&#62;Vom Ende des Mindener Stapels&#60;/q&#62;, in &#60;cite&#62;Zwischen Dom und Rathaus. Beiträge zur Kunst- und Kulturgeschichte der Stadt Minden&#60;/cite&#62; (Minden, 1977), 233-248.",null
"196","Rothe; Rüthing 1989","Rothe, Jörg Michael; Rüthing, Heinrich, &#60;q&#62;Der &#34;edle Strom&#34;. Daten, Beobachtungen und Überlegungen zur wirtschaftlichen Entwicklung des Weserraumes von der Mitte des 16. Jahrhunderts bis zum dreißigjährigen Krieg&#60;/q&#62;, in &#60;cite&#62;Renaissance im Weserraum, Bd. 2: Aufsätze&#60;/cite&#62;, ed. by Georg Ulrich Großmann (München, 1989), 44-70.","secondary"
"198","Möller 1992","Möller, Petra, &#60;q&#62;Beobachtungen zum Getreidehandel im Weserraum&#60;/q&#62;, in &#60;cite&#62;Der Weserraum zwischen 1500 und 1600: Gesellschaft, Wirtschaft und Kultur in der frühen Neuzeit&#60;/cite&#62;, ed. by Thomas Schwark (Marburg, 1992), 115-141.",null
"200","Weidinger 1998","Weidinger, Ulrich, &#60;q&#62;Strukturprobleme und Zäsuren in der Hafenentwicklung Bremens im Spätmittelalter und in der frühen Neuzeit&#60;/q&#62;, &#60;cite&#62;Niedersächsisches Jahrbuch für Landesgeschichte&#60;/cite&#62; 70 (1998), 35-52.",null
"202","Pezold 1998","Pezold, Johann Dietrich von, &#60;q&#62;Das Stapelrecht der Stadt Münden 1247-1824. Ein erster Überblick&#60;/q&#62;, &#60;cite&#62;Niedersächsisches Jahrbuch für Landesgeschichte&#60;/cite&#62; 70 (1998), 52-71.",null
"204","Löbe 1969","Löbe, Karl, &#60;cite&#62;Das Weserbuch. Roman eines Flusses&#60;/cite&#62;, 2nd ed. (Hameln 1969).",null
