"id","refshort","reflong","type"
"3935","PUB","Klempin, Robert et al. (eds.), &#60;cite&#62;Pommersches Urkundenbuch&#60;/cite&#62;, 11 vols. (Stettin, Köln, 1868-1990)","edition"
"3936","Greve 1997","Greve, Dieter, &#60;q&#62;Bengerstorf&#60;/q&#62;, in &#60;cite&#62;Ortschroniken M-V&#60;/cite&#62; (1997). &#60;a href=&#34;https://www.ortschroniken-mv.de/index.php/Bengerstorf&#34;&#62;https://www.ortschroniken-mv.de/index.php/Bengerstorf&#60;/a&#62;","secondary"
"3937","Niemann","Niemann, Karl-Heinz, &#60;cite&#62;Geschichte und Chronik des Hühnerbusch&#60;/cite&#62;. &#60;a href=&#34;https://www.ortschroniken-mv.de/images/1/10/Neu_G%C3%BClze%2CChronik_H%C3%BChnerbusch_Teil_1.pdf&#34;&#62;https://www.ortschroniken-mv.de/images/1/10/Neu_G%C3%BClze%2CChronik_H%C3%BChnerbusch_Teil_1.pdf&#60;/a&#62;","secondary"
"3968","Paulaharju 1968","Paulaharju, Ahti, &#60;cite&#62;Oulun linna&#60;/cite&#62;, (Porvoo, 1968)","secondary"
"3932","ThStA Rudolstadt, Kanzlei Arnstadt 1129","Landesarchiv Thüringen, Staatsarchiv Rudolstadt, Kanzlei Arnstadt 1129","archive"
"3938","Ortschronik Zahrensdorf","&#60;q&#62;Zahrensdorf&#60;/q&#62;, in: &#60;cite&#62;Ortschroniken M-V&#60;/cite&#62;. &#60;a href=&#34;https://www.ortschroniken-mv.de/index.php/Zahrensdorf&#34;&#62;https://www.ortschroniken-mv.de/index.php/Zahrensdorf&#60;/a&#62;","secondary"
"3965","Pirinen 1982","Pirinen, Kauko, &#60;cite&#62;Savon Historia II:1: Rajamaakunta asutusliikkeen aikakautena 1534–1617&#60;/cite&#62;, (Kuopio, 1982)","secondary"
"3964","Grotenfelt 1894","Grotenfelt, Kustavi, &#60;cite&#62;Jaakko Teitin valitusluettelo Suomen aatelistoa vastaan v. 1555–1556&#60;/cite&#62;. Todistuskappaleita Suomen historiaan, Suomen Historiallinen Seura (Helsinki, 1894).","secondary"
"4024","Anthoni 1970","Anthoni, Eric, &#60;cite&#62;Finlands medeltida frälse och 1500-tals Adel&#60;/cite&#62;, Svenska Litteratursällskapet I Finland, 442 (Helsingfors, 1970).","secondary"
"3969","Julku 1987","Julku, Kyösti, &#60;q&#62;Oulu keskiajalla - Oulun sotatie&#60;/q&#62;, in &#60;cite&#62;Valkean kaupungin vaiheet. Oulun historiaa. Studia Historica septentrionalia 13&#60;/cite&#62;, ed. by Kyösti Julku (Rovaniemi, 1987)","secondary"
"3171","Ibelings en Van Vliet 2022","Ibelings, Bart en Kaj van Vliet, &#60;q&#62;Het Utrechts tolrecht. Deel 2: Ontwikkeling van het Utrechtse tolrecht op basis van enkele nieuw ontdekte handschriften&#60;/q&#62;, in: &#60;cite&#62;Jaarboek Oud-Utrecht&#60;/cite&#62; (2022) 110-193 ","secondary"
"3970","Sundberg 1927","Sundberg, Halvar G. F., &#60;cite&#62;Den Svenska stapelstadsrätten, en undersökning av institutens utveckling och nuvarande innehåll&#60;/cite&#62;, (Stockholm, 1927)","secondary"
"4025","Weidinger 2022","Weidinger, Ulrich, &#60;cite&#62;Der Vegesacker Hafen von 1622. Vegesacks Hafengeschichte von den Anfängen bis zum Beginn des 19. Jahrhunderts&#60;/cite&#62; (Bremen 2022)","secondary"
"4142","RCHL OA Maastricht","Regionaal Historisch Centrum Limburg, Maastricht, 20.001A Indivieze Raad Maastricht, 1316-1795","archive"
"3962","Keränen 2013","Keränen, Jorma, &#60;q&#62;Paltamo jääkaudesta autonomian aikaan sekä Paltamon seurakunnan historia&#60;/q&#62;, in Keränen, Jorma and Romppainen, Hannu, &#60;cite&#62;Paltamo: Kainuun emäpitäjä&#60;/cite&#62; (Paltamo 2013).","secondary"
"4026","Hennebergisches UB","Bechstein, Ludwig; Brückner, Georg (ed.), &#60;cite&#62;Hennebergisches Urkundenbuch&#60;/cite&#62; 7 vols. (Meiningen, 1842-1877)","edition"
"4027","Bonduel 2024","Bonduel. E. &#60;q&#62;Toll collection and economic development in twelfth century Flanders&#60;/q&#62; &#60;cite&#62;TSEG&#60;/cite&#62; 21 (2024) 39-74","secondary"
"4028","von Hertzen 1973","von Hertzen, Erik, &#60;cite&#62;Paimion historia vuoteen 1721&#60;/cite&#62;, (Hämeenlinna, 1973).","secondary"
"4030","Nikula 1987","Nikula, Oscar, &#60;cite&#62;Turun kaupungin historia 1521–1600, I&#60;/cite&#62;, (Turku 1987)","secondary"
"642","Gerbing 1899","Gerbing, Luise, &#60;q&#62;Erfurter Handel und Handelsstrassen.&#60;/q&#62;, &#60;cite&#62;Mitteilungen des Vereins für die Geschichte und Altertumskunde Erfurts&#60;/cite&#62; 21 (1899), 97-148.","secondary"
"3963","Salminen 1999a","Salminen, Tapio, &#60;q&#62;Nousia Venäläinen ja taivaltie Käkisalmesta Ouluun&#60;/q&#62;, in &#60;cite&#62;Maata, jäätä, kulkijoita. Tiet, liikenne ja yhteiskunta ennen vuotta 1860. Tuhat vuotta teitä, kaksisataa vuotta tielaitosta,1,&#60;/cite&#62; ed. by Tapani Mauranen (Helsinki, 1999)","secondary"
"4139","Koskinen 2007","Koskinen, Pekka &#60;cite&#62;Hämeen linnan linnoittaminen Kustavilaisella ajalla 1772–1808&#60;/cite&#62;, (Tampere, 2007).","secondary"
"4140","WOB 10","Korsmeier, Claudia Maria, &#60;cite&#62;Die Ortsnamen des Kreises Coesfeld&#60;/cite&#62;, Westfälisches Ortsnamenbuch 10 (Bielefeld, 2016)","secondary"
"4227","Lindeqvist 1929","Lindekvist, K. O., &#60;cite&#62;Hämeenlinnan kaupungin historia Ruotsin vallan aikana. Hämeenlinnan kaupungin historia, II&#60;/cite&#62;, (Hämeenlinna, 1929).","secondary"
"164","Schneider 1936","Schneider, Heinrich, &#60;cite&#62;Die Ortschaften der Provinz Westfalen bis zum Jahre 1300. Nach urkundlichen Zeugnissen und geschichtlichen Nachrichten&#60;/cite&#62; (Münster 1936).",null
"166","Meineke 2010","Meineke, Birgit, &#60;cite&#62;Westfälisches Ortsnamenbuch. Teil II. Die Ortsnamen des Kreises Lippe&#60;/cite&#62; (Bielefeld 2010).",null
"4143","Blomstedt 1957","Blomstedt, Yrjö, &#60;q&#62;Hallinto- ja oikeuslaitos&#60;/q&#62;, in &#60;cite&#62;Hämeen historia II: Noin vuodesta 1540 vuoteen 1721.&#60;/cite&#62;, ed. by Eino Jutikkala et al. (Hämeenlinna 1957). ","secondary"
"4146","Heinonen 1997","Heinonen, Jouko, &#60;cite&#62;Unohdettu maakunta. Päijät-Hämeen synty, valloitus, unohdus ja uuden nousun alku.&#60;/cite&#62; (Jyväskylä, 1997).","secondary"
"3967","Salminen 1997","Salminen, Tapio, &#60;q&#62;Pohjanmaan tiet ja tieverkko vuoteen 1635 - Vägar och vägnät i Östrebotten till år 1635&#60;/q&#62;, in Tapio Salminen, Raisa Toivo and Timo Haavisto, &#60;cite&#62;Pohjanmaan kautta – Via Österbotten. Tiet ja tieliikenne Pohjanmaalla keskiajalta 1990-luvulle – Vägar och vägtrafik i Österbotten från medeltiden till 1990-talet. Tiemuseon julkaisuja – Vägmuseets publikationer 15&#60;/cite&#62;, (Jyväskylä, 1997), 17–121","secondary"
"4032","Ranta 1975","Ranta, Raimo, &#60;cite&#62;Turun kaupungin historia 1600-1721, I-II&#60;/cite&#62;, (Turku, 1975).","secondary"
"4029","Masonen 1995","Masonen, Jaakko, &#60;cite&#62;Tracks, Paths and Roads. Infrastructure and Transport in Finland and the Baltic Sea Area from the Viking Age to Medieval Times (800-1500 AD)&#60;/cite&#62;, Road Museum Reports 1/1995, (Helsinki, 1995)","secondary"
"4141","Toivo 1997","Toivo, Raisa, &#60;q&#62;Kruunun ja rahvaan tiet - Kronans och allmogens vägar&#60;/q&#62;, in Tapio Salminen, Raisa Toivo and Timo Haavisto, &#60;cite&#62;Pohjanmaan kautta – Via Österbotten. Tiet ja tieliikenne Pohjanmaalla keskiajalta 1990-luvulle – Vägar och vägtrafik i Österbotten från medeltiden till 1990-talet. Tiemuseon julkaisuja – Vägmuseets publikationer 15&#60;/cite&#62;, (Jyväskylä, 1997), 123-246","secondary"
"4228","Raike 2005","Raike, Eeva, &#60;cite&#62;Paimion arkeloginen inventointi 25.4.–10.6.2005&#60;/cite&#62;, (Museovirasto, 2005).","secondary"
"3944","Jorissen 1955","Jorissen, F., &#60;cite&#62;Het hoogheemraadschap van de Zwijndrechtse Waard. Februari 1331-Februari 1955&#60;/cite&#62; (1955)","secondary"
"3939","Van Tussenbroek 2023","Tussenbroek, Gabri van, &#60;cite&#62;De houten eeuw van Amsterdam. Bouwen, werken en wonen in de middeleeuwse stad (1275-1578)&#60;/cite&#62; (Amsterdam, 2023)","secondary"
"3940","Van Heiningen 2015","Heiningen, Huub van, &#60;q&#62;De oude gierpont&#60;/q&#62;, &#60;cite&#62;De Tielenaar&#60;/cite&#62; (10-09-2015). &#60;a href=&#34;https://detielenaar.nl/historie/2015/09/de-oude-gierpont&#34;&#62;https://detielenaar.nl/historie/2015/09/de-oude-gierpont&#60;/a&#62;","secondary"
"3941","Van den Bos 2006","Bos, B. van den; Bos, W. van den, &#60;q&#62;Het veer Tiel-Wamel&#60;/q&#62;, in &#60;cite&#62;Vereniging Oudheidkamer voor Tiel en Omstreken. Lustrumboek 2006&#60;/cite&#62;, ed. by  E.J.Th.A.M.A. Smit (Tiel, 2006)","secondary"
"3085","Marseille 2002","Marseille, T., &#60;cite&#62;Varen op de grote rivieren rond 1580&#60;/cite&#62; (Leeuwarden 2002)","secondary"
"1346","Website Museum Wijchen","&#60;q&#62;Kasteel Wijchen - een korte geschiedenis&#60;/q&#62;, Website Museum Wijchen (&#60;a href=&#34;https://www.museumwijchen.nl/geschiedenis-kasteel/&#34;&#62;https://www.museumwijchen.nl/geschiedenis-kasteel/&#60;/a&#62;)","secondary"
"3942","Mastaler 1997","Mastaler, Wilhelm, &#60;cite&#62;Untergegangene Dörfer und Ortsteile im Altkreis Güstrow&#60;/cite&#62;, Archäologische Berichte aus Mecklenburg-Vorpommern. Beiheft 1 (Waren, 1997)","secondary"
"3943","Trap 1898","J.P. Trap, J.P., &#60;cite&#62;Kongeriget Danmark, 3. Udgave 2. Bind: Frederiksborg, Kjøbenhavns, Holbæk, Sorø og Præstø Amter&#60;/cite&#62; (Kjøbenhavn 1898)","secondary"
"3945","Krüger 1929","Krüger-Haye, Georg (ed.), &#60;cite&#62;Kunst- und Geschichts- Denkmäler des Freistaates Mecklenburg-Strelitz&#60;/cite&#62;, Bd. I, Abt. 3 (Neubrandenburg, 1929)","secondary"
"3946","Krüger-Haye 1925","Krüger-Haye, Georg (ed.), &#60;cite&#62;Kunst- und Geschichts-Denkmäler des Freistaates Mecklenburg-Strelitz&#60;/cite&#62;, Bd. I Abt. 2 (Neubrandenburg 1925)","secondary"
"3947","Krüger-Haye 1921","Krüger-Haye, Georg (ed.), &#60;cite&#62;Kunst- und Geschichts-Denkmäler des Freistaates Mecklenburg-Strelitz&#60;/cite&#62;, Bd. I Abt. 1 (Neubrandenburg 1921)","secondary"
"3948","Neitmann; Schich; Stephan 2022","Neitmann, Klaus; Winfried Schich; Joachim Stephan (eds.), &#60;cite&#62;Städtebuch Historisches Ostbrandenburg&#60;/cite&#62; (Berlin, 2022)","secondary"
"3949","Wessel 1926","Wessel, Franz, &#60;cite&#62;Geschichte der Stadt Tessin&#60;/cite&#62; (Parchim 1926)","secondary"
"3950","NA, FA van Brederode","NA, Familiearchief van Brederode","archive"
"974","Stoi 2000","Stoi, Gert, &#60;q&#62;Der Werdegang Römhilds vom Dorf zur Stadt&#60;/q&#62;. in: &#60;cite&#62;Mitteilungen der Gemeinde der Steinsburgfreunde,&#60;/cite&#62; N.F. 3/4 (1999-2000), 33-68","secondary"
"582","Zschieschang 2017","Zschieschang, Christian, &#60;cite&#62;Das Hersfelder Zehntverzeichnis und die frühmittelalterliche Grenzsituation an der mittleren Saale.&#60;/cite&#62; (Köln; Weimar; Wien 2017)","secondary"
"210","Meineke 2013","Meineke, Birgit (ed.),&#60;cite&#62;Westfälisches Ortsnamenbuch, Teil V: Die Ortsnamen der Stadt Bielefeld&#60;/cite&#62; (Bielefeld 2013)",null
"3951","Rasila 1988","Rasila, Viljo, &#60;q&#62;Markkinapaikasta tehdaskaupungiksi&#60;/q&#62;, in: Pentti Alhonen, Unto Salo, Seppo Suvanto, Viljo Rasila, &#60;cite&#62;Tampereen historia, 1&#60;/cite&#62; (Tampere, Tampereen kaupunki, 1988).","secondary"
"3958","Witkowski 1965","Witkowski, Teodolius, &#60;cite&#62;Die Ortsnamen des Kreises Stralsund&#60;/cite&#62; (Berlin, 1965)","secondary"
"3954","Suvanto 1988","Suvanto, Seppo, &#60;q&#62;Talonpoikainen Tampere keskiajalta 1600-luvun puoliväliin&#60;/q&#62;, in: Pentti Alhonen, Unto Salo, Seppo Suvanto, Viljo Rasila, &#60;cite&#62;Tampereen historia, 1&#60;/cite&#62;, (Tampere, Tampereen kaupunki, 1988).","secondary"
"1911","Henn 2021","Henn, Volker, &#60;q&#62;Über Jahrmärkte in den östlichen Niederlanden im späten Mittelalter&#60;/q&#62; in: R. Holbach, J. Sarnowsky (eds.),&#60;cite&#62;Märkte, Messen und Waren im hansischen Handel&#60;/cite&#62; (Wismar 2021) 67-96","secondary"
"3953","Staf 1935","Staf, Nils, &#60;cite&#62;Marknad och möte: studier rörande politiska underhandlingar med folkmenigheter i Sverige och Finland intill Gustav II Adolfs tid&#60;/cite&#62;, (Stockholm: Seelig, 1935).","secondary"
"3957","Hoffmann 1930","Hoffmann, Karl, &#60;q&#62;Die Stadtgründungen Mecklenburg-Schwerins in der Kolonisationszeit vom 12. bis zum 14. Jahrhundert (auf siedlungsgeschichtlicher Grundlage)&#60;/q&#62;, &#60;cite&#62;Jahrbücher des Vereins für Mecklenburgische Geschichte und Altertumskunde&#60;/cite&#62; 94 (1930), 1-200","secondary"
"1426","Sommer; Otte 1883","Sommer, Gustav; Heinrich Otte (eds.), &#60;cite&#62;Beschreibende Darstellung der älteren Bau- und Kunstdenkmäler der Provinz Sachsen und angrenzender Gebiete. Bd. 9: Beschreibende Darstellung der älteren Bau- und Kunstdenkmäler des Kreises Eckartsberga&#60;/cite&#62;, (Halle a.d. Saale 1883).","secondary"
"2599","Wysłouch 1937","Wysłouch, Seweryn, &#60;cite&#62;Dawne drogi Polesia: [ze studjów nad historją gospodarczą Polesia w XVI-XVIII w.]&#60;/cite&#62; (Wilno, 1937)","secondary"
"3959","KYPPI","&#60;cite&#62;Kuttuuriympäristön palveluikkuna, Museovirasto - The Finnish Heritage Agency&#60;/cite&#62;","secondary"
"4031","Nikula & Nikula 1987","Nikula, Oscar &#38; Nikula, Sigrid, &#60;cite&#62;Turun kaupungin historia 1521–1600, II&#60;/cite&#62;, (Turku, 1987).","secondary"
"3960","Friberg 1983","Friberg, Nils, &#60;cite&#62;Stockholm i bottniska farvatten&#60;/cite&#62;, Monografier utgivna av Stockholms kommun, 53, (Uppsala, 1983).","secondary"
"4144","Mäkelä 1979","Mäkelä, Anneli, &#60;cite&#62;Nastolan historia I&#60;/cite&#62; (Jyväskylä, 1979). ","secondary"
"3971","Toiviainen & Forss","Toivanen, Pekka &#38; Forss, Aulis, &#60;cite&#62;Raahen tienoon historia: 1, Salon emäpitäjän ja Raahen kaupungin historia esihistoriasta isonvihan loppuun&#60;/cite&#62;, (Raahen kaupunki, Pattijoen kunta, Vihannin kunta, 1990)","secondary"
"3972","Rinne 1952","Rinne, Juhani, &#60;cite&#62;Turun tuomiokirkko keskiaikana, III&#60;/cite&#62;, (Turku, 1952)","secondary"
"3143","Overvoorde 1914","Overvoorde, J.C. (ed.), &#60;cite&#62;Archieven van de stadsheerlijkheden en van de vroonwateren. Inventarissen en regestenlijsten&#60;/cite&#62; (Leiden 1914)","edition"
"4078","Lähteenoja 1949","Lähteenoja, Aina, &#60;cite&#62;Suur-Huittisten pitäjän historia vuoteen 1639&#60;/cite&#62; (Vammala, 1949).","secondary"
"3955","Salminen 2014","Salminen, Tapio, &#60;q&#62;Tammerkoski in the Middle Ages. Farms and People in the Stream of Time&#60;/q&#62;, in Kimmo Antila, Mari Lind &#38; Antti Liuttunen (eds.), &#60;cite&#62;Tampere: City of the Rapids. Tampere Museums Publications, 122&#60;/cite&#62;, (Tampere: Tampere Museums, Vapriikki, 2014).","secondary"
"4033","Porthan 1792","Porthan, Henrik Gabriel, &#60;q&#62;H.G. Porthans Beskrifning öfver Vägarne i Finland&#60;/q&#62;, in &#60;cite&#62;Henrici Gabrielis Porthan Opera Selecta, V &#60;/cite&#62;, (Helsingfors, 1873), 102-112.","secondary"
"4092","Virrankoski 1973","Virrankoski, Pentti, &#60;cite&#62;Pohjois-Pohjanmaa ja Lappi 1600-luvulla. Pohjois-Pohjanmaan ja Lapin historia, III.&#60;/cite&#62; (Oulu, 1973).","secondary"
"3952","Qvist 1909","Qvist, Johannes, &#60;cite&#62;Finlands marknader och Finska landsbygdens handelsplatser 1614–1772, en historisk geographisk undersökning&#60;/cite&#62;, (Helsingfors, 1909).","secondary"
"3973","ÅFR","&#60;cite&#62;Ålands landskapsregering, Fornlämningsregistret&#60;/cite&#62;, https://www.regeringen.ax/kulturarv/arkeologi-fornlamningar/fornlamningsregistret.","secondary"
"3961","Salminen 2011","Salminen, Tapio, &#60;q&#62;Suomen &#34;pienet&#34; kaupungit keskiajalla? – Keskiajan kaupunkien tutkimuksesta Suomessa sekä Ulvilan ja Rauman keskiajan erityispiirteistä ja mahdollisuuksista&#60;/q&#62;, in &#60;cite&#62;Satakunta XXVIII Kotiseutututkimuksia&#60;/cite&#62;, ed. by Jorma Ahvenainen (Kokemäki, 2011), 8–63.","secondary"
"4145","Oksanen & Piilahti 1995","Oksanen, Eeva-Liisa &#38; Kari-Matti Piilahti, &#60;cite&#62;Valkealan historia II&#60;/cite&#62; (Pieksämäki, 1995). ","secondary"
"4147","Kuusi 1980","Kuusi, Sakari, &#60;cite&#62;Hollolan pitäjän historia I osa 1935, II osa 1937, yhdistetty ja korjattu painos 1980.&#60;/cite&#62; (Kukkila, 1980). ","secondary"
"4229","Huang 2015","Huang, Angela Ling, &#60;cite&#62;Die Textilien des Hanseraums. Produktion und Distribution einer spätmittelalterlichen Fernhandelsware&#60;/cite&#62;, Quellen und Darstellungen zur hansischen Geschichte N.F. LXXI (Köln, Weimar, Wien, 2015).","secondary"
"3974","DF","&#60;cite&#62;Diplomatarium Fennicum&#60;/cite&#62;, Database of Finnish medieval documents, The National Archives of Finland, &#13;&#10;http://df.narc.fi/.","edition"
"3975","Fritz 1972-73","Fritz, Birgitta, &#60;cite&#62;Hus, Land och län. Förvaltningen i Sverige 1250–1434, 1–2&#60;/cite&#62;, Acta Universitatis Stockholmiensis, Stockholm Studies in History, 16, (Stockholm,  1972–73).","secondary"
"3977","Loven 1999","Lovén, Christian, &#60;cite&#62;Borgar och befästningar i det medeltida Sverige&#60;/cite&#62;, Kungl. Vitterhets Historie och Antikvitets Akademien, (Stockholm, 1999)","secondary"
"922","Hasse 1885","Hasse, Ernst, &#60;cite&#62;Geschichte der Leipziger Messen&#60;/cite&#62; (Leipzig 1885).","secondary"
"3978","Brück 2000","Brück, Thomas, &#60;q&#62;Die Greifswalder Schiffahrt im Spätmittelalter und in der frühen Neuzeit (1250 bis 1774)&#60;/q&#62;, in Horst Wernicke (ed.), &#60;cite&#62;Greifswald. Geschichte der Stadt&#60;/cite&#62; (Schwerin 2000), 235-251","secondary"
"4034","SA VP SA Heenvliet","Streekarchief Voorne-Putten, Stad en Ambacht Heenvliet","archive"
"3997","Diepeveen 1950","Diepeveen, W.J. &#60;cite&#62;De vervening in Delfland en Schieland tot het einde der zestiende eeuw &#60;/cite&#62; (Leiden 1950)","secondary"
"3983","Gesterding 1827","Gesterding, Carl, &#60;cite&#62;Beitrag zur Geschichte der Stadt Greifswald oder vervollständigte Darstellung, Berichtigung und Erläuterung aller die Stadt Greifswald, ihre Kirchen und Stiftungen angehenden Urkunden bis zum Ende des achtzehnten Jahrhunderts&#60;/cite&#62; (Greifswald, 1827)","secondary"
"3998","Salminen 1992","Salminen, Tapio, &#60;cite&#62;Suuren Rantatien inventointi 1991. Inventointikertomuksen yhteenvetoraportti&#60;/cite&#62;. Tiemuseon raportteja 1/1992, (Tampere, Tielaitos, 1992)","secondary"
"3982","Salminen 1998","Salminen, Tapio, &#60;q&#62;Tidigare okända medeltida brev från Finland i Revals stadsarkiv&#60;/q&#62;. &#60;cite&#62;Historisk Tidskrift för Finland&#60;/cite&#62; 83 (1998), 453-470","edition"
"3984","Mäntylä 1994","Mäntylä, Ilkka, &#60;cite&#62;Porvoon kaupungin historia II, 1602–1809&#60;/cite&#62;, (Porvoo, 1994)","secondary"
"3986","Hiekkanen 1981","Hiekkanen, Markus, &#60;cite&#62;Porvoo (sw. Borgå). Keskiajan kaupungit 1, Museovirasto&#60;/cite&#62;, (Helsinki, 1981)","secondary"
"3987","Wolf 1887","Wolf, Dr., &#60;q&#62;Markt- und Waagegebühren der Stadt Altenburg im 15. Jahrhundert&#60;/q&#62;, &#60;cite&#62;Mitteilungen der Geschichts- und Altertumsforschenden Gesellschaft des Osterlandes&#60;/cite&#62; 9 (1887), 460-465","secondary"
