"id","descriptionid","language","description"
"746","440","fin","Lounais-Suomesta on s&auml;ilynyt useita tietoja Huovinteist&auml;, joiden taustalla on keskiajan ja uuden ajan alun hallinnon tieverkko. Nimi perustuu asepalvelijoihin, huoveihin (r. hofman). Huovit toimivat viestinviejin&auml;, muodostivat voutien ja tuomareiden saattueet ja oleskelivat aika-ajoin voutikunnissa. Osa teist&auml; kuuluu rautakautisia asutuskeskuksia yhdist&auml;neeseen tieverkkoon, osa on vasta keskiajan kuluessa talonpoikien yhteisesti yll&auml;pidett&auml;v&auml;ksi j&auml;rjestettyj&auml; teit&auml;. Huovintiest&auml; tunnetuin on Kokem&auml;enjoen suualueelta Ulvilasta Harjavallan Torttilan, K&ouml;yli&ouml;n ja Virttaan kautta Orip&auml;&auml;h&auml;n vienyt maantie, jonka on 1700-luvun tietojen perusteella katsottu jatkuneen Koskelle ja Somerolle saakka. K&ouml;yli&ouml;nj&auml;rven it&auml;rantaa noudatellut tie on rinnakkaisen Turusta Yl&auml;neen kautta S&auml;kyl&auml;&auml;n ja Kokem&auml;elle johtaneen talvitien kanssa ollut k&auml;yt&ouml;ss&auml; jo 1100- ja 1200-luvuilla, ja sill&auml; on ollut yhteyksi&auml; Turun piispan omistuksiin Lammaisissa, K&ouml;yli&ouml;ss&auml;, Virttaalla ja Orip&auml;&auml;ss&auml;. Tien varhaisin p&auml;&auml;tepiste on ollut Lammaistenkoskella, ja siit&auml; haarautui jo varhain tie Kokem&auml;elle ja 1370-luvulla muodostettuun Kokem&auml;enkartanoon. Kokem&auml;en ja K&ouml;yli&ouml;n v&auml;linen osuus mainitaan yleisen&auml; tien&auml; 1422. Tie sis&auml;ltyy Juhana-Herttuan vuoden 1556 majapaikkaluetteloon sek&auml; Jakob Teitin 1555&ndash;156 luetteloon Suomen t&auml;rkeimmist&auml; yleisist&auml; teist&auml;. "
"747","441","fin","Turusta Aurajoen pohjoisrantaa P&ouml;yty&auml;n kautta Orip&auml;&auml;h&auml;n vienyt tie sis&auml;ltyy sek&auml; Juhana-herttuan majapaikkaluetteloon ett&auml; Jakob Teitin luetteloon yleisist&auml; teist&auml; 1555&ndash;56. Tiest&auml; on tutkimuksissa k&auml;ytetty my&ouml;s nime&auml; Varkaantie. Tie oli 1500-luvun lopulle saakka t&auml;rkein maantieyhteys Turusta Orip&auml;&auml;n kautta edelleen Huovintiet&auml; Kokem&auml;elle ja Kokem&auml;enjoen suualueelle Ulvilaan ja Poriin, ja viel&auml; 1900-luvulla Orip&auml;&auml;st&auml; Huittisiin ja edelleen Vammaskoskelle Tie on j&auml;rjestetty yleiseksi maantieksi viimeist&auml;&auml;n 1300-luvun puolimaissa tai lopulla. Tiet&auml; on joissakin tutkimuksissa katsottu edelt&auml;neen Paattisilta Yl&auml;neen kautta S&auml;kyl&auml;&auml;n vienyt nk. Airikintie, joka olisi seurannut alueelta tunnetun keskiaikaisen talvitien reitti&auml;."
"743","437","deu","1514 wurde die Stra&szlig;e zwischen G&ouml;rlitz und Ossig durch die Stadt G&ouml;rlitz von einem Steinpflaster versehen."
"748","443","fin","Suomen tunnetuimpiin maanteihin kuulunut H&auml;meen H&auml;rk&auml;tie pohjautui H&auml;mett&auml; ja Aurajokilaaksoa jo viikinkiajalla (800&ndash;1050 Jaa) yhdist&auml;neeseen maareittiin. Nimi perustunee It&auml;meren alueella my&ouml;h&auml;iskeskiajalla kukoistaneeseen nautael&auml;inten kauppaan ja sen varhaisin p&auml;&auml;tepiste Turussa on ollut Hevostori. H&auml;rk&auml;tie j&auml;rjestettiin talonpoikien yll&auml;pit&auml;m&auml;ksi yleiseksi tieksi viimeist&auml;&auml;n 1300-luvun puolimaissa. H&auml;meen linnan Turkuun yhdist&auml;nyt maantie sis&auml;ltyy Jakob Teitin 1555&ndash;1556 luetteloon Suomen t&auml;rkeimmist&auml; yleisist&auml; teist&auml;. Tien alkuper&auml;inen linjaus H&auml;meen linnasta Renkoon kulki Hattelmalan ja Alaj&auml;rven kautta, mutta siirrettiin pohjoisemmaksi viimeist&auml;&auml;n 1600-luvulla. H&auml;rk&auml;tiehen liittyi jo varhain my&ouml;s Somerolta Uskelaan, Saloon ja Halikkoon jo 1200-luvun alkupuolella vienyt nk. Hiidentie, joka j&auml;rjestettiin yleiseksi tieksi mahdollisesti jo keskiajalla tai 1500-luvulla. H&auml;rk&auml;tie oli viimeist&auml;&auml;n 1300-luvun lopulla my&ouml;s pyhiinvaellusreitti. H&auml;rk&auml;tien suuntaisesti tai siit&auml; hieman et&auml;&auml;mm&auml;ll&auml; kulki my&ouml;s eriaikaisia H&auml;mett&auml; ja Varsinais-Suomea yhdist&auml;neit&auml; talviteit&auml;."
"773","474","fin","Suomen tunnetuimpiin maanteihin kuulunut H&auml;meen H&auml;rk&auml;tie pohjautui H&auml;mett&auml; ja Aurajokilaaksoa jo viikinkiajalla (800&ndash;1050 Jaa) yhdist&auml;neeseen maareittiin. Nimi perustunee It&auml;meren alueella my&ouml;h&auml;iskeskiajalla kukoistaneeseen nautael&auml;inten kauppaan ja sen varhaisin p&auml;&auml;tepiste Turussa on ollut Hevostori. H&auml;rk&auml;tie j&auml;rjestettiin talonpoikien yll&auml;pit&auml;m&auml;ksi yleiseksi tieksi viimeist&auml;&auml;n 1300-luvun puolimaissa. H&auml;meen linnan Turkuun yhdist&auml;nyt maantie sis&auml;ltyy Jakob Teitin 1555&ndash;1556 luetteloon Suomen t&auml;rkeimmist&auml; yleisist&auml; teist&auml;. Tien alkuper&auml;inen linjaus H&auml;meen linnasta Renkoon kulki Hattelmalan ja Alaj&auml;rven kautta, mutta siirrettiin pohjoisemmaksi viimeist&auml;&auml;n 1600-luvulla. H&auml;rk&auml;tiehen liittyi jo varhain my&ouml;s Somerolta Uskelaan, Saloon ja Halikkoon jo 1200-luvun alkupuolella vienyt nk. Hiidentie, joka j&auml;rjestettiin yleiseksi tieksi mahdollisesti jo keskiajalla tai 1500-luvulla. H&auml;rk&auml;tie oli viimeist&auml;&auml;n 1300-luvun lopulla my&ouml;s pyhiinvaellusreitti. H&auml;rk&auml;tien suuntaisesti tai siit&auml; hieman et&auml;&auml;mm&auml;ll&auml; kulki my&ouml;s eriaikaisia H&auml;mett&auml; ja Varsinais-Suomea yhdist&auml;neit&auml; talviteit&auml;."
"783","484","fin","P&auml;lk&auml;neen ja Kangasalan seudulta Laukaalle vienyt talvitie takautuu keskiaikaan. Tien sijainnista L&auml;ngelm&auml;vedell&auml; on eri k&auml;sityksi&auml;, mutta todenn&auml;k&ouml;isesti tie noudatteli vesist&ouml;n it&auml;rantaa. P&auml;lk&auml;neelt&auml; L&auml;ngelm&auml;veden it&auml;puolitse L&auml;nkipohjaan vienyt maantie mainitaan 1696. L&auml;ngelm&auml;veden pohjoispuolella Kangasalta Orivedelle vienyt kes&auml;tie takautuu keskiaikaan, kun taas L&auml;ngelm&auml;veden pohjoispuolitse L&auml;nkipohjaan vienyt maantie on todenn&auml;k&ouml;isesti vasta 1600-luvulta. Alueella on ollut useita paikallisempia talviteit&auml;. Suomen kenraalikuvern&ouml;&ouml;ri Pietari Brahe matkasi Laukaan talvitiet&auml; ja sen jatkeena ollutta P&auml;lk&auml;neen-Marttilan talvitiet&auml; maaliskuussa 1640, jolloin h&auml;n y&ouml;pyi 20.3. Rautalammin Kierkillassa (K&auml;rkk&auml;l&auml;, K&auml;rk&auml;l&auml;nsalo), 21.3. Pernasaaren nimismiestalossa, 22.3. Muuramen kyl&auml;ss&auml;, 23.3. J&auml;ms&auml;n pappilassa, 24.3. L&auml;ngelm&auml;en kyl&auml;ss&auml;, 25.3. P&auml;lk&auml;neen nimismiestalossa, 27.3. Urjalan Kankaanp&auml;&auml;n nimismiestalossa, ja 28.3. Marttilassa. Viabundukseen merkitty reitti on suuntaa antava, ei maantieteellisesti tarkka ja on ulotettu Laukaan Kuusveden kievariin (1600), josta haarautui talviteit&auml; ja taivallusreittej&auml; eri suuntiin."
"789","490","fin","Talvitie ja sulan ajan taivallusreitti Savosta S&auml;r&auml;isniemelle ja Ouluun sis&auml;ltyy Olavinlinnan p&auml;&auml;llik&ouml;n Ture Pederssonin (Bielke) kuningas Kustaa Vaasalle 1556 laatimaan selostukseen. Varsinainen taivallusreitti alkoi Joroisilta, josta Tavinsalmelle oli 20 peninkulmaa (n. 120 km). Sielt&auml; jatkettiin 17 peninkulmaa (n. 100 km) Ouluntaipaleeseen, josta reitti vei Ouluj&auml;rvelle (Vuolijoki) ja edelleen S&auml;r&auml;isniemeen, josta tie jatkui jokivartta Ouluun, sulana aikana voitiin kulkea veneell&auml;. Taivallusreitin ja talvitien pohjoisp&auml;&auml;ss&auml; sijaitsi 1550-luvulta l&auml;htien Saaresm&auml;en asutus, jonne Oulun porvarit saivat 1625 oikeuden vuosittaisiin talvimarkkinoihin. Reitin etel&auml;p&auml;&auml; on todenn&auml;k&ouml;isesti haarautunut Joroisista sek&auml; Juvalle (1556) ett&auml; Rantasalmelle ja edelleen Olavinlinnaan. Viabundukseen merkitty reitti on suuntaa antava, ei maantieteellisesti tarkka."
"449","86","deu","S&uuml;dliche Umgehungsstra&szlig;e des Erfurter Geleits nach einem Erfurter Klageschreiben."
"744","438","deu","Eine Stra&szlig;e von Mei&szlig;en nach Prag &uuml;ber Rumburg, Waltersdorf, Kratzau/Chrastava, Reichenberg/Liberec, Turnau/Turnov und Jič&iacute;n kam im 15. Jh. in Gebrauch, dabei den Zittauer Stapel umgehend. Nach Beschwerden aus Zittau verbot K&ouml;nig Wenzel 1418 die Benutzung dieser Stra&szlig;e. K&ouml;nig Mathias benutzte 1611 jedoch einen Teil der Stra&szlig;e zwischen Gabel/Jablonn&eacute; v Podje&scaron;těd&iacute; und Bautzen, um die in Zittau grassierende Pest zu umgehen. Daraufhin wurde diese die K&ouml;nigstra&szlig;e genannt."
"784","485","fin","P&auml;lk&auml;neen ja Kangasalan seudulta Laukaalle vieneen sulan ajan maantien j&auml;rjestelyiden ik&auml; on ep&auml;selv&auml;, mutta sen reitti takautunee 1500-luvulle. Tien sijainnista L&auml;ngelm&auml;vedell&auml; on eri k&auml;sityksi&auml;, mutta todenn&auml;k&ouml;isesti tie noudatteli vesist&ouml;n it&auml;rantaa. P&auml;lk&auml;neelt&auml; L&auml;ngelm&auml;veden it&auml;puolitse L&auml;nkipohjaan vienyt maantie mainitaan 1696. L&auml;ngelm&auml;veden pohjoispuolella Kangasalta Orivedelle vienyt kes&auml;tie takautuu keskiaikaan, kun taas L&auml;ngelm&auml;veden pohjoispuolitse L&auml;nkipohjaan vienyt maantie on todenn&auml;k&ouml;isesti vasta 1600-luvulta. Tien suuntaisesti kulki jo varhain P&auml;lk&auml;neen ja Kangasalan seudulta Keski-Suomeen vienyt talvitie."
