"id","parentid","name","latitude","longitude","links","zoomlevel","Is_Settlement","Settlement_From","Settlement_To","Settlement_Description","Is_Town","Town_From","Town_To","Town_Description","Is_Fair","Fair_From","Fair_To","Gregorian_Calendar","Fair_Description","Is_Toll","Toll_From","Toll_To","Toll_Primary_Owner","Toll_Description","Is_Bridge","Bridge_From","Bridge_To","Bridge_Description","Is_Staple","Staple_From","Staple_To","Staple_Duration_Of_Stay","Staple_Description","Is_Ferry","Ferry_From","Ferry_To","Ferry_Description","Is_Harbour","Harbour_From","Harbour_To","Harbour_Description","Is_Lock","Lock_From","Lock_To","Lock_Description","ready"
"5704",null,"Osnabrück","52.2772","8.041195","gn:2856883;wd:Q33158934;wd:Q33158934","7","y","772",null,"First mentioned in ca. 772. The cathedral, which belonged to the bishopric founded by Charlemagne, was probably dedicated in 787. The merchant settlement acquired market, toll and minting privileges in 1002.","y","1171",null,"Characterised as &quot;civitas&quot; since 1147. Emperor Frederick I granted town privileges to Osnabr&uuml;ck in 1171.","y","1002",null,null,"The oldest fairs in Osnabr&uuml;ck went back to the market privilege of 1002. Before 1190, two four-day fairs are mentioned, the &quot;Herrenmesse&quot; of the Dedication of the cathedral on St Crispin and Crispinian, and on mid-Lent. From 1190, a third fair, the &quot;new fair&quot; was held on the Exaltation of the Holy Cross, which disappeared in the late 15th century. The large fairs were especially important as markets for the locally produced cloth, and attracted visitors from as far as Bremen, Lippstadt, Dortmund, Wesel, Xanten and Deventer. Smaller fairs of a single day were held on the dedication days of the churches of the Franciscan, Dominican, Augustinian and Teutonic knights&#039; monasteries.","y","1002",null,"Bischof von Osnabrück","The bishop of Osnabr&uuml;ck levied a market toll since the foundation of the market. A third part of the toll which was levied on the &quot;new&quot; fair on the Exaltation of the Holy Cross was ceded to the cathedral chapter in 1190. The toll of the fair on the cathedral square is mentioned in 1242 as &quot;thelonium cimiterii&quot;. From 1359 the toll was mostly leased out, with the exception of the toll on salt. The latter was finally also leased to the burgomaster in 1487. The citizens of Osnabr&uuml;ck were exempted from toll payments between 1388 and 1424.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
"5705",null,"Osnichki","59.554007","32.064457","gn:514332","11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5706",null,"Osowiec","52.926354","22.256871","gn:762957;wd:Q5619407;wd:Q5619407","11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5707",null,"Ossenberg","51.567077","6.582491","wd:Q1756787;gn:2856863","12",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5710",null,"Ossendrecht","51.394268","4.322054","gn:2749223;wd:Q579722;wd:Q579722","12","y","1187",null,"Earliest mention in 1187, in a copy dating from 1277.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5711",null,"Deutsch Ossig","51.100001","14.975832","gn:2937795;wd:Q1201950;viaf:238752294","11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5713",null,"Ostbarthausen","52.092494","8.249455","gn:2856821;wd:Q1357623","12",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5715",null,"Osteel","53.532888","7.263093","gn:2856801;wd:Q32209710;wd:Q32209710","13","y","1260",null,"The church in Osteel was built between 1260 and 1285. The village itself was first mentioned in 1387.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
"5716",null,"Osten","53.855582","13.194466","gn:2856791","12",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5719",null,"Ostenholz","52.774672","9.722012","gn:2856759;wd:Q54867482","10","y","950",null,"First mentioned in ca. 950.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
"5720",null,"Haupt","51.795508","8.612349","gn:2909036;wd:Q662025;viaf:316389184","11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5721",null,"Ostentrop","51.19332","8.018752","gn:2856753;wd:Q10779976;gnd:4608675-4","11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5722",null,"Øster Nykirke","55.884211","9.373946","gn:2615496;wd:Q308333","10","y","1200",null,"The village was first mentioned in c. 1330, but is older. The parish church is from either the 12th or 13th century.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5724",null,"Osterburg","52.790585","11.753873","gn:2856639;wd:Q32210043;wd:Q32210043","10","y","1157",null,"Former Slavic settlement. In the 10th cenutry probably castle village. In 1196 property in Osterburg is given to the archbishop of Magdeburg.","y","1164",null,"In 1164 the village is first referred to as &quot;urbs&quot;.","y",null,null,null,"In an official schedule from 1719, Osterburg, Arendsee and Bismark each held six fairs. It can be assumed that some of these had existed for a while to this point. Ware markets, fairs and cattle markets are mentioned earlier.","y","1287",null,null,"In 1287, the old city of Osterburg is referred to as toll station.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
