"vnr";"maat";"st_maat"
"1";"@";"Arroba"
"2";"[] Favn";"Kubikfavn"
"3";"[] Favne";"Kubikfavn"
"4";"1/1";
"5";"1/1 Ahm";"Ahm"
"6";"1/1 Ahm.";"Ahm"
"7";"1/1 Ahme";"Ahm"
"8";"1/1 Ahmer";"Ahm"
"9";"1/1 Al.";"Alen"
"10";"1/1 Ank.";"Anker"
"11";"1/1 Anker";"Anker"
"12";"1/1 Ankere";"Anker"
"13";"1/1 Bahler";"Balle"
"14";"1/1 Bdtr.";"Bundner"
"15";"1/1 Bohler";"Botte"
"16";"1/1 Bohter";"Botte"
"17";"1/1 Bolher";"Botte"
"18";"1/1 Boot";"Botte"
"19";"1/1 Booter";"Botte"
"20";"1/1 Bot.";"Botte"
"21";"1/1 Both";"Botte"
"22";"1/1 Both.";"Botte"
"23";"1/1 Bother";"Botte"
"24";"1/1 Bother og piber";"Botte"
"25";"1/1 Bother og piber";"Pibe"
"26";"1/1 Botl.";"Buteljer"
"27";"1/1 Botter";"Botte"
"28";"1/1 Bout.";"Buteljer"
"29";"1/1 Bouteiller";"Buteljer"
"30";"1/1 Bouteilr.";"Buteljer"
"31";"1/1 Bouth.";"Buteljer"
"32";"1/1 Boutl.";"Buteljer"
"33";"1/1 Boutle";"Buteljer"
"34";"1/1 Boutle.";"Buteljer"
"35";"1/1 Boutler";"Buteljer"
"36";"1/1 Boutlr.";"Buteljer"
"37";"1/1 Boutt.";"Buteljer"
"38";"1/1 Bs.";"Bundner"
"39";"1/1 Bt.";"Buteljer"
"40";"1/1 Bther.";"Botte"
"41";"1/1 Btl.";"Buteljer"
"42";"1/1 Btlr.";"Buteljer"
"43";"1/1 Bundt.";"Bundner"
"44";"1/1 Bundter";"Bundner"
"45";"1/1 Butl.";"Buteljer"
"46";"1/1 Casser";"Casser"
"47";"1/1 Degger";"Dægge"
"48";"1/1 Dunk";"Dunk"
"49";"1/1 Dunke";"Dunk"
"50";"1/1 Dusin";"Dusin"
"51";"1/1 Fad";"Fad"
"52";"1/1 Fade";"Fad"
"53";"1/1 Fader";"Fad"
"54";"1/1 Fads";"Fad"
"55";"1/1 Favn.";"Favn"
"56";"1/1 Fjerdinger";"Fjerding"
"57";"1/1 Fjerdjnger";"Fjerding"
"58";"1/1 Fl.";"Flaske"
"59";"1/1 Flæsker";"Flaske"
"60";"1/1 Flask";"Flaske"
"61";"1/1 Flaske";"Flaske"
"62";"1/1 Flasker";"Flaske"
"63";"1/1 Flskr.";"Flaske"
"64";"1/1 Foust.";"Fustage"
"65";"1/1 Fude";"Fad"
"66";"1/1 Fuder";"Fad"
"67";"1/1 Fust.";"Fustage"
"68";"1/1 Hagger";"Lægger"
"69";"1/1 Kander";"Kande"
"70";"1/1 Kasse";"Casser"
"71";"1/1 Kasser";"Casser"
"72";"1/1 Kist";"Kiste"
"73";"1/1 Kist.";"Kiste"
"74";"1/1 Kiste";"Kiste"
"75";"1/1 Kister";"Kiste"
"76";"1/1 Kuintal";"Quintel"
"77";"1/1 Kurve";"Kurv"
"78";"1/1 Lægger";"Lægger"
"79";"1/1 Læst.";"Læst"
"80";"1/1 Læster";"Læst"
"81";"1/1 Leg.";"Lægger"
"82";"1/1 Leggen";"Lægger"
"83";"1/1 Legger";"Lægger"
"84";"1/1 Litres";"Liter"
"85";"1/1 Ltl.";"Liter"
"86";"1/1 Moyer";"Moyen"
"87";"1/1 Mud";"Mud"
"88";"1/1 Ottinger";"Otting"
"89";"1/1 Ox.";"Oksehovede"
"90";"1/1 Oxeh.";"Oksehovede"
"91";"1/1 Oxehed.";"Oksehovede"
"92";"1/1 Oxehovdr.";"Oksehovede"
"93";"1/1 Oxehoved";"Oksehovede"
"94";"1/1 Oxehoveder";"Oksehovede"
"95";"1/1 Oxehv.";"Oksehovede"
"96";"1/1 Oxehvd.";"Oksehovede"
"97";"1/1 Oxh.";"Oksehovede"
"98";"1/1 Oxhd.";"Oksehovede"
"99";"1/1 Oxhder.";"Oksehovede"
"100";"1/1 Oxhdr.";"Oksehovede"
"101";"1/1 Oxhed.";"Oksehovede"
"102";"1/1 Oxhfdr.";"Oksehovede"
"103";"1/1 Oxhovd.";"Oksehovede"
"104";"1/1 Oxhovde.";"Oksehovede"
"105";"1/1 Oxhovder";"Oksehovede"
"106";"1/1 Oxhovdr.";"Oksehovede"
"107";"1/1 Oxhoved";"Oksehovede"
"108";"1/1 Oxhoved.";"Oksehovede"
"109";"1/1 Oxhovede";"Oksehovede"
"110";"1/1 Oxhoveder";"Oksehovede"
"111";"1/1 Oxhv.";"Oksehovede"
"112";"1/1 Oxhvd.";"Oksehovede"
"113";"1/1 Oxhvde.";"Oksehovede"
"114";"1/1 Oxhvder.";"Oksehovede"
"115";"1/1 Oxhvdr.";"Oksehovede"
"116";"1/1 Panschons";"Puncheon"
"117";"1/1 Pib.";"Pibe"
"118";"1/1 Pibe";"Pibe"
"119";"1/1 Piber";"Pibe"
"120";"1/1 Piber og Bother";"Botte"
"121";"1/1 Piber og Bother";"Pibe"
"122";"1/1 Potter";"Pot"
"123";"1/1 Prinke";
"124";"1/1 Punchens";"Puncheon"
"125";"1/1 Pund";"Pund"
"126";"1/1 Ruller";"Ruller"
"127";"1/1 Skippund";"Skippund"
"128";"1/1 Ste.";"Støcker"
"129";"1/1 Stk.";"Støcker"
"130";"1/1 T.";"Tønde"
"131";"1/1 Td.";"Tønde"
"132";"1/1 Tde.";"Tønde"
"133";"1/1 Tdr.";"Tønde"
"134";"1/1 Tjers";"Tierce"
"135";"1/1 Tnder.";"Tønde"
"136";"1/1 Tndr.";"Tønde"
"137";"1/1 To.";"Tønde"
"138";"1/1 Tomme";"Tommer"
"139";"1/1 Tommer";"Tommer"
"140";"1/1 Tønd";"Tønde"
"141";"1/1 Tønd.";"Tønde"
"142";"1/1 Tonde";"Tønde"
"143";"1/1 Tønde";"Tønde"
"144";"1/1 Tonder";"Tønde"
"145";"1/1 Tønder";"Tønde"
"146";"1/1 Tøndr.";"Tønde"
"147";"1/1 Tons";"Ton"
"148";"1/1 Tr.";"Tønde"
"149";"1/1 Tylt";"Tylt"
"150";"1/1 Vahl.";"Wohl"
"151";"1/10 Boutl.";"Buteljer, 1/10"
"152";"1/10 Kasser";"Casser, 1/10"
"153";"1/10 Kister";"Kiste, 1/10"
"154";"1/10 Oxeh.";"Oksehovede, 1/10"
"155";"1/10 Oxehd.";"Oksehovede, 1/10"
"156";"1/10 Piber";"Pibe, 1/10"
"157";"1/10 Skippund";"Skippund, 1/10"
"158";"1/10 Tdr.";"Tønde, 1/10"
"159";"1/10 Tønder";"Tønde, 1/10"
"160";"1/12 Kister";"Kiste, 1/12"
"161";"1/12 Pibe";"Pibe, 1/12"
"162";"1/12 Piber";"Pibe, 1/12"
"163";"1/12 Tdr.";"Tønde, 1/12"
"164";"1/12 Tønder";"Tønde, 1/12"
"165";"1/14 Piber";"Pibe, 1/14"
"166";"1/15 Booter";"Botte, 1/15"
"167";"1/15 Boutl.";"Buteljer, 1/15"
"168";"1/15 Piber";"Pibe, 1/15"
"169";"1/16";
"170";"1/16 Ahm";"Ahm, 1/16"
"171";"1/16 Bother";"Botte, 1/16"
"172";"1/16 Btl.";"Buteljer, 1/16"
"173";"1/16 Centner";"Centner, 1/16"
"174";"1/16 Deele";"En del, 1/16"
"175";"1/16 Fl.";"Flaske, 1/16"
"176";"1/16 Flasker";"Flaske, 1/16"
"177";"1/16 Pibe";"Pibe, 1/16"
"178";"1/16 Piber";"Pibe, 1/16"
"179";"1/16 Pund";"Pund, 1/16"
"180";"1/16 Stk.";"Støcker, 1/16"
"181";"1/16 Td.";"Tønde, 1/16"
"182";"1/16 Tde.";"Tønde, 1/16"
"183";"1/16 Tdr.";"Tønde, 1/16"
"184";"1/16 Tndr.";"Tønde, 1/16"
"185";"1/16 Ton";"Ton, 1/16"
"186";"1/16 Tønd";"Tønde, 1/16"
"187";"1/16 Tond.";"Tønde, 1/16"
"188";"1/16 Tønd.";"Tønde, 1/16"
"189";"1/16 Tonde";"Tønde, 1/16"
"190";"1/16 Tønde";"Tønde, 1/16"
"191";"1/16 Tonder";"Tønde, 1/16"
"192";"1/16 Tønder";"Tønde, 1/16"
"193";"1/16 Tondr.";"Tønde, 1/16"
"194";"1/16 Tøndr.";"Tønde, 1/16"
"195";"1/16 Tons";"Ton, 1/16"
"196";"1/16 Tr.";"Tønde, 1/16"
"197";"1/16 Trd.";"Tønde, 1/16"
"198";"1/16 Tylt";"Tylt, 1/16"
"199";"1/18";
"200";"1/18 Pibe";"Pibe, 1/18"
"201";"1/18 Piber";"Pibe, 1/18"
"202";"1/18 Tønder";"Tønde, 1/18"
"203";"1/2";"Halve"
"204";"1/2 @";"Arroba, Halve"
"205";"1/2 Ahm";"Ahm, Halve"
"206";"1/2 Ahm.";"Ahm, Halve"
"207";"1/2 Ahme";"Ahm, Halve"
"208";"1/2 Ahme.";"Ahm, Halve"
"209";"1/2 Ahmer";"Ahm, Halve"
"210";"1/2 Ahmr";"Ahm, Halve"
"211";"1/2 Al.";"Alen, Halve"
"212";"1/2 Amer";"Ahm, Halve"
"213";"1/2 Ammer";"Ahm, Halve"
"214";"1/2 Anchere";"Anker, Halve"
"215";"1/2 Ancker";"Anker, Halve"
"216";"1/2 Ank.";"Anker, Halve"
"217";"1/2 Anker";"Anker, Halve"
"218";"1/2 Ankere";"Anker, Halve"
"219";"1/2 Ankers";"Anker, Halve"
"220";"1/2 Arrobas";"Arroba, Halve"
"221";"1/2 Bahler";"Balle, Halve"
"222";"1/2 Ball.";"Balle, Halve"
"223";"1/2 Baller";"Balle, Halve"
"224";"1/2 Bdtr.";"Bundner, Halve"
"225";"1/2 Boet.";"Buteljer, Halve"
"226";"1/2 Bohler";"Botte, Halve"
"227";"1/2 Bohter";"Botte, Halve"
"228";"1/2 Bolher";"Botte, Halve"
"229";"1/2 Bønde";"Bundner, Halve"
"230";"1/2 Boot";"Botte, Halve"
"231";"1/2 Booter";"Botte, Halve"
"232";"1/2 Booth.";"Botte, Halve"
"233";"1/2 Boother";"Botte, Halve"
"234";"1/2 Bot.";"Botte, Halve"
"235";"1/2 Both";"Botte, Halve"
"236";"1/2 Both.";"Botte, Halve"
"237";"1/2 Bother";"Botte, Halve"
"238";"1/2 Bother og piber";"Botte, Halve"
"239";"1/2 Bother og piber";"Pibe, Halve"
"240";"1/2 Botl.";"Buteljer, Halve"
"241";"1/2 Bout.";"Buteljer, Halve"
"242";"1/2 Bouteiller";"Buteljer, Halve"
"243";"1/2 Bouteilr.";"Buteljer, Halve"
"244";"1/2 Bouteller";"Buteljer, Halve"
"245";"1/2 Bouth.";"Buteljer, Halve"
"246";"1/2 Boutl.";"Buteljer, Halve"
"247";"1/2 Boutle";"Buteljer, Halve"
"248";"1/2 Boutle.";"Buteljer, Halve"
"249";"1/2 Boutler";"Buteljer, Halve"
"250";"1/2 Boutlr.";"Buteljer, Halve"
"251";"1/2 Bs.";"Bundner, Halve"
"252";"1/2 Bt.";"Buteljer, Halve"
"253";"1/2 Bther.";"Buteljer, Halve"
"254";"1/2 Btl.";"Buteljer, Halve"
"255";"1/2 Btlr.";"Buteljer, Halve"
"256";"1/2 Bundt";"Bundner, Halve"
"257";"1/2 Bundt.";"Bundner, Halve"
"258";"1/2 Bundter";"Bundner, Halve"
"259";"1/2 Buschels";"Bushel, Halve"
"260";"1/2 Butl.";"Buteljer, Halve"
"261";"1/2 Casser";"Casser, Halve"
"262";"1/2 Centn.";"Centner, Halve"
"263";"1/2 Chalders";"Chaldron, Halve"
"264";"1/2 Dægger";"Dægge, Halve"
"265";"1/2 Degger";"Dægge, Halve"
"266";"1/2 Dunk";"Dunk, Halve"
"267";"1/2 Dunke";"Dunk, Halve"
"268";"1/2 Dunker";"Dunk, Halve"
"269";"1/2 Dusin";"Dusin, Halve"
"270";"1/2 Fad";"Fad, Halve"
"271";"1/2 Fade";"Fad, Halve"
"272";"1/2 Fader";"Fad, Halve"
"273";"1/2 Fads";"Fad, Halve"
"274";"1/2 Favn";"Favn, Halve"
"275";"1/2 Favn.";"Favn, Halve"
"276";"1/2 Favne";"Favn, Halve"
"277";"1/2 Fjerd.";"Fjerding, Halve"
"278";"1/2 Fjerdinger";"Fjerding, Halve"
"279";"1/2 Fjerdjnger";"Fjerding, Halve"
"280";"1/2 Fl.";"Flaske, Halve"
"281";"1/2 Flæsker";"Flaske, Halve"
"282";"1/2 Flask";"Flaske, Halve"
"283";"1/2 Flaske";"Flaske, Halve"
"284";"1/2 Flasker";"Flaske, Halve"
"285";"1/2 Flskr.";"Flaske, Halve"
"286";"1/2 Fods";"Foder, Halve"
"287";"1/2 Foust.";"Foder, Halve"
"288";"1/2 Fude";"Fud, Halve"
"289";"1/2 Fuder";"Fud, Halve"
"290";"1/2 Fust.";"Fustage, Halve"
"291";"1/2 Halve piber";"Pibe, Halve"
"292";"1/2 Hectolitter";"Hectoliter, Halve"
"293";"1/2 Heele Piber";"Pibe, Halve"
"294";"1/2 Kande";"Kande, Halve"
"295";"1/2 Kander";"Kande, Halve"
"296";"1/2 Kanner";"Kande, Halve"
"297";"1/2 Kappr.";"Kop, Halve"
"298";"1/2 Kass.";"Casser, Halve"
"299";"1/2 Kasse";"Casser, Halve"
"300";"1/2 Kasser";"Casser, Halve"
"301";"1/2 Keel";"Keel, Halve"
"302";"1/2 Kelder";"Kelder, Halve"
"303";"1/2 Kist";"Kiste, Halve"
"304";"1/2 Kist.";"Kiste, Halve"
"305";"1/2 Kiste";"Kiste, Halve"
"306";"1/2 Kister";"Kiste, Halve"
"307";"1/2 Kuintal";"Quintel, Halve"
"308";"1/2 Kurfer";"Kurv, Halve"
"309";"1/2 Kurve";"Kurv, Halve"
"310";"1/2 Lægger";"Lægger, Halve"
"311";"1/2 Læst";"Læst, Halve"
"312";"1/2 Læst.";"Læst, Halve"
"313";"1/2 Læster";"Læst, Halve"
"314";"1/2 Leg.";"Lægger, Halve"
"315";"1/2 Legge";"Lægger, Halve"
"316";"1/2 Leggen";"Lægger, Halve"
"317";"1/2 Legger";"Lægger, Halve"
"318";"1/2 Lispund";"Lispund, Halve"
"319";"1/2 Litres";"Liter, Halve"
"320";"1/2 Moyer";"Moyen, Halve"
"321";"1/2 Mud";"Mud, Halve"
"322";"1/2 Oksehovede";"Oksehovede, Halve"
"323";"1/2 Otting";"Otting, Halve"
"324";"1/2 Otting.";"Otting, Halve"
"325";"1/2 Ox.";"Oksehovede, Halve"
"326";"1/2 Oxeh.";"Oksehovede, Halve"
"327";"1/2 Oxehd.";"Oksehovede, Halve"
"328";"1/2 Oxehe.";"Oksehovede, Halve"
"329";"1/2 Oxehoffer";"Oksehovede, Halve"
"330";"1/2 Oxehovde";"Oksehovede, Halve"
"331";"1/2 Oxehovdr.";"Oksehovede, Halve"
"332";"1/2 Oxehoved";"Oksehovede, Halve"
"333";"1/2 Oxehovede";"Oksehovede, Halve"
"334";"1/2 Oxehoveder";"Oksehovede, Halve"
"335";"1/2 Oxehv.";"Oksehovede, Halve"
"336";"1/2 Oxehvd.";"Oksehovede, Halve"
"337";"1/2 Oxh.";"Oksehovede, Halve"
"338";"1/2 Oxh-d";"Oksehovede, Halve"
"339";"1/2 Oxhd.";"Oksehovede, Halve"
"340";"1/2 Oxhder.";"Oksehovede, Halve"
"341";"1/2 Oxhdr.";"Oksehovede, Halve"
"342";"1/2 Oxhe.";"Oksehovede, Halve"
"343";"1/2 Oxhed.";"Oksehovede, Halve"
"344";"1/2 Oxhfd.";"Oksehovede, Halve"
"345";"1/2 Oxhoder";"Oksehovede, Halve"
"346";"1/2 Oxhofd";"Oksehovede, Halve"
"347";"1/2 Oxhofd.";"Oksehovede, Halve"
"348";"1/2 Oxhofder";"Oksehovede, Halve"
"349";"1/2 Oxhov.";"Oksehovede, Halve"
"350";"1/2 Oxhovd.";"Oksehovede, Halve"
"351";"1/2 Oxhovde.";"Oksehovede, Halve"
"352";"1/2 Oxhovder";"Oksehovede, Halve"
"353";"1/2 Oxhovdr.";"Oksehovede, Halve"
"354";"1/2 Oxhoved";"Oksehovede, Halve"
"355";"1/2 Oxhoved.";"Oksehovede, Halve"
"356";"1/2 Oxhovede";"Oksehovede, Halve"
"357";"1/2 Oxhoveder";"Oksehovede, Halve"
"358";"1/2 Oxhr.";"Oksehovede, Halve"
"359";"1/2 Oxhv.";"Oksehovede, Halve"
"360";"1/2 Oxhvd.";"Oksehovede, Halve"
"361";"1/2 Oxhvde.";"Oksehovede, Halve"
"362";"1/2 Oxhvder.";"Oksehovede, Halve"
"363";"1/2 Oxhvdr.";"Oksehovede, Halve"
"364";"1/2 Panschons";"Puncheon, Halve"
"365";"1/2 Pib.";"Pibe, Halve"
"366";"1/2 Pibe";"Pibe, Halve"
"367";"1/2 Piben";"Pibe, Halve"
"368";"1/2 Piber";"Pibe, Halve"
"369";"1/2 Piber og Bother";"Botte, Halve"
"370";"1/2 Piber og Bother";"Pibe, Halve"
"371";"1/2 Piibe";"Pibe, Halve"
"372";"1/2 Piiber";"Pibe, Halve"
"373";"1/2 Potter";"Pot, Halve"
"374";"1/2 Prinke";
"375";"1/2 Pud";"Pud, Halve"
"376";"1/2 Punchens";"Puncheon, Halve"
"377";"1/2 Pund";"Pund, Halve"
"378";"1/2 Quarter";"Quardel, Halve"
"379";"1/2 Quarters";"Quardel, Halve"
"380";"1/2 Riis";"Ris, Halve"
"381";"1/2 Ruller";"Ruller, Halve"
"382";"1/2 Salm.";"Salma, Halve"
"383";"1/2 Sch.";"Scheffel, Halve"
"384";"1/2 Schef.";"Scheffel, Halve"
"385";"1/2 Scheffl.";"Scheffel, Halve"
"386";"1/2 Schefl.";"Scheffel, Halve"
"387";"1/2 Schfl.";"Scheffel, Halve"
"388";"1/2 Seche";"Sæk, Halve"
"389";"1/2 Skippund";"Skippund, Halve"
"390";"1/2 Skok";"Skok, Halve"
"391";"1/2 Ste.";"Sten, Halve"
"392";"1/2 Steen";"Sten, Halve"
"393";"1/2 Stk.";"Støcker, Halve"
"394";"1/2 Td.";"Tønde, Halve"
"395";"1/2 Tde.";"Tønde, Halve"
"396";"1/2 Tdr";"Tønde, Halve"
"397";"1/2 Tdr.";"Tønde, Halve"
"398";"1/2 Te.";"Tønde, Halve"
"399";"1/2 Tnder.";"Tønde, Halve"
"400";"1/2 Tndr.";"Tønde, Halve"
"401";"1/2 To.";"Tønde, Halve"
"402";"1/2 Tomme";"Tommer, Halve"
"403";"1/2 Tommer";"Tommer, Halve"
"404";"1/2 Ton";"Ton, Halve"
"405";"1/2 Tond";"Tønde, Halve"
"406";"1/2 Tond.";"Tønde, Halve"
"407";"1/2 Tønd.";"Tønde, Halve"
"408";"1/2 Tonde";"Tønde, Halve"
"409";"1/2 Tønde";"Tønde, Halve"
"410";"1/2 Tonder";"Tønde, Halve"
"411";"1/2 Tønder";"Tønde, Halve"
"412";"1/2 Tøndr.";"Tønde, Halve"
"413";"1/2 Tons";"Ton, Halve"
"414";"1/2 Txr.";"Tønde, Halve"
"415";"1/2 Tylt";"Tylt, Halve"
"416";"1/2 Tylt.";"Tylt, Halve"
"417";"1/2 Tylter";"Tylt, Halve"
"418";"1/2 Vahl.";"Wohl, Halve"
"419";"1/2 Vahle";"Wohl, Halve"
"420";"1/2 Vahler";"Wohl, Halve"
"421";"1/2 Viertel";"Viertel, Halve"
"422";"1/2 Viertl.";"Viertel, Halve"
"423";"1/2 Viertler";"Viertel, Halve"
"424";"1/2 Vog.";"Vog, Halve"
"425";"1/2 Vohl";"Wohl, Halve"
"426";"1/2 Vohl.";"Wohl, Halve"
"427";"1/2 Vohler";"Wohl, Halve"
"428";"1/2 Vtl.";"Wohl, Halve"
"429";"1/2 Vuhler";"Wohl, Halve"
"430";"1/2 Wahl";"Wohl, Halve"
"431";"1/2 Wahl.";"Wohl, Halve"
"432";"1/2 Wohler";"Wohl, Halve"
"433";"1/20 Stk.";"Støcker, 1/20"
"434";"1/25 Oxhd.";"Oksehovede, 1/25"
"435";"1/3 Bout.";"Buteljer, 1/3"
"436";"1/3 Boutl.";"Buteljer, 1/3"
"437";"1/3 Boutlr.";"Buteljer, 1/3"
"438";"1/3 Btl.";"Buteljer, 1/3"
"439";"1/3 Fl.";"Flaske, 1/3"
"440";"1/3 Flasker";"Flaske, 1/3"
"441";"1/3 Kiste";"Kiste, 1/3"
"442";"1/3 Kister";"Kiste, 1/3"
"443";"1/3 Oxhvdr.";"Oksehovede, 1/3"
"444";"1/3 Pibe";"Pibe, 1/3"
"445";"1/3 Piber";"Pibe, 1/3"
"446";"1/3 Riis";"Ris, 1/3"
"447";"1/3 Tdr.";"Tønde, 1/3"
"448";"1/3 Tønde";"Tønde, 1/3"
"449";"1/3 Tønder";"Tønde, 1/3"
"450";"1/32 Dunks";"Dunk, 1/32"
"451";"1/32 Oxeh.";"Oksehovede, 1/32"
"452";"1/32 Pibe";"Pibe, 1/32"
"453";"1/32 Skippund";"Skippund, 1/32"
"454";"1/32 Td.";"Tønde, 1/32"
"455";"1/32 Tde.";"Tønde, 1/32"
"456";"1/32 Tdr.";"Tønde, 1/32"
"457";"1/32 Tndr.";"Tønde, 1/32"
"458";"1/32 Ton";"Ton, 1/32"
"459";"1/32 Ton.";"Ton, 1/32"
"460";"1/32 Tønd";"Tønde, 1/32"
"461";"1/32 Tond.";"Tønde, 1/32"
"462";"1/32 Tønd.";"Tønde, 1/32"
"463";"1/32 Tønde";"Tønde, 1/32"
"464";"1/32 Tonder";"Tønde, 1/32"
"465";"1/32 Tønder";"Tønde, 1/32"
"466";"1/32 Tøndr.";"Tønde, 1/32"
"467";"1/32 Tons";"Ton, 1/32"
"468";"1/32 Tr.";"Tønde, 1/32"
"469";"1/32 Trd.";"Tønde, 1/32"
"470";"1/36 Oxhd.";"Oksehovede, 1/36"
"471";"1/4";"Quardel"
"472";"1/4 Ahm";"Ahm, 1/4"
"473";"1/4 Ahm.";"Ahm, 1/4"
"474";"1/4 Ahme";"Ahm, 1/4"
"475";"1/4 Ahmer";"Ahm, 1/4"
"476";"1/4 Alen";"Alen, 1/4"
"477";"1/4 Ank.";"Anker, 1/4"
"478";"1/4 Anker";"Anker, 1/4"
"479";"1/4 Ankere";"Anker, 1/4"
"480";"1/4 Ankers";"Anker, 1/4"
"481";"1/4 Balle";"Balle, 1/4"
"482";"1/4 Bohler";"Balle, 1/4"
"483";"1/4 Boisseau";"Boisseau, 1/4"
"484";"1/4 Bolher";"Balle, 1/4"
"485";"1/4 Booter";"Botte, 1/4"
"486";"1/4 Booth.";"Botte, 1/4"
"487";"1/4 Both";"Botte, 1/4"
"488";"1/4 Both.";"Botte, 1/4"
"489";"1/4 Bother";"Botte, 1/4"
"490";"1/4 Bother og piber";"Botte, 1/4"
"491";"1/4 Bother og piber";"Pibe, 1/4"
"492";"1/4 Botl.";"Buteljer, 1/4"
"493";"1/4 Boul.";"Buteljer, 1/4"
"494";"1/4 Bout.";"Buteljer, 1/4"
"495";"1/4 Bouteiller";"Buteljer, 1/4"
"496";"1/4 Bouth.";"Buteljer, 1/4"
"497";"1/4 Boutl.";"Buteljer, 1/4"
"498";"1/4 Boutler";"Buteljer, 1/4"
"499";"1/4 Boutlr.";"Buteljer, 1/4"
"500";"1/4 Boutt.";"Buteljer, 1/4"
"501";"1/4 Bt.";"Buteljer, 1/4"
"502";"1/4 Btl.";"Buteljer, 1/4"
"503";"1/4 Btlr.";"Buteljer, 1/4"
"504";"1/4 Casser";"Casser, 1/4"
"505";"1/4 Fad";"Fad, 1/4"
"506";"1/4 Fade";"Fad, 1/4"
"507";"1/4 Fader";"Fad, 1/4"
"508";"1/4 Fads";"Fad, 1/4"
"509";"1/4 Favn";"Favn, 1/4"
"510";"1/4 Favne";"Favn, 1/4"
"511";"1/4 Fierd.";"Fjerding, 1/4"
"512";"1/4 Fjerdjnger";"Fjerding, 1/4"
"513";"1/4 Fl.";"Flaske, 1/4"
"514";"1/4 Flask";"Flaske, 1/4"
"515";"1/4 Flasker";"Flaske, 1/4"
"516";"1/4 Fudder";"Fud, 1/4"
"517";"1/4 Fude";"Fud, 1/4"
"518";"1/4 Fuder";"Fud, 1/4"
"519";"1/4 Fuste.";"Fustage, 1/4"
"520";"1/4 Hagger";"Lægger, 1/4"
"521";"1/4 Kande";"Kande, 1/4"
"522";"1/4 Kander";"Kande, 1/4"
"523";"1/4 Kans";"Kande, 1/4"
"524";"1/4 Kapper";"Kop, 1/4"
"525";"1/4 Kaser";"Casser, 1/4"
"526";"1/4 Kasser";"Casser, 1/4"
"527";"1/4 Kdr.";"Kande, 1/4"
"528";"1/4 Kist";"Kiste, 1/4"
"529";"1/4 Kist.";"Kiste, 1/4"
"530";"1/4 Kiste";"Kiste, 1/4"
"531";"1/4 Kister";"Kiste, 1/4"
"532";"1/4 Kistr.";"Kiste, 1/4"
"533";"1/4 Lægger";"Lægger, 1/4"
"534";"1/4 Læst";"Læst, 1/4"
"535";"1/4 Læst.";"Læst, 1/4"
"536";"1/4 Læster";"Læst, 1/4"
"537";"1/4 Læstr.";"Læst, 1/4"
"538";"1/4 Legger";"Lægger, 1/4"
"539";"1/4 Lispund";"Lispund, 1/4"
"540";"1/4 Litr.";"Liter, 1/4"
"541";"1/4 Litres";"Liter, 1/4"
"542";"1/4 Ltl.";"Liter, 1/4"
"543";"1/4 Mille";"Tusinde, 1/4"
"544";"1/4 Mud";"Mud, 1/4"
"545";"1/4 Oxeh.";"Oksehovede, 1/4"
"546";"1/4 Oxehoveder";"Oksehovede, 1/4"
"547";"1/4 Oxehvd.";"Oksehovede, 1/4"
"548";"1/4 Oxh.";"Oksehovede, 1/4"
"549";"1/4 Oxhd.";"Oksehovede, 1/4"
"550";"1/4 Oxhovd.";"Oksehovede, 1/4"
"551";"1/4 Oxhoved";"Oksehovede, 1/4"
"552";"1/4 Oxhoved.";"Oksehovede, 1/4"
"553";"1/4 Oxhoveder";"Oksehovede, 1/4"
"554";"1/4 Oxhvd.";"Oksehovede, 1/4"
"555";"1/4 Oxhvde.";"Oksehovede, 1/4"
"556";"1/4 Oxhvder.";"Oksehovede, 1/4"
"557";"1/4 Oxhvdr.";"Oksehovede, 1/4"
"558";"1/4 Oxhveder";"Oksehovede, 1/4"
"559";"1/4 Peber";"Pibe, 1/4"
"560";"1/4 Pib.";"Pibe, 1/4"
"561";"1/4 Pibe";"Pibe, 1/4"
"562";"1/4 Piber";"Pibe, 1/4"
"563";"1/4 Piber og Bother";"Botte, 1/3"
"564";"1/4 Piber og Bother";"Pibe, 1/4"
"565";"1/4 Piberr";"Pibe, 1/4"
"566";"1/4 Piiber";"Pibe, 1/4"
"567";"1/4 Potter";"Pot, 1/4"
"568";"1/4 Pud";"Pud, 1/4"
"569";"1/4 Pud.";"Pud, 1/4"
"570";"1/4 Pund";"Pund, 1/4"
"571";"1/4 Quart piber";"Pibe, 1/4"
"572";"1/4 Riis";"Ris, 1/4"
"573";"1/4 Ringer";"Ring, 1/4"
"574";"1/4 Salm.";"Salma, 1/4"
"575";"1/4 Schef.";"Scheffel, 1/4"
"576";"1/4 Scheffl.";"Scheffel, 1/4"
"577";"1/4 Schefl.";"Scheffel, 1/4"
"578";"1/4 Skippund";"Skippund, 1/4"
"579";"1/4 Steen";"Sten, 1/4"
"580";"1/4 Stk.";"Støcker, 1/4"
"581";"1/4 Td.";"Tønde, 1/4"
"582";"1/4 Tde.";"Tønde, 1/4"
"583";"1/4 Tdr.";"Tønde, 1/4"
"584";"1/4 Te.";"Tønde, 1/4"
"585";"1/4 Tndr.";"Tønde, 1/4"
"586";"1/4 Ton";"Ton, 1/4"
"587";"1/4 Tønd";"Tønde, 1/4"
"588";"1/4 Tond.";"Tønde, 1/4"
