"jaar","rolnr","snr","scnr_begin","scnr_eind","tekst","snaam","twee_op_een","sectienr"
"0","1","1","199","200",,"Told, Skriver og Tøndepenge","nee","101"
"1634","1","2","245","268",,"Ingen told, Adschillige nationer","nee","102"
"1497","1","3","531","532",,"Told, Rijnske win","nee","103"
"1497","1","4","532","542",,"Told","nee","104"
"1497","1","5","543","543",,"Told, Østersche steder","nee","105"
"1497","1","6","544","544",,"Ingen told, Østersche steder","nee","106"
"1503","1","7","546","547",,"Told, Rijnske win","nee","107"
"1503","1","8","548","556",,"Told, Lubsche","nee","108"
"1503","1","9","557","557",,"Told, Østersche steder","nee","109"
"1500","1","10","558","558",,"Ingen told, Østersche steder","nee","110"
"1528","1","11","561","562",,"Told, Rijnske win","nee","111"
"1528","1","12","562","574",,"Skibstold","nee","112"
"1528","1","13","575","576",,"Told, Østersche steder","nee","113"
"1528","1","14","576","577",,"Ingen told","nee","114"
"1536","1","15","581","584",,"Told, Rijnske win","nee","115"
"1536","1","16","585","594",,"Skibstold, Fremmede mand","nee","116"
"1536","1","17","596","598",,"Told, Østersche steder","nee","117"
"1536","1","18","599","600",,"Ingen told, Wendische steder","nee","118"
"1537","1","19","605","608",,"Told, Rijnske win","nee","119"
"1537","1","20","608","633",,"Skibstold, Fremmede mand","nee","120"
"1537","1","21","634","637",,"Skibstold, Wendische steder","nee","121"
"1537","1","22","638","638",,"Ingen told, Wendische steder og andre steder","nee","122"
"1538","1","23","648","651",,"Told, Rijnske win","nee","123"
"1538","1","24","652","672",,"Skibstold, Fremmede mand","nee","124"
"1538","1","25","673","676",,"Skibstold, Wendische steder","nee","125"
"1538","1","26","677","677",,"Ingen told, Wendische steder","nee","126"
"1539","2","1","4","8",,"Told, Rijnske win","nee","201"
"1539","2","2","9","42",,"Skibstold, Fremmede mand","nee","202"
"1539","2","3","43","51",,"Told, Wendeske steder","nee","203"
"1539","2","4","52","56",,"Ingen told","nee","204"
"1540","2","5","66","71",,"Told, Rijnske win","nee","205"
"1540","2","6","72","96",,"Skibstold, Fremmede mand","nee","206"
"1540","2","7","97","101",,"Skibstold, Wendeske steder","nee","207"
"1540","2","8","102","105",,"Ingen told","nee","208"
"1541","2","9","113","117",,"Told, Rijnske win","nee","209"
"1541","2","10","118","136",,"Skibstold, Fremmede mand","nee","210"
"1541","2","11","137","143",,"Told, Wendeske steder","nee","211"
"1541","2","12","143","146",,"Ingen told","nee","212"
"1542","2","13","157","161",,"Told, Rijnske win","nee","213"
"1542","2","14","162","180",,"Skibstold, Fremmede mand","nee","214"
"1542","2","15","180","187",,"Told, Wendeske steder","nee","215"
"1542","2","16","188","194",,"Ingen told","nee","216"
"1543","2","17","202","250",,"Skibstold, Fremmede mand","nee","217"
"1543","2","18","206","207",,"Skibstold, Wendeske steder","nee","218"
"1543","2","19","207","209",,"Ingen told","nee","219"
"1544","2","20","217","218",,"Told, Rijnske win","nee","220"
"1544","2","21","218","231",,"Skibstold, Fremmede mand","nee","221"
"1544","2","22","232","237",,"Skibstold, Wendeske steder","nee","222"
"1544","2","23","238","241",,"Ingen told","nee","223"
"1545","2","24","250","253",,"Told, Rijnske win","nee","224"
"1545","2","25","255","256",,"Kaaber lester, Fuckers","nee","225"
"1545","2","26","258","279",,"Skibstold, Fremmede mand","nee","226"
"1545","2","27","280","292",,"Skibstold, Wendeske steder","nee","227"
"1545","2","28","293","297",,"Ingen told","nee","228"
"1545","2","29","298","298",,"Kaaber told","nee","229"
"1546","2","30","309","311",,"Told, Rijnske win","nee","230"
"1546","2","31","312","337",,"Skibstold, Fremmede mand","nee","231"
"1546","2","32","338","350",,"Skibstold, Wendeske steder","nee","232"
"1546","2","33","350","354",,"Ingen told","nee","233"
"1547","2","34","366","371",,"Told, Rijnske win","nee","234"
"1547","2","35","372","398",,"Skibstold, Fremmede mand","nee","235"
"1547","2","36","398","408",,"Skibstold, Wendeske steder","nee","236"
"1548","2","37","409","413",,"Ingen told","nee","237"
"1548","2","38","423","424",,"Skibstold","nee","238"
"1548","2","39","425","425",,"Ingen told","nee","239"
"1557","2","40","446","450",,"30 Penge, Rijnsch win","nee","240"
"1557","2","41","451","451",,"30 Penge, Pøytow","nee","241"
"1557","2","42","452","453",,"30 Penge, Bastert","nee","242"
"1557","2","43","454","454",,"30 Penge, Win thint, Romenie","nee","243"
"1557","2","44","455","455",,"30 Penge, Peliet, Alloij","nee","244"
"1557","2","45","457","457",,"30 Penge, Winedicke","nee","245"
"1557","2","46","458","458",,"30 Penge, Brendewin","nee","246"
"1557","2","47","462","485",,"Skibstold, Nederlander etc. ","nee","247"
"1557","2","48","487","489",,"Skibstold, Østersche Anse steder","nee","248"
"1557","2","49","491","496",,"Skibstold, Wendiske steder","nee","249"
"1557","2","50","497","501",,"Skibstold, Embder","nee","250"
"1557","2","51","502","508",,"Skibstold, 100 Penge, Schotter","nee","251"
"1557","2","52","510","529",,"Skibstold, 100 Penge, Engelsche","nee","252"
"1557","2","53","531","535",,"Skriver og Tøndepenge, Wendische steder","nee","253"
"1557","2","54","537","541",,"30 Penge, Rijnsch win","nee","254"
"1557","2","55","542","544",,"30 Penge, Pøytow, Win tint, Romenie, Peliet","nee","255"
"1557","2","56","546","580",,"Skibstold, Nederlander etc. ","nee","256"
"1557","2","57","582","587",,"Skibstold, Dantsche og andre Østersche Anse steder","nee","257"
"1557","2","58","588","599",,"Skibstold, Wendische steder","nee","258"
"1557","2","59","600","603",,"Skibstold, Embder","nee","259"
"1557","2","60","604","628",,"Skibstold, 100 Penge, Schotter","nee","260"
"1557","3","1","4","4",,"100 Penge, Schotter","nee","301"
"1557","3","2","5","37",,"100 Penge, Engelsche","nee","302"
"1557","3","3","38","43",,"Skriver og Tøndepenge, Wendische steder","nee","303"
"1557","3","4","44","45",,"30 Penge, Rinske win","nee","304"
"1557","3","5","46","48",,"30 Penge, Pøytow, Romeni, Seck, Tint, etc.","nee","305"
"1557","3","6","50","59",,"Skibstold, Hollender","nee","306"
"1557","3","7","60","64",,"Skibstold, Dansche","nee","307"
"1557","3","8","65","69",,"Skibstold, Wendische","nee","308"
"1557","3","9","70","71",,"Skibstold, Embder","nee","309"
"1557","3","10","72","74",,"100 Penge, Schotter","nee","310"
"1557","3","11","75","81",,"100 Penge, Engelsche","nee","311"
"1557","3","12","82","84",,"100 Penge, Embder","nee","312"
"1557","3","13","85","86",,"Skriver og Tøndepenge, Wendische steder","nee","313"
"1557","3","14","87","87",,"Kaaber told","nee","314"
"1558","3","15","119","125",,"30 Penge, Rijnsk win","nee","315"
"1558","3","16","127","127",,"30 Penge, Pøytow","nee","316"
"1558","3","17","128","128",,"30 Penge, Bastert","nee","317"
"1558","3","18","131","131",,"30 Penge, Romenie","nee","318"
"1558","3","19","132","132",,"30 Penge, Seck","nee","319"
"1558","3","20","133","134",,"30 Penge, Brendewin","nee","320"
"1558","3","21","137","146",,"Skibstold, Nederlander, Embder","nee","321"
"1558","3","22","147","196",,"Skibstold, andre fremde nationer","nee","322"
"1558","3","23","197","205",,"Skibstold, Østersche steder","nee","323"
"1558","3","24","207","208",,"Skriver og Tøndepenge, Wendische steder","nee","324"
"1558","3","25","209","223",,"Skibstold, Wendische, Swendske og andre","nee","325"
"1558","3","26","225","233",,"Skibstold, 100 Penge, Schotter","nee","326"
"1558","3","27","234","237",,"Skibstold, 100 Penge, Engelsche","nee","327"
"1558","3","28","238","251",,"Skibstold, 100 Penge, Embder","nee","328"
"1558","3","29","252","265",,"Skriver og Tøndepenge, Wendische steder","nee","329"
"1560","3","30","280","288",,"30 Penge, Rynsk win","nee","330"
"1560","3","31","290","291",,"30 Penge, Pøytow","nee","331"
"1560","3","32","292","293",,"30 Penge, Romenie","nee","332"
"1560","3","33","294","295",,"30 Penge, Bastert","nee","333"
"1560","3","34","296","297",,"30 Penge, Brendewin","nee","334"
"1560","3","35","298","298",,"30 Penge, Winedicke","nee","335"
"1560","3","36","299","375",,"Skibstold, Nederlandsche steder","nee","336"
"1560","3","37","377","405",,"Skibstold, Østersche steder","nee","337"
"1560","3","38","407","426",,"Skibstold, Wendische steder","nee","338"
"1560","3","39","428","459",,"Skibstold, 100 Penge, Schotter","nee","339"
"1560","3","40","460","491",,"Skibstold, 100 Penge, Engelsche","nee","340"
"1560","3","41","493","504",,"Skibstold, 100 Penge, Embder","nee","341"
"1560","3","42","506","524",,"Skriver og Tøndepenge, Wendische og Swendsche","nee","342"
"1562","3","43","540","549",,"30 Penge, Rynsk win","nee","343"
"1562","3","44","551","553",,"30 Penge, Pøytow","nee","344"
"1562","3","45","553","556",,"30 Penge, Bastert","nee","345"
"1562","3","46","556","557",,"30 Penge, Romenie","nee","346"
"1562","3","47","558","559",,"30 Penge, Brendewin","nee","347"
"1562","3","48","560","666",,"Skibstold, Nederlandsche steder","nee","348"
"1562","4","1","3","18",,"Skibstold, Østersche steder","nee","401"
"1562","4","2","19","35",,"Skibstold, Dansche og Wendische steder","nee","402"
"1562","4","3","37","91",,"Skibstold, 100 Penge, Schotter","nee","403"
"1562","4","4","93","142",,"Skibstold, 100 Penge, Engelsche","nee","404"
"1562","4","5","143","151",,"Skibstold, 100 Penge, Frandsche","nee","405"
"1562","4","6","153","169",,"Skibstold, 100 Penge, Embder","nee","406"
"1561","4","7","169","171",,"Kaaber told","nee","407"
"1562","4","8","170","171",,"Kaaber told","nee","408"
"1562","4","9","172","188",,"Skriver og Tøndepenge, Swendsche og Wendische steder","nee","409"
"1562","4","10","190","303",,"Fyrpenge","nee","410"
"1563","4","11","319","328",,"30 Penge, Rynsch win","nee","411"
"1563","4","12","330","332",,"30 Penge, Pøytow","nee","412"
"1563","4","13","333","336",,"30 Penge, Bastert","nee","413"
"1563","4","14","336","338",,"30 Penge, Rommenie","nee","414"
"1563","4","15","340","340",,"30 Penge, Malmersie, Brendewin","nee","415"
"1563","4","16","342","465",,"Skibstold, Nederlander","nee","416"
"1563","4","17","466","481",,"Skibstold, Østersche Anse steder","nee","417"
"1563","4","18","482","496",,"Skibstold, Dansche, Swensche og Wendische steder","nee","418"
"1563","4","19","498","557",,"Skibstold, 100 Penge, Schotter","nee","419"
"1563","4","20","558","615",,"Skibstold, 100 Penge, Engelsche","nee","420"
"1563","4","21","616","616",,"100 Penge, Polske, Breslaus","nee","421"
"1563","4","22","618","624",,"Skibstold, 100 Penge, Frandsche","nee","422"
"1563","4","23","624","624",,"100 Penge, Spansche","nee","423"
"1563","4","24","625","625",,"100 Penge, Augsburger","nee","424"
"1563","4","25","628","646",,"Skibstold, 100 Penge, Embder","nee","425"
"1563","4","26","647","647",,"Kaaber told","nee","426"
"1563","4","27","649","661",,"Skriver og Tøndepenge, Wendische steder","nee","427"
"1563","4","28","662","779",,"Fyrpenge","nee","428"
"1563","5","1","4","14",,"30 Penge, Rynsk win","nee","501"
"1563","5","2","17","19",,"30 Penge, Pøytow","nee","502"
"1563","5","3","20","23",,"30 Penge, Bastert","nee","503"
"1563","5","4","23","25",,"30 Penge, Romenij","nee","504"
"1563","5","5","26","26",,"30 Penge, Malmersij","nee","505"
"1563","5","6","27","27",,"30 Penge, Brendewin","nee","506"
"1563","5","7","28","154",,"Skib og Gods, Nederlander og westerse Anse steder","nee","507"
"1563","5","8","157","172",,"Skib og Gods, Østersche Anse steder","nee","508"
"1563","5","9","173","187",,"Skib og Gods, Danske, Swendske og Wendiscke steder","nee","509"
"1563","5","10","190","249",,"Skibstold, 100 Penge, Schotter","nee","510"
"1563","5","11","250","308",,"Skibstold, 100 Penge, Engelsche","nee","511"
"1563","5","12","309","310",,"100 Penge, Polsk, Breslau etc.","nee","512"
"1563","5","13","311","316",,"Skibstold, 100 Penge, Frandsche","nee","513"
"1563","5","14","317","317",,"Gods, Spansk","nee","514"
"1563","5","15","318","318",,"Gods, Augsberger","nee","515"
"1563","5","16","319","338",,"Skibstold, 100 Penge, Embder","nee","516"
"1563","5","17","339","339",,"Kaaber told","nee","517"
"1563","5","18","341","352",,"Skriver of Tøndepenge, Wendiske steder","nee","518"
"1563","5","19","353","469",,"Fyrpenge","nee","519"
"1564","6","1","5","14",,"30 Penge, Rynsch win","nee","601"
"1564","6","2","16","20",,"30 Penge, Pøytow","nee","602"
"1564","6","3","20","22",,"30 Penge, Bastert","nee","603"
"1564","6","4","22","22",,"30 Penge, Assoye","nee","604"
"1564","6","5","23","23",,"30 Penge, Win thint, Malversie","nee","605"
"1564","6","6","24","24",,"30 Penge, Rommenie","nee","606"
"1564","6","7","25","25",,"30 Penge, Winedicke","nee","607"
"1564","6","8","25","26",,"30 Penge, Brendewin","nee","608"
"1564","6","9","27","133",,"Skib og Gods, Nederlander","nee","609"
"1564","6","10","135","143",,"Skib og Gods, Embder","nee","610"
"1564","6","11","145","157",,"Skib og Gods, Østersche Anse steder","nee","611"
"1564","6","12","158","168",,"Skib og Gods, Dansche og Wendische steder","nee","612"
"1564","6","13","169","199",,"Skibstold, 100 Penge, Schotter","nee","613"
"1564","6","14","201","233",,"Skibstold, 100 Penge, Engelsche","nee","614"
"1564","6","15","234","235",,"Skibstold, 100 Penge, Frandsche","nee","615"
"1564","6","16","237","245",,"100 Penge, Polske, Breslau","nee","616"
"1564","6","17","246","247",,"Kaaber told","nee","617"
"1564","6","18","247","250",,"100 Penge, Narwa","nee","618"
"1564","6","19","251","252",,"Told, D. Hieronimus","nee","619"
"1564","6","20","252","259",,"Skriver og Tøndepenge, Wendische steder","nee","620"
"1564","6","21","259","346",,"Fyrpenge","nee","621"
"1565","6","22","400","406",,"30 Penge, Rynsch win","nee","622"
"1565","6","23","408","412",,"30 Penge, Pøytow","nee","623"
"1565","6","24","412","414",,"30 Penge, Bastert","nee","624"
"1565","6","25","414","414",,"30 Penge, Rommenie","nee","625"
"1565","6","26","415","415",,"30 Penge, Winedicke","nee","626"
"1565","6","27","415","416",,"30 Penge, Brendewin","nee","627"
"1565","6","28","417","551",,"Skib og Gods, Nederlander","nee","628"
"1565","6","29","551","559",,"Skib og Gods, Embder","nee","629"
"1565","6","30","561","566",,"Skib og Gods, Østersche Anse steder","nee","630"
"1565","6","31","567","571",,"Skib og Gods, Dansche og Wendische steder","nee","631"
"1565","6","32","573","589",,"Skibstold, 100 Penge, Schotter","nee","632"
"1565","6","33","589","618",,"Skibstold, 100 Penge, Engelsche","nee","633"
"1565","6","34","621","631",,"Skibstold, 100 Penge, Frandsche","nee","634"
"1565","6","35","633","640",,"100 Penge, Breslau","nee","635"
"1565","6","36","641","642",,"Kaaber told","nee","636"
"1565","6","37","643","643",,"100 Penge, Narwa","nee","637"
"1565","6","38","644","647",,"Skriver og Tøndepenge, Wendische steder","nee","638"
"1565","6","39","649","744",,"Fyrpenge","nee","639"
"1566","7","1","8","15",,"30 Penge, Rynsch win","nee","701"
"1566","7","2","17","19",,"30 Penge, Pøytow","nee","702"
"1566","7","3","19","19",,"30 Penge, Malversie","nee","703"
"1566","7","4","20","20",,"30 Penge, Assoye, Win thint","nee","704"
"1566","7","5","21","23",,"30 Penge, Bastert","nee","705"
"1566","7","6","24","26",,"30 Penge, Romeni og Seck","nee","706"
"1566","7","7","26","27",,"30 Penge, Winedicke","nee","707"
"1566","7","8","27","28",,"30 Penge, Brendewin","nee","708"
"1566","7","9","30","126",,"Skibstold, Nederlander","nee","709"
"1566","7","10","127","157",,"Skibstold, Nederlander, Narffuen, Riieg, Danschen, Kiønsberich","nee","710"
"1566","7","11","158","166",,"Skibstold, Embder","nee","711"
"1566","7","12","168","178",,"Skibstold, Østersche Anse steder","nee","712"
"1566","7","13","178","185",,"Skibstold, Dansche og Wendische","nee","713"
"1566","7","14","186","221",,"Skibstold, 100 Penge, Schotter","nee","714"
"1566","7","15","222","274",,"Skibstold, 100 Penge, Engelsche","nee","715"
"1566","7","16","265","274",,"Skibstold, 100 Penge, Engelsche-2","nee","716"
"1566","7","17","275","286",,"Skibstold, 100 Penge, Frandsche","nee","717"
"1566","7","18","287","292",,"100 Penge, Polsk og Breslau","nee","718"
"1566","7","19","293","295",,"Kaaber told","nee","719"
"1566","7","20","295","300",,"Skriver og Tøndepenge, Wendische steder","nee","720"
"1566","7","21","301","408",,"Fyrpenge","nee","721"
"1567","8","1","46","56",,"30 Penge, Rynsch win","nee","801"
"1567","8","2","58","64",,"30 Penge, Pøytow","nee","802"
"1567","8","3","64","64",,"30 Penge, Malversie","nee","803"
"1567","8","4","65","65",,"30 Penge, Muskattel, Assoye","nee","804"
"1567","8","5","65","67",,"30 Penge, Win thint, Bastert","nee","805"
"1567","8","6","68","69",,"30 Penge, Rommeni, Seck","nee","806"
"1567","8","7","69","69",,"30 Penge, Winedicke","nee","807"
"1567","8","8","70","71",,"30 Penge, Brendewin","nee","808"
"1567","8","9","72","126",,"Skibstold, Nederlander etc., Westen af","nee","809"
"1567","8","10","127","140",,"Skibstold, Nederlander etc., Salt","nee","810"
"1567","8","11","141","210",,"Skibstold, Nederlander etc., Østen af","nee","811"
"1567","8","12","212","220",,"Skibstold, Østersche Anse steder","nee","812"
"1567","8","13","220","228",,"Skibstold, Dansche og Wendische","nee","813"
"1567","8","14","228","247",,"Skibstold, 100 Penge, Schotter","nee","814"
"1567","8","15","248","285",,"Skibstold, 100 Penge, Engelse","nee","815"
"1567","8","16","286","297",,"Skibstold, 100 Penge, Frandse","nee","816"
"1567","8","17","298","298",,"100 Penge, Jer. Schillinck","nee","817"
"1567","8","18","299","301",,"Kaaber told, Jer. Schillinck","nee","818"
"1567","8","19","302","309",,"Skriver og Tøndepenge, Wendische steder","nee","819"
"1567","8","20","310","428",,"Fyrpenge","nee","820"
"1567","8","21","486","526",,"Lastpenge, Nederlandse steder","nee","821"
"1567","8","22","526","530",,"Lastpenge, Embder","nee","822"
"1567","8","23","531","533",,"Lastpenge, Østersche Anse steder","nee","823"
"1567","8","24","534","537",,"Lastpenge, Wendische steder","nee","824"
"1567","8","25","537","539",,"Lastpenge, Schotter","nee","825"
"1567","8","26","540","542",,"Lastpenge, Engelse","nee","826"
"1567","8","27","543","543",,"Lastpenge, Frandse","nee","827"
"1567","8","28","544","552",,"Lastpenge, Narwa","nee","828"
"1567","8","29","554","558",,"Lastpenge, Rynsch win","nee","829"
"1567","8","30","558","561",,"Lastpenge, Heedt wyn","nee","830"
"1568","9","1","425","442",,"30 Penge, Rinsch win","nee","901"
"1568","9","2","445","453",,"30 Penge, Pøytow","nee","902"
"1568","9","3","454","454",,"30 Penge, Win tint","nee","903"
"1568","9","4","455","455",,"30 Penge, Kanari win, Muskatelle","nee","904"
"1568","9","5","456","456",,"30 Penge, Malversie","nee","905"
"1568","9","6","457","457",,"30 Penge, Assoye","nee","906"
"1568","9","7","458","463",,"30 Penge, Bastert","nee","907"
"1568","9","8","467","468",,"30 Penge, Rommeni og Seck","nee","908"
"1568","9","9","469","469",,"30 Penge, Winedicke","nee","909"
"1568","9","10","470","473",,"30 Penge, Brendewin","nee","910"
"1568","9","12","476","562",,"Skibstold, Nederlander etc., Westen af","nee","912"
"1568","9","13","563","587",,"Skibstold, Nederlander etc., Salt","nee","913"
"1568","9","14","588","605",,"Skibstold, Nederlander etc., Østen af","nee","914"
"1568","10","1","4","41",,"Skibstold, Nederlender etc., Østen af","nee","1001"
"1568","10","2","43","51",,"Skibstold, Østersche Ansche steder","nee","1002"
"1568","10","3","53","62",,"Skibstold, Dansche og Wendische steder","nee","1003"
"1568","10","4","63","89",,"Skibstold, 100 Penge, Schotter","nee","1004"
"1568","10","5","90","121",,"Skibstold, 100 Penge, Engelsche","nee","1005"
"1568","10","6","122","143",,"Skibstold, 100 Penge, Frandsche","nee","1006"
"1568","10","7","144","147",,"100 Penge, Danschen","nee","1007"
"1568","10","8","148","159",,"Skriver og Tøndepenge, Wendische steder","nee","1008"
"1568","10","9","160","269",,"Fyrpenge","nee","1009"
"1568","10","10","299","328",,"Lastpenge, Nederlender etc.","nee","1010"
"1568","10","11","328","332",,"Lastpenge, Østersche steder","nee","1011"
"1568","10","12","333","335",,"Lastpenge, Wendische steder","nee","1012"
"1568","10","13","336","338",,"Lastpenge, Schotter","nee","1013"
"1568","10","14","339","342",,"Lastpenge, Engelsche","nee","1014"
"1568","10","15","343","345",,"Lastpenge, Frandsche","nee","1015"
"1568","10","16","345","348",,"Lastpenge, Rinsch win","nee","1016"
"1568","10","17","349","352",,"Lastpenge, Spansk og Heed win","nee","1017"
"1568","10","18","354","361",,"Lastpenge, Narwen","nee","1018"
"1568","10","19","363","363",,"Lastpenge, Narwen","nee","1019"
"1569","11","1","23","28",,"30 Penge, Rinsch win","nee","1101"
"1569","11","2","28","29",,"30 Penge, Poytoy","nee","1102"
"1569","11","3","30","31",,"30 Penge, Bastert","nee","1103"
"1569","11","4","32","32",,"30 Penge, Malmersie, Muscatel","nee","1104"
"1569","11","5","33","33",,"30 Penge, Rommenie, Seck","nee","1105"
"1569","11","6","34","34",,"30 Penge, Brendewin","nee","1106"
"1569","11","7","36","73",,"Skibstold, Nederlender etc., Westen af","nee","1107"
"1569","11","8","74","75",,"Skibstold, Nederlender etc., Salt","nee","1108"
"1569","11","9","76","116",,"Skibstold, Nederlender etc., Østen af","nee","1109"
"1569","11","10","119","131",,"Skibstold, Østersche Ansche steder","nee","1110"
"1569","11","11","132","146",,"Skibstold, Dansche og Wendische steder","nee","1111"
"1569","11","12","147","182",,"Skibstold, 100 Penge, Schotter","nee","1112"
"1569","11","13","184","225",,"Skibstold, 100 Penge, Engelsche","nee","1113"
"1569","11","14","227","234",,"Skibstold, 100 Penge, Frandsche","nee","1114"
"1569","11","15","234","236",,"100 Penge, Polske, Breskou","nee","1115"
"1569","11","16","237","250",,"Skriver og Tøndepenge, Wendische steder","nee","1116"
"1569","11","17","252","321",,"Fyrpenge","nee","1117"
"1569","11","18","385","388",,"Lastpenge, Nederlender etc.","nee","1118"
"1569","11","19","389","397",,"Lastpenge, Østersche Ansche steder","nee","1119"
"1569","11","20","398","401",,"Lastpenge, Wendische steder","nee","1120"
"1569","11","21","402","406",,"Lastpenge, Schotter","nee","1121"
"1569","11","22","407","412",,"Lastpenge, Engelsche","nee","1122"
"1569","11","23","413","413",,"Lastpenge, Frandse","nee","1123"
"1569","11","24","414","415",,"Lastpenge, Rinsch win","nee","1124"
"1569","11","25","416","417",,"Lastpenge, Spandsch og Heed win","nee","1125"
"1569","11","26","418","420",,"Lastpenge, Narwen","nee","1126"
"1569","11","27","421","421",,"Fri, Narwen","nee","1127"
"1574","11","28","478","480",,"30 Penge, Rinsch win","nee","1128"
"1574","11","29","481","482",,"30 Penge, Frands win","nee","1129"
"1574","11","30","483","483",,"30 Penge, Muscatel, Bastert","nee","1130"
"1574","11","31","484","485",,"30 Penge, Rommenie, Seck","nee","1131"
"1574","11","32","485","485",,"30 Penge, Winedicke","nee","1132"
"1574","11","33","486","486",,"30 Penge, Brendewin","nee","1133"
"1574","11","34","487","537",,"Skibstold, Nederlender etc., Westen af","nee","1134"
"1574","11","35","538","540",,"Skibstold, Nederlender etc., Salt","nee","1135"
"1574","11","36","541","595",,"Skibstold, Nederlender etc., Østen af","nee","1136"
"1574","11","37","597","609",,"Skibstold, Østersche Ansche steder","nee","1137"
"1574","11","38","610","627",,"Skibstold, Dansche og Wendische steder","nee","1138"
"1574","11","39","628","660",,"Skibstold, 100 Penge, Schotter","nee","1139"
"1574","11","40","661","719",,"Skibstold, 100 Penge, Engelsche","nee","1140"
"1574","11","41","721","747",,"Skibstold, 100 Penge, Frandsche","nee","1141"
"1574","11","42","747","747",,"Kaaber told, Kaaber","nee","1142"
"1574","11","43","748","767",,"Skriver og Tøndepenge, Wendische steder","nee","1143"
"1574","11","44","768","829",,"Fyrpenge","nee","1144"
"1574","12","1","4","37",,"Fyrpenge","nee","1201"
"1574","12","2","44","90",,"Lastpenge, Nederlender etc., Østersche og Wendische","nee","1202"
"1574","12","3","91","96",,"Lastpenge, Schotter","nee","1203"
"1574","12","4","97","104",,"Lastpenge, Engelsche","nee","1204"
"1574","12","5","107","111",,"Lastpenge, Fransche","nee","1205"
"1574","12","6","113","113",,"Lastpenge, Rinsch win","nee","1206"
"1574","12","7","114","114",,"Lastpenge, Heed win","nee","1207"
"1574","12","8","115","117",,"Lastpenge, Narwen","nee","1208"
"1575","12","9","119","191",,"30 Penge, Rinsch win","nee","1209"
"1575","12","10","194","194",,"30 Penge, Frands win","nee","1210"
"1575","12","11","195","195",,"30 Penge, Muscatel, Malmersie","nee","1211"
"1575","12","12","196","196",,"30 Penge, Win tint, Bastert","nee","1212"
"1575","12","13","197","199",,"30 Penge, Romeni, Seck","nee","1213"
"1575","12","14","199","199",,"30 Penge, Winedicke","nee","1214"
"1575","12","15","200","200",,"30 Penge, Brendewin","nee","1215"
"1575","12","16","201","243",,"Skibstold, Nederlender etc., Westen af","nee","1216"
"1575","12","17","246","248",,"Skibstold, Nederlender etc., Salt","nee","1217"
"1575","12","18","250","294",,"Skibstold, Nederlender etc., Østen af","nee","1218"
"1575","12","19","295","306",,"Skibstold, Østersche Ansche steder","nee","1219"
"1575","12","20","307","318",,"Skibstold, Dansche og Wendische","nee","1220"
"1575","12","21","320","366",,"Skibstold, 100 Penge, Schotter","nee","1221"
"1575","12","22","367","416",,"Skibstold, 100 Penge, Engelsche","nee","1222"
"1575","12","23","417","425",,"Skibstold, 100 Penge, Frandsche, Lisabon, Polske","nee","1223"
"1575","12","24","427","447",,"Skriver og Tøndepenge, Dansche og Wendische","nee","1224"
"1575","12","25","449","521",,"Fyrpenge","nee","1225"
"1575","12","26","530","566",,"Lastpenge, Nederlender etc., Østersche og Wendische","nee","1226"
"1575","12","27","566","573",,"Lastpenge, Schotter","nee","1227"
"1575","12","28","574","582",,"Lastpenge, Engelsche","nee","1228"
"1575","12","29","583","584",,"Lastpenge, Fransche","nee","1229"
"1575","12","30","584","586",,"Lastpenge, Rinsch win","nee","1230"
"1575","12","31","586","589",,"Lastpenge, Heed win","nee","1231"
"1575","12","32","589","592",,"Lastpenge, Narwen","nee","1232"
"1575","12","33","597","597",,"Saldt","nee","1233"
"1576","13","1","32","36",,"30 Penge, Rinsch win","nee","1301"
"1576","13","2","37","38",,"30 Penge, Frands win","nee","1302"
"1576","13","3","39","39",,"30 Penge, Muscatel, Malmersie","nee","1303"
"1576","13","4","40","40",,"30 Penge, Win tint, Alicant","nee","1304"
"1576","13","5","40","41",,"30 Penge, Bastert","nee","1305"
"1576","13","6","42","43",,"30 Penge, Rommeni, Seck","nee","1306"
"1576","13","7","44","44",,"30 Penge, Winedicke","nee","1307"
"1576","13","8","44","45",,"30 Penge, Brendewin","nee","1308"
"1576","13","9","46","82",,"Skibstold, Nederlender etc., Westen af","nee","1309"
"1576","13","10","83","90",,"Skibstold, Nederlender etc., Salt","nee","1310"
"1576","13","11","91","133",,"Skibstold, Nederlender etc., Østen af","nee","1311"
"1576","13","12","134","148",,"Skibstold, Østersche Ansche steder","nee","1312"
"1576","13","13","150","160",,"Skibstold, Dansche og Wendische steder","nee","1313"
"1576","13","14","161","198",,"Skibstold, 100 Penge, Schotter","nee","1314"
"1576","13","15","199","251",,"Skibstold, 100 Penge, Engelsche","nee","1315"
"1576","13","16","251","264",,"Skibstold, 100 Penge, Fransche","nee","1316"
"1576","13","17","265","283",,"Skriver og Tøndepenge, Wendische steder","nee","1317"
"1576","14","1","4","6",,"Skriver og Tøndepenge, Wendische steder","nee","1401"
"1576","14","2","7","88",,"Fyrpenge","nee","1402"
"1576","14","3","39","134",,"Lastpenge, Nederlender etc.","nee","1403"
"1576","14","4","135","142",,"Lastpenge, Schotter","nee","1404"
"1576","14","5","142","152",,"Lastpenge, Engelsche","nee","1405"
"1576","14","6","153","155",,"Lastpenge, Frandsche","nee","1406"
"1576","14","7","156","157",,"Lastpenge, Rinsch win","nee","1407"
