"titel","registernr","volg1","rol1","scan1","volg2","rol2","scan2"
"Nordsøen 1853 9 22 - Nordsøen 1853 12 31","259521","48415114","370","4","48415169","370","59"
"Østersøen 1853 1 1 - Østersøen 1853 7 25","259522","48415170","370","61","48415422","370","313"
"Østersøen 1853 7 25 - Østersøen 1853 10 8","259523","48415423","370","315","48415675","370","567"
"Østersøen 1853 10 8 - Østersøen 1853 12 31","259524","48415676","370","569","48415777","370","670"
"Østersøen 1853 10 8 - Østersøen 1854 12 31","259530","48416531","371","4","48416661","371","134"
"Afgiftsfrie fra Nordsøen 1853 1 14 - 12 30","259529","0","371","136","0","371","200"
"Afgiftsfrie fra Østersøen 1853 1 4 - 12 31","259533","0","371","201","0","371","258"
"Nordsøen 1854 1 1 - Nordsøen 1854 6 23","259531","48416662","371","260","48416916","371","514"
"Nordsøen 1854 6 24 - Nordsøen 1854 10 31","259532","48416917","371","516","48417098","371","697"
"Nordsøen 1854 6 24 - Nordsøen 1854 10 31","259536","48417482","372","4","48417554","372","76"
"Nordsøen 1854 11 1 - Nordsøen 1854 12 31","259534","48417155","372","78","48417228","372","151"
"Østersøen 1854 1 1 - Østersøen 1854 7 13","259535","48417229","372","153","48417481","372","405"
"Østersøen 1854 7 14 - Østersøen 1854 11 25","259537","48417555","372","407","48417807","372","659"
"Østersøen 1854 11 26 - Østersøen 1854 12 31","259538","48417808","373","4","48417840","373","47"
"Nordsøen 1854 1 4 - Nordsøen 1854 12 25","259541","48418147","373","49","48418216","373","118"
"Afgiftsfrie fra Østersøen 1854 1 1 - 12 30","259539","0","373","120","0","373","172"
"Nordsøen 1855 1 1 - Nordsøen 1855 7 22","259540","48417894","373","174","48418146","373","426"
"Nordsøen 1855 7 22 - Nordsøen 1855 12 16","259542","48418217","373","428","48418469","373","680"
"Nordsøen 1855 12 16 - Nordsøen 1855 12 31","259543","48418470","374","4","48418483","374","17"
"Østersøen 1855 1 2 - Østersøen 1855 8 20","259544","48418484","374","19","48418736","374","271"
"Østersøen 1855 8 20 - Østersøen 1855 12 31","259547","48418869","374","273","48419090","374","494"
"Afgiftsfrie fra Nordsøen 1855 1 1 - 12 30","259545","0","374","496","0","374","570"
"Afgiftsfrie fra Østersøen 1855 1 1 - 7 30","259546","0","374","572","0","374","628"
"Nordsøen 1856 1 2 - Nordsøen 1856 6 14","259548","48419091","375","4","48419345","375","258"
"Nordsøen 1856 6 14 - Nordsøen 1856 9 15","259549","48419346","375","260","48419588","375","502"
"Nordsøen 1856 9 15 - Nordsøen 1856 12 31","259550","48419589","375","504","48419785","375","700"
"Nordsøen 1856 9 15 - Nordsøen 1856 12 31","259554","48420434","376","4","48420465","376","35"
"Østersøen 1856 1 1 - Østersøen 1856 7 28","259551","48419786","376","37","48420040","376","291"
"Østersøen 1856 7 28 - Østersøen 1856 10 21","259552","48420041","376","293","48420295","376","547"
"Østersøen 1856 10 21 - Østersøen 1856 12 31","259553","48420296","376","549","48420433","376","686"
"Afgiftsfrie fra Nordsøen 1856 1 1 - 12 27","259555","0","377","4","0","377","79"
"Skibslistebøger 1856 1 1 - Skibslistebøger 1856 12 24 (Afgiftsfrie fra Østersøen)","259561","48420788","377","81","48420868","377","161"
"Nordsøen 1857 1 1 - Nordsøen 1857 4 14","259556","48420542","377","163","48420585","377","211"
"Østersøen 1857 1 1 - Østersøen 1857 9 30","259557","48420586","377","213","48420626","377","253"
"Afgiftsfrie fra Nordsøen 1857 1 1 - 3 31","259562","0","377","255","0","377","265"
"Afgiftsfrie fra Østersøen 1857 1 1 - 4 4","259563","0","377","267","0","377","278"
"Østersøen 1856 10 21 - Østersøen 1856 12 31","259560","48420650","377","280","48420787","377","417"
