"titel","registernr","volg1","rol1","scan1","volg2","rol2","scan2"
"Anhang 1803","258918","48311226","284","319","48311310","284","403"
"Nr. 2, 1. bind 1804","258919","48311311","284","404","48311534","284","627"
"Nr. 2, 1. bind 1804","258920","48311535","285","2","48311733","285","200"
"Nr. 2, 2. bind 1804","258921","48311734","285","201","48312177","285","644"
"Nr. 2, 2. bind 1804","258922","48312178","286","2","48312232","286","58"
"Nr. 2, 1. bind 1805","258923","48312233","286","59","48312652","286","500"
"Nr. 2, 2. bind 1805","258924","48312653","286","501","48312789","286","645"
"Nr. 2, 2. bind 1805","258925","48312790","287","2","48313167","287","378"
"Øresunds skibslistebog 1805","258926","48313168","287","379","48313302","287","513"
"Nr. 2, 1. bind 1806","258927","48313303","287","514","48313436","287","647"
"Nr. 2, 1. bind 1806","258928","48313437","288","2","48313551","288","124"
"Nr. 2, 2. bind 1806","258929","48313552","288","125","48313928","288","536"
"Nr. 2, 2. bind 1807","258930","48313929","288","537","48314035","288","657"
"Nr. 2, 2. bind 1807","258931","48314036","289","2","48314270","289","258"
"Nr. 2, 1. bind 1808","258932","48314271","289","259","48314537","289","533"
"Nr. 2, 2. bind 1808","258933","48314538","289","534","48314648","289","646"
"Nr. 2, 2. bind 1808","258934","48314649","290","2","48314973","290","326"
"Nr. 2, 1. bind 1813","258935","48314976","290","330","48315208","290","565"
"Nr. 2, 2. bind 1813","258936","48315209","290","566","48315275","290","633"
"Nr. 2, 2. bind 1813","258937","48315276","291","2","48315505","291","231"
"Anhang nr. 1 1814","258938","48315508","291","234","48315606","291","332"
"Anhang nr. 2 1814","258939","48315607","291","333","48315889","291","615"
"Nr. 2, 1. bind 1815","258940","48315890","292","2","48316242","292","354"
"Nr. 2, 2. bind 1815","258941","48316243","292","355","48316525","292","637"
"Nr. 2, 2. bind 1815","258942","48316526","293","2","48316694","293","170"
"Nr. 2, 1. bind 1816","258943","48316695","293","171","48317120","293","596"
"Nr. 2, 2. bind 1816","258944","48317121","294","2","48317491","294","375"
"Nr. 2, 1. bind 1817","258945","48317493","294","380","48317758","294","651"
"Nr. 2, 1. bind 1817","258946","48317759","295","2","48318037","295","282"
"Nr. 2, 2. bind 1817","258947","48318038","295","283","48318395","295","643"
"Nr. 2, 2. bind 1817","258948","48318396","296","2","48318534","296","140"
