polity_name,source,layer_year,entity_area_name,truhart_id,SUM_IAC_all,SUM_Inter_state,SUM_Intra_state,SUM_HYDE_pop,mean_elevation,mean_open_terrain,inner_asia_border_dist,landform,warm_water_coast
Tuscany,Euratlas 1700,1700,Toscana,15.665,,,,734042.2403,365.293403,0,1113.238454,Peninsula,1
(Tuscany),Euratlas 1800,1800,Toscana,15.665,,,,976077.5165,365.293403,0,1113.238454,Peninsula,1
Venice,Geacron,1000,Venezia,15.721,,,,57017.22159,393.7683064,0,667.6780638,Continent,1
Venice,Geacron,1100,Venezia,15.721,,,,60982.54061,393.7683064,0,671.9172309,Continent,1
Venice,Geacron,1200,Venezia,15.721,,,,53471.32778,393.7683064,0,683.3420347,Continent,1
Venice,Euratlas 1300,1300,Venezia,15.721,0,1,0,230913.8497,393.7683064,0.017582418,0,Continent,1
Venice,Euratlas 1400,1400,Venezia,15.721,0,1,0,518882.8329,393.7683064,0.005882353,596.5826728,Continent,1
Venice,Euratlas 1500,1500,Venezia,15.721,0,7,0,1123416.188,393.7683064,0.008163265,541.4720715,Continent,1
Venice,Euratlas 1600,1600,Venezia,15.721,0,2,0,1762002.465,393.7683064,0.001557632,644.425372,Continent,1
Venice,Euratlas 1700,1700,Venezia,15.721,0,20,0,1777081.877,393.7683064,0.002902758,644.420618,Continent,1
,,1000,Milano,15.735,,,,238628.3101,622.7499876,0,1322.776717,Continent,0
,,1100,Milano,15.735,0,2,0,331389.2892,622.7499876,0,1322.776717,Continent,0
,,1200,Milano,15.735,,,,393681.4713,622.7499876,0,1319.962771,Continent,0
Milan,Euratlas 1300,1300,Milano,15.735,0,1,0,1375104.063,622.7499876,0.023715415,1212.170533,Continent,0
(Milan),Euratlas 1400,1400,Milano,15.735,0,5,0,1271054.539,622.7499876,0.013071895,1081.721011,Continent,1
(Milan),Euratlas 1500,1500,Milano,15.735,0,7,0,1269621.47,622.7499876,0.021459227,1212.170533,Continent,0
Milan,Euratlas 1600,1600,Milano,15.735,0,2,0,1602689.46,622.7499876,0,1245.837749,Continent,0
Milan,Euratlas 1700,1700,Milano,15.735,0,4,0,1208836.044,622.7499876,0,1238.290315,Continent,0
(Cisalpine Republic),Euratlas 1800,1800,Milano,15.735,,,,3460456.163,622.7499876,0.009259259,1083.304159,Peninsula,1
Savoie,GADM 2nd Order,1100,Savoia,15.758,,,,251926.0162,1390.968078,0.054726368,1430.872978,Continent,0
Savoie,GADM 2nd Order,1200,Savoia,15.758,,,,114283.3869,1390.968078,0.088435374,1469.899614,Continent,0
Savoy,Euratlas 1300,1300,Savoia,15.758,,,,389342.7689,1390.968078,0.078431373,1237.150018,Continent,0
Savoy,Euratlas 1400,1400,Savoia,15.758,,,,125082.5587,1390.968078,0.096256684,1417.680043,Continent,0
(Savoy),Euratlas 1500,1500,Savoia,15.758,0,2,0,566266.0221,1390.968078,0.072941176,1396.618356,Continent,1
Savoy,Euratlas 1600,1600,Savoia,15.758,0,1,0,648245.0378,1390.968078,0.074270557,1401.347493,Continent,1
Savoy,Euratlas 1700,1700,Savoia,15.758,0,8,0,907886.9458,1390.968078,0.06768559,1396.350637,Continent,1
(Neapolis),Euratlas 1000,1000,Napoli,15.812,,,,221368.7571,103.6789286,0,1041.6502,Peninsula,1
Naples,Euratlas 1100,1100,Napoli,15.812,,,,227550.4985,103.6789286,0,1041.999221,Peninsula,1
(Siqilliyya),Euratlas 1000,1000,Sicilia,15.815,0,6,0,452134.4606,343.1521888,0.002770083,1130.506617,Island,1
(Sicily),Euratlas 1100,1100,Sicilia,15.815,0,1,0,912495.9428,343.1521888,0.23156533,1130.506336,Island,1
Apulia-Calabria,Euratlas 1100,1100,Calabria,15.823,0,1,0,504431.1093,521.3996781,0,872.2650562,Peninsula,1
(Moldavia),Euratlas 1400,1400,Moldavei,15.914,0,3,0,518699.7683,297.6867148,0.179677819,0,Continent,1
(Moldavia),Euratlas 1500,1500,Moldavei,15.914,0,0,1,755156.3778,297.6867148,0.165418227,0,Continent,1
,,1600,Moldavei,15.914,,,,206439.5581,297.6867148,0,0,Continent,0
(Moldavia),Euratlas 1700,1700,Moldavei,15.914,0,7,0,750939.0053,297.6867148,0.032142857,0,Continent,0
(Moldavia),Euratlas 1800,1800,Moldavei,15.914,,,,1235185.852,297.6867148,0.03969129,0,Continent,0
(Wallachia),Euratlas 1300,1300,Valaquia,15.916,0,2,1,560952.8828,314.3169487,0.096425603,0,Continent,0
Wallachia,Euratlas 1400,1400,Valaquia,15.916,0,3,0,464667.7605,314.3169487,0.029362416,0,Continent,0
(Wallachia),Euratlas 1500,1500,Valaquia,15.916,0,2,1,677225.8149,314.3169487,0.012070566,0,Continent,0
Wallachia,Euratlas 1600,1600,Valaquia,15.916,0,2,1,672527.6138,314.3169487,0.00379867,0,Continent,0
(Wallachia),Euratlas 1700,1700,Valaquia,15.916,0,5,0,829530.9138,314.3169487,0.002862595,0,Continent,0
(Walachia),Euratlas 1800,1800,Valaquia,15.916,,,,1925150.914,314.3169487,0.006445672,0,Continent,0
Bulgaria,Euratlas 1000,1000,Bulgaria (Kingdom II),15.943,1,2,1,1350717.074,534.5942275,0.066391266,0,Continent,1
Bulgaria,Euratlas 1200,1200,Bulgaria (Kingdom III),15.944,,,,1054333.914,443.0166509,0.013315579,0,Continent,1
Bulgaria,Euratlas 1300,1300,Bulgaria (Kingdom III),15.944,,,,475365.2418,443.0166509,0.015931373,0,Continent,1
Croatia,Euratlas 1000,1000,Croatia,15.959,,,,493790.2948,435.1080923,0,572.6576357,Continent,1
(Croatia),Euratlas 1100,1100,Croatia,15.959,,,,398718.6251,435.1080923,0,616.7045246,Continent,1
Ra?ka,Euratlas 1200,1200,Serbia I,15.964,,,,871834.6168,796.2324263,0.001302083,378.060627,Continent,1
Ra?ka,Euratlas 1300,1300,Serbia I,15.964,1,3,0,640736.2495,796.2324263,0.000794281,342.4815824,Continent,1
Bosnia,Euratlas 1400,1400,Bosnia,15.974,0,1,0,275948.37,828.4351275,0,513.7419869,Continent,0
,,1500,Bosnia,15.974,,,,54996.25807,828.4351275,0,602.2932253,Continent,0
Volga Bulgaria,Euratlas 1000,1000,Bolgar,16.111,,,,190735.4596,124.5111814,0.00286944,0,Continent,0
Volga Bulgaria,Euratlas 1100,1100,Bolgar,16.111,,,,184819.2612,124.5111814,0.005089059,0,Continent,0
Volga Bulgaria,Euratlas 1200,1200,Bolgar,16.111,1,1,0,408552.3449,124.5111814,0.004376368,0,Continent,0
Volga Bulgaria,Euratlas 1300,1300,Bolgar,16.111,1,1,0,505070.5919,124.5111814,0.00094518,0,Continent,0
,,1000,Patzinaks,16.116,,,,126762.2559,149.8643883,0.481382979,0,Continent,1
Novgorod,Euratlas 1100,1000,Novgorod,16.121,,,,62819.04766,120.2263166,0,212.937374,Continent,0
Novgorod,Euratlas 1100,1100,Novgorod,16.121,,,,92955.24058,120.2263166,0,212.937374,Continent,0
Novgorod,Euratlas 1200,1200,Novgorod,16.121,0,3,0,318757.9315,120.2263166,0,62.55821166,Continent,1
Novgorod,Euratlas 1300,1300,Novgorod,16.121,,,,330982.3282,120.2263166,0,119.8419353,Continent,1
Novgorod,Euratlas 1400,1400,Novgorod,16.121,0,2,0,135712.402,120.2263166,0,157.3863101,Continent,0
Polock,Euratlas 1100,1000,Polock,16.122,0,1,0,66437.28253,170.4807273,0,279.4889731,Continent,0
Polotsk,Euratlas 1100,1100,Polock,16.122,,,,97776.41559,170.4807273,0,279.4889731,Continent,0
Polotsk,Euratlas 1200,1200,Polock,16.122,,,,70361.01556,170.4807273,0,196.4414881,Continent,0
Polotsk,Euratlas 1300,1300,Polock,16.122,,,,33550.12384,170.4807273,0,196.1481274,Continent,0
Rus Land,Euratlas 1000,1000,Kiev,16.123,3,2,5,1015204.56,172.2802269,0.100695339,0,Continent,0
Rus Land,Euratlas 1100,1100,Kiev,16.123,,,,368536.2911,172.2802269,0.000292483,0,Continent,0
