terr_name,terr_id
Fürstenberg-Wolfach,0F0027
Fürstenberg-Geisingen,0F0028
Fürstenberg-Donaueschingen,0F0029
Fürstenberg-Heiligenberg,0F0030
Fürstenberg-Möhringen,0F0031
Freiburg-Badenweiler,0F0032
Ferdinand von Toskana,0F0033
Gumbertus; Gründer des Stifts Ansbach,1G0001
Grüningen-Landau,0G0004
Generalgouvernement Mittelrhein,0G0005
Stift St Gangolf in Mainz,0G0006
Herren von Goßholz,0G0007
Ritter von Grasewege,0G0008
Ritter von Greiffenklaus,0G0009
Herren von Guttenstein,0G0010
Grafen von Giso,0G0011
Germaramark,0G0012
Herren von Gromberg,0G0013
von Grundbach,0G0014
von Guttesheim,0G0015
Truchsess von Geiselheim,0G0016
Grafen von Grüningen,0G0017
Kloster St. Georg (Augsburg),0G0018
Gründerode,0G0019
Herren von Griesbach,0G0020
Germanenreich,0G0021
Herzog von Geldern,0G0022
Bischof v. Galen,0G0023
Burggrafen von Golfen,0G0024
 Kloster Grünhain,0G0025
Herren von Günterode,0G0026
Adligen von Gersdorf,0G0027
von Gero,0G0028
von Gleißberg,0G0029
Herren von Gottfarth,0G0030
Herren von Goechhausen,0G0031
Reichsministerialen von Götznitz,0G0032
Georgenstift in Altenburg,0G0033
von der Goltz,0G0034
Herren von Greußen zu Gingen,0G0035
Kloster Georgenthal,0G0036
von Greiffenberg,0G0037
Junker von Gevertzhain-Lützenrode,0G0038
Abtei Gladbach,0G0039
von Görne,0G0040
Gorka; Grf.,0G0041
reichsunmittelbares; exemtes Frauenstift bei Gernrode,0G0042
Gleichen-Blankenhain,0G0043
Grieben,0G0044
von Glasenapp,0G0045
von Goretzen,0G0046
von Güntersberg,0G0047
von Goltz,0G0048
Goldschmidt; Bruno (Frankfurter Bürger,0G0049
Grudzinski,0G0050
Ritter von Gerhard,0G0051
Dzialynski,0G0052
von Golßen,0G0053
von Garstenbüttel,0G0054
Gerulfinger (Bentheim),0G0055
Geroldseck-Lahr (untere Herrschaft),0G0056
Gräfrath (Kloster),0G0057
Andreas Hibschmann,1H0001
Ritter Snewlin im Hof,1H0002
Henricus de Haltenberc,1H0023
Asche zu Holle,1H0003
Heinrich Göldlin,0H0002
Johann von Hessen-Braubach,0H0003
Hohenstaufen,0H0004
Kloster Heilsbruck,0H0005
Herren von Höhenrain,0H0006
Hochschlitz,0H0007
Herren von Hagen-Münzenberg,0H0008
Herfeld,0H0009
Hofer von Urfarn,0H0010
Herren von Hellenstein,0H0011
Grafen von Hörzhausen,0H0012
Heimenhofen,0H0013
Herren von Haune,0H0014
die von Handschuchsheim,0H0015
Die von Hundheim,0H0016
von Hainhausen,0H0017
Truchsess von Hohenreichen,0H0018
Edelherren von Homburg,0H0019
Vogtei Hammelwarden,0H0020
von Harmuthsachsen,0H0021
Hohenlohe-Speckfeld,0H0022
die Eiringe,0H0024
Konrad von Hohenriet; Hohenried; Hehenried,0H0025
Hermann von Lichtenberg,0H0026
Haller; Bürger von Nürnberg,0H0027
Helchner; Bürger von Nürnberg,0H0028
Holzschuher; Bürger von Nürnberg,0H0029
Grafen von Hohenberg-Wildberg,0H0030
Kloster Hl. Kreuz (Augsburg),0H0031
von Habel,0H0032
Hundelshausen zu Friemen und Harmuthsachsen,0H0033
von Honsberg,0H0034
von Haugwitz,0H0035
Bischofsheimer Linie von Helmstatt,0H0036
Hochhausener Linie von Helmstatt,0H0037
Eppe von Hadstatt,0H0038
Ritter Konrad von Homburg,0H0039
Pilgrim von Heudorf,0H0040
Freiherren von Husen,0H0041
Herren von Hostau,0H0042
Reichsministerialen von Hirschberg,0H0043
Herren von Hopffgarten,0H0044
Baron von Hiller Gärtringen,0H0045
von Holzendorf,0H0046
Grafschaft Haholds,0H0047
Herren von Harff,0H0048
Herren von Holte,0H0049
Herren von Heppendorf,0H0050
Hohnstein-Bockstedt,0H0051
Hohnstein-Clettenberg,0H0052
Hohnstein-Kelbra,0H0053
Heimburg,0H0054
von Hohendorf,0H0055
von der Hagen (Brandenburg),0H0056
von Hockinborn (Hakeborn),0H0057
Kloster Himmelstädt,0H0058
Domkapitel Halberstadt,0H0059
Herren von Hoym und Asseburg,0H0060
von Haaens,0H0061
Hadersleben,0H0062
von Heydebreck,0H0063
Horst; Heinrich,0H0064
von Honens,0H0065
von Hundorf,0H0066
Bürger Hokemann (aus Frankfurt),0H0067
von Hake,0H0068
Hartmann; Amtmann,0H0069
von Hoym; Grafen,0H0070
Hunyadi (Ungarn),0H0071
Hohnstein-Sondershausen,0H0072
Henneberg-Coburg,0H0073
Habsburg-Löwenstein,0H0074
Habsburg-Burgau,0H0075
Habsburg-d'Este,0H0076
Helfenstein-Blaubeuren,0H0077
Hohenlohe-Neuenstein (jüngere Linie),0H0078
Hohenlohe-Uffenheim,0H0079
Hohenlohe(-Brauneck)-Haltenbergstetten,0H0080
Hohenlohe(-Neuenstein)-Künzelsau,0H0081
Freiherren von Hohenberg (Habsburg),0H0082
Heimhofen,0H0083
von Hagen (Thüringen),0H0084
Grafen von Isenburg-Sayn-Wied,0I0001
Isenburg-Ronneburg,0I0002
von Ibbenbüren,0I0003
von Ileburg,0I0004
von Irxleben,0I0005
Itzehoer Linie von Schaumburg,0I0006
Kloster Itzehoe,0I0007
Isenburg-Kempenich,0I0008
Johann der Streitbare,0J0001
Herrschaft Julbach,0J0002
Familie von Jossa,0J0003
von Jungingen,0J0004
Hofkanzler Jonas (Triberg; Baden),0J0005
Universität Jena,0J0006
von Jagow,0J0007
von Jeser,0J0008
von Jena,0J0009
Herzogtum Juliusburg,0J0010
Jagiellonen (Polen),0J0011
Jagiellonen (Böhmen),0J0012
Karolinger,0K0001
Konradiner,0K0002
Herren von Kirkel,0K0003
Kloster Korvey,0K0004
Grafen von der Königsmark,0K0005
Kloster Klarenthal,0K0006
Herren von Knittlingen,0K0007
Grafen von Kastl-Habesberg,0K0008
Kötzel; Bürger von Nürnberg,0K0009
von Klingenberg,0K0010
Grafen von Kling,0K0011
Kappel,0K0012
Familie von Karras,0K0014
Ritter von Kirneck,0K0015
Grafschaft Kriebstein,0K0016
von Klotzsche,0K0017
von Körbitz,0K0018
Reichsstadt Kenzingen,0K0019
Ortsadel von Kaufbeuren,0K0020
von Kerßenbrock,0K0021
Herren von Küssaburg,0K0022
Ritterfamilie von Kertschitz,0K0023
von Knesebeck,0K0024
von Kanitz,0K0025
von Kreytzen,0K0026
von Kalnein,0K0027
Ministerialen von Kale ,0K0028
von Krummensee,0K0029
Dobrogost von Kolno,0K0030
vom Kloster,0K0031
von Klepzig,0K0032
von Küstrin,0K0033
von Kanne,0K0034
Grafen von Kessel,0K0035
von Krosigk,0K0036
Grafen von Kevernburg (Rabinswald),0K0037
von Kröcher,0K0038
von Kittlitz,0K0039
Schloss Kremmen,0K0040
Kohlhans,0K0041
von Knuth,0K0042
Konarski,0K0043
Kloster Kolbatz,0K0044
von Köckritz,0K0045
von Köpping,0K0046
von Krockow,0K0047
Knuth,0K0048
Koscielecki,0K0049
von Knobelsdorf,0K0050
von Kröcher-Redern,0K0051
von Kalkreuth,0K0052
von Kruge,0K0053
Kruschina von Lichtenberg,0K0054
von Kornitz,0K0056
Vereinigung Kleve-Mark-Jülich-Berg,0K0057
Kleve-Heinsberg,0K0058
Küssenberg,0K0059
von Kluge,0K0060
Knigge,0K0061
Kloster Limburg,0L0001
Abtei Laach,0L0002
Grafen von Leiningen-Landeck in Zabern,0L0003
Grafen von Loen,0L0004
Lutzmannsteiner,0L0005
Linsingen,0L0006
Herren von Lohr,0L0007
Lutz von Landau,0L0008
Grafen Lotterbeck,0L0009
Grafen von Loon,0L0010
Langenmantel,0L0011
Herren von Leimberg,0L0012
Herren von Lauda,0L0013
Hermann von Liesberg,0L0014
Auer von Luppurch,0L0015
Ritter von Liebenzell,0L0016
von Lüttichau,0L0017
Herren von Lörrach,0L0018
von Limbach,0L0019
Ritter von Rohrdorf,0L0020
Herren von Landau,0L0021
Herren von Lichtenfels,0L0022
Münch von Landskorn,0L0023
Hofschenken von Lindenau,0L0024
von Langlege,0L0025
von Louwitz,0L0026
von Lesgewang,0L0027
Lobdeburg-Leuchtenburg,0L0028
Lobdeburg-Arnshaugk,0L0029
Herren von Langenberg,0L0030
von Landsberg-Erwitte,0L0031
 Kloster Lindow,0L0032
Mroczko von Lopuchow,0L0033
von Lauterbach (Loterbeck),0L0034
Grafschaft Lon,0L0035
Ritter van der Lecke,0L0036
Harper von Lauvenberg,0L0037
Grafen von Leon,0L0038
Herrschaft Löwenburg,0L0039
von Loe,0L0040
von Lochow,0L0041
Kloster Lehnin,0L0042
von Lochen,0L0043
de Lindowe,0L0044
Schenken von Landsberg,0L0045
von Lützow,0L0046
Familie von Lühe,0L0047
von Lank,0L0048
von Lossow,0L0049
Loeper,0L0050
Lasockis,0L0051
Labyski,0L0052
Livonius,0L0053
von Löwendal,0L0054
von Lindstett,0L0055
von Lauer; Laur-Münchhofen,0L0056
Leszczyinski,0L0057
Lippe-Rheda,0L0058
Leiningen-Leiningen,0L0059
Leiningen-Schaumburg,0L0060
Limburg-Styrum-Gemen,0L0061
(Altena-Isenberg-)Limburg-Broich,0L0062
Leobschütz,0L0063
Lüchow,0L0064
Ludolfinger,0L0065
Lüben,0L0066
Louis Bonaparte,1L0001
Merowinger,0M0001
Herren von Murach,0M0002
Magenheimer,0M0003
Herren von Minckwitz,0M0004
Mehrfachherrschafft,0M0005
Kloster Medingen,0M0006
Herzog von Meran,0M0007
Mindelberger,0M0008
Kloster der Franziskanerinnen von Maria Stern (Augsburg),0M0009
Mützel,0M0010
von Marlau,0M0011
Mittelfränkisches Reich,0M0012
von Mahrenholz,0M0013
Ritter von Mildenstein,0M0014
die Münzer,0M0015
Dynastie von Markdorf,0M0016
von Metzsch,0M0017
von Meckau,0M0018
Stift St. Marienthal,0M0019
von Miltiz,0M0020
von Mylau,0M0021
Merseburg (Hochstift),0M0022
von Münchenstein,0M0023
von Mörsberg,0M0024
von Mandelsloh,0M0025
von Meusebach,0M0026
Simon von Milowski,0M0027
von Madela,0M0028
von Maltitz,0M0029
Kollegiatsstiftes St. Martin,0M0030
Monschau-Falkenburg,0M0031
Herren von Mülheim,0M0032
Domkapitel Magdeburg,0M0033
Mörner,0M0034
von Möllendorf,0M0035
von Mehendorf,0M0036
Moritzkloster in Magdeburg,0M0037
von Möckern,0M0038
Burggrafen von Magdeburg,0M0039
Michaeliskloster in Hildesheim,0M0040
Marnstedts,0M0041
von Maltzans,0M0042
von Münchow,0M0043
von Massow,0M0044
von Mrotsek oder Mrochko,0M0045
von Mogulicz,0M0046
Moszenski,0M0047
Mentschikow (russ. Fürsten),0M0048
Marck-Schleiden,0M0049
(Querfurt-)Mansfeld,0M0050
