city_id,region_id,name,name_alt,name_foreign,nat,latitude,longitude,author
1062,1,Riesenburg,Riesenburg,Prabuty,PO,53.755833,19.1975,Dr. Hans Frederichs
1063,1,Roessel,Roessel,Reszel,PO,54.049999,21.15,Dr. Adolf Poschmann
1064,1,Rosenberg,Rosenberg,Susz,PO,53.719723,19.336945,Dr. Hans Frederichs
1065,1,Saalfeld (Ostpreussen),Saalfeld,Zalewo,PO,53.849998,19.6,Dr. Hans Frederichs
1066,1,Schippenbeil,Schippenbeil,Sepopol,PO,54.25,21.016666,Dr. Hans Frederichs
1067,1,Schirwindt,Schirwindt,Kutusowo,RU,54.781944,22.844723,Dr. Kurt Forstreuter
1068,1,Schlossberg,Schlossberg,Dobrowolsk,RU,54.766666,22.516666,Dr. Kurt Forstreuter
1069,1,Seeburg,Seeburg,Jeziorany,PO,53.976665,20.762501,Bernhard-Maria Rosenberg
1070,1,Sensburg,Sensburg,Mragowo,PO,53.866665,21.299999,Dr. Hans Frederichs
1071,1,Stuhm,Stuhm,Szrum,PO,53.921665,19.033611,Dr. Hans Frederichs
1072,1,Tapiau,Tapiau,Gwardeisk,RU,54.650002,21.066668,Dr. Theodor Winkler
1073,1,Tiegenhof,Tiegenhof,Nowy Dwor Gdanski,PO,54.216667,19.116667,Dr. Erich Keyser
1074,1,Tilsit,Tilsit,Sowetsk,RU,55.083332,21.883333,Dr. Kurt Forstreuter
1075,1,Tolkemit,Tolkemit,Tolkmicko,PO,54.320278,19.514999,Dr. Hans Frederichs
1076,1,Treuburg,Treuburg,Olecko,PO,54.033333,22.5,Dr. Hans Frederichs
1077,1,Wartenburg,Wartenburg,Barczewo,PO,53.833332,20.683332,Walter Koppenhagen
1078,1,Wehlau,Wehlau,Snamensk,RU,54.616665,21.216667,Dr. Theodor Winkler
1079,1,Willenberg,Willenberg,Wielbark,PO,53.383335,20.950001,Dr. Hans Frederichs
1080,1,Wormditt,Wormditt,Orneta,PO,54.099998,20.133333,Dr. Franz Buchholz
1081,1,Zinten,Zinten,Kornewo,RU,54.450001,20.299999,Dr. Theodor Winkler
1082,1,Zoppot,Zoppot,Sopot,PO,54.433334,18.549999,Eitelfriedrich May
