city_id,comment,time_point,building,buildgen,newbuild,uncertainty,range
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1276,16,7,1,0,0
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1296,2,1,1,0,0
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1300,1,1,1,0,4
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1300,13,6,1,0,3
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1330,2,1,0,0,0
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1340,3,1,1,0,0
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1342,16,7,1,0,0
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1346,1,1,1,0,0
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1350,5,2,1,0,1
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1350,9,4,1,2,2
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1367,1,1,0,0,0
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1425,3,1,1,2,2
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1600,1,1,1,0,4
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1730,5,2,1,0,0
1011,1276 wurde die Altstadt angelegt; Katharinenkirche 1346 mit Chor begonnen und 1367 Weiterbau der Hallenkirche; Rathaus um 1350 erbaut; barocke Umgestaltung des Rathauses 1739; Franziskanerkloster 1296 gegr.; 1330 in die Stadt verlegt; zum Klost,1739,5,2,0,0,0
1012,Rathaus 1635 abgebrannt und wiederaufgebaut.; Kath- Pfarrkirche 1298 genannt; Ev. Pfarrkirche 1791 erbaut; Hospital 1451 erwähnt; Chr. Hatte 1567 7 Kirchen und Kapellen,1275,1,1,1,2,2
1012,Rathaus 1635 abgebrannt und wiederaufgebaut.; Kath- Pfarrkirche 1298 genannt; Ev. Pfarrkirche 1791 erbaut; Hospital 1451 erwähnt; Chr. Hatte 1567 7 Kirchen und Kapellen,1450,13,6,1,2,2
1012,Rathaus 1635 abgebrannt und wiederaufgebaut.; Kath- Pfarrkirche 1298 genannt; Ev. Pfarrkirche 1791 erbaut; Hospital 1451 erwähnt; Chr. Hatte 1567 7 Kirchen und Kapellen,1635,5,2,1,0,0
1012,Rathaus 1635 abgebrannt und wiederaufgebaut.; Kath- Pfarrkirche 1298 genannt; Ev. Pfarrkirche 1791 erbaut; Hospital 1451 erwähnt; Chr. Hatte 1567 7 Kirchen und Kapellen,1791,1,1,1,0,0
1014,Laubenhäuser 1753 noch 7 erhalten; Kaufhaus 1317 erwähnt; Rathaus 1706 abgebrannt; Amtshaus an der Stadtmauer 16.Jh.; Ev. Kirche 1324 erwähnt; Hospital 1525 angelegt;,1300,7,3,1,2,2
1014,Laubenhäuser 1753 noch 7 erhalten; Kaufhaus 1317 erwähnt; Rathaus 1706 abgebrannt; Amtshaus an der Stadtmauer 16.Jh.; Ev. Kirche 1324 erwähnt; Hospital 1525 angelegt;,1300,13,6,1,2,2
1014,Laubenhäuser 1753 noch 7 erhalten; Kaufhaus 1317 erwähnt; Rathaus 1706 abgebrannt; Amtshaus an der Stadtmauer 16.Jh.; Ev. Kirche 1324 erwähnt; Hospital 1525 angelegt;,1500,4,2,1,0,4
1014,Laubenhäuser 1753 noch 7 erhalten; Kaufhaus 1317 erwähnt; Rathaus 1706 abgebrannt; Amtshaus an der Stadtmauer 16.Jh.; Ev. Kirche 1324 erwähnt; Hospital 1525 angelegt;,1525,1,1,1,0,0
1014,Laubenhäuser 1753 noch 7 erhalten; Kaufhaus 1317 erwähnt; Rathaus 1706 abgebrannt; Amtshaus an der Stadtmauer 16.Jh.; Ev. Kirche 1324 erwähnt; Hospital 1525 angelegt;,1700,5,2,1,2,2
1015,Kirche 1321 erwähnt; Schloss des Stadtherrn 1678;,1300,1,1,1,2,2
1015,Kirche 1321 erwähnt; Schloss des Stadtherrn 1678;,1678,11,4,1,0,0
1016,Bürgerhäuser hatten Vorlauben 1692; Rathaus 1775; Hofstätte (mehrere) 1405; Kirche;,1692,9,4,1,0,0
1016,Bürgerhäuser hatten Vorlauben 1692; Rathaus 1775; Hofstätte (mehrere) 1405; Kirche;,1775,5,2,1,0,0
1017,"Kirche 1585, Neubau 1726; Rathaus mehrfach umgebaut; ",1585,1,1,1,0,0
1017,"Kirche 1585, Neubau 1726; Rathaus mehrfach umgebaut; ",1726,1,1,1,0,0
1018,"Neustadt 1337 angelegt; Marienkirche 1246, Haupthaus nach Brand 1513 erneuert; St.-Nikolai-Pfarrkirche (wsl Basilika) 13.Jh., Umgestaltung im 14.Jh. Und nach 1777 (Brand); Rathaus M. 14. Jh., umgebaut mit Renaissancefassade 1556; Neues Rathaus ",1200,1,1,1,0,4
1018,"Neustadt 1337 angelegt; Marienkirche 1246, Haupthaus nach Brand 1513 erneuert; St.-Nikolai-Pfarrkirche (wsl Basilika) 13.Jh., Umgestaltung im 14.Jh. Und nach 1777 (Brand); Rathaus M. 14. Jh., umgebaut mit Renaissancefassade 1556; Neues Rathaus ",1246,1,1,1,0,0
1018,"Neustadt 1337 angelegt; Marienkirche 1246, Haupthaus nach Brand 1513 erneuert; St.-Nikolai-Pfarrkirche (wsl Basilika) 13.Jh., Umgestaltung im 14.Jh. Und nach 1777 (Brand); Rathaus M. 14. Jh., umgebaut mit Renaissancefassade 1556; Neues Rathaus ",1300,1,1,0,0,4
1018,"Neustadt 1337 angelegt; Marienkirche 1246, Haupthaus nach Brand 1513 erneuert; St.-Nikolai-Pfarrkirche (wsl Basilika) 13.Jh., Umgestaltung im 14.Jh. Und nach 1777 (Brand); Rathaus M. 14. Jh., umgebaut mit Renaissancefassade 1556; Neues Rathaus ",1325,5,2,1,0,2
1018,"Neustadt 1337 angelegt; Marienkirche 1246, Haupthaus nach Brand 1513 erneuert; St.-Nikolai-Pfarrkirche (wsl Basilika) 13.Jh., Umgestaltung im 14.Jh. Und nach 1777 (Brand); Rathaus M. 14. Jh., umgebaut mit Renaissancefassade 1556; Neues Rathaus ",1337,8,7,1,0,0
1018,"Neustadt 1337 angelegt; Marienkirche 1246, Haupthaus nach Brand 1513 erneuert; St.-Nikolai-Pfarrkirche (wsl Basilika) 13.Jh., Umgestaltung im 14.Jh. Und nach 1777 (Brand); Rathaus M. 14. Jh., umgebaut mit Renaissancefassade 1556; Neues Rathaus ",1350,5,2,1,0,3
1018,"Neustadt 1337 angelegt; Marienkirche 1246, Haupthaus nach Brand 1513 erneuert; St.-Nikolai-Pfarrkirche (wsl Basilika) 13.Jh., Umgestaltung im 14.Jh. Und nach 1777 (Brand); Rathaus M. 14. Jh., umgebaut mit Renaissancefassade 1556; Neues Rathaus ",1513,1,1,0,0,0
1018,"Neustadt 1337 angelegt; Marienkirche 1246, Haupthaus nach Brand 1513 erneuert; St.-Nikolai-Pfarrkirche (wsl Basilika) 13.Jh., Umgestaltung im 14.Jh. Und nach 1777 (Brand); Rathaus M. 14. Jh., umgebaut mit Renaissancefassade 1556; Neues Rathaus ",1535,14,6,1,0,0
1018,"Neustadt 1337 angelegt; Marienkirche 1246, Haupthaus nach Brand 1513 erneuert; St.-Nikolai-Pfarrkirche (wsl Basilika) 13.Jh., Umgestaltung im 14.Jh. Und nach 1777 (Brand); Rathaus M. 14. Jh., umgebaut mit Renaissancefassade 1556; Neues Rathaus ",1556,5,2,0,0,0
1018,"Neustadt 1337 angelegt; Marienkirche 1246, Haupthaus nach Brand 1513 erneuert; St.-Nikolai-Pfarrkirche (wsl Basilika) 13.Jh., Umgestaltung im 14.Jh. Und nach 1777 (Brand); Rathaus M. 14. Jh., umgebaut mit Renaissancefassade 1556; Neues Rathaus ",1599,14,6,0,0,0
1018,"Neustadt 1337 angelegt; Marienkirche 1246, Haupthaus nach Brand 1513 erneuert; St.-Nikolai-Pfarrkirche (wsl Basilika) 13.Jh., Umgestaltung im 14.Jh. Und nach 1777 (Brand); Rathaus M. 14. Jh., umgebaut mit Renaissancefassade 1556; Neues Rathaus ",1624,5,2,0,0,0
1018,"Neustadt 1337 angelegt; Marienkirche 1246, Haupthaus nach Brand 1513 erneuert; St.-Nikolai-Pfarrkirche (wsl Basilika) 13.Jh., Umgestaltung im 14.Jh. Und nach 1777 (Brand); Rathaus M. 14. Jh., umgebaut mit Renaissancefassade 1556; Neues Rathaus ",1779,5,2,1,0,0
1018,"Neustadt 1337 angelegt; Marienkirche 1246, Haupthaus nach Brand 1513 erneuert; St.-Nikolai-Pfarrkirche (wsl Basilika) 13.Jh., Umgestaltung im 14.Jh. Und nach 1777 (Brand); Rathaus M. 14. Jh., umgebaut mit Renaissancefassade 1556; Neues Rathaus ",1800,1,1,0,1,2
1020,"1692: 37 Bürgerhäuser, 58 Buden; Kirche erbaut um 1315, erneuert 1772; alte Bischofsburg bei Überfall von Polen 1458 verschont; Rathaus 1458 zerstört;  ",1325,1,1,1,0,1
1020,"1692: 37 Bürgerhäuser, 58 Buden; Kirche erbaut um 1315, erneuert 1772; alte Bischofsburg bei Überfall von Polen 1458 verschont; Rathaus 1458 zerstört;  ",1450,5,2,1,2,2
1020,"1692: 37 Bürgerhäuser, 58 Buden; Kirche erbaut um 1315, erneuert 1772; alte Bischofsburg bei Überfall von Polen 1458 verschont; Rathaus 1458 zerstört;  ",1450,3,1,1,2,2
1020,"1692: 37 Bürgerhäuser, 58 Buden; Kirche erbaut um 1315, erneuert 1772; alte Bischofsburg bei Überfall von Polen 1458 verschont; Rathaus 1458 zerstört;  ",1772,1,1,0,0,0
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1300,3,1,1,0,4
