cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,staple_year,fair_year
311,Brive,France,45.17,1.53,102,river north sea,False,True,2000.0,2000.0,3000.0,2000.0,2000.0,1,0,0,0,0,1,0,,
316,Bronte,Italy,37.8,14.83,760,land mediterranean,False,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,0,0,1,,
318,Bruchsal,Germany,49.12,8.58,114,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
319,Brugge,Belgium,51.22,3.23,2,north sea,True,True,7000.0,10000.0,40000.0,37000.0,35000.0,0,1,0,0,0,1,0,1252.0,1200.0
320,Bruxelles,Belgium,50.83,4.33,62,river north sea,True,True,3000.0,8000.0,18000.0,26000.0,33000.0,1,0,0,0,0,1,0,,
321,Brzeg,Poland,50.87,17.45,134,river baltic,False,True,0.0,0.0,1000.0,1000.0,2000.0,1,0,0,0,1,0,0,,
322,Buda,Hungary,47.5,19.04,111,river black sea,False,True,4000.0,5000.0,6000.0,8000.0,12000.0,1,0,0,0,0,0,0,,
325,Burg,Germany,52.28,11.85,54,river north sea,True,True,2000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,1562.0
327,Burgio,Italy,37.6,13.28,317,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
331,Burscheid,Germany,50.78,6.08,195,land north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
335,Busca,Italy,44.52,7.48,500,land mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,
337,Bydgoszcz,Poland,53.13,18.0,60,river baltic,False,True,0.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,1,0,0,,
341,Caccamo,Italy,37.93,13.67,521,land mediterranean,False,True,1000.0,2000.0,4000.0,3000.0,5000.0,0,0,1,0,0,0,1,,
343,Caen,France,49.18,-0.35,5,river north sea,False,True,5000.0,6000.0,9000.0,6000.0,13000.0,1,0,0,0,0,1,0,,
344,Cagliari,Italy,39.22,9.1,27,med,False,True,2000.0,3000.0,3000.0,2000.0,4000.0,0,1,0,0,0,0,1,,
345,Cahors,France,44.5,1.43,181,river north sea,False,True,3000.0,4000.0,5000.0,3000.0,4000.0,1,0,0,0,0,1,0,,
346,Caivano,Italy,40.95,14.3,27,land mediterranean,False,True,2000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,0,1,,
348,Calais,France,50.95,1.83,2,north sea,False,True,2000.0,2000.0,3000.0,2000.0,3000.0,0,1,0,0,0,1,0,,
349,Calascibetta,Italy,37.6,14.28,691,land mediterranean,False,True,2000.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,
350,Calatafimi,Italy,37.83,12.87,300,land mediterranean,False,True,2000.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,
352,Caltabellotta,Italy,37.23,14.52,949,land mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,
353,Caltagirone,Italy,37.23,14.52,499,land mediterranean,False,True,2000.0,3000.0,5000.0,4000.0,8000.0,0,0,1,0,0,0,1,,
354,Caltanissetta,Italy,37.48,14.07,445,land mediterranean,False,True,1000.0,1000.0,1000.0,3000.0,5000.0,0,0,1,0,0,0,1,,
355,Caltavuturo,Italy,37.82,13.88,635,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
356,Calvello,Italy,40.47,15.85,730,land mediterranean,False,True,1000.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
357,Cambrai,France,50.17,3.23,58,river north sea,False,True,5000.0,6000.0,8000.0,10000.0,11000.0,1,0,0,0,0,1,0,,
359,Camerino,Italy,43.13,13.07,670,land mediterranean,False,True,3000.0,4000.0,5000.0,3000.0,7000.0,0,0,1,0,0,0,1,,
360,Cammarata,Italy,37.63,13.63,682,land mediterranean,False,True,1000.0,2000.0,3000.0,2000.0,4000.0,0,0,1,0,0,0,1,,
361,Campagna,Italy,40.67,15.13,270,land mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
362,Campli,Italy,42.72,13.68,393,land mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
365,Campobasso,Italy,41.57,14.65,701,land mediterranean,False,True,2000.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,
368,Canicatti,Italy,37.37,13.85,454,river mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,1,,
369,Cannes,France,43.55,7.02,16,med,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,0,1,0,0,0,0,1,,
371,Capua,Italy,41.1,14.2,25,river mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,
372,Caraglio,Italy,44.42,7.43,638,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
375,Carcassonne,France,43.22,2.35,100,river mediterranean,False,True,6000.0,8000.0,11000.0,6000.0,7000.0,1,0,0,0,0,0,1,,
378,Carignano,Italy,44.9,7.67,235,river mediterranean,False,True,1000.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,0,1,,
379,Carini,Italy,38.13,13.18,170,land mediterranean,False,True,2000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,0,1,,
382,Carmagnola,Italy,44.85,7.72,240,land mediterranean,False,True,1000.0,1000.0,2000.0,1000.0,5000.0,0,0,1,0,0,0,1,,
384,Carpentras,France,44.05,5.05,95,land mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,3000.0,0,0,1,0,0,0,1,,
385,Carrara,Italy,44.07,7.72,100,land mediterranean,False,True,2000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,0,1,,
388,Casale,Italy,45.13,8.45,111,river mediterranean,False,True,1000.0,2000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,
389,Casalmaggiore,Italy,44.98,10.43,26,river mediterranean,False,True,2000.0,2000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,
390,Caserta,Italy,41.07,14.33,68,land mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
392,Cassano All'Ionio,Italy,39.78,16.33,250,land mediterranean,False,True,2000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,0,1,,
393,Castelbuono,Italy,37.93,14.1,423,land mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,
394,Castellammare del Golfo,Italy,380169982910156.0,128830003738403.0,94,med,False,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,1,0,0,0,0,1,,
395,Castellammare di Stabia,Italy,40.7,14.48,6,med,False,True,2000.0,2000.0,3000.0,2000.0,7000.0,0,1,0,0,0,0,1,,
397,Castelnaudary,France,43.32,1.95,165,land north sea,False,True,2000.0,2000.0,2000.0,3000.0,3000.0,0,0,1,0,0,1,0,,
400,Castelsarrasin,France,44.03,1.1,61,river north sea,False,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
401,Casteltermini,Italy,37.55,13.63,555,land mediterranean,False,True,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,,
402,Castelvetrano,Italy,37.88,13.63,184,land mediterranean,False,True,0.0,1000.0,3000.0,2000.0,5000.0,0,0,1,0,0,0,1,,
404,Castres,France,43.6,2.23,185,river north sea,False,True,3000.0,4000.0,6000.0,4000.0,5000.0,1,0,0,0,0,1,0,,
405,Castronuovo di Sicilia,Italy,37.68,13.6,660,land mediterranean,False,True,0.0,1000.0,3000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
406,Castroreale,Italy,38.1,15.22,253,land mediterranean,False,True,0.0,0.0,0.0,1000.0,1000.0,0,0,1,0,0,0,1,,
407,Catania,Italy,37.5,15.1,1,med,False,True,6000.0,7000.0,10000.0,7000.0,14000.0,0,1,0,0,0,0,1,,
408,Catanzaro,Italy,38.9,16.6,234,land mediterranean,False,True,3000.0,4000.0,6000.0,4000.0,6000.0,0,0,1,0,0,0,1,,
409,Cattolica Eraclea,Italy,37.62,13.4,220,land mediterranean,False,True,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,,
410,Cava de' Tirreni,Italy,40.7,14.7,201,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
411,Cavaillon,France,43.83,5.03,49,river mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,1,,
412,Cavour,Italy,44.78,7.37,300,land mediterranean,False,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,0,1,,
415,Cefalu,Italy,38.03,14.03,16,med,False,True,3000.0,3000.0,4000.0,1000.0,2000.0,0,1,0,0,0,0,1,,
416,Cegled,Hungary,47.17,19.8,102,land black sea,False,True,0.0,0.0,1000.0,1000.0,1000.0,0,0,1,0,0,0,0,,
417,Celle,Germany,52.62,10.08,40,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,1459.0,1353.0
422,Cerreto Sannita,Italy,41.02,14.62,290,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,0,1,,
424,Cervinara,Italy,44.13,14.55,284,land mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
425,Cesena,Italy,44.13,12.25,44,land mediterranean,False,True,6000.0,8000.0,11000.0,8000.0,7000.0,0,0,1,0,0,0,1,,
428,Cetraro,Italy,39.53,15.95,120,med,False,True,1000.0,1000.0,2000.0,1000.0,2000.0,0,1,0,0,0,0,1,,
429,Chalon-sur-Saone,France,48.95,4.37,175,river north sea,False,True,2000.0,3000.0,3000.0,2000.0,8000.0,1,0,0,0,0,1,0,,
430,Chalons-sur-Marne,France,46.78,4.85,83,river north sea,False,True,8000.0,12000.0,10000.0,7000.0,9000.0,1,0,0,0,0,1,0,,
431,Chambery,France,45.57,5.93,342,river mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,1,,
432,Charleroi,Belgium,50.42,4.43,136,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
433,Charleville,France,49.77,4.72,133,river north sea,False,True,3000.0,3000.0,4000.0,3000.0,2000.0,1,0,0,0,0,1,0,1358.0,
434,Charlottenburg,Germany,52.52,13.2,35,river north sea,True,True,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,,
435,Chartres,France,48.45,1.5,148,river north sea,False,True,5000.0,7000.0,9000.0,6000.0,8000.0,1,0,0,0,0,1,0,,
436,Chateau Gontier,France,47.83,-0.7,26,river north sea,False,True,1000.0,1000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
437,Chateaudun,France,48.08,1.33,102,river north sea,False,True,4000.0,5000.0,6000.0,4000.0,10000.0,1,0,0,0,0,1,0,,
438,Chateauroux,France,45.82,1.7,154,river north sea,False,True,1000.0,2000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
439,Chatellerault,France,46.82,0.55,42,river north sea,False,True,2000.0,2000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,
441,Chaumont,France,48.12,5.13,247,river north sea,False,True,1000.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
444,Chelmno,Poland,53.33,18.42,75,river baltic,False,True,1000.0,1000.0,2000.0,1000.0,4000.0,1,0,0,0,1,0,0,,
447,Chemnitz,Germany,50.83,12.92,297,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,3000.0,1,0,0,0,0,1,0,,
448,Cherasco,Italy,44.65,7.85,288,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
449,Cherbourg,France,49.65,-1.65,9,north sea,False,True,2000.0,3000.0,3000.0,2000.0,4000.0,0,1,0,0,0,1,0,,
454,Chiaramonte Gulfi,Italy,37.03,14.7,668,land mediterranean,False,True,0.0,0.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
455,Chiavari,Italy,44.32,9.32,5,med,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,1,0,0,0,0,1,,
457,Chieri,Italy,45.02,7.82,283,land mediterranean,False,True,2000.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,
458,Chieti,Italy,42.35,14.17,248,land mediterranean,False,True,4000.0,4000.0,5000.0,3000.0,5000.0,0,0,1,0,0,0,1,,
460,Chinon,France,47.17,0.25,27,river north sea,False,True,3000.0,4000.0,5000.0,6000.0,6000.0,1,0,0,0,0,1,0,,
461,Chioggia,Italy,45.22,12.28,1,med,False,True,3000.0,4000.0,5000.0,3000.0,5000.0,0,1,0,0,0,0,1,,
463,Chiusa Sclafani,Italy,37.68,13.27,625,land mediterranean,False,True,0.0,0.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
464,Chivasso,Italy,45.18,7.88,185,river mediterranean,False,True,0.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,1,,
465,Cholet,France,47.07,-0.9,63,land north sea,False,True,1000.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
466,Chorzow,Poland,50.3,18.95,319,land baltic,False,True,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,,
467,Chur,Switzerland,46.83,9.51,593,river north sea,True,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
469,Ciminna,Italy,37.88,13.57,600,land mediterranean,False,True,1000.0,1000.0,1000.0,4000.0,5000.0,0,0,1,0,0,0,1,,
470,Cinisi,Italy,38.15,13.1,75,med,False,True,0.0,0.0,0.0,1000.0,2000.0,0,1,0,0,0,0,1,,
471,Citta di Castello,Italy,43.45,12.23,288,river mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,
474,Civitavecchia,Italy,42.08,11.78,4,med,False,True,2000.0,3000.0,3000.0,2000.0,2000.0,0,1,0,0,0,0,1,,
475,Clamecy,France,47.45,3.52,142,river north sea,False,True,2000.0,2000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
476,Clausthal Zellerfeld,Germany,51.8,10.33,560,land north sea,True,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,0,1,0,,1613.0
477,Clermont l' Herault,France,43.62,3.42,40,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,0,1,,
478,Clermont-Ferrand,France,45.78,3.08,391,river north sea,False,True,3000.0,4000.0,5000.0,3000.0,3000.0,1,0,0,0,0,1,0,,
481,Cluny,France,46.43,4.65,226,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,0,1,,
482,Coburg,Germany,50.25,10.97,292,river north sea,True,True,1000.0,2000.0,3000.0,4000.0,3000.0,1,0,0,0,0,1,0,,
483,Coesfeld,Germany,51.93,7.17,89,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
486,Colmar,France,48.08,7.37,187,river north sea,False,True,3000.0,4000.0,5000.0,4000.0,8000.0,1,0,0,0,0,1,0,,
489,Comines,France,50.77,3.02,11,river north sea,False,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,1296.0
490,Comiso,Italy,36.95,14.62,436,land mediterranean,False,True,2000.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,
491,Como,Italy,45.78,9.08,290,river mediterranean,False,True,6000.0,9000.0,12000.0,10000.0,10000.0,1,0,0,0,0,0,1,,
492,Compiegne,France,49.42,2.83,31,river north sea,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
493,Conde sur Noireau,France,48.85,-0.55,72,river north sea,False,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
494,Conde sur l' Escaut,France,50.45,3.6,10,river north sea,False,True,2000.0,2000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
495,Condom,France,43.97,0.38,82,river north sea,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
496,Condrieu,France,45.47,4.75,230,river mediterranean,False,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,0,1,,
497,Conegliano,Italy,45.88,12.3,74,land mediterranean,False,True,0.0,1000.0,1000.0,2000.0,3000.0,0,0,1,0,0,0,1,,
502,Conversano,Italy,40.97,17.13,219,land mediterranean,False,True,2000.0,3000.0,3000.0,5000.0,4000.0,0,0,1,0,0,0,1,,
503,Corato,Italy,41.15,16.42,219,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,3000.0,0,0,1,0,0,0,1,,
506,Corleone,Italy,37.82,13.3,670,land mediterranean,False,True,7000.0,9000.0,13000.0,5000.0,5000.0,0,0,1,0,0,0,1,,
509,Corte,France,42.3,9.13,486,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,0,1,,
510,Cortona,Italy,43.27,11.98,494,land mediterranean,False,True,3000.0,4000.0,5000.0,3000.0,5000.0,0,0,1,0,0,0,1,,
511,Cosenza,Italy,39.28,16.27,229,land mediterranean,False,True,3000.0,3000.0,4000.0,3000.0,4000.0,0,0,1,0,0,0,1,,
512,Cosne,France,47.4,2.92,148,river north sea,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,
513,Cottbus,Germany,51.72,14.35,75,river north sea,True,True,0.0,1000.0,1000.0,2000.0,3000.0,1,0,0,0,0,1,0,,
514,Coutances,France,43.05,-1.43,12,land north sea,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,0,1,0,0,1,0,,
519,Crema,Italy,45.37,9.68,77,river mediterranean,False,True,5000.0,7000.0,9000.0,6000.0,12000.0,1,0,0,0,0,0,1,,
520,Cremona,Italy,45.12,10.03,39,land mediterranean,False,True,8000.0,11000.0,16000.0,11000.0,40000.0,0,0,1,0,0,0,1,,
522,Cronenberg,Germany,51.2,7.13,100,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
524,Csongrad,Hungary,46.72,20.15,83,river black sea,False,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,0,0,,
526,Cuers,France,43.23,6.07,71,land mediterranean,False,True,1000.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,0,1,,
529,Cuneo,Italy,44.38,7.53,500,land mediterranean,False,True,1000.0,2000.0,5000.0,3000.0,7000.0,0,0,1,0,0,0,1,,
530,Czestochowa,Poland,50.82,19.1,253,river baltic,False,True,0.0,0.0,0.0,1000.0,2000.0,1,0,0,0,1,0,0,,
531,Dabrowa Gornicza,Poland,50.33,19.18,272,land baltic,False,True,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,,
535,Darmstadt,Germany,49.88,8.67,144,land north sea,True,True,1000.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
536,Darnetal,France,49.45,1.15,13,land north sea,False,True,1000.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
538,Dax,France,43.72,-1.05,2,river north sea,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,
541,Debrecen,Hungary,47.53,21.63,122,land black sea,False,True,0.0,1000.0,3000.0,2000.0,9000.0,0,0,1,0,0,0,0,,
542,Delft,Netherlands,52.0,4.35,2,river north sea,True,True,1000.0,5000.0,6000.0,7000.0,12000.0,1,0,0,0,0,1,0,,1246.0
543,Dendermonde,Belgium,51.03,4.12,6,river north sea,True,True,3000.0,5000.0,9000.0,5000.0,5000.0,1,0,0,0,0,1,0,,
547,Dessau,Germany,51.83,12.23,60,river north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,1533.0,
548,Deventer,Netherlands,52.25,6.17,7,river north sea,True,True,4000.0,6000.0,6000.0,5000.0,7000.0,1,0,0,0,0,1,0,,1340.0
549,Dieppe,France,49.93,1.08,7,north sea,False,True,1000.0,2000.0,3000.0,2000.0,3000.0,0,1,0,0,0,1,0,,
550,Diest,Belgium,50.98,5.05,22,river north sea,True,True,0.0,1000.0,2000.0,6000.0,5000.0,1,0,0,0,0,1,0,,1362.0
551,Digne-les-Bains,France,44.08,6.23,950,river mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,1000.0,1,0,0,0,0,0,1,,
552,Dijon,France,47.32,5.02,240,river mediterranean,False,True,5000.0,10000.0,17000.0,11000.0,13000.0,1,0,0,0,0,0,1,,
554,Dinan,France,48.45,-2.03,76,river north sea,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
555,Dinant,Belgium,50.27,4.92,96,river north sea,True,True,3000.0,4000.0,5000.0,6000.0,5000.0,1,0,0,0,0,1,0,,
556,Dinkelsbuehl,Germany,49.07,10.35,442,river black sea,True,True,0.0,1000.0,2000.0,4000.0,3000.0,1,0,0,0,0,0,0,,
560,Doebeln,Germany,51.12,13.12,158,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,,1500.0
561,Dole,France,47.1,5.5,196,river mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,
565,Dordrecht,Netherlands,51.8,4.67,1,north sea + river,True,True,1000.0,3000.0,8000.0,8000.0,10000.0,1,1,0,0,0,1,0,1299.0,1331.0
566,Dornbirn,Austria,47.42,9.77,437,land black sea,True,True,1000.0,1000.0,1000.0,1000.0,0.0,0,0,1,0,0,0,0,,
568,Dortmund,Germany,51.52,7.47,86,land north sea,True,True,3000.0,4000.0,7000.0,9000.0,8000.0,0,0,1,0,0,1,0,,1232.0
569,Douai,France,50.37,3.07,26,river north sea,False,True,4000.0,8000.0,10000.0,7000.0,10000.0,1,0,0,0,0,1,0,,
570,Dour,Belgium,50.4,3.78,93,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
573,Draguignan,France,43.53,6.47,153,land mediterranean,False,True,2000.0,3000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
575,Dresden,Germany,51.05,13.73,111,river north sea,True,True,0.0,1000.0,5000.0,4000.0,5000.0,1,0,0,0,0,1,0,1455.0,
576,Dreux,France,48.73,1.37,75,land north sea,False,True,3000.0,4000.0,5000.0,3000.0,8000.0,0,0,1,0,0,1,0,,
582,Dueren,Germany,50.8,6.5,125,river north sea,True,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,
583,Duesseldorf,Germany,51.2,6.78,37,river north sea,True,True,1000.0,1000.0,2000.0,2000.0,2000.0,1,0,0,0,0,1,0,,1482.0
584,Duisburg,Germany,51.42,6.77,33,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,1273.0,1173.0
585,Dunafoeldvar,Hungary,46.8,18.92,114,river black sea,False,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,0,0,,
588,Dunkerque,France,51.05,2.37,2,north sea,False,True,3000.0,3000.0,4000.0,3000.0,7000.0,0,1,0,0,0,1,0,,
592,Ebersbach,Germany,51.0,14.58,382,river north sea,True,True,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,,
593,Eboli,Italy,40.62,15.05,145,land mediterranean,False,True,2000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,0,1,,
595,Edam,Netherlands,52.55,5.03,1,north sea,True,True,0.0,1000.0,2000.0,1000.0,4000.0,0,1,0,0,0,1,0,,1357.0
596,Ede,Netherlands,52.03,5.67,30,land north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
599,Eeklo,Belgium,51.18,3.57,6,land north sea,True,True,0.0,1000.0,3000.0,2000.0,2000.0,0,0,1,0,0,1,0,,
600,Eger,Hungary,47.9,20.37,185,river black sea,False,True,2000.0,3000.0,4000.0,3000.0,1000.0,1,0,0,0,0,0,0,,
601,Eichstaett,Germany,48.9,11.22,393,river black sea,True,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,0,,
602,Eilenburg,Germany,51.45,12.62,106,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
603,Einbeck,Germany,51.82,9.87,112,land north sea,True,True,0.0,1000.0,2000.0,3000.0,7000.0,0,0,1,0,0,1,0,,1252.0
604,Eindhoven,Netherlands,51.43,5.47,17,river north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
605,Eisenach,Germany,50.98,10.32,215,river north sea,True,True,0.0,1000.0,2000.0,1000.0,4000.0,1,0,0,0,0,1,0,,1300.0
606,Eisenstadt,Austria,47.85,16.53,182,river black sea,True,True,1000.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,0,,
607,Eisleben,Germany,51.52,11.53,114,river north sea,True,True,2000.0,2000.0,4000.0,4000.0,9000.0,1,0,0,0,0,1,0,,1422.0
610,Elberfeld,Germany,51.27,7.13,210,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
611,Elbeuf,France,49.28,1.0,2,river north sea,False,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
612,Elblag,Poland,54.17,19.42,10,baltic + river,False,True,1000.0,2000.0,3000.0,5000.0,10000.0,1,1,0,0,1,0,0,1388.0,
620,Emden,Germany,53.37,7.2,2,north sea + river,True,True,2000.0,2000.0,3000.0,2000.0,5000.0,1,1,0,0,0,1,0,1433.0,1440.0
621,Emmerich,Germany,51.83,6.27,17,river north sea,True,True,2000.0,2000.0,3000.0,2000.0,4000.0,1,0,0,0,0,1,0,,1294.0
623,Enghien,Belgium,50.7,4.03,104,land north sea,True,True,1000.0,1000.0,2000.0,1000.0,5000.0,0,0,1,0,0,1,0,,
624,Enkhuizen,Netherlands,52.7,5.28,1,north sea,True,True,0.0,0.0,1000.0,1000.0,4000.0,0,1,0,0,0,1,0,1573.0,1364.0
625,Enna,Italy,37.57,14.28,804,land mediterranean,False,True,5000.0,7000.0,9000.0,12000.0,10000.0,0,0,1,0,0,0,1,,
626,Enschede,Netherlands,52.22,6.88,42,land north sea,True,True,0.0,0.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,,1517.0
627,Epernay,France,49.05,3.95,68,river north sea,False,True,2000.0,2000.0,3000.0,2000.0,2000.0,1,0,0,0,0,1,0,,
628,Epinal,France,48.18,6.45,315,river north sea,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
629,Erfurt,Germany,50.97,11.02,194,river north sea,True,True,8000.0,15000.0,16000.0,11000.0,19000.0,1,0,0,0,0,1,0,1289.0,1331.0
630,Erlangen,Germany,49.6,11.02,279,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
631,Eschweiler,Germany,50.82,6.27,135,river north sea,True,True,2000.0,2000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
