cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,staple_year,fair_year
18,Agrigento,Italy,37.3,13.58,172,land mediterranean,False,True,4000.0,5000.0,6000.0,4000.0,10000.0,0,0,1,0,0,0,1,,
22,Aidone,Italy,37.42,14.45,800,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
23,Aire,France,43.7,-0.27,68,river north sea,False,True,2000.0,2000.0,2000.0,5000.0,4000.0,1,0,0,0,0,1,0,,
24,Aix,France,43.53,5.43,181,river mediterranean,False,True,4000.0,5000.0,6000.0,4000.0,13000.0,1,0,0,0,0,0,1,,
25,Ajaccio,France,41.92,8.73,1,med,False,True,2000.0,2000.0,3000.0,2000.0,2000.0,0,1,0,0,0,0,1,,
27,Alassio,Italy,44.0,8.17,6,med,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,1,0,0,0,0,1,,
28,Alatri,Italy,41.72,13.35,502,land mediterranean,False,True,1000.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
29,Alba,Italy,44.7,8.03,172,river mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,1,,
32,Albi,France,43.93,2.15,169,river north sea,False,True,6000.0,7000.0,10000.0,7000.0,8000.0,1,0,0,0,0,1,0,,
36,Alcamo,Italy,37.98,12.97,235,land mediterranean,False,True,1000.0,1000.0,1000.0,3000.0,6000.0,0,0,1,0,0,0,1,,
43,Alencon,France,48.43,0.08,134,river north sea,False,True,2000.0,3000.0,4000.0,3000.0,4000.0,1,0,0,0,0,1,0,,
44,Ales,France,44.13,4.08,116,river mediterranean,False,True,0.0,0.0,1000.0,1000.0,2000.0,1,0,0,0,0,0,1,,
45,Alessandria,Italy,44.9,8.62,95,river mediterranean,False,True,0.0,10000.0,10000.0,7000.0,8000.0,1,0,0,0,0,0,1,,
48,Alghero,Italy,40.57,8.32,7,med,False,True,1000.0,1000.0,2000.0,1000.0,2000.0,0,1,0,0,0,0,1,,
50,Alkmaar,Netherlands,52.63,4.73,3,river north sea,True,True,1000.0,2000.0,3000.0,2000.0,5000.0,1,0,0,0,0,1,0,1347.0,1132.0
55,Almere,Netherlands,52.37,5.22,-3,river north sea,True,True,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,,
59,Altamura,Italy,40.83,16.55,458,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,6000.0,0,0,1,0,0,0,1,,
61,Altenburg,Germany,50.98,12.43,227,river north sea,True,True,1000.0,2000.0,1000.0,3000.0,3000.0,1,0,0,0,0,1,0,,1419.0
62,Altona,Germany,56.57,9.93,10,north sea + river,True,True,0.0,0.0,0.0,0.0,2000.0,1,1,0,0,0,1,0,,
63,Altstaetten,Switzerland,47.38,9.55,410,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
