id,cid,lat,lon,match_dist_km,city,country,closeness,betw_topo,node_idx
6545,1648.0,54.088618,12.139895,1.6131551862533378,Rostock,Germany,0.002883228897418117,12.0,156
6562,1655.0,51.920836,4.485403,1.0604226640929126,Rotterdam,Netherlands,0.0032527382426324318,426.0,157
6610,584.0,51.453462,6.733224,4.510297463229546,Duisburg,Germany,0.0032876120365998157,0.0,158
10545,1902.0,55.059726,10.609883,1.7163884881519418,Svendborg,Denmark,0.0020127979900840926,0.0,159
6840,2136.0,51.91812,4.398575,3.8939301219355347,Vlaardingen,Netherlands,0.0032369688698548455,0.0,160
6880,1736.0,54.513788,9.570986,1.5204892529936584,Schleswig,Germany,0.0028984737186505934,0.0,161
7018,1745.0,53.628788,11.414916,0.36131071116873537,Schwerin,Germany,0.0035590205412300534,582.0,162
7281,1834.0,52.537525,13.20375,0.8743430484294632,Spandau,Germany,0.003500901586376212,94.0,163
11875,1554.0,52.395737,13.061349,0.7544650220333171,Potsdam,Germany,0.003533640892797162,0.0,164
7321,1868.0,53.603069,9.476003,0.5228270946188092,Stade,Germany,0.003859173087107708,0.0,165
7343,1872.0,53.336981,15.045666,1.2979441129198093,Stargard Szczecinski,Poland,0.002875722543642978,0.0,166
7405,1878.0,52.605896,11.860586,0.9700013115981333,Stendal,Germany,0.0035771588393389126,0.0,167
7413,1911.0,53.424101,14.559637,3.3227081162054404,Szczecin,Poland,0.003167634221441516,0.0,168
7442,1806.0,54.466698,17.031335,0.8193544165541804,Slupsk,Poland,0.0019993856331089292,82.0,169
7485,1320.0,53.331209,13.095646,2.695334427871035,Neustrelitz,Germany,0.002828418118660434,374.0,170
7760,1974.0,51.558158,13.00404,1.3460585942975969,Torgau,Germany,0.0033062825078642444,432.0,171
7919,2032.0,51.534756,7.690157,0.8793665566507234,Unna,Germany,0.0031080963117286163,568.0,172
7944,2038.0,52.091844,5.118906,1.5195622154043533,Utrecht,Netherlands,0.0033077649630410097,3050.0,173
8000,2073.0,51.370573,6.169413,3.2723911679764095,Venlo,Netherlands,0.0031404132738472317,126.0,174
8005,2077.0,52.919986,9.22902,0.6047281459300324,Verden,Germany,0.0038069049296135756,0.0,175
8185,2158.0,51.488996,9.147778,1.835306669851544,Warburg,Germany,0.0032952766679903347,0.0,176
8242,2166.0,51.254017,5.706554,1.0369319422376109,Weert,Netherlands,0.002888294340818777,8.0,177
8272,2168.0,51.201045,11.972454,0.20672863592149388,Weissenfels,Germany,0.003167337226008189,948.0,178
