city_id,share_church,share_self,share_noble,share_unknown,share_foreign,share_unstable,share_occupied,share_pledged,share_contested,hanse,n_ruler_changes,n_extinction,n_conquest,n_purchase,n_mediatized,y0,y1
1048,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1051,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1053,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1056,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1060,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1061,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1062,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1063,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1068,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1069,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1070,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1071,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1076,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1079,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1080,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1081,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
1082,0.94,0.0,0.06,0.0,0.09,0.09,0.0,0.0,0.09,0,1.0,1.0,0.0,0.0,0.0,1300,1400
2001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1300,1400
2002,0.0,0.0,1.0,0.0,0.25,0.28,0.0,0.0,0.28,0,1.0,1.0,0.0,0.0,0.0,1300,1400
2003,0.0,0.0,1.0,0.0,0.0,0.28,0.0,0.0,0.28,0,3.0,2.0,0.0,0.0,0.0,1300,1400
2004,0.0,0.0,1.0,0.0,0.0,0.28,0.0,0.0,0.28,0,1.0,1.0,0.0,0.0,0.0,1300,1400
2005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1300,1400
2006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
2007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1300,1400
2008,0.0,0.0,1.0,0.0,0.0,0.28,0.0,0.0,0.28,0,1.0,1.0,0.0,0.0,0.0,1300,1400
2009,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1300,1400
2010,0.0,0.0,1.0,0.0,0.0,0.28,0.0,0.0,0.28,0,3.0,2.0,0.0,0.0,0.0,1300,1400
2011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,1300,1400
2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,1300,1400
2013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
2014,0.0,0.0,1.0,0.0,0.0,0.28,0.0,0.0,0.28,0,4.0,2.0,0.0,0.0,0.0,1300,1400
2015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,1.0,0.0,1.0,0.0,1300,1400
2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
2018,0.0,0.84,0.16,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1300,1400
2019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,1300,1400
2020,0.0,0.0,1.0,0.0,0.25,0.28,0.0,0.0,0.28,0,3.0,2.0,0.0,0.0,0.0,1300,1400
2021,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
2023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1300,1400
3001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,1.0,0.0,0.0,0.0,1300,1400
3003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,1300,1400
3005,0.91,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.09,0,2.0,1.0,0.0,1.0,0.0,1300,1400
3006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1300,1400
3007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3008,0.71,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,0.0,1.0,0.0,1300,1400
3009,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3010,0.0,0.0,1.0,0.0,0.32,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,1300,1400
3011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0,1.0,0.0,0.0,0.0,1300,1400
3012,0.0,0.0,1.0,0.0,0.13,0.0,0.0,0.0,0.0,0,11.0,0.0,0.0,0.0,0.0,1300,1400
3013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,1300,1400
3014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3015,0.0,0.0,1.0,0.0,0.57,0.0,0.0,0.0,0.43,0,3.0,2.0,0.0,0.0,0.0,1300,1400
3016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,1300,1400
3017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,1300,1400
3018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1300,1400
3019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1300,1400
3020,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3021,0.0,0.0,1.0,0.0,0.0,0.81,0.0,0.81,0.04,0,1.0,0.0,0.0,1.0,0.0,1300,1400
3022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0,0.0,0.0,0.0,1300,1400
3024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3026,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,1.0,0.0,2.0,0.0,1300,1400
3027,0.0,0.0,1.0,0.0,0.0,0.34,0.0,0.34,0.0,1,1.0,0.0,0.0,0.0,0.0,1300,1400
3028,0.15,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3029,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1300,1400
3030,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1300,1400
3031,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3.0,2.0,0.0,0.0,0.0,1300,1400
3032,0.37,0.0,0.63,0.0,0.57,0.09,0.0,0.0,0.09,0,3.0,1.0,0.0,0.0,0.0,1300,1400
3033,0.0,0.0,0.28,0.72,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,1300,1400
3034,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3035,0.91,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.09,0,1.0,0.0,0.0,1.0,0.0,1300,1400
3036,1.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3037,1.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3038,0.0,0.0,1.0,0.0,0.32989690721649484,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,1300,1400
3039,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3040,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3041,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3042,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3043,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,1.0,0.0,0.0,0.0,1300,1400
3044,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.04,0.0,0,5.0,0.0,0.0,0.0,0.0,1300,1400
3045,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3046,0.0,0.0,1.0,0.0,0.53,0.47,0.0,0.47,0.0,0,2.0,1.0,0.0,0.0,0.0,1300,1400
3047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3048,0.94,0.0,0.06,0.0,0.0,0.09,0.0,0.0,0.09,0,1.0,1.0,0.0,0.0,0.0,1300,1400
3049,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3050,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3.0,2.0,0.0,0.0,0.0,1300,1400
3051,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3052,0.0,0.0,1.0,0.0,0.35,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,1300,1400
3053,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3054,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,1.0,0.0,1300,1400
3055,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3056,0.16,0.0,0.84,0.0,0.0,0.02,0.0,0.02,0.0,0,2.0,0.0,0.0,0.0,0.0,1300,1400
3057,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,2.0,0.0,1300,1400
3058,0.91,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0,2.0,0.0,0.0,0.0,0.0,1300,1400
3059,0.0,0.0,1.0,0.0,0.32,0.0,0.0,0.0,0.0,0,7.0,2.0,0.0,0.0,0.0,1300,1400
3060,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3.0,2.0,0.0,0.0,0.0,1300,1400
3061,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3.0,2.0,0.0,0.0,0.0,1300,1400
3062,0.0,0.0,1.0,0.0,0.0,0.12,0.0,0.12,0.0,1,1.0,0.0,0.0,0.0,0.0,1300,1400
3063,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3064,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1300,1400
3065,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3067,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3068,0.0,0.0,1.0,0.0,0.0,0.12,0.0,0.12,0.0,1,2.0,0.0,0.0,0.0,0.0,1300,1400
3069,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3070,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
3071,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.01,0.0,0,7.0,0.0,0.0,1.0,0.0,1300,1400
3072,0.0,0.0,1.0,0.0,0.32,0.0,0.0,0.0,0.0,0,8.0,5.0,0.0,0.0,0.0,1300,1400
3073,0.09,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,1300,1400
3074,0.0,0.0,1.0,0.0,0.14,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0,0.0,0.0,1300,1400
3075,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3076,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1,1.0,0.0,0.0,0.0,0.0,1300,1400
3077,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,1.0,0.0,1.0,0.0,1300,1400
3078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1300,1400
3079,0.88,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1300,1400
3080,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,1300,1400
4001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,1300,1400
4002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
4003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1300,1400
