city_id,year,old_terr,new_terr,old_type,new_type,type_change,foreign_rule
7023,1572,0J0011,0V0011,noble,noble,0,P121
7023,1575,0V0011,0B0080,noble,noble,0,P121
7023,1586,0B0080,0V0013,noble,noble,0,P121
7023,1669,0V0013,0W0067,noble,noble,0,P121
7023,1673,0W0067,0S0109,noble,noble,0,P121
7023,1696,0S0109,A060,noble,noble,0,P121
7023,1763,A060,0P0041,noble,noble,0,P121
7024,1327,S244,L339,noble,noble,0,B316
7024,1437,L339,H010,noble,noble,0,B316
7024,1457,H010,0P0046,noble,noble,0,B316
7024,1471,0P0046,0J0012,noble,noble,0,B316
7024,1482,0J0012,A1620,noble,unknown,7,
7024,1486,A1620,B3742,unknown,noble,11,
7024,1535,B3742,0K0033,noble,noble,11,
7024,1571,0K0033,B3742,noble,noble,3,
7025,1306,P166,P0871,noble,noble,7,P121
7025,1319,P0871,B374,noble,noble,0,
7025,1320,B374,W400,noble,noble,3,
7025,1329,W400,L339,noble,noble,0,B316
7025,1335,L339,P0871,noble,noble,0,P121
7025,1370,P0871,0C0017,noble,noble,3,P121
7025,1386,0C0017,0J0011,noble,noble,2,P121
7025,1572,0J0011,0V0011,noble,noble,3,P121
7025,1575,0V0011,0B0080,noble,noble,2,P121
7025,1586,0B0080,0V0013,noble,noble,0,P121
7025,1669,0V0013,0W0067,noble,noble,0,P121
7025,1673,0W0067,0S0109,noble,noble,0,P121
7025,1696,0S0109,A060,noble,noble,0,P121
7025,1763,A060,0P0041,noble,noble,0,P121
7026,1351,W400,0B0082,noble,noble,0,
7026,1373,0B0082,L339,noble,noble,5,
7026,1378,L339,G170,noble,noble,11,
7026,1386,G170,L339,noble,noble,0,
7026,1428,L339,0J0011,noble,noble,0,
7026,1572,0J0011,0V0011,noble,noble,3,
7026,1575,0V0011,0B0080,noble,noble,2,
7026,1586,0B0080,0V0013,noble,noble,0,
7026,1669,0V0013,0W0067,noble,noble,0,
7026,1673,0W0067,0S0109,noble,noble,0,
7026,1696,0S0109,A060,noble,noble,0,
7026,1763,A060,0P0041,noble,noble,0,
7027,1320,B374,W400,noble,noble,3,
7027,1348,W400,1F0001,noble,noble,0,
7027,1350,1F0001,W400,noble,noble,0,
7027,1351,W400,0B0082,noble,noble,0,
7027,1373,0B0082,L339,noble,noble,5,
7027,1417,L339,A1620,noble,unknown,0,
7027,1440,A1620,B3741,unknown,noble,11,
7027,1471,B3741,A1620,noble,unknown,3,
7027,1486,A1620,B3742,unknown,noble,11,
7028,1422,A2330,W2890,noble,unknown,3,
7028,1547,W2890,A060,unknown,noble,7,
7029,1320,B374,W400,noble,noble,7,
7029,1348,W400,1F0001,noble,noble,7,
7029,1350,1F0001,W400,noble,noble,7,
7029,1351,W400,0B0082,noble,noble,7,
7029,1354,0B0082,P131,noble,noble,7,
7029,1464,P131,P128,noble,noble,0,
7029,1472,P128,A1620,noble,unknown,0,
7029,1486,A1620,B3742,unknown,noble,0,
7030,1320,B374,W400,noble,noble,3,
7030,1348,W400,1F0001,noble,noble,0,
7030,1350,1F0001,W400,noble,noble,0,
7030,1351,W400,0B0082,noble,noble,0,
7030,1354,0B0082,L102,noble,noble,0,
7030,1424,L102,M010,noble,church,0,
7030,1598,M010,B3742,church,noble,8,
7031,1304,W2890,B374,unknown,noble,5,
7031,1319,B374,E070,noble,noble,0,
7031,1370,E070,L339,noble,noble,9,B316
7031,1437,L339,H010,noble,noble,9,B316
7031,1457,H010,0P0046,noble,noble,3,B316
7031,1471,0P0046,0J0012,noble,noble,3,U034
7031,1479,0J0012,0H0071,noble,noble,3,B316
7031,1490,0H0071,0J0012,noble,noble,3,B316
7031,1525,0J0012,H0101,noble,noble,0,B316
7031,1619,H0101,H0103,noble,noble,3,B316
7031,1635,H0103,A060,noble,noble,7,
7031,1657,A060,S039,noble,noble,11,
7031,1738,S039,A060,noble,noble,3,
7032,1304,W2890,B374,unknown,noble,5,
7032,1320,B374,W400,noble,noble,3,
7032,1348,W400,1F0001,noble,noble,0,
