city_id,name,lat,lon,legal_capacity_score_1250,legal_capacity_score_1300,legal_capacity_score_1350,legal_capacity_score_1400,legal_capacity_score_1450,legal_capacity_score_1500,merchant_capital_score_1250,merchant_capital_score_1300,merchant_capital_score_1350,merchant_capital_score_1400,merchant_capital_score_1450,merchant_capital_score_1500,noble_extraction_score_1250,noble_extraction_score_1300,noble_extraction_score_1350,noble_extraction_score_1400,noble_extraction_score_1450,noble_extraction_score_1500,imputed_1250,imputed_1300,imputed_1350,imputed_1400,imputed_1450,imputed_1500,peasant_mobility_score_1250,peasant_mobility_score_1300,peasant_mobility_score_1350,peasant_mobility_score_1400,peasant_mobility_score_1450,peasant_mobility_score_1500
1001,Allenburg,54.4925,21.192223,0,1,1,3,3,3,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,1,1,1,1,1
1002,Allenstein,53.783333,20.483334,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,True,True,True,True,True,True,0,0,1,1,1,1
1003,Angerapp,54.416668,22.016666,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,0,0,0,0,0
1004,Angerburg,54.216667,21.75,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,0,1,1,1,1
1005,Arys,53.805557,21.945833,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,0,0,0,1,1
1006,Barten,54.216667,21.35,0,0,0,1,1,1,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,0,0,1,1,1
1007,Bartenstein (Ostpreussen),54.250278,20.816668,1,1,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,1,1,2,2,2,2
1008,Bischofsburg,53.863609,20.954721,0,0,0,3,3,3,0,0,0,0,0,0,1,1,1,1,1,2,True,True,True,True,True,True,0,0,0,2,2,1
1009,Bischofstein,54.084721,20.901945,0,0,1,3,3,3,0,0,0,0,0,0,1,1,1,1,1,2,True,True,True,True,True,True,0,0,1,2,2,1
1010,Bischofswerder,53.501667,19.349167,0,0,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,2,True,True,True,True,True,True,0,0,2,2,2,1
1011,Braunsberg,54.38361,19.816668,1,3,3,3,3,3,0,2,2,2,2,2,1,1,1,1,1,2,True,True,True,True,True,True,1,3,3,3,3,1
1012,Christburg,53.916668,19.35,1,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,2,True,True,True,True,True,True,1,2,2,2,2,1
1013,Danzig,54.350555,18.652779,3,3,3,3,3,3,0,2,2,2,3,3,1,1,2,1,1,1,True,True,True,True,True,True,2,3,1,3,3,3
1014,Dt. Eylau,53.599998,19.566668,0,0,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,0,2,2,2,2
1015,Domnau,54.426109,20.826666,0,0,1,3,3,3,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,0,1,1,1,1
1016,Drengfurt,54.213612,21.519167,0,0,0,1,3,3,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,0,0,1,1,1
1017,Ebenrode,54.633335,22.566668,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,0,0,0,0,0
1018,Elbing,54.166668,19.4,3,3,3,3,3,3,0,2,2,3,2,2,1,1,1,1,1,2,True,True,True,True,True,True,2,3,3,3,3,1
1019,Eydtkau,54.633335,22.733334,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,0,0,0,0,0
1020,Fischhausen,54.733334,20.0,0,1,3,3,3,3,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,1,1,1,1,1
1021,Frauenburg,54.349998,19.683332,0,1,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,2,True,True,True,True,True,True,0,1,2,2,2,1
1022,Freystadt in Westpreussen,53.599998,19.266666,0,3,3,3,3,3,0,0,0,0,0,0,1,1,1,2,1,1,True,True,True,True,True,True,0,2,2,1,2,2
1023,Friedland in Ostpreussen,54.450001,21.016666,0,0,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,0,2,2,2,2
1024,Garnsee,53.607224,18.941111,0,1,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,1,2,2,2,2
1025,Gehlenburg,53.616665,22.066668,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,0,0,0,1,1
1026,Gerdauen,54.358334,21.322222,0,0,1,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,0,1,2,2,2
1027,Gilgenburg,53.433334,20.033333,0,0,2,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,0,2,2,2,2
1028,Goldap,54.299999,22.299999,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,0,0,0,0,0
1029,Gumbinnen,54.583332,22.183332,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,0,0,0,0,0
1030,Guttstadt,53.985832,20.396111,0,0,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,2,True,True,True,True,True,True,0,0,2,2,2,1
1031,Heiligenbeil,54.466667,19.933332,0,1,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,1,2,2,2,2
1032,Heilsberg,54.116665,20.583334,1,1,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,2,True,True,True,True,True,True,1,1,2,2,2,1
1033,Hohenstein,53.583332,20.283333,0,0,1,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,0,1,2,2,2
1034,Insterburg,54.633335,21.816668,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,0,1,1,1,1
1035,Johannisburg,53.616665,21.799999,0,0,1,1,1,1,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,0,1,1,1,1
1036,Koenigsberg Pr.,54.710278,20.509445,0,3,3,3,3,3,0,2,2,2,2,2,1,1,1,1,1,1,True,True,True,True,True,True,0,3,3,3,3,3
1037,Kreuzburg,54.493332,20.440277,1,1,3,3,3,3,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,1,1,1,1,1,1
1038,Labiau,54.866665,21.1,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,1,1,1,1,1
1039,Landsberg,54.284721,20.49361,0,0,3,3,3,3,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,0,1,1,1,1
1040,Liebemuehl,53.75,19.85,0,0,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,0,2,2,2,2
1041,Liebstadt (Ostpreussen),54.0,20.066668,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,True,True,True,True,True,True,0,0,0,0,0,0
1042,Loetzen,54.033333,21.766666,0,0,1,1,1,1,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,0,1,1,1,1
1043,Lyck,53.816666,22.35,0,0,1,1,1,1,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,0,1,1,1,1
1044,Marienburg,54.033333,19.041666,0,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,2,True,True,True,True,True,True,0,2,2,2,2,1
1045,Marienwerder,53.735832,18.922222,3,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,2,2,2,2,2,2
1046,Mehlsack,54.216667,20.116667,0,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,2,True,True,True,True,True,True,0,2,2,2,2,1
1047,Mohrungen,53.916668,19.933332,0,1,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,1,2,2,2,2
1048,Muehlhausen,54.166668,19.733334,0,0,3,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,0,2,2,2,2
1049,Neidenburg,53.358334,20.424999,0,0,0,3,3,3,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,0,0,0,2,2,2
1050,Neuteich,54.133335,19.0,0,0,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,2,True,True,True,True,True,True,0,0,2,2,2,1
1051,Nikolaiken,53.799999,21.583334,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,2,2,2,True,True,True,True,True,True,0,0,0,0,1,1
