city_id,name,lat,lon,nodesid,lat_band_1250,lat_band_1300,lat_band_1350,lat_band_1400,lat_band_1450,lat_band_1500,dist_river_km_1250,dist_river_km_1300,dist_river_km_1350,dist_river_km_1400,dist_river_km_1450,dist_river_km_1500,elev_m_1250,elev_m_1300,elev_m_1350,elev_m_1400,elev_m_1450,elev_m_1500,population_1250,population_1300,population_1350,population_1400,population_1450,population_1500,pop_growth_50yr_1250,pop_growth_50yr_1300,pop_growth_50yr_1350,pop_growth_50yr_1400,pop_growth_50yr_1450,pop_growth_50yr_1500,agricultural_surplus_score_1250,agricultural_surplus_score_1300,agricultural_surplus_score_1350,agricultural_surplus_score_1400,agricultural_surplus_score_1450,agricultural_surplus_score_1500
1001,Allenburg,54.4925,21.192223,127.0,north,north,north,north,north,north,15.9,15.9,15.9,15.9,15.9,15.9,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1002,Allenstein,53.783333,20.483334,132.0,north,north,north,north,north,north,83.5,83.5,83.5,83.5,83.5,83.5,90.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,500.0,1000.0,1000.0,1000.0,,,,2.0,1.0,1.0,0,0,0,0,0,0
1003,Angerapp,54.416668,22.016666,,north,north,north,north,north,north,40.1,40.1,40.1,40.1,40.1,40.1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1004,Angerburg,54.216667,21.75,,north,north,north,north,north,north,48.5,48.5,48.5,48.5,48.5,48.5,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1005,Arys,53.805557,21.945833,,north,north,north,north,north,north,96.0,96.0,96.0,96.0,96.0,96.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1006,Barten,54.216667,21.35,445.0,north,north,north,north,north,north,47.4,47.4,47.4,47.4,47.4,47.4,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1007,Bartenstein (Ostpreussen),54.250278,20.816668,446.0,north,north,north,north,north,north,47.5,47.5,47.5,47.5,47.5,47.5,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1008,Bischofsburg,53.863609,20.954721,690.0,north,north,north,north,north,north,86.5,86.5,86.5,86.5,86.5,86.5,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1009,Bischofstein,54.084721,20.901945,,north,north,north,north,north,north,63.1,63.1,63.1,63.1,63.1,63.1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1010,Bischofswerder,53.501667,19.349167,,north,north,north,north,north,north,41.0,41.0,41.0,41.0,41.0,41.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1011,Braunsberg,54.38361,19.816668,941.0,north,north,north,north,north,north,36.7,36.7,36.7,36.7,36.7,36.7,14.0,14.0,14.0,14.0,14.0,14.0,500.0,1000.0,1500.0,2000.0,2500.0,3000.0,,2.0,1.5,1.333,1.25,1.2,0,0,0,0,0,2
1012,Christburg,53.916668,19.35,1214.0,north,north,north,north,north,north,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1013,Danzig,54.350555,18.652779,1333.0,north,north,north,north,north,north,0.6,0.6,0.6,0.6,0.6,0.6,15.0,15.0,15.0,15.0,15.0,15.0,7000.0,9000.0,14500.0,20000.0,25000.0,30000.0,1.4,1.286,1.611,1.379,1.25,1.2,2,2,3,3,3,3
1014,Dt. Eylau,53.599998,19.566668,1411.0,north,north,north,north,north,north,51.7,51.7,51.7,51.7,51.7,51.7,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1015,Domnau,54.426109,20.826666,1512.0,north,north,north,north,north,north,28.0,28.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1016,Drengfurt,54.213612,21.519167,,north,north,north,north,north,north,46.5,46.5,46.5,46.5,46.5,46.5,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1017,Ebenrode,54.633335,22.566668,,north,north,north,north,north,north,48.3,48.3,48.3,48.3,48.3,48.3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1018,Elbing,54.166668,19.4,1750.0,north,north,north,north,north,north,0.9,0.9,0.9,0.9,0.9,0.9,10.0,10.0,10.0,10.0,10.0,10.0,2500.0,3000.0,4000.0,5000.0,7500.0,10000.0,1.25,1.2,1.333,1.25,1.5,1.333,1,2,2,2,2,3
1019,Eydtkau,54.633335,22.733334,,north,north,north,north,north,north,51.7,51.7,51.7,51.7,51.7,51.7,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1020,Fischhausen,54.733334,20.0,1955.0,north,north,north,north,north,north,51.0,51.0,51.0,51.0,51.0,51.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1021,Frauenburg,54.349998,19.683332,1991.0,north,north,north,north,north,north,27.9,27.9,27.9,27.9,27.9,27.9,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1022,Freystadt in Westpreussen,53.599998,19.266666,,north,north,north,north,north,north,32.2,32.2,32.2,32.2,32.2,32.2,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1023,Friedland in Ostpreussen,54.450001,21.016666,,north,north,north,north,north,north,22.1,22.1,22.1,22.1,22.1,22.1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
