city_id,name,lat,lon,nodesid,has_formal_charter_by_y_1250,has_formal_charter_by_y_1300,has_formal_charter_by_y_1350,has_formal_charter_by_y_1400,has_formal_charter_by_y_1450,has_formal_charter_by_y_1500,charter_withdrawn_by_y_1250,charter_withdrawn_by_y_1300,charter_withdrawn_by_y_1350,charter_withdrawn_by_y_1400,charter_withdrawn_by_y_1450,charter_withdrawn_by_y_1500,has_charter_changes_by_y_1250,has_charter_changes_by_y_1300,has_charter_changes_by_y_1350,has_charter_changes_by_y_1400,has_charter_changes_by_y_1450,has_charter_changes_by_y_1500,has_mention_by_y_1250,has_mention_by_y_1300,has_mention_by_y_1350,has_mention_by_y_1400,has_mention_by_y_1450,has_mention_by_y_1500,has_townhall_by_y_1250,has_townhall_by_y_1300,has_townhall_by_y_1350,has_townhall_by_y_1400,has_townhall_by_y_1450,has_townhall_by_y_1500,strong_legal_family_1250,strong_legal_family_1300,strong_legal_family_1350,strong_legal_family_1400,strong_legal_family_1450,strong_legal_family_1500,city_status_1250,city_status_1300,city_status_1350,city_status_1400,city_status_1450,city_status_1500,dist_university_km_1250,dist_university_km_1300,dist_university_km_1350,dist_university_km_1400,dist_university_km_1450,dist_university_km_1500,legal_capacity_continuous_1250,legal_capacity_continuous_1300,legal_capacity_continuous_1350,legal_capacity_continuous_1400,legal_capacity_continuous_1450,legal_capacity_continuous_1500,legal_capacity_score_1250,legal_capacity_score_1300,legal_capacity_score_1350,legal_capacity_score_1400,legal_capacity_score_1450,legal_capacity_score_1500
1015,Domnau,54.426109,20.826666,1512.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1188.1,1188.1,649.7,489.1,489.1,484.3,0.7,0.7,1.0,2.5,2.5,2.5,0,0,1,3,3,3
1016,Drengfurt,54.213612,21.519167,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1196.7,1196.7,666.5,474.1,474.1,474.1,0.7,0.7,0.7,1.0,2.5,2.5,0,0,0,1,3,3
1017,Ebenrode,54.633335,22.566668,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276.0,1276.0,748.4,538.7,538.7,538.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1018,Elbing,54.166668,19.4,1750.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1112.3,1112.3,566.5,458.0,458.0,391.7,2.5,2.5,3.5,3.5,3.5,3.5,3,3,3,3,3,3
1019,Eydtkau,54.633335,22.733334,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1283.1,1283.1,756.8,542.6,542.6,542.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1020,Fischhausen,54.733334,20.0,1955.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1186.3,1186.3,639.9,519.5,513.4,433.6,0.7,1.0,2.5,2.5,3.5,3.5,0,1,3,3,3,3
1021,Frauenburg,54.349998,19.683332,1991.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1139.4,1139.4,593.9,477.2,477.2,410.1,0.7,1.0,2.5,2.5,2.5,2.5,0,1,3,3,3,3
1022,Freystadt in Westpreussen,53.599998,19.266666,,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1054.5,1054.5,512.9,396.2,396.2,389.4,0.7,2.5,2.5,2.5,2.5,2.5,0,3,3,3,3,3
1023,Friedland in Ostpreussen,54.450001,21.016666,,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1197.5,1197.5,660.3,493.5,493.5,493.5,0.7,0.7,2.5,2.5,2.5,2.5,0,0,3,3,3,3
1024,Garnsee,53.607224,18.941111,2098.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1043.6,1043.6,499.4,400.2,400.2,368.2,0.7,1.0,2.5,2.5,2.5,2.5,0,1,3,3,3,3
1025,Gehlenburg,53.616665,22.066668,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170.1,1170.1,655.0,421.5,421.5,421.5,0.0,0.0,0.0,0.0,0.3,0.3,0,0,0,0,1,1
1026,Gerdauen,54.358334,21.322222,2167.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1201.4,1201.4,667.6,487.0,487.0,487.0,0.7,0.7,1.0,2.5,2.5,2.5,0,0,1,3,3,3
1027,Gilgenburg,53.433334,20.033333,2202.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1068.4,1068.4,536.0,375.0,375.0,375.0,0.0,0.0,1.8,2.8,2.8,2.8,0,0,2,3,3,3
1028,Goldap,54.299999,22.299999,2265.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1236.8,1236.8,711.9,498.0,498.0,498.0,0.7,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0
1029,Gumbinnen,54.583332,22.183332,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.8,1255.8,725.9,525.4,525.4,525.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1030,Guttstadt,53.985832,20.396111,2710.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1132.0,1132.0,595.4,437.5,437.5,437.5,0.7,0.7,2.5,2.5,2.5,2.5,0,0,3,3,3,3
1031,Heiligenbeil,54.466667,19.933332,2909.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1159.1,1159.1,614.2,489.8,489.8,426.8,0.7,1.0,2.5,2.5,2.5,3.5,0,1,3,3,3,3
1032,Heilsberg,54.116665,20.583334,2921.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1151.0,1151.0,614.3,453.1,453.1,453.1,1.0,1.0,3.5,3.5,3.5,3.5,1,1,3,3,3,3
1033,Hohenstein,53.583332,20.283333,3124.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1091.6,1091.6,559.4,392.3,392.3,392.3,0.7,0.7,1.0,2.5,2.5,2.5,0,0,1,3,3,3
1034,Insterburg,54.633335,21.816668,3325.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1245.2,1245.2,711.8,524.1,524.1,524.1,0.7,0.7,1.0,1.0,1.0,1.0,0,0,1,1,1,1
1035,Johannisburg,53.616665,21.799999,3434.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158.2,1158.2,640.4,415.5,415.5,415.5,0.0,0.0,0.3,0.3,0.3,0.8,0,0,1,1,1,1
1036,Koenigsberg Pr.,54.710278,20.509445,3911.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1202.2,1202.2,658.9,518.4,518.4,465.8,0.7,2.5,2.5,3.5,3.5,3.5,0,3,3,3,3,3
1037,Kreuzburg,54.493332,20.440277,,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1179.7,1179.7,638.0,494.0,494.0,459.6,1.0,1.0,2.5,2.5,2.5,2.5,1,1,3,3,3,3
1038,Labiau,54.866665,21.1,4190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238.1,1238.1,697.2,540.1,540.1,505.3,0.0,0.3,0.3,0.3,0.3,0.3,0,1,1,1,1,1
1039,Landsberg,54.284721,20.49361,,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1162.7,1162.7,623.4,471.1,471.1,462.6,0.7,0.7,2.5,2.5,2.5,2.5,0,0,3,3,3,3
1040,Liebemuehl,53.75,19.85,,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1089.9,1089.9,551.5,410.2,410.2,410.2,0.7,0.7,2.5,2.5,3.5,3.5,0,0,3,3,3,3
1041,Liebstadt (Ostpreussen),54.0,20.066668,10031.0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1120.8,1120.8,581.3,438.0,438.0,436.0,0.7,0.7,0.0,0.0,0.0,0.7,0,0,0,0,0,0
1042,Loetzen,54.033333,21.766666,4586.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191.6,1191.6,666.2,459.0,459.0,459.0,0.0,0.0,0.3,0.3,0.3,0.3,0,0,1,1,1,1
1043,Lyck,53.816666,22.35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.1,1199.1,682.8,449.1,449.1,449.1,0.0,0.0,0.3,0.3,0.3,0.3,0,0,1,1,1,1
1044,Marienburg,54.033333,19.041666,4754.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1087.5,1087.5,540.4,445.9,445.9,368.9,0.7,2.5,2.5,3.5,3.5,3.5,0,3,3,3,3,3
1045,Marienwerder,53.735832,18.922222,4769.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1055.2,1055.2,509.6,414.5,414.5,364.5,2.5,2.5,3.5,3.5,3.5,3.5,3,3,3,3,3,3
1046,Mehlsack,54.216667,20.116667,4837.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1142.5,1142.5,601.1,462.2,462.2,438.2,0.7,2.5,2.5,2.5,2.5,2.5,0,3,3,3,3,3
1047,Mohrungen,53.916668,19.933332,5010.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1108.2,1108.2,568.6,428.7,428.7,428.1,0.7,1.0,2.5,2.5,3.5,3.5,0,1,3,3,3,3
1048,Muehlhausen,54.166668,19.733334,5093.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1124.0,1124.0,580.4,456.7,456.7,413.4,0.7,0.7,2.2,3.2,3.5,3.5,0,0,3,3,3,3
1049,Neidenburg,53.358334,20.424999,5193.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1077.6,1077.6,550.4,368.1,368.1,368.1,0.7,0.7,0.7,2.5,2.5,2.5,0,0,0,3,3,3
1050,Neuteich,54.133335,19.0,,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095.7,1095.7,547.6,457.3,447.0,365.7,0.0,0.0,1.8,1.8,1.8,1.8,0,0,2,2,2,2
1051,Nikolaiken,53.799999,21.583334,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164.1,1164.1,640.9,430.7,430.7,430.7,0.0,0.0,0.0,0.0,0.3,0.3,0,0,0,0,1,1
1052,Nordenburg,54.333332,21.549999,5454.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1208.3,1208.3,676.7,487.5,487.5,487.5,0.7,0.7,0.7,1.0,2.5,2.5,0,0,0,1,3,3
1053,Ortelsburg,53.562778,20.985277,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118.6,1118.6,593.6,395.9,395.9,395.9,0.0,0.0,0.3,0.3,0.3,0.3,0,0,1,1,1,1
