city_id,name,lat,lon,year,trade_access_continuous,trade_access_score,distance_river_km,distance_road_km,distance_fair_km,num_fairs_50km,has_own_staple,on_trade_route,trade_access_source
12112,Schoeningen,52.138889,10.969722,1550,4.3755,2,19.197,2.142,16.143,22,0,1,viabundus
10025,Geisa,50.716667,9.9497223,1600,4.375,2,24.58,0.141,13.826,24,0,1,viabundus
10031,Greussen,51.228054,10.943889,1650,4.3749,2,58.55,0.177,8.693,29,0,1,viabundus
12141,Wustrow,52.923889,11.119166,1450,4.3748,2,2.715,0.038,5.43,11,0,1,viabundus
11039,Erfurt,50.976944,11.027223,1650,4.3746,2,69.548,0.188,1.326,29,0,1,viabundus
12017,Bremen,53.075832,8.8072224,1500,4.3743,3,0.166,0.01,0.061,10,1,1,viabundus
12017,Bremen,53.075832,8.8072224,1550,4.3743,3,0.166,0.01,0.061,10,1,1,viabundus
12017,Bremen,53.075832,8.8072224,1600,4.3743,3,0.166,0.01,0.061,10,1,1,viabundus
5041,Rendsburg,54.306389,9.6630554,1450,4.3735,2,0.054,0.114,23.972,10,0,1,viabundus
11117,Raguhn,51.708057,12.268611,1650,4.3729,2,18.057,0.083,14.039,19,0,1,viabundus
15062,Hessisch-Lichtenau,51.198055,9.7213888,1550,4.3725,2,14.819,0.149,19.999,17,0,1,viabundus
15062,Hessisch-Lichtenau,51.198055,9.7213888,1600,4.3725,2,14.819,0.149,19.999,17,0,1,viabundus
10064,Plaue,50.778889,10.898056,1650,4.3724,2,71.391,3.489,23.615,34,0,1,viabundus
11108,Oschersleben,52.02639,11.226944,1650,4.372,2,31.006,0.266,0.0,29,0,1,viabundus
7027,Brandenburg,52.408611,12.563334,1550,4.3717,3,0.202,0.063,0.877,10,1,1,viabundus
10019,Eisenach,50.977222,10.322222,1550,4.3717,2,27.743,0.406,0.0,27,0,1,viabundus
10094,Vacha,50.823055,10.023889,1600,4.3703,2,21.07,0.053,24.606,21,0,1,viabundus
13081,Horstmar,52.080555,7.3049998,1550,4.3701,2,19.221,2.286,21.237,22,0,1,viabundus
9012,Borna,51.123055,12.497222,1650,4.3686,2,18.152,0.145,0.291,19,0,1,viabundus
11096,Merseburg,51.358055,11.992778,1500,4.3685,2,28.19,0.19,14.112,27,0,1,viabundus
13041,Bad Driburg,51.736111,9.0169449,1550,4.3684,2,25.036,2.4,18.188,27,0,1,viabundus
11030,Dommitzsch,51.639721,12.883333,1550,4.368,2,2.121,0.657,12.303,11,0,1,viabundus
13095,Luebbecke,52.303333,8.6172218,1550,4.3676,2,20.975,1.135,20.39,22,0,1,viabundus
12075,Luechow,52.967499,11.161667,1450,4.3672,2,2.715,0.268,0.0,11,0,1,viabundus
14107,Wesel,51.657223,6.6172223,1300,4.3669,2,0.22,0.193,27.311,10,0,1,viabundus
11001,Aken,51.852501,12.043889,1500,4.3667,2,5.272,0.171,12.385,12,0,1,viabundus
13139,Stadtlohn,51.9925,6.917778,1450,4.3666,2,16.762,0.103,17.006,18,0,1,viabundus
5025,Lauenburg (Elbe),53.374168,10.554167,1450,4.3664,2,0.264,0.179,16.663,10,0,1,viabundus
11147,Stolberg (Harz),51.573055,10.954722,1650,4.3626,2,52.159,3.174,13.637,33,0,1,viabundus
11111,Osterwieck,51.9725,10.706667,1450,4.3621,2,13.319,0.313,16.076,16,0,1,viabundus
10049,Lobeda,50.882221,11.623333,1600,4.3616,2,68.734,0.576,4.19,29,0,1,viabundus
10049,Lobeda,50.882221,11.623333,1650,4.3616,2,68.734,0.576,4.19,29,0,1,viabundus
12076,Lueneburg,53.24889,10.408611,1500,4.3614,3,9.918,0.084,0.169,14,1,1,viabundus
12076,Lueneburg,53.24889,10.408611,1550,4.3614,3,9.918,0.084,0.169,14,1,1,viabundus
10061,Ohrdruf,50.827778,10.733055,1550,4.3596,2,59.018,2.639,24.357,32,0,1,viabundus
5044,Bad Segeberg,53.936668,10.303889,1500,4.3593,2,15.48,0.082,38.072,17,0,1,viabundus
15130,Sontra,51.06889,9.9327774,1550,4.3585,2,15.719,2.153,22.011,19,0,1,viabundus
11164,Wernigerode,51.834446,10.784166,1550,4.3584,2,23.709,0.391,0.0,23,0,1,viabundus
11109,Osterburg,52.787777,11.753612,1600,4.3582,2,17.203,0.046,17.24,18,0,1,viabundus
10095,Waltershausen,50.897778,10.555833,1600,4.3581,2,44.739,2.684,18.63,32,0,1,viabundus
14027,Erkelenz,51.078609,6.313889,1500,4.3579,2,26.607,1.614,0.0,27,0,1,viabundus
11023,Cochstedt,51.880833,11.406944,1550,4.3576,2,24.242,0.04,7.045,23,0,1,viabundus
