city_id,name,lat,lon,year,legal_capacity,merchant_capital,agricultural_surplus,peasant_mobility,noble_extraction,conflict_risk,trade_access,composite_raw,composite_0_3,nodesid
1051,Nikolaiken,53.799999,21.583334,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
1052,Nordenburg,54.333332,21.549999,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,5454.0
1053,Ortelsburg,53.562778,20.985277,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
1054,Osterode in Ostpreussen,53.700001,19.966667,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,5733.0
1055,Passenheim,53.633335,20.783333,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,5849.0
1056,Pillau,54.650002,19.916666,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
1057,Pr. Eylau,54.383335,20.65,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,6109.0
1058,Pr. Holland,54.065277,19.656944,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,6111.0
1059,Ragnit,55.033333,22.033333,1250,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10000000000000009,0,
1060,Rastenburg,54.083332,21.383333,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,6267.0
1061,Rhein,53.93861,21.545834,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
1062,Riesenburg,53.755833,19.1975,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,6418.0
1063,Roessel,54.049999,21.15,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,
1064,Rosenberg,53.719723,19.336945,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,6525.0
1065,Saalfeld (Ostpreussen),53.849998,19.6,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,6660.0
1066,Schippenbeil,54.25,21.016666,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,6855.0
1067,Schirwindt,54.781944,22.844723,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
1068,Schlossberg,54.766666,22.516666,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
