city_id,name,lat,lon,town_from,town_to,ready,year,population,distance_river_km,distance_road_km,distance_fair_km,num_fairs_50km,num_fairs_100km,has_own_fair,own_fair_category,has_own_toll,has_own_staple,has_own_bridge,has_own_ferry,has_own_harbour,on_trade_route,trade_access_score,pop_rank_key,sort_key
11811,,51.43515,6.762927,1145,1650,,1300,,0.636,0.081,17.475,14,39,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -39)"
11812,,51.436748,6.75724,1145,1650,,1300,,0.629,0.14,17.842,14,39,0,,0,1,0,0,1,1,3,-1.0,"(1.0, -39)"
7973,Vechta,52.728249,8.285466,1269,1650,y,1300,,51.525,1.052,0.0,6,24,1,regional,0,0,0,0,0,1,3,-1.0,"(1.0, -24)"
17,,51.41919,9.6528,1183,1650,y,1300,,4.148,0.03,43.685,3,17,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -17)"
18,Hann. Münden,51.417743,9.65191,1183,1650,y,1300,,4.0,0.062,43.805,3,17,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -17)"
8933,Bremer Schlagd,51.418997,9.650177,1183,1650,,1300,,3.994,0.052,43.627,3,17,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -17)"
9290,Kasseler Schlagd,51.417357,9.649215,1183,1650,,1300,,3.826,0.096,43.764,3,17,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -17)"
9291,Wanfrieder Schlagd,51.418839,9.65165,1183,1650,,1300,,4.061,0.052,43.687,3,17,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -17)"
12625,,51.815016,4.660896,1220,1650,,1300,,0.623,0.214,18.613,9,17,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -17)"
12780,,51.819893,4.670869,1220,1650,,1300,,0.294,0.226,18.499,9,17,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -17)"
13437,,51.818733,4.675438,1220,1650,,1300,,0.463,0.167,18.187,9,17,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -17)"
14863,,51.818038,4.670721,1220,1650,,1300,,0.132,0.167,18.359,9,17,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -17)"
14903,,51.814815,4.667026,1220,1650,,1300,,0.33,0.018,18.291,9,17,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -17)"
18157,haven dordrecht,51.813839,4.659768,1220,1650,,1300,,0.755,0.212,18.582,9,17,0,,0,1,0,0,0,0,3,-1.0,"(1.0, -17)"
11702,,50.974384,11.046882,1167,1650,,1300,,69.548,0.188,47.283,1,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
3240,Höxter,51.773997,9.381219,1150,1650,,1300,,3.67,0.075,0.0,6,15,1,regional,0,0,0,0,0,1,3,-1.0,"(1.0, -15)"
9622,,50.982854,11.020513,1167,1650,,1300,,67.49,0.286,48.931,4,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
9627,,50.97749,11.024909,1167,1650,,1300,,67.985,0.05,48.731,4,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
9978,Krämerbrücke,50.978748,11.031328,1167,1650,y,1300,,68.358,0.102,48.264,4,15,0,,1,1,1,0,0,1,3,-1.0,"(1.0, -15)"
14098,,50.979265,11.034763,1167,1650,,1300,,68.564,0.089,48.017,1,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
17410,,50.977738,11.035536,1167,1650,,1300,,68.673,0.072,47.994,1,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
17411,,50.976524,11.034812,1167,1650,,1300,,68.673,0.03,48.069,1,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
17412,,50.973855,11.027527,1167,1650,,1300,,68.298,0.066,48.625,4,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
17413,,50.976078,11.03435,1167,1650,,1300,,68.659,0.03,48.11,1,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
17463,Lehmannsbrücke,50.98071,11.027924,1167,1650,y,1300,,68.06,0.145,48.46,4,15,0,,0,1,1,0,0,1,3,-1.0,"(1.0, -15)"
17464,Schlösserbrücke,50.97686,11.030585,1167,1650,y,1300,,68.382,0.085,48.353,4,15,0,,0,1,1,0,0,1,3,-1.0,"(1.0, -15)"
17465,Lange Brücke,50.974948,11.026765,1167,1650,y,1300,,68.206,0.066,48.655,4,15,0,,0,1,1,0,0,1,3,-1.0,"(1.0, -15)"
17466,Roßbrücke,50.97358,11.022602,1167,1650,y,1300,,67.986,0.173,48.97,4,15,0,,0,1,1,0,0,1,3,-1.0,"(1.0, -15)"
17467,Löberbrücke,50.972204,11.030279,1167,1650,,1300,,68.543,0.133,48.471,4,15,0,,0,1,1,0,0,1,3,-1.0,"(1.0, -15)"
17468,Augustbrücke,50.974186,11.035831,1167,1650,,1300,,68.83,0.117,48.047,1,15,0,,0,1,1,0,0,1,3,-1.0,"(1.0, -15)"
17469,Krämpferbrücke,50.978604,11.037505,1167,1650,y,1300,,68.77,0.084,47.841,1,15,0,,0,1,1,0,0,1,3,-1.0,"(1.0, -15)"
17470,Johannesbrücke,50.983446,11.029388,1167,1650,y,1300,,68.052,0.092,48.308,4,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
17471,Löbertorbrücke,50.969698,11.031218,1167,1650,y,1300,,68.704,0.143,48.461,4,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
17472,Schmidtstedtertorbrücke,50.974359,11.041507,1167,1650,y,1300,,69.196,0.188,47.653,1,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
17473,Krämpfertorbrücke,50.980327,11.039897,1167,1650,y,1300,,68.862,0.127,47.643,1,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
17474,Johannestorbrücke,50.986379,11.027945,1167,1650,y,1300,,67.848,0.171,48.354,4,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
17475,,50.982263,11.031239,1167,1650,,1300,,68.219,0.092,48.202,4,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
17476,,50.978277,11.024222,1167,1650,,1300,,67.909,0.05,48.763,4,15,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -15)"
17772,,53.603244,9.475622,1209,1650,,1300,,1.876,0.016,0.032,5,12,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -12)"
11328,,51.202681,11.966501,1280,1650,,1300,,30.08,0.226,20.61,5,11,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -11)"
9450,Stadersand,53.625845,9.517738,1209,1650,,1300,,1.87,3.743,3.741,5,10,0,,1,1,0,0,0,1,3,-1.0,"(1.0, -10)"
10940,,51.199756,11.972437,1280,1650,,1300,,29.767,0.072,20.108,5,10,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -10)"
10941,,51.198936,11.974347,1280,1650,,1300,,29.664,0.081,19.957,5,10,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -10)"
9664,,53.92515,9.516506,1238,1650,,1300,,3.71,0.149,35.913,1,7,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -7)"
3344,Itzehoe,53.919961,9.515891,1238,1650,y,1300,,3.523,0.154,35.334,1,7,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -7)"
10075,Auebrücke,51.055019,12.137194,1147,1650,y,1300,,29.61,0.053,0.553,5,7,0,,1,1,1,0,0,1,3,-1.0,"(1.0, -7)"
10624,,53.917185,9.515869,1238,1650,y,1300,,3.479,0.154,35.026,1,7,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -7)"
10625,,53.922846,9.518852,1238,1650,,1300,,3.783,0.149,35.669,1,7,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -7)"
11937,Axel,51.265287,3.908526,1183,1650,,1300,,0.288,2.094,31.954,2,5,0,,1,1,0,0,0,0,3,-1.0,"(1.0, -5)"
10713,Skanör,55.419171,12.849655,1250,1650,,1300,,151.483,0.597,0.0,1,4,1,interregional,1,0,0,0,0,1,3,-1.0,"(1.0, -4)"
19678,,51.209221,3.222862,1127,1650,,1300,,0.157,0.057,0.115,2,2,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -2)"
10400,Vordingborg,55.00815943,11.91050695,1200,1650,,1300,,111.646,0.047,0.0,1,2,1,regional,0,0,0,0,1,1,3,-1.0,"(1.0, -2)"
12601,,51.210474,3.22483,1127,1650,,1300,,0.086,0.097,0.194,2,2,0,,0,1,0,0,1,1,3,-1.0,"(1.0, -2)"
12811,,51.20063,3.224534,1127,1650,,1300,,1.01,0.108,0.904,2,2,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -2)"
14048,,51.220369,3.232335,1127,1650,,1300,,0.097,1.091,1.406,2,2,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -2)"
17325,Waterhalle,51.208938,3.225126,1127,1650,,1300,,0.086,0.029,0.059,2,2,0,,0,1,0,0,1,1,3,-1.0,"(1.0, -2)"
17326,,51.208454,3.225056,1127,1650,,1300,,0.139,0.03,0.061,2,2,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -2)"
17843,,51.20145,3.227341,1127,1650,,1300,,0.933,0.108,0.839,2,2,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -2)"
17844,,51.20676,3.222304,1127,1650,,1300,,0.377,0.132,0.263,2,2,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -2)"
13928,,54.098761,13.381161,1250,1650,,1300,,2.219,0.081,0.298,1,1,0,,0,1,0,0,1,1,3,-1.0,"(1.0, -1)"
19743,,54.099237,13.378756,1250,1650,,1300,,2.381,0.017,0.38,1,1,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -1)"
18165,Steinbecker Brücke,54.098937,13.378708,1250,1650,,1300,,2.38,0.017,0.351,1,1,0,,0,1,1,0,0,1,3,-1.0,"(1.0, -1)"
13702,Niederlage,52.345024,14.557207,1253,1650,,1300,,4.475,0.088,187.007,0,0,0,,0,1,0,0,1,1,3,-1.0,"(1.0, 0)"
13703,,53.424398,14.563523,1243,1650,,1300,,10.19,0.13,107.797,0,0,0,,0,1,0,0,0,1,3,-1.0,"(1.0, 0)"
14122,,52.344834,14.554629,1253,1650,,1300,,4.478,0.048,186.852,0,0,0,,0,1,0,0,0,1,3,-1.0,"(1.0, 0)"
14123,,52.346428,14.554072,1253,1650,,1300,,4.299,0.08,186.926,0,0,0,,0,1,0,0,0,1,3,-1.0,"(1.0, 0)"
14124,,52.347265,14.556805,1253,1650,,1300,,4.224,0.078,187.131,0,0,0,,1,1,1,0,0,1,3,-1.0,"(1.0, 0)"
14125,,52.347306,14.552216,1253,1650,,1300,,4.194,0.08,186.881,0,0,0,,0,1,0,0,0,1,3,-1.0,"(1.0, 0)"
14396,,53.422178,14.560474,1243,1650,,1300,,9.933,0.11,107.826,0,0,0,,0,1,1,0,0,1,3,-1.0,"(1.0, 0)"
16168,,50.964226,13.941885,1240,1650,,1300,,7.753,0.109,117.03,0,0,0,,0,1,0,0,0,1,3,-1.0,"(1.0, 0)"
11722,Hezelpoort,51.848398,5.85704,1230,1650,,1350,,0.172,0.161,0.553,22,71,0,,0,1,0,0,1,1,3,-1.0,"(1.0, -71)"
11690,,51.849767,5.865526,1230,1650,,1350,,0.285,0.139,0.278,22,70,0,,1,1,0,1,1,1,3,-1.0,"(1.0, -70)"
5430,Nijmegen,51.847301,5.864896,1230,1650,,1350,,0.432,0.139,0.0,22,70,1,regional,0,1,0,0,0,1,3,-1.0,"(1.0, -70)"
296,Arnhem,51.978705,5.910977,1233,1650,,1350,,0.37,0.14,0.0,20,64,1,regional,1,0,0,0,0,1,3,-1.0,"(1.0, -64)"
1484,Doesburg,52.01499,6.134222,1237,1650,,1350,,0.089,0.129,0.0,19,63,1,regional,1,0,0,0,0,1,3,-1.0,"(1.0, -63)"
839,Borken,51.844299,6.859231,1222,1650,,1350,,19.877,0.138,0.0,14,63,1,regional,0,0,0,0,0,1,3,-1.0,"(1.0, -63)"
8853,Zutphen,52.141452,6.195327,1191,1650,,1350,,0.346,0.054,0.0,25,61,1,regional,1,0,0,0,0,1,3,-1.0,"(1.0, -61)"
11811,,51.43515,6.762927,1145,1650,,1350,,0.636,0.081,17.475,19,57,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -57)"
8000,Venlo,51.370573,6.169413,1343,1650,,1350,,2.382,0.077,0.0,15,57,1,regional,1,1,0,0,0,1,3,-1.0,"(1.0, -57)"
10587,,51.371192,6.167428,1343,1650,,1350,,2.273,0.077,0.154,15,57,0,,1,1,0,1,1,1,3,-1.0,"(1.0, -57)"
11812,,51.436748,6.75724,1145,1650,,1350,,0.629,0.14,17.842,19,57,0,,0,1,0,0,1,1,3,-1.0,"(1.0, -57)"
1611,Duisburg,51.435337,6.760599,1145,1650,,1350,,0.646,0.081,17.632,19,57,0,,1,1,0,0,0,1,3,-1.0,"(1.0, -57)"
1417,Deventer,52.251815,6.160268,1123,1650,,1350,,0.252,0.086,0.0,25,56,1,regional,1,0,0,0,0,1,3,-1.0,"(1.0, -56)"
5113,Münster (Westfalen),51.963078,7.628321,1170,1650,,1350,,25.869,0.155,0.0,12,51,1,regional,0,0,0,0,0,1,3,-1.0,"(1.0, -51)"
5704,Osnabrück,52.2772,8.041195,1171,1650,y,1350,,36.63,0.087,0.0,11,51,1,regional,1,0,0,0,0,1,3,-1.0,"(1.0, -51)"
1865,Essen,51.456963,7.012649,1244,1650,,1350,,7.625,0.101,0.0,18,50,1,regional,0,0,0,0,0,1,3,-1.0,"(1.0, -50)"
8866,Zwolle,52.51226,6.092754,1230,1650,y,1350,,0.305,0.164,0.0,15,50,1,regional,0,0,0,0,0,1,3,-1.0,"(1.0, -50)"
4958,Minden,52.28806,8.916805,1230,1650,y,1350,,2.405,0.108,0.0,12,49,1,regional,1,0,0,0,0,1,3,-1.0,"(1.0, -49)"
5092,Mühlhausen/Thüringen,51.207306,10.459939,1135,1650,y,1350,,24.464,0.157,0.0,18,48,1,regional,1,0,0,0,0,1,3,-1.0,"(1.0, -48)"
4353,Lemgo,52.028386,8.901262,1190,1650,,1350,,15.982,0.206,0.0,16,47,1,regional,0,0,0,0,0,1,3,-1.0,"(1.0, -47)"
17,,51.41919,9.6528,1183,1650,y,1350,,4.148,0.03,15.393,15,46,0,,0,1,1,0,0,1,3,-1.0,"(1.0, -46)"
18,Hann. Münden,51.417743,9.65191,1183,1650,y,1350,,4.0,0.062,15.232,15,46,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -46)"
8933,Bremer Schlagd,51.418997,9.650177,1183,1650,,1350,,3.994,0.052,15.257,15,46,0,,0,1,0,0,1,1,3,-1.0,"(1.0, -46)"
9290,Kasseler Schlagd,51.417357,9.649215,1183,1650,,1350,,3.826,0.096,15.076,15,46,0,,0,1,0,0,1,1,3,-1.0,"(1.0, -46)"
9291,Wanfrieder Schlagd,51.418839,9.65165,1183,1650,,1350,,4.061,0.052,15.311,15,46,0,,0,1,0,0,1,1,3,-1.0,"(1.0, -46)"
11849,Oudewater,52.022978,4.872386,1257,1650,,1350,,0.096,0.096,11.166,18,45,0,,1,1,0,0,1,1,3,-1.0,"(1.0, -45)"
2807,Harderwijk,52.350136,5.618408,1231,1650,,1350,,19.975,0.118,0.0,24,45,1,regional,1,0,0,0,0,1,3,-1.0,"(1.0, -45)"
2840,Haselünne,52.673601,7.486447,1220,1650,y,1350,,6.69,0.116,0.0,11,45,1,regional,1,0,0,0,0,1,3,-1.0,"(1.0, -45)"
12707,,52.021649,4.870602,1257,1650,,1350,,0.096,0.077,11.028,18,45,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -45)"
13982,,52.021493,4.870933,1257,1650,,1350,,0.099,0.07,11.049,18,45,0,,0,1,0,1,0,1,3,-1.0,"(1.0, -45)"
11636,,51.316143,9.508501,1180,1650,,1350,,0.051,0.155,0.224,4,44,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -44)"
11637,Schlagd,51.316049,9.507041,1180,1650,,1350,,0.051,0.061,0.122,4,44,0,,0,1,0,0,1,1,3,-1.0,"(1.0, -44)"
3580,Kassel,51.315808,9.50533,1180,1650,y,1350,,0.173,0.061,0.0,4,44,1,local,0,1,0,0,0,1,3,-1.0,"(1.0, -44)"
9344,,51.316588,9.510959,1180,1650,,1350,,0.089,0.174,0.401,4,44,0,,0,1,0,0,1,1,3,-1.0,"(1.0, -44)"
9346,,51.314434,9.505886,1180,1650,,1350,,0.227,0.079,0.158,4,44,0,,1,1,1,0,0,1,3,-1.0,"(1.0, -44)"
7944,Utrecht,52.091844,5.118906,1114,1650,,1350,,0.315,0.11,0.0,18,43,1,regional,1,0,0,0,1,1,3,-1.0,"(1.0, -43)"
19525,,52.36923,4.891019,1300,1650,,1350,,0.841,0.043,0.44,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19526,,52.372476,4.893958,1300,1650,,1350,,0.429,0.012,0.115,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19537,Paulusbroedersluis,52.371494,4.896887,1300,1650,,1350,,0.481,0.04,0.342,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19535,Varkenssluis,52.371851,4.895852,1300,1650,,1350,,0.449,0.04,0.261,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19527,,52.37622,4.899628,1300,1650,,1350,,0.176,0.044,0.593,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19538,,52.371052,4.898518,1300,1650,,1350,,0.538,0.009,0.462,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19528,Nieuwe Brug,52.376816,4.898797,1300,1650,,1350,,0.159,0.028,0.593,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19539,Bushuissluis,52.370986,4.898754,1300,1650,,1350,,0.548,0.009,0.48,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
949,Breda,51.588294,4.776283,1198,1650,,1350,,9.14,0.036,0.0,12,40,1,regional,1,0,0,0,0,1,3,-1.0,"(1.0, -40)"
250,Amsterdam,52.373074,4.89257,1300,1650,,1350,,0.434,0.044,0.0,10,40,1,regional,1,1,0,0,0,1,3,-1.0,"(1.0, -40)"
1545,Dortmund,51.514287,7.466708,1138,1650,,1350,,15.091,0.264,0.0,12,40,1,regional,1,0,0,0,0,1,3,-1.0,"(1.0, -40)"
14910,Rokin,52.372306,4.892819,1300,1650,y,1350,,0.487,0.044,0.087,10,40,0,,0,1,0,0,1,1,3,-1.0,"(1.0, -40)"
19529,,52.377477,4.89759,1300,1650,,1350,,0.188,0.008,0.597,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
12840,,52.385612,4.882023,1300,1650,,1350,,1.496,0.688,1.567,9,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
10785,,52.377087,4.896699,1300,1650,,1350,,0.144,0.037,0.527,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19547,,52.377136,4.898164,1300,1650,,1350,,0.163,0.027,0.59,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19530,Oude Brug,52.375525,4.897005,1300,1650,,1350,,0.033,0.026,0.406,10,40,0,,0,1,1,0,0,1,3,-1.0,"(1.0, -40)"
19531,,52.376066,4.895621,1300,1650,,1350,,0.106,0.03,0.392,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19532,,52.375158,4.897885,1300,1650,,1350,,0.089,0.036,0.429,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19533,Lange Brug,52.36923,4.89229,1300,1650,,1350,,0.802,0.043,0.428,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
10786,Damrak,52.374318,4.894645,1300,1650,y,1350,,0.237,0.047,0.197,10,40,0,,0,1,0,0,1,1,3,-1.0,"(1.0, -40)"
19548,,52.377311,4.899601,1300,1650,,1350,,0.237,0.085,0.671,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19536,,52.372948,4.900213,1300,1650,,1350,,0.382,0.12,0.519,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19540,,52.370508,4.900647,1300,1650,,1350,,0.637,0.07,0.618,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19534,,52.372653,4.894141,1300,1650,,1350,,0.406,0.012,0.116,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
19546,,52.375792,4.896372,1300,1650,,1350,,0.051,0.026,0.397,10,40,0,,0,1,0,0,0,1,3,-1.0,"(1.0, -40)"
12842,,52.377573,4.897774,1300,1650,,1350,,0.2,0.008,0.612,10,40,0,,0,1,0,1,0,1,3,-1.0,"(1.0, -40)"
2778,Hameln,52.104508,9.356435,1200,1650,y,1350,,3.199,0.095,0.0,24,39,1,regional,0,0,0,0,0,1,3,-1.0,"(1.0, -39)"
3240,Höxter,51.773997,9.381219,1150,1650,,1350,,3.67,0.075,0.0,21,39,1,regional,0,0,0,0,0,1,3,-1.0,"(1.0, -39)"
