city_id,name,lat,lon,year,lat_band,dist_river_km,elev_m,voronoi_area_km2,centuries_since_first_mention,population,pop_growth_50yr,agricultural_surplus_score,agricultural_surplus_continuous,nodesid
1060,Rastenburg,54.083332,21.383333,1250,north,61.6,,267.2,0.0,,,0,2.0368,6267.0
1061,Rhein,53.93861,21.545834,1250,north,77.1,,320.2,0.0,,,0,2.1089,
1062,Riesenburg,53.755833,19.1975,1250,north,25.3,,310.6,0.14,,,0,2.323,6418.0
1063,Roessel,54.049999,21.15,1250,north,64.9,,403.8,0.09,,,0,2.2284,
1064,Rosenberg,53.719723,19.336945,1250,north,35.2,,261.3,0.0,,,0,2.0873,6525.0
1065,Saalfeld (Ostpreussen),53.849998,19.6,1250,north,38.1,,443.9,0.0,,,0,2.2631,6660.0
1066,Schippenbeil,54.25,21.016666,1250,north,43.5,,348.9,0.0,,,0,2.1431,6855.0
1067,Schirwindt,54.781944,22.844723,1250,north,41.6,,332.4,0.0,,,0,2.1238,
1068,Schlossberg,54.766666,22.516666,1250,north,33.2,,1518.3,0.0,,,0,2.8159,
1069,Seeburg,53.976665,20.762501,1250,north,77.2,,283.2,0.0,,,0,2.0598,
1070,Sensburg,53.866665,21.299999,1250,north,85.8,,746.1,0.0,,,0,2.4465,
1071,Stuhm,53.921665,19.033611,1250,north,7.3,,373.8,0.0,,,1,2.5792,7509.0
1072,Tapiau,54.650002,21.066668,1250,north,5.6,,475.2,0.0,,,1,2.696,
1073,Tiegenhof,54.216667,19.116667,1250,north,5.2,,1437.3,0.0,,,1,3.1432,
1074,Tilsit,55.083332,21.883333,1250,north,5.6,10.0,332.4,0.0,500.0,,1,2.5537,7722.0
1075,Tolkemit,54.320278,19.514999,1250,north,17.7,,1672.5,0.0,,,0,3.0472,7739.0
1076,Treuburg,54.033333,22.5,1250,north,92.0,,332.4,0.0,,,0,2.1238,
1077,Wartenburg,53.833332,20.683332,1250,north,92.6,,341.4,0.0,,,0,2.1344,
1078,Wehlau,54.616665,21.216667,1250,north,4.7,,703.0,0.0,,,1,2.8638,8253.0
1079,Willenberg,53.383335,20.950001,1250,north,134.8,,6039.8,0.0,,,0,3.2825,
1080,Wormditt,54.099998,20.133333,1250,north,49.2,,270.3,0.0,,,0,2.0413,8615.0
1081,Zinten,54.450001,20.299999,1250,north,40.3,,563.2,0.0,,,0,2.3342,
1082,Zoppot,54.433334,18.549999,1250,north,10.1,,6039.8,2.5,,,1,4.4061,
2001,Anklam,53.855278,13.692778,1250,north,4.1,6.0,432.8,0.08,1500.0,1.5,1,2.7021,258.0
2002,Barth,54.36861,12.726389,1250,north,53.1,,332.4,0.91,,,0,2.3968,448.0
2003,Bergen,54.418335,13.432777,1250,north,35.8,,332.4,0.57,,,0,2.3472,14429.0
2004,Damgarten,54.255001,12.473333,1250,north,35.0,,734.1,0.0,,,0,2.5019,1321.0
2005,Demmin,53.905277,13.038055,1250,north,4.6,,344.9,1.8,,,1,3.1212,1385.0
2006,Franzburg,54.186943,12.8775,1250,north,30.7,,142.6,0.19,,,0,1.9603,13942.0
2007,Gartz (Oder),53.208611,14.388611,1250,north,4.0,,140.8,0.14,,,1,2.2735,2106.0
2008,Garz (Ruegen),54.316387,13.352222,1250,north,24.8,,390.6,0.0,,,0,2.3782,14394.0
2009,Greifswald,54.095554,13.379444,1250,north,2.3,7.0,471.3,0.57,4500.0,4.5,2,2.9051,2409.0
2010,Grimmen,54.113056,13.043056,1250,north,19.6,,304.8,0.0,,,0,2.3441,2431.0
2011,Guetzkow,53.9375,13.409445,1250,north,2.6,,301.9,1.22,,,1,2.9189,13943.0
2012,Jarmen,53.923889,13.34,1250,north,4.8,,239.2,0.0,,,1,2.4328,13944.0
2013,Lassan,53.945557,13.845,1250,north,11.3,,256.1,2.5,,,1,3.1291,13945.0
2014,Loitz,53.97361,13.129444,1250,north,5.1,,261.4,0.01,,,1,2.4673,4558.0
2015,Pasewalk,53.503887,13.997222,1250,north,4.6,,373.3,1.0,,,1,2.9129,5844.0
2016,Penkun,53.297779,14.235556,1250,north,15.5,,389.1,0.1,,,0,2.5233,13946.0
2017,Richtenberg,54.200554,12.89,1250,north,31.7,,188.5,0.19,,,0,2.0583,6407.0
2018,Stralsund,54.313889,13.089723,1250,north,32.1,9.0,1230.6,0.5,7000.0,3.5,2,2.8949,7461.0
2019,Treptow (Tollense),53.69278,13.250834,1250,north,26.8,,399.6,0.75,,,0,2.5875,
2020,Tribsees,54.094444,12.757778,1250,north,27.3,,196.3,1.14,,,0,2.4142,7810.0
2021,Ueckermuende,53.736389,14.046389,1250,north,1.3,,412.6,0.72,,,1,2.9096,7885.0
2022,Usedom,53.87389,13.920278,1250,north,11.0,,377.1,1.35,,,1,2.9417,13947.0
2023,Wolgast,54.052776,13.774445,1250,north,21.5,,1759.4,3.31,,,0,4.0132,8590.0
3001,Arnhausen,53.8325,15.939167,1250,north,107.0,,262.0,4.5,,,0,3.3789,
3002,Arnswalde,53.166668,15.4,1250,north,42.2,,192.7,0.0,,,0,1.9065,303.0
3003,Baerwalde,53.745277,16.35111,1250,north,116.5,,670.6,0.0,,,0,2.4039,
3004,Bahn,53.099998,14.65,1250,north,18.1,,344.5,0.16,,,0,2.4594,16379.0
3005,Baldenburg,53.897499,16.834444,1250,north,125.0,,343.3,0.0,,,0,2.1366,16395.0
3006,Belgard,54.0,15.983334,1250,north,119.9,,343.3,6.5,,,0,4.0866,517.0
3007,Bublitz,53.950001,16.583334,1250,north,142.2,,544.7,0.0,,,0,2.3208,16380.0
3008,Buetow,54.16861,17.491667,1250,north,78.6,,2805.6,0.0,,,0,2.9759,16381.0
3009,Daber,53.586666,15.309167,1250,north,57.4,,256.9,0.0,,,0,2.021,16382.0
3010,Deutsch Krone,53.266666,16.466667,1250,north,76.8,,732.1,0.0,,,0,2.4389,1413.0
3011,Dramburg,53.533333,15.8,1250,north,83.5,,386.2,0.0,,,0,2.1836,1552.0
3012,Driesen (Neumark),52.833332,15.833333,1250,north,14.1,,493.1,1.58,,,1,3.0787,1581.0
3013,Falkenburg,53.534443,16.008888,1250,north,86.5,,360.4,0.0,,,0,2.156,1902.0
3014,Fiddichow,53.127777,14.388889,1250,north,1.5,,139.1,0.91,,,1,2.531,16383.0
3015,Flatow,53.362499,17.033056,1250,north,94.9,,521.4,5.5,,,0,3.9534,16372.0
3016,Freienwalde i. Pomm.,53.466667,15.35,1250,north,54.8,,232.3,0.0,,,0,1.981,16384.0
3017,Friedeberg (Neumark),52.883335,15.516666,1250,north,11.4,,446.7,0.0,,,1,2.5994,2020.0
3018,Gollnow,53.56361,14.828055,1250,north,31.4,,465.4,0.5,,,0,2.5153,2281.0
3019,Greifenberg i. Pomm.,53.916111,15.199722,1250,north,77.1,,325.2,0.0,,,0,2.1151,2406.0
3020,Greifenhagen,53.252777,14.487778,1250,north,4.2,,255.2,0.0,,,1,2.4659,2407.0
3021,Guelzow,53.824165,14.979445,1250,north,61.0,,500.3,0.0,,,0,2.2869,
3022,Hammerstein,53.683056,16.941944,1250,north,108.2,,457.7,0.0,,,0,2.2514,2789.0
3023,Hochzeit,53.0,15.95,1250,north,31.5,,275.1,0.12,,,0,2.1905,
3024,Jacobshagen,53.356945,15.428611,1250,north,58.1,,143.6,0.0,,,0,1.7897,16385.0
3025,Jastrow,53.416668,16.816668,1250,north,105.3,,424.6,0.0,,,0,2.2214,3392.0
3026,Kallies,53.283333,15.9,1250,north,57.7,,349.1,0.0,,,0,2.1433,3500.0
3027,Kammin,53.9725,14.768611,1250,north,52.9,,5112.2,4.5,,,0,4.5658,3538.0
3028,Koerlin,54.038055,15.876667,1250,north,117.2,,647.5,0.0,,,0,2.3899,3958.0
3029,Koeslin,54.190277,16.181667,1250,north,143.3,30.0,1085.6,0.36,1000.0,1.0,0,2.7043,3976.0
3030,Kolberg,54.175835,15.574722,1250,north,110.0,6.0,6039.8,2.5,2500.0,1.25,0,4.0325,3880.0
3031,Kreuz,52.866665,16.016666,1250,north,27.0,,1056.3,0.0,,,0,2.7485,
3032,Krojanke,53.283333,16.983334,1250,north,96.5,,3090.3,0.0,,,0,3.0145,16386.0
3033,Kuertow,53.150002,15.55,1250,north,40.6,,259.4,0.13,,,0,2.0639,
3034,Labes,53.633335,15.616667,1250,north,77.8,,201.9,0.0,,,0,1.9251,16387.0
3035,Landeck,53.535831,16.953888,1250,north,102.6,,223.1,0.0,,,0,1.9648,
3036,Lauenburg,54.543056,17.745832,1250,north,61.9,,2829.9,0.0,,,0,2.9793,4279.0
3037,Leba,54.75639,17.555555,1250,north,83.1,,332.4,0.0,,,0,2.1238,16388.0
3038,Maerkisch Friedland,53.341389,16.084999,1250,north,68.3,,334.5,0.0,,,0,2.1262,4775.0
3039,Massow,53.496387,15.060278,1250,north,38.2,,321.9,0.18,,,0,2.1881,4804.0
3040,Naugard,53.666668,15.116667,1250,north,52.5,,302.8,0.0,,,0,2.0865,5161.0
3041,Neustettin,53.716667,16.683332,1250,north,124.5,,582.8,0.0,,,0,2.3478,5317.0
3042,Neuwarp,53.725277,14.279445,1250,north,14.5,,563.3,0.67,,,1,2.8539,14449.0
3043,Neuwedell,53.216667,15.75,1250,north,48.2,,344.8,0.0,,,0,2.1383,16390.0
3044,Noerenberg,53.383335,15.55,1250,north,66.3,,214.1,0.02,,,0,1.9545,16391.0
3045,Plathe,53.803612,15.27,1250,north,70.5,,220.2,3.5,,,0,3.0095,5964.0
3046,Pollnow,54.099998,16.700001,1250,north,130.4,,513.1,0.0,,,0,2.297,16393.0
3047,Bad Polzin,53.765556,16.092777,1250,north,112.5,,425.6,0.0,,,0,2.2223,6039.0
3048,Preussisch Friedland,53.536388,17.235277,1250,north,84.7,,2114.2,0.0,,,0,2.8628,6110.0
3049,Pyritz,53.143055,14.893056,1250,north,30.9,,236.9,1.1,,,0,2.4325,6185.0
3050,Radolin,53.0,16.549999,1250,north,65.6,,2603.0,0.0,,,0,2.9459,
3051,Ratzebuhr i. Pomm.,53.533333,16.85,1250,north,109.3,,212.8,0.0,,,0,1.9461,
3052,Reetz (Neumark),53.260277,15.546389,1250,north,52.8,,158.4,0.0,,,0,1.8285,6312.0
3053,Regenwalde,53.772778,15.405833,1250,north,74.5,,416.2,0.23,,,0,2.2824,6315.0
3054,Ruegenwalde,54.422222,16.411112,1250,north,145.3,,332.4,0.0,,,0,2.1238,8875.0
3055,Rummelsburg i. Pomm.,53.999722,16.976389,1250,north,116.4,,976.6,0.0,,,0,2.5541,
3056,Schivelbein,53.766666,15.783334,1250,north,94.4,,461.7,0.0,,,0,2.2548,6859.0
3057,Schlawe,54.349998,16.666666,1250,north,128.8,,1012.9,0.27,,,0,2.6496,6872.0
3058,Schlochau,53.650002,17.366667,1250,north,81.1,,4711.0,0.5,,,0,3.3331,6887.0
3059,Schloppe,53.083332,16.1,1250,north,45.1,,359.3,2.5,,,0,2.9048,6889.0
3060,Schneidemuehl,53.150002,16.733334,1250,north,83.7,,1374.3,0.0,,,0,2.6906,6915.0
3061,Schoenlanke,53.033333,16.466667,1250,north,61.9,,615.9,0.0,,,0,2.3699,
3062,Stargard in Pommern,53.336945,15.046667,1250,north,32.7,20.0,378.8,1.1,1500.0,1.5,0,2.597,7343.0
3063,Stepenitz,53.650002,14.616667,1250,north,35.5,,307.1,0.0,,,0,2.1484,
3064,Stettin,53.424721,14.555278,1250,north,10.2,1.0,222.0,1.59,5000.0,1.25,2,2.8123,7413.0
3065,Stettin-Altdamm,53.395,14.665,1250,north,10.1,,320.0,1.29,,,1,2.8695,175.0
3066,Stettin-Grabow,53.433334,14.583333,1250,north,11.3,,60.3,0.07,,,1,1.8255,
3067,Stettin-Poelitz,53.549999,14.570833,1250,north,24.2,,268.0,0.01,,,0,2.2388,16373.0
3068,Stolp,54.46611,17.030834,1250,north,105.6,18.0,3684.0,0.14,2000.0,1.0,0,3.1268,7442.0
3069,Stramehl,53.65139,15.525833,1250,north,73.4,,200.6,0.0,,,0,1.9225,
3070,Swinemuende,53.916668,14.25,1250,north,22.8,,2450.5,0.69,,,0,3.3434,
3071,Tankow,52.933334,15.35,1250,north,17.5,,245.6,0.0,,,0,2.2848,
