city_id,name,lat,lon,town_from,town_to,ready,year,population,distance_river_km,distance_road_km,distance_fair_km,num_fairs_50km,num_fairs_100km,has_own_fair,own_fair_category,has_own_toll,has_own_staple,has_own_bridge,has_own_ferry,has_own_harbour,on_trade_route,trade_access_score
9693,,53.549938,9.99918,1150,1650,,1300,,0.303,0.101,0.457,7,13,0,,0,0,0,0,0,1,2
9678,,52.264634,9.764538,1214,1650,,1300,,15.0,0.132,17.815,6,16,0,,0,0,0,0,0,1,2
9953,,53.504993,13.990324,1276,1650,,1300,,4.371,0.086,76.949,0,1,0,,0,0,0,0,0,1,2
11081,,51.944044,4.851725,1280,1650,,1300,,0.597,0.125,24.584,9,21,0,,0,0,0,0,0,1,2
10401,,51.904708,11.782599,1160,1650,,1300,,0.243,0.036,27.075,3,13,0,,0,0,0,0,0,1,2
10402,,51.905754,11.784409,1160,1650,,1300,,0.358,0.085,27.012,3,13,0,,0,0,0,0,0,1,2
10499,,53.809948,10.377709,1249,1650,y,1300,,3.227,0.15,38.603,3,10,0,,0,0,0,0,0,1,2
7651,Bad Tennstedt,51.154602,10.83576,1275,1650,y,1300,,50.698,0.086,32.669,7,17,0,,0,0,0,0,0,1,2
10618,,51.196675,6.694815,1200,1650,,1300,,0.425,0.101,0.202,11,25,0,,0,0,0,0,0,1,2
10810,,53.216251,6.557344,1245,1650,,1300,,0.593,0.07,0.648,3,10,0,,0,0,0,0,0,1,2
10944,,51.126676,12.503951,1264,1650,,1300,,18.14,0.163,25.367,3,5,0,,0,0,0,0,0,1,2
19390,,56.411126,10.875049,1250,1650,,1300,,117.387,0.118,49.852,1,2,0,,0,0,1,0,0,1,2
15741,,57.048166,9.917301,1000,1650,,1300,,41.428,0.042,36.527,1,1,0,,0,0,0,0,0,1,2
848,Borna (Leipzig),51.123367,12.496985,1264,1650,y,1300,,18.253,0.145,25.545,3,5,0,,0,0,0,0,0,1,2
19396,,54.801399,11.6373,1240,1650,,1300,,93.369,0.117,28.873,1,1,0,,0,0,0,0,0,1,2
10318,Schmalkalden,50.721343,10.451045,1227,1650,y,1300,2000.0,53.321,3.001,17.272,8,17,0,,0,0,0,0,0,1,2
9561,Holstebro,56.358153,8.617244,1250,1650,,1300,,78.438,0.1,0.0,1,1,1,local,0,0,0,0,0,1,2
15044,Kalundborg Færge,55.677792,11.085439,1200,1650,,1300,,171.748,0.184,76.284,0,3,0,,0,0,0,1,0,1,2
5831,Parchim,53.428167,11.848376,1225,1650,,1300,,19.869,0.141,36.311,2,5,0,,0,0,0,0,0,1,2
14904,Aalborg Færge,57.051558,9.918966,1000,1650,,1300,,41.603,0.195,36.177,1,1,0,,0,0,0,1,0,1,2
19521,,55.507301,9.727589,1300,1650,,1300,,116.54,0.043,64.106,0,2,0,,0,0,0,0,1,1,2
19398,Storebro,56.357131,8.618337,1250,1650,,1300,,78.505,0.222,0.132,1,1,0,,0,0,1,0,0,1,2
11138,,52.253295,6.157331,1123,1650,,1300,,0.224,0.129,12.703,17,31,0,,0,0,0,0,0,1,2
11408,,51.9799448,5.8990024,1233,1650,,1300,,0.399,0.055,0.832,14,37,0,,0,0,0,0,0,1,2
11519,,52.128172,11.642789,1188,1650,y,1300,,2.525,0.141,0.461,3,9,0,,0,0,1,0,0,1,2
11647,,52.871731,11.981392,1196,1650,y,1300,,2.293,0.588,64.459,0,4,0,,0,0,0,0,0,1,2
