city_id,name,lat,lon,period,pop_T_minus,pop_T,log_pop_T_minus,d_log_pop,predicted_ols,predicted_ar1,predicted_rf,residual_ols
1002,Allenstein,53.783333,20.483334,1400-1500,1000.0,1000.0,6.907755278982137,0.0,-0.10559319795861422,-0.11614815781829646,0.0,0.10559319795861422
1011,Braunsberg,54.38361,19.816668,1400-1500,2000.0,3000.0,7.600902459542082,0.4054651081081637,-0.018777374345638087,-0.19205294451690558,-0.13212549102950505,0.4242424824538018
1013,Danzig,54.350555,18.652779,1400-1500,20000.0,30000.0,9.903487552536127,0.4054651081081655,-0.5060009688417775,-0.44420318798744796,-0.36643560390583246,0.911466076949943
1018,Elbing,54.166668,19.4,1400-1500,5000.0,10000.0,8.517193191416238,0.6931471805599454,-0.2340787071334065,-0.2923936145902297,-0.17093741701730827,0.9272258876933519
1034,Insterburg,54.633335,21.816668,1400-1500,1000.0,1000.0,6.907755278982137,0.0,-0.12055612195834398,-0.11614815781829646,0.014385422953603686,0.12055612195834398
1036,Koenigsberg Pr.,54.710278,20.509445,1400-1500,10000.0,9000.0,9.210340371976184,-0.10536051565782678,-0.35929762430513845,-0.36829840128883884,-0.44282937375072123,0.25393710864731167
1045,Marienwerder,53.735832,18.922222,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,-0.0033319071885229423,-0.11614815781829646,0.28851400078049133,0.6964790877484683
1074,Tilsit,55.083332,21.883333,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,-0.15990662648546694,-0.11614815781829646,0.0,0.8530538070454123
2001,Anklam,53.855278,13.692778,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,-0.06478412184255311,-0.11614815781829646,0.19356875129483253,0.7579313024024985
2009,Greifswald,54.095554,13.379444,1400-1500,5000.0,2000.0,8.517193191416238,-0.916290731874156,-0.2506450803017721,-0.2923936145902297,-0.2760267607339182,-0.6656456515723839
2018,Stralsund,54.313889,13.089723,1400-1500,15000.0,11000.0,9.615805480084347,-0.31015492830383984,-0.36583688163808326,-0.4126998551327632,-0.1323580021463688,0.05568195333424342
3029,Koeslin,54.190277,16.181667,1400-1500,1000.0,3000.0,6.907755278982137,1.0986122886681091,0.013902634059317687,-0.11614815781829646,0.3433691511754056,1.0847096546087913
3030,Kolberg,54.175835,15.574722,1400-1500,4000.0,5000.0,8.294049640102028,0.2231435513142106,-0.22814974955938805,-0.2679577312155148,-0.2759698778348305,0.45129330087359865
3062,Stargard in Pommern,53.336945,15.046667,1400-1500,1000.0,4000.0,6.907755278982137,1.3862943611198908,0.03139257081010205,-0.11614815781829646,0.3391766033667848,1.3549017903097886
3064,Stettin,53.424721,14.555278,1400-1500,4000.0,9000.0,8.294049640102028,0.8109302162163292,-0.20655561353164043,-0.2679577312155148,-0.08778185085832937,1.0174858297479696
3068,Stolp,54.46611,17.030834,1400-1500,1000.0,4000.0,6.907755278982137,1.3862943611198908,-0.02328506470009084,-0.11614815781829646,0.08740242101061746,1.4095794258199816
3078,Wollin,53.843334,14.615556,1400-1500,1000.0,1000.0,6.907755278982137,0.0,0.002943425796457344,-0.11614815781829646,0.08500694992226969,-0.002943425796457344
4015,Guestrow,53.794445,12.175555,1400-1500,1000.0,1000.0,6.907755278982137,0.0,-0.04130330374184288,-0.11614815781829646,0.20255529632916713,0.04130330374184288
4026,Neubrandenburg,53.55722,13.259722,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,-0.013409798835359421,-0.11614815781829646,0.10256042001420894,0.7065569793953048
4037,Rostock,54.088333,12.135834,1400-1500,13000.0,10000.0,9.472704636443673,-0.2623642644674895,-0.4477807870341235,-0.3970292453148574,-0.07791688990017613,0.185416522566634
4040,Schwerin,53.628334,11.414166,1400-1500,1000.0,3000.0,6.907755278982137,1.0986122886681091,0.05737499158653192,-0.11614815781829646,0.3118152262672227,1.0412372970815773
4051,Wismar,53.891388,11.465834,1400-1500,6000.0,9000.0,8.699514748210191,0.4054651081081655,-0.4339591221903729,-0.31235918505943916,-0.3589027065397876,0.8394242302985384
5011,Flensburg,54.782501,9.4375,1400-1500,2000.0,3000.0,7.600902459542082,0.4054651081081637,0.22523332558423825,-0.19205294451690558,-0.5795913632571319,0.18023178252392547
5019,Husum,54.476387,9.0500002,1400-1500,1000.0,3000.0,6.907755278982137,1.0986122886681091,1.623167382186975,-0.11614815781829646,0.003433163402087841,-0.5245550935188659
5023,Kiel,54.321667,10.137222,1400-1500,1000.0,3000.0,6.907755278982137,1.0986122886681091,-0.003475601182783339,-0.11614815781829646,0.4222683560469412,1.1020878898508926
5024,Krempe,53.837776,9.4872227,1400-1500,1000.0,1000.0,6.907755278982137,0.0,-0.07542646866069647,-0.11614815781829646,0.15119083455258508,0.07542646866069647
5026,Luebeck,53.866112,10.683888,1400-1500,17000.0,25000.0,9.740968623038354,0.38566248081198395,-0.2627837819467871,-0.42640615292189454,0.01004082359660467,0.648446262758771
5034,Oldenburg (Holstein),54.292778,10.888056,1400-1500,1000.0,1000.0,6.907755278982137,0.0,-0.05148124437021151,-0.11614815781829646,0.05118945413768878,0.05148124437021151
