display_name,city_id,year,legal_capacity_score,merchant_capital_score,agricultural_surplus_score,peasant_mobility_score,noble_extraction_score,conflict_risk_score,trade_access,composite_raw,composite_0_3,notes,has_formal_charter_by_y,charter_withdrawn_by_y,has_townhall_by_y,legal_family,city_status,is_hanseatic,best_fair_category,has_messe_by_y,has_staple,population,pop_growth_50yr,dist_river_km,n_polity_changes_50yr,is_prince_bishop_seat,n_conflicts_50yr,n_major_conflicts_50yr,imputed
Leipzig,9070,1300,3,3,2,3,1,0,2.0,10.4,3,Magdeburg/Lübeck/Kulm law; interregional fair,1,0,0,M05,0,0,3,0,0,4000.0,1.143,7.7,0,0,0,0,True
Leipzig,9070,1350,3,3,2,3,1,0,2.0,10.4,3,Magdeburg/Lübeck/Kulm law; interregional fair,1,0,0,M05,0,0,3,0,0,3500.0,0.875,7.7,0,0,0,0,True
Leipzig,9070,1400,3,3,2,3,1,0,2.0,10.4,3,Magdeburg/Lübeck/Kulm law; interregional fair,1,0,1,M05,0,0,3,0,0,3000.0,0.857,7.7,0,0,0,0,True
Leipzig,9070,1450,3,3,2,3,1,0,2.0,10.4,3,Magdeburg/Lübeck/Kulm law; interregional fair,1,0,1,M05,0,0,3,0,0,5000.0,1.667,7.7,0,0,0,0,True
Leipzig,9070,1500,3,3,2,1,2,0,2.0,8.4,3,Magdeburg/Lübeck/Kulm law; interregional fair,1,0,1,M05,0,0,3,0,0,7000.0,1.4,7.7,1,0,0,0,True
Magdeburg,11094,1250,3,2,2,3,1,1,0.0,6.8999999999999995,3,Magdeburg/Lübeck/Kulm law; regional fair,1,0,0,M05,0,0,2,1,0,15500.0,0.969,2.8,0,0,0,0,True
Magdeburg,11094,1300,3,3,2,3,1,1,2.0,9.9,3,Magdeburg/Lübeck/Kulm law; Hanseatic; regional fair,1,0,1,M05,0,1,2,1,0,15000.0,0.968,2.8,0,0,0,0,True
Magdeburg,11094,1350,3,3,2,3,1,1,3.0,10.9,3,Magdeburg/Lübeck/Kulm law; Hanseatic; regional fair; staple right,1,0,1,M05,0,1,2,1,1,12500.0,0.833,2.8,0,0,0,0,True
Magdeburg,11094,1400,3,3,2,3,1,0,3.0,11.4,3,Magdeburg/Lübeck/Kulm law; Hanseatic; regional fair; staple right,1,0,1,M05,0,1,2,1,1,10000.0,0.8,2.8,0,0,0,0,True
Magdeburg,11094,1450,3,3,3,3,1,0,3.0,12.099999999999998,3,Magdeburg/Lübeck/Kulm law; Hanseatic; regional fair; staple right,1,0,1,M05,0,1,2,1,1,14000.0,1.4,2.8,0,0,0,0,True
Magdeburg,11094,1500,3,3,3,3,1,0,3.0,12.099999999999998,3,Magdeburg/Lübeck/Kulm law; Hanseatic; regional fair; staple right,1,0,1,M05,0,1,2,1,1,18000.0,1.286,2.8,0,0,0,0,True
Nuremberg (Nürnberg),22094,1250,3,2,3,3,1,3,0.0,6.599999999999998,3,annual fair (Messe); major conflict in window,1,0,1,N04,0,0,0,1,0,10500.0,1.5,138.8,0,0,1,1,True
Nuremberg (Nürnberg),22094,1300,3,2,3,3,1,2,2.0,9.099999999999998,3,annual fair (Messe),1,0,1,N04,0,0,0,1,0,14000.0,1.333,138.8,0,0,2,0,True
Nuremberg (Nürnberg),22094,1350,3,2,2,3,1,0,2.0,9.4,3,annual fair (Messe),1,0,1,N04,0,0,0,1,0,10000.0,0.714,138.8,0,0,0,0,True
Nuremberg (Nürnberg),22094,1400,3,2,1,3,1,0,2.0,8.7,3,annual fair (Messe),1,0,1,N04,0,0,0,1,0,6000.0,0.6,138.8,0,0,0,0,True
Nuremberg (Nürnberg),22094,1450,3,2,3,3,0,0,2.0,10.9,3,free imperial city; annual fair (Messe); pop ≈22k,1,0,1,N04,3,0,0,1,0,22000.0,3.667,138.8,1,0,0,0,True
Nuremberg (Nürnberg),22094,1500,3,2,3,3,0,0,2.0,10.9,3,free imperial city; annual fair (Messe); pop ≈38k,1,0,1,N04,3,0,0,1,0,38000.0,1.727,138.8,0,0,0,0,True
Regensburg,23123,1250,3,1,2,2,1,0,0.0,5.800000000000001,3,—,1,0,1,R04,1,0,0,0,0,14000.0,0.875,224.6,0,0,0,0,True
Regensburg,23123,1300,3,1,2,2,1,3,0.0,4.300000000000001,2,major conflict in window,1,0,1,R04,1,0,0,0,0,12000.0,0.857,224.6,0,0,1,1,True
Regensburg,23123,1350,3,1,2,2,1,3,0.0,4.300000000000001,2,major conflict in window,1,0,1,R04,1,0,0,0,0,10000.0,0.833,224.6,0,0,3,1,True
Regensburg,23123,1400,3,1,1,2,1,1,0.0,4.6000000000000005,2,—,1,0,1,R04,1,0,0,0,0,8000.0,0.8,224.6,0,0,0,0,True
Regensburg,23123,1450,3,1,3,2,1,1,0.0,6.0,3,—,1,0,1,R04,1,0,0,0,0,15000.0,1.875,224.6,0,0,0,0,True
Regensburg,23123,1500,3,2,3,3,0,1,0.0,8.399999999999999,3,imperial city; annual fair (Messe); 2 polity transitions in 50y; pop ≈22k,1,0,1,R04,2,0,0,1,0,22000.0,1.467,224.6,2,0,0,0,True
Rothenburg ob der Tauber,22109,1250,3,0,2,2,1,1,0.0,4.300000000000001,2,—,1,0,1,R05,0,0,0,0,0,4000.0,1.333,81.5,0,0,0,0,True
Rothenburg ob der Tauber,22109,1300,3,2,2,3,0,1,0.0,7.699999999999999,3,free imperial city; annual fair (Messe),1,0,1,R05,3,0,0,1,0,5000.0,1.25,81.5,0,0,0,0,True
Rothenburg ob der Tauber,22109,1350,3,2,2,3,0,0,0.0,8.2,3,free imperial city; annual fair (Messe),1,0,1,R05,3,0,0,1,0,5500.0,1.1,81.5,0,0,0,0,True
Rothenburg ob der Tauber,22109,1400,3,2,2,3,0,1,0.0,7.699999999999999,3,free imperial city; annual fair (Messe),1,0,1,R05,3,0,0,1,0,6000.0,1.091,81.5,0,0,0,0,True
