city_id,name,lat,lon,charter_year,market_year,match_km,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,cid
1001,Allenburg,54.4925,21.192223,1400.0,1939.0,43.26686994573615,,,,,,1,0,420
1002,Allenstein,53.783333,20.483334,,,1.1559953723778675,0.0,0.0,0.0,1000.0,1000.0,1,0,1404
1003,Angerapp,54.416668,22.016666,1725.0,,23.572363319255473,,,,,,0,0,780
1007,Bartenstein (Ostpreussen),54.250278,20.816668,1332.0,,56.093210693165176,,,,,,1,1,895
1010,Bischofswerder,53.501667,19.349167,1331.0,,39.071298230155215,,,,,,0,0,993
1011,Braunsberg,54.38361,19.816668,1254.0,,2.0165501895752707,0.0,0.0,1000.0,2000.0,3000.0,1,0,294
1012,Christburg,53.916668,19.35,1288.0,,24.99200066825508,,,,,,1,0,1133
1013,Danzig,54.350555,18.652779,1224.0,1260.0,3.458995648011446,2000.0,5000.0,9000.0,20000.0,30000.0,0,1,704
1018,Elbing,54.166668,19.4,1237.0,,1.3535790514617163,1000.0,2000.0,3000.0,5000.0,10000.0,1,1,612
1025,Gehlenburg,53.616665,22.066668,1722.0,1645.0,88.62738205265394,,,,,,0,0,239
1059,Ragnit,55.033333,22.033333,1722.0,,11.0586541696119,,,,,,1,0,1833
1082,Zoppot,54.433334,18.549999,1901.0,,7.412931219130344,,,,,,0,1,705
2001,Anklam,53.855278,13.692778,1292.0,1700.0,1.0231634207580056,0.0,1000.0,2000.0,1000.0,2000.0,1,0,82
2002,Barth,54.36861,12.726389,1255.0,,26.713398475131264,,,,,,0,1,1886
2004,Damgarten,54.255001,12.473333,1258.0,,30.127684813649957,,,,,,1,1,1648
2005,Demmin,53.905277,13.038055,1249.0,,29.616157644423996,,,,,,1,1,762
2007,Gartz (Oder),53.208611,14.388611,1249.0,1563.0,23.262933769541778,,,,,,1,0,1911
2015,Pasewalk,53.503887,13.997222,1250.0,1639.0,22.117713697162944,,,,,,1,0,1561
2019,Treptow (Tollense),53.69278,13.250834,,1505.0,15.876528835418242,,,,,,1,0,1314
3001,Arnhausen,53.8325,15.939167,1287.0,,41.72238779389387,,,,,,0,0,967
3002,Arnswalde,53.166668,15.4,1284.0,1499.0,30.59178296524065,,,,,,0,0,1872
3008,Buetow,54.16861,17.491667,1346.0,1780.0,45.37507387331354,,,,,,1,0,1806
3012,Driesen (Neumark),52.833332,15.833333,1317.0,1800.0,45.11601162312201,,,,,,1,0,745
3015,Flatow,53.362499,17.033056,,1532.0,69.33638344573254,,,,,,1,0,337
3019,Greifenberg i. Pomm.,53.916111,15.199722,1262.0,1775.0,38.93174930873608,,,,,,0,1,2194
3030,Kolberg,54.175835,15.574722,1255.0,1500.0,3.1316755211361764,2000.0,2000.0,3000.0,4000.0,5000.0,1,0,952
3050,Radolin,53.0,16.549999,1764.0,1764.0,69.14216681179845,,,,,,1,0,1556
4001,Boizenburg,53.374168,10.7225,1267.0,,24.38218247360123,,,,,,1,0,1104
4002,Brueel,53.736946,11.713056,1340.0,,22.53249812399472,,,,,,0,1,2189
4003,Buetzow,53.8475,11.984445,1229.0,,13.274926888240989,,,,,,1,0,776
4004,Crivitz,53.577778,11.648056,1251.0,,16.128535328397742,,,,,,1,0,1745
4006,Doemitz,53.141666,11.248889,1505.0,,32.01131144504444,,,,,,1,0,1693
4007,Feldberg,53.335556,13.439722,1919.0,,24.596975187156364,,,,,,1,0,1320
4034,Rehna,53.779724,11.049444,1791.0,1230.0,26.85116727149457,,,,,,1,1,1103
5001,Altona,53.549999,9.9333334,1664.0,,3.0829514111027185,2000.0,2000.0,5000.0,8000.0,30000.0,1,1,794
5002,Barmstedt,53.790279,9.7683334,1895.0,1600.0,19.439376926576077,,,,,,0,0,979
5005,Bredstedt,54.619999,8.9608335,1900.0,1530.0,17.64287078402593,,,,,,0,1,843
5006,Burg auf Fehmarn,54.43861,11.1975,1200.0,,27.592216349436132,,,,,,0,1,1397
5007,Cuxhaven,53.864445,8.6972218,1907.0,1908.0,35.80582549956139,,,,,,0,1,301
5008,Eckernfoerde,54.472778,9.8369446,1200.0,,19.259614040102345,,,,,,0,1,1736
5011,Flensburg,54.782501,9.4375,1284.0,,0.5555612486769546,1000.0,1000.0,2000.0,2000.0,3000.0,0,1,664
5013,Garding,54.329445,8.7788887,1590.0,1575.0,9.855373974675734,,,,,,0,1,1964
5016,Glueckstadt,53.787777,9.4236107,1617.0,,0.896709416615267,0.0,0.0,0.0,0.0,0.0,1,1,733
