cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop800,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,charter_year,market_year,first_mention,legal_family,name_loc,in_stadtebuch,in_via,staple,water
270,Bonnetable,France,48.17,0.43,77,land north sea,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
271,Bordeaux,France,44.83,-0.57,9,north sea + river,False,True,6000.0,15000.0,30000.0,30000.0,50000.0,1,1,0,0,0,1,0,,,,,,False,False,,1
277,Bosa,Italy,40.3,8.5,5,med + river,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,1,1,0,0,0,0,1,,,,,,False,False,,1
280,Bottrop,Germany,51.52,6.92,55,land north sea,True,True,0.0,0.0,0.0,1000.0,1000.0,0,0,1,0,0,1,0,,1423.0,1092.0,,Bottrop,True,True,0.0,0
281,Boulogne,France,50.72,1.62,74,north sea,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,1,0,0,0,1,0,,,,,,False,True,0.0,1
282,Boulogne-Billancourt,France,48.83,2.23,28,river north sea,False,True,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,,,,,,False,False,,1
283,Bourbourg,France,50.95,2.2,1,land north sea,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,,,,,False,True,0.0,0
284,Bourg en Bresse,France,46.2,5.22,220,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,5000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
285,Bourges,France,47.08,2.4,140,river north sea,False,True,3000.0,12000.0,16000.0,18000.0,32000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
287,Boves,Italy,44.32,7.55,542,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
288,Bra,Italy,44.7,7.85,285,land mediterranean,False,True,0.0,0.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
293,Brandenburg,Germany,52.4,12.53,29,river north sea,True,True,0.0,2000.0,1000.0,2000.0,5000.0,1,0,0,0,0,1,0,1174.0,1475.0,800.0,B06,Brandenburg,True,True,1.0,1
294,Braniewo,Poland,54.4,19.83,14,river baltic,False,True,0.0,0.0,1000.0,2000.0,3000.0,1,0,0,0,1,0,0,1254.0,,1240.0,,Braunsberg,True,True,0.0,1
297,Braunschweig,Germany,52.25,10.5,71,river north sea,True,True,0.0,11000.0,12000.0,18000.0,18000.0,1,0,0,0,0,1,0,1227.0,1100.0,1031.0,B05,Braunschweig,True,True,0.0,1
298,Breda,Netherlands,51.58,4.77,3,river north sea,True,True,0.0,1000.0,2000.0,1000.0,6000.0,1,0,0,0,0,1,0,,,,,,False,True,1.0,1
299,Breisach am Rhein,Germany,48.02,7.6,225,river north sea,True,True,1000.0,2000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,1196.0,1493.0,938.0,,Breisach,True,False,,1
300,Bremen,Germany,53.08,8.8,3,river north sea,True,True,2000.0,8000.0,13000.0,7000.0,18000.0,1,0,0,0,0,1,0,1186.0,965.0,780.0,B04,Bremen,True,True,1.0,1
301,Bremerhaven,Germany,53.55,8.58,2,north sea,True,True,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,,,1827.0,,Bremerhaven,True,True,0.0,1
302,Brescia,Italy,45.55,10.25,394,land mediterranean,False,True,4000.0,20000.0,24000.0,27000.0,49000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
304,Brest,France,48.4,-4.48,76,north sea,False,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,1,0,0,0,1,0,,,,,,False,False,,1
307,Brignoles,France,43.4,6.07,190,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
308,Brindisi,Italy,40.65,17.93,15,med,False,True,2000.0,3000.0,3000.0,2000.0,4000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
309,Brioude,France,45.3,3.38,414,land north sea,False,True,1000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
311,Brive,France,45.17,1.53,102,river north sea,False,True,1000.0,2000.0,3000.0,2000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
316,Bronte,Italy,37.8,14.83,760,land mediterranean,False,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
318,Bruchsal,Germany,49.12,8.58,114,land north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,1200.0,1284.0,976.0,,Bruchsal,True,True,0.0,0
319,Brugge,Belgium,51.22,3.23,2,north sea,True,True,1000.0,10000.0,40000.0,37000.0,35000.0,0,1,0,0,0,1,0,,,,,,False,True,1.0,1
320,Bruxelles,Belgium,50.83,4.33,62,river north sea,True,True,0.0,8000.0,18000.0,26000.0,33000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
321,Brzeg,Poland,50.87,17.45,134,river baltic,False,True,0.0,0.0,1000.0,1000.0,2000.0,1,0,0,0,1,0,0,1245.0,1245.0,1200.0,B13,Brieg,True,True,0.0,1
322,Buda,Hungary,47.5,19.04,111,river black sea,False,True,2000.0,5000.0,6000.0,8000.0,12000.0,1,0,0,0,0,0,0,,,,,,False,False,,1
325,Burg,Germany,52.28,11.85,54,river north sea,True,True,0.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,1100.0,1562.0,949.0,,Burg b. M.,True,True,0.0,1
327,Burgio,Italy,37.6,13.28,317,land mediterranean,False,True,0.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
331,Burscheid,Germany,50.78,6.08,195,land north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,1088.0,814.0,75.0,A01,Aachen,True,True,0.0,0
335,Busca,Italy,44.52,7.48,500,land mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
337,Bydgoszcz,Poland,53.13,18.0,60,river baltic,False,True,0.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,1,0,0,,,,,,False,True,0.0,1
341,Caccamo,Italy,37.93,13.67,521,land mediterranean,False,True,0.0,2000.0,4000.0,3000.0,5000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
343,Caen,France,49.18,-0.35,5,river north sea,False,True,2000.0,6000.0,9000.0,6000.0,13000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
344,Cagliari,Italy,39.22,9.1,27,med,False,True,2000.0,3000.0,3000.0,2000.0,4000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
345,Cahors,France,44.5,1.43,181,river north sea,False,True,2000.0,4000.0,5000.0,3000.0,4000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
346,Caivano,Italy,40.95,14.3,27,land mediterranean,False,True,1000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
348,Calais,France,50.95,1.83,2,north sea,False,True,0.0,2000.0,3000.0,2000.0,3000.0,0,1,0,0,0,1,0,,,,,,False,True,0.0,1
349,Calascibetta,Italy,37.6,14.28,691,land mediterranean,False,True,0.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
350,Calatafimi,Italy,37.83,12.87,300,land mediterranean,False,True,0.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
352,Caltabellotta,Italy,37.23,14.52,949,land mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
353,Caltagirone,Italy,37.23,14.52,499,land mediterranean,False,True,0.0,3000.0,5000.0,4000.0,8000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
354,Caltanissetta,Italy,37.48,14.07,445,land mediterranean,False,True,1000.0,1000.0,1000.0,3000.0,5000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
355,Caltavuturo,Italy,37.82,13.88,635,land mediterranean,False,True,0.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
356,Calvello,Italy,40.47,15.85,730,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
357,Cambrai,France,50.17,3.23,58,river north sea,False,True,2000.0,6000.0,8000.0,10000.0,11000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
359,Camerino,Italy,43.13,13.07,670,land mediterranean,False,True,2000.0,4000.0,5000.0,3000.0,7000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
360,Cammarata,Italy,37.63,13.63,682,land mediterranean,False,True,0.0,2000.0,3000.0,2000.0,4000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
361,Campagna,Italy,40.67,15.13,270,land mediterranean,False,True,0.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
362,Campli,Italy,42.72,13.68,393,land mediterranean,False,True,0.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
365,Campobasso,Italy,41.57,14.65,701,land mediterranean,False,True,1000.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
368,Canicatti,Italy,37.37,13.85,454,river mediterranean,False,True,0.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
369,Cannes,France,43.55,7.02,16,med,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
371,Capua,Italy,41.1,14.2,25,river mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
372,Caraglio,Italy,44.42,7.43,638,land mediterranean,False,True,0.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
375,Carcassonne,France,43.22,2.35,100,river mediterranean,False,True,2000.0,8000.0,11000.0,6000.0,7000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
378,Carignano,Italy,44.9,7.67,235,river mediterranean,False,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
379,Carini,Italy,38.13,13.18,170,land mediterranean,False,True,1000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
382,Carmagnola,Italy,44.85,7.72,240,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,5000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
384,Carpentras,France,44.05,5.05,95,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
385,Carrara,Italy,44.07,7.72,100,land mediterranean,False,True,1000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
388,Casale,Italy,45.13,8.45,111,river mediterranean,False,True,0.0,2000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
389,Casalmaggiore,Italy,44.98,10.43,26,river mediterranean,False,True,1000.0,2000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
390,Caserta,Italy,41.07,14.33,68,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
392,Cassano All'Ionio,Italy,39.78,16.33,250,land mediterranean,False,True,1000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
393,Castelbuono,Italy,37.93,14.1,423,land mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
394,Castellammare del Golfo,Italy,380169982910156.0,128830003738403.0,94,med,False,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
395,Castellammare di Stabia,Italy,40.7,14.48,6,med,False,True,0.0,2000.0,3000.0,2000.0,7000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
397,Castelnaudary,France,43.32,1.95,165,land north sea,False,True,1000.0,2000.0,2000.0,3000.0,3000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
400,Castelsarrasin,France,44.03,1.1,61,river north sea,False,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
401,Casteltermini,Italy,37.55,13.63,555,land mediterranean,False,True,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,,,,,,False,False,,0
402,Castelvetrano,Italy,37.88,13.63,184,land mediterranean,False,True,0.0,1000.0,3000.0,2000.0,5000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
404,Castres,France,43.6,2.23,185,river north sea,False,True,1000.0,4000.0,6000.0,4000.0,5000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
405,Castronuovo di Sicilia,Italy,37.68,13.6,660,land mediterranean,False,True,0.0,1000.0,3000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
406,Castroreale,Italy,38.1,15.22,253,land mediterranean,False,True,0.0,0.0,0.0,1000.0,1000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
407,Catania,Italy,37.5,15.1,1,med,False,True,3000.0,7000.0,10000.0,7000.0,14000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
408,Catanzaro,Italy,38.9,16.6,234,land mediterranean,False,True,1000.0,4000.0,6000.0,4000.0,6000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
409,Cattolica Eraclea,Italy,37.62,13.4,220,land mediterranean,False,True,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,,,,,,False,False,,0
410,Cava de' Tirreni,Italy,40.7,14.7,201,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
411,Cavaillon,France,43.83,5.03,49,river mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
412,Cavour,Italy,44.78,7.37,300,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
415,Cefalu,Italy,38.03,14.03,16,med,False,True,2000.0,3000.0,4000.0,1000.0,2000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
416,Cegled,Hungary,47.17,19.8,102,land black sea,False,True,0.0,0.0,1000.0,1000.0,1000.0,0,0,1,0,0,0,0,,,,,,False,False,,0
417,Celle,Germany,52.62,10.08,40,river north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,1292.0,1306.0,990.0,C01,Celle,True,True,1.0,1
422,Cerreto Sannita,Italy,41.02,14.62,290,land mediterranean,False,True,0.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
424,Cervinara,Italy,44.13,14.55,284,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
425,Cesena,Italy,44.13,12.25,44,land mediterranean,False,True,2000.0,8000.0,11000.0,8000.0,7000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
428,Cetraro,Italy,39.53,15.95,120,med,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
429,Chalon-sur-Saone,France,48.95,4.37,175,river north sea,False,True,2000.0,3000.0,3000.0,2000.0,8000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
430,Chalons-sur-Marne,France,46.78,4.85,83,river north sea,False,True,3000.0,12000.0,10000.0,7000.0,9000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
431,Chambery,France,45.57,5.93,342,river mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
432,Charleroi,Belgium,50.42,4.43,136,river north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
433,Charleville,France,49.77,4.72,133,river north sea,False,True,2000.0,3000.0,4000.0,3000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,True,1.0,1
434,Charlottenburg,Germany,52.52,13.2,35,river north sea,True,True,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1232.0,,700.0,,Berlin-Spandau,True,True,1.0,1
435,Chartres,France,48.45,1.5,148,river north sea,False,True,2000.0,7000.0,9000.0,6000.0,8000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
436,Chateau Gontier,France,47.83,-0.7,26,river north sea,False,True,0.0,1000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
437,Chateaudun,France,48.08,1.33,102,river north sea,False,True,2000.0,5000.0,6000.0,4000.0,10000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
438,Chateauroux,France,45.82,1.7,154,river north sea,False,True,0.0,2000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
439,Chatellerault,France,46.82,0.55,42,river north sea,False,True,0.0,2000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
441,Chaumont,France,48.12,5.13,247,river north sea,False,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
444,Chelmno,Poland,53.33,18.42,75,river baltic,False,True,0.0,1000.0,2000.0,1000.0,4000.0,1,0,0,0,1,0,0,,,,,,False,True,0.0,1
447,Chemnitz,Germany,50.83,12.92,297,river north sea,True,True,0.0,1000.0,2000.0,1000.0,3000.0,1,0,0,0,0,1,0,,1143.0,1125.0,,Chemnitz,True,True,0.0,1
448,Cherasco,Italy,44.65,7.85,288,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
449,Cherbourg,France,49.65,-1.65,9,north sea,False,True,2000.0,3000.0,3000.0,2000.0,4000.0,0,1,0,0,0,1,0,,,,,,False,False,,1
454,Chiaramonte Gulfi,Italy,37.03,14.7,668,land mediterranean,False,True,0.0,0.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
455,Chiavari,Italy,44.32,9.32,5,med,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
457,Chieri,Italy,45.02,7.82,283,land mediterranean,False,True,1000.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
458,Chieti,Italy,42.35,14.17,248,land mediterranean,False,True,2000.0,4000.0,5000.0,3000.0,5000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
460,Chinon,France,47.17,0.25,27,river north sea,False,True,2000.0,4000.0,5000.0,6000.0,6000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
461,Chioggia,Italy,45.22,12.28,1,med,False,True,2000.0,4000.0,5000.0,3000.0,5000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
463,Chiusa Sclafani,Italy,37.68,13.27,625,land mediterranean,False,True,0.0,0.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
464,Chivasso,Italy,45.18,7.88,185,river mediterranean,False,True,0.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
465,Cholet,France,47.07,-0.9,63,land north sea,False,True,0.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
466,Chorzow,Poland,50.3,18.95,319,land baltic,False,True,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,,,,,,False,True,0.0,0
467,Chur,Switzerland,46.83,9.51,593,river north sea,True,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
469,Ciminna,Italy,37.88,13.57,600,land mediterranean,False,True,0.0,1000.0,1000.0,4000.0,5000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
470,Cinisi,Italy,38.15,13.1,75,med,False,True,0.0,0.0,0.0,1000.0,2000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
471,Citta di Castello,Italy,43.45,12.23,288,river mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
474,Civitavecchia,Italy,42.08,11.78,4,med,False,True,1000.0,3000.0,3000.0,2000.0,2000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
475,Clamecy,France,47.45,3.52,142,river north sea,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
476,Clausthal Zellerfeld,Germany,51.8,10.33,560,land north sea,True,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,0,1,0,1554.0,,1150.0,,Clausthal-Zellerfeld,True,True,0.0,0
477,Clermont l' Herault,France,43.62,3.42,40,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
478,Clermont-Ferrand,France,45.78,3.08,391,river north sea,False,True,2000.0,4000.0,5000.0,3000.0,3000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
481,Cluny,France,46.43,4.65,226,land mediterranean,False,True,0.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
482,Coburg,Germany,50.25,10.97,292,river north sea,True,True,0.0,2000.0,3000.0,4000.0,3000.0,1,0,0,0,0,1,0,1331.0,1420.0,1057.0,C02,Coburg,True,True,0.0,1
483,Coesfeld,Germany,51.93,7.17,89,river north sea,True,True,0.0,1000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,1197.0,,850.0,,Coesfeld,True,True,0.0,1
486,Colmar,France,48.08,7.37,187,river north sea,False,True,1000.0,4000.0,5000.0,4000.0,8000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
489,Comines,France,50.77,3.02,11,river north sea,False,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
490,Comiso,Italy,36.95,14.62,436,land mediterranean,False,True,1000.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
491,Como,Italy,45.78,9.08,290,river mediterranean,False,True,3000.0,9000.0,12000.0,10000.0,10000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
492,Compiegne,France,49.42,2.83,31,river north sea,False,True,0.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
493,Conde sur Noireau,France,48.85,-0.55,72,river north sea,False,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
494,Conde sur l' Escaut,France,50.45,3.6,10,river north sea,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
495,Condom,France,43.97,0.38,82,river north sea,False,True,0.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
496,Condrieu,France,45.47,4.75,230,river mediterranean,False,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
497,Conegliano,Italy,45.88,12.3,74,land mediterranean,False,True,0.0,1000.0,1000.0,2000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
502,Conversano,Italy,40.97,17.13,219,land mediterranean,False,True,2000.0,3000.0,3000.0,5000.0,4000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
503,Corato,Italy,41.15,16.42,219,land mediterranean,False,True,0.0,2000.0,2000.0,1000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
506,Corleone,Italy,37.82,13.3,670,land mediterranean,False,True,3000.0,9000.0,13000.0,5000.0,5000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
509,Corte,France,42.3,9.13,486,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
510,Cortona,Italy,43.27,11.98,494,land mediterranean,False,True,2000.0,4000.0,5000.0,3000.0,5000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
511,Cosenza,Italy,39.28,16.27,229,land mediterranean,False,True,2000.0,3000.0,4000.0,3000.0,4000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
512,Cosne,France,47.4,2.92,148,river north sea,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
513,Cottbus,Germany,51.72,14.35,75,river north sea,True,True,0.0,1000.0,1000.0,2000.0,3000.0,1,0,0,0,0,1,0,1399.0,1457.0,100.0,,Cottbus,True,True,0.0,1
514,Coutances,France,43.05,-1.43,12,land north sea,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
519,Crema,Italy,45.37,9.68,77,river mediterranean,False,True,0.0,7000.0,9000.0,6000.0,12000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
520,Cremona,Italy,45.12,10.03,39,land mediterranean,False,True,3000.0,11000.0,16000.0,11000.0,40000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
522,Cronenberg,Germany,51.2,7.13,100,river north sea,True,True,0.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,,1000.0,,Wuppertal-Cronenberg,True,True,0.0,1
524,Csongrad,Hungary,46.72,20.15,83,river black sea,False,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,0,0,,,,,,False,False,,1
526,Cuers,France,43.23,6.07,71,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
529,Cuneo,Italy,44.38,7.53,500,land mediterranean,False,True,0.0,2000.0,5000.0,3000.0,7000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
530,Czestochowa,Poland,50.82,19.1,253,river baltic,False,True,0.0,0.0,0.0,1000.0,2000.0,1,0,0,0,1,0,0,,,,,,False,True,0.0,1
531,Dabrowa Gornicza,Poland,50.33,19.18,272,land baltic,False,True,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,,,,,,False,True,0.0,0
535,Darmstadt,Germany,49.88,8.67,144,land north sea,True,True,0.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,1330.0,1330.0,1050.0,,Darmstadt,True,True,0.0,0
536,Darnetal,France,49.45,1.15,13,land north sea,False,True,0.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
538,Dax,France,43.72,-1.05,2,river north sea,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
541,Debrecen,Hungary,47.53,21.63,122,land black sea,False,True,0.0,1000.0,3000.0,2000.0,9000.0,0,0,1,0,0,0,0,,,,,,False,False,,0
542,Delft,Netherlands,52.0,4.35,2,river north sea,True,True,0.0,5000.0,6000.0,7000.0,12000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
543,Dendermonde,Belgium,51.03,4.12,6,river north sea,True,True,0.0,5000.0,9000.0,5000.0,5000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
547,Dessau,Germany,51.83,12.23,60,river north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,,,1213.0,,Dessau,True,True,1.0,1
548,Deventer,Netherlands,52.25,6.17,7,river north sea,True,True,1000.0,6000.0,6000.0,5000.0,7000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
