cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop800,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,charter_year,market_year,first_mention,legal_family,name_loc,in_stadtebuch,in_via,staple,water
68,Amboise,France,47.42,0.98,52,river north sea,False,True,0.0,2000.0,3000.0,5000.0,5000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
69,Amersfoort,Netherlands,52.15,5.4,3,river north sea,True,True,0.0,2000.0,3000.0,2000.0,7000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
70,Amiens,France,49.9,2.3,25,river north sea,False,True,2000.0,7000.0,9000.0,6000.0,20000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
71,Amsterdam,Netherlands,52.37,4.9,2,north sea,True,True,0.0,1000.0,1000.0,3000.0,12000.0,0,1,0,0,0,1,0,,,,,,False,True,1.0,1
72,Anagni,Italy,41.73,13.17,475,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
73,Ancona,Italy,43.63,13.5,1,med,False,True,3000.0,4000.0,5000.0,3000.0,5000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
74,Andernach,Germany,50.43,7.4,60,river north sea,True,True,1000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,1350.0,1307.0,-12.0,,Andernach,True,True,0.0,1
76,Andria,Italy,41.22,16.3,152,land mediterranean,False,True,0.0,2000.0,3000.0,2000.0,5000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
78,Anduze,France,44.05,3.98,117,river mediterranean,False,True,1000.0,3000.0,4000.0,3000.0,6000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
79,Angers,France,47.47,-0.55,39,river north sea,False,True,2000.0,7000.0,10000.0,6000.0,13000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
80,Angouleme,France,45.65,0.15,65,river north sea,False,True,2000.0,4000.0,5000.0,3000.0,4000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
81,Angri,Italy,40.73,14.57,25,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
82,Anklam,Germany,53.85,13.68,6,river baltic,True,True,0.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,1,0,0,1292.0,,1242.0,,Anklam,True,True,1.0,1
83,Annaberg,Germany,50579.0,13.0,300,land north sea,True,True,0.0,0.0,1000.0,2000.0,4000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
84,Annecy,France,45.9,6.12,418,river mediterranean,False,True,1000.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
85,Annonay,France,45.23,4.67,270,land mediterranean,False,True,0.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
86,Ansbach,Germany,49.28,10.6,406,river north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,1434.0,1438.0,748.0,A08,Ansbach,True,True,0.0,1
88,Antibes,France,43.58,7.1,9,med,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
89,Antwerpen,Belgium,51.22,4.42,3,north sea + river,True,True,1000.0,3000.0,7000.0,15000.0,30000.0,1,1,0,0,0,1,0,,,,,,False,True,1.0,1
90,Aosta,Italy,45.73,7.32,583,river mediterranean,False,True,1000.0,3000.0,3000.0,2000.0,2000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
91,Apeldoorn,Netherlands,52.22,5.97,16,land north sea,True,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,,,,,False,True,0.0,0
92,Apt,France,43.88,5.4,170,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
93,Aquila,Italy,42.35,13.37,756,land mediterranean,False,True,0.0,0.0,20000.0,13000.0,10000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
96,Aragona,Italy,37.4,13.62,400,land mediterranean,False,True,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,,,,,,False,False,,0
98,Arbois,France,46.9,5.77,246,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
101,Ardooie,Belgium,50.98,3.2,21,land north sea,True,True,0.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,,,,,,False,True,0.0,0
102,Arezzo,Italy,43.42,11.88,415,land mediterranean,False,True,2000.0,8000.0,10000.0,4000.0,6000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
103,Argentan,France,48.75,-0.02,152,land north sea,False,True,0.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
104,Argenteuil,France,48.95,2.25,25,river north sea,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
107,Ariano Irpino,Italy,41.15,15.08,627,land mediterranean,False,True,1000.0,2000.0,3000.0,2000.0,4000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
109,Arles,France,43.67,4.63,8,river mediterranean,False,True,5000.0,7000.0,8000.0,5000.0,10000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
110,Arlon,Belgium,49.68,5.82,421,river north sea,True,True,1000.0,2000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
113,Armentieres (Armenti̬res),France,50.68,2.88,11,river north sea,False,True,0.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
114,Arnhem,Netherlands,51.98,5.92,13,river north sea,True,True,0.0,2000.0,2000.0,3000.0,6000.0,1,0,0,0,0,1,0,,,,,,False,True,1.0,1
116,Arpino,Italy,41.63,13.62,390,land mediterranean,False,True,2000.0,3000.0,4000.0,3000.0,4000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
117,Arras,France,50.28,2.78,86,river north sea,False,True,4000.0,20000.0,30000.0,10000.0,11000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
120,Aschaffenburg,Germany,49.98,9.15,138,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,1173.0,1144.0,700.0,,Aschaffenburg,True,True,0.0,1
121,Aschersleben,Germany,51.75,11.45,114,land north sea,True,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,1266.0,,748.0,,Aschersleben,True,True,0.0,0
122,Ascoli Piceno,Italy,42.87,13.58,233,river mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
123,Ascoli Satriano,Italy,41.2,15.57,376,land mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
126,Assisi,Italy,43.07,12.62,424,land mediterranean,False,True,2000.0,4000.0,5000.0,6000.0,4000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
127,Asti,Italy,44.9,8.2,117,river mediterranean,False,True,2000.0,4000.0,5000.0,3000.0,8000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
130,Atessa,Italy,44.07,14.45,435,land mediterranean,False,True,0.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
131,Ath,Belgium,50.63,3.78,32,river north sea,True,True,0.0,2000.0,4000.0,3000.0,5000.0,1,0,0,0,0,1,0,,,,,,False,True,1.0,1
134,Atri,Italy,42.58,13.97,442,land mediterranean,False,True,1000.0,2000.0,1000.0,1000.0,4000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
135,Aubagne,France,43.28,5.57,74,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
136,Auch,France,43.67,0.6,133,river north sea,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
137,Augsburg,Germany,48.35,10.88,474,river black sea,True,True,3000.0,13000.0,19000.0,12000.0,30000.0,1,0,0,0,0,0,0,,900.0,14.0,A06,Augsburg,True,False,,1
138,Augusta,Italy,37.22,15.23,6,med,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
139,Aurillac,France,44.93,2.43,573,land north sea,False,True,0.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
140,Autun,France,46.95,4.3,280,river north sea,False,True,2000.0,5000.0,7000.0,4000.0,5000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
141,Auxerre,France,47.8,3.57,100,river north sea,False,True,3000.0,10000.0,10000.0,6000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
142,Avallon,France,47.48,3.9,163,land north sea,False,True,1000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
144,Avellino,Italy,40.82,14.78,201,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
145,Aversa,Italy,40.97,14.2,38,land mediterranean,False,True,0.0,4000.0,4000.0,3000.0,5000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
146,Avigliano,Italy,40.73,15.73,827,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
147,Avignon,France,43.95,4.82,21,river mediterranean,False,True,2000.0,5000.0,6000.0,15000.0,18000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
149,Avola,Italy,36.9,15.15,40,med,False,True,2000.0,2000.0,1000.0,2000.0,2000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
150,Avranches,France,48.68,-1.37,7,river north sea,False,True,1000.0,2000.0,3000.0,2000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
154,Bad Hersfeld,Germany,50.87,9.7,212,river north sea,True,True,0.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,1036.0,1114.0,736.0,,Hersfeld,True,True,0.0,1
155,Bad Ischl,Austria,47.72,13.63,468,river black sea,True,True,0.0,0.0,1000.0,1000.0,0.0,1,0,0,0,0,0,0,,,,,,False,False,,1
156,Bad Kreuznach,Germany,49.87,7.85,104,river north sea,True,True,1000.0,2000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,1290.0,1361.0,250.0,,Bad Kreuznach,True,True,0.0,1
159,Baden-Baden,Germany,48.77,8.23,161,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,1506.0,,1046.0,,Baden-Baden,True,False,,1
162,Bagnara Calabria,Italy,38.3,15.82,50,med,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
163,Bagneres de bigorre,France,43.07,0.15,440,land north sea,False,True,2000.0,4000.0,5000.0,1000.0,2000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
164,Bagnols,France,45.5,2.62,679,land north sea,False,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
167,Bailleul,France,50.73,2.73,14,land north sea,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,,,,,False,True,0.0,0
168,Baja,Hungary,46.18,18.95,95,river black sea,False,True,0.0,0.0,1000.0,1000.0,1000.0,1,0,0,0,0,0,0,,,,,,False,False,,1
173,Bamberg,Germany,49.88,10.88,293,river north sea,True,True,0.0,8000.0,8000.0,5000.0,7000.0,1,0,0,0,0,1,0,1306.0,1245.0,400.0,B08,Bamberg,True,True,0.0,1
177,Bar-le-duc,France,48.78,5.17,214,river north sea,False,True,2000.0,4000.0,4000.0,3000.0,4000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
181,Bari,Italy,41.12,16.87,3,med,False,True,2000.0,3000.0,10000.0,6000.0,8000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
182,Barletta,Italy,41.32,16.28,7,med,False,True,3000.0,10000.0,13000.0,8000.0,8000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
183,Barmen,Germany,51.28,7.22,191,river north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,,1070.0,,Wuppertal-Barmen,True,True,0.0,1
185,Barrafranca,Italy,37.37,14.2,450,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
186,Basel,Switzerland,47.55,7.58,250,river north sea,True,True,2000.0,5000.0,7000.0,10000.0,10000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
187,Bassano,Italy,45.77,11.73,119,river mediterranean,False,True,0.0,2000.0,2000.0,1000.0,3000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
188,Bastia,France,42.7,9.45,1,med,False,True,0.0,0.0,0.0,1000.0,1000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
191,Bautzen,Germany,51.18,14.48,205,river north sea,True,True,0.0,7000.0,3000.0,5000.0,5000.0,1,0,0,0,0,1,0,1213.0,1355.0,1002.0,,Bautzen,True,True,0.0,1
192,Bayeux,France,49.27,-0.7,55,river north sea,False,True,2000.0,3000.0,4000.0,3000.0,4000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
193,Bayonne,France,43.48,-1.48,6,river north sea,False,True,2000.0,4000.0,5000.0,3000.0,7000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
194,Bayreuth,Germany,49.95,11.58,343,river north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,1231.0,1370.0,1142.0,B16,Bayreuth,True,True,0.0,1
196,Beaucaire,France,43.8,4.63,1,river mediterranean,False,True,2000.0,3000.0,4000.0,3000.0,4000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
197,Beaune,France,47.03,4.83,193,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
198,Beauvais,France,49.43,2.08,65,river north sea,False,True,2000.0,7000.0,10000.0,6000.0,10000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
200,Beckum,Germany,51.75,8.03,100,land north sea,True,True,0.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,1231.0,,1134.0,,Beckum,True,True,0.0,0
201,Bedarieux,France,43.62,3.17,309,river mediterranean,False,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
204,Bekes,Hungary,46.77,21.13,85,river black sea,False,True,0.0,0.0,1000.0,1000.0,1000.0,1,0,0,0,0,0,0,,,,,,False,False,,1
205,Bekescsaba,Hungary,46.67,21.09,90,land black sea,False,True,0.0,0.0,0.0,1000.0,1000.0,0,0,1,0,0,0,0,,,,,,False,False,,0
207,Belfort,France,47.63,6.87,152,river north sea,False,True,0.0,0.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
212,Bella,Italy,40.77,15.55,662,land mediterranean,False,True,0.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
213,Belluno,Italy,46.15,12.22,390,river mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
215,Belpasso,Italy,37.58,14.97,551,land mediterranean,False,True,0.0,0.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
218,Benevento,Italy,41.13,14.75,119,river mediterranean,False,True,2000.0,4000.0,5000.0,3000.0,4000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
223,Bergamo,Italy,45.7,9.72,243,land mediterranean,False,True,3000.0,10000.0,14000.0,9000.0,18000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
225,Bergen op Zoom,Netherlands,51.5,4.28,10,north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,1,0,0,0,1,0,,,,,,False,True,1.0,1
226,Bergerac,France,44.85,0.48,12,river north sea,False,True,1000.0,2000.0,3000.0,2000.0,2000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
227,Bergisch-Gladbach,Germany,51.0,7.13,100,land north sea,True,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,0,1,0,,,1271.0,,Bergisch Gladbach,True,True,0.0,0
228,Bergues,France,50.97,2.43,1,land north sea,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,,,,,False,True,0.0,0
229,Berlin,Germany,52.52,13.4,35,river north sea,True,True,0.0,3000.0,4000.0,5000.0,9000.0,1,0,0,0,0,1,0,1230.0,,1200.0,B15,Berlin,True,True,1.0,1
230,Bern,Switzerland,46.95,7.43,536,river north sea,True,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
231,Bernay,France,49.1,0.6,87,land north sea,False,True,0.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
232,Bernburg,Germany,51.8,11.73,85,river north sea,True,True,1000.0,2000.0,2000.0,1000.0,3000.0,1,0,0,0,0,1,0,1278.0,,1138.0,,Bernburg,True,True,0.0,1
234,Besancon,France,47.25,6.03,262,river mediterranean,False,True,2000.0,7000.0,10000.0,6000.0,9000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
235,Bethune,France,50.53,2.63,18,land north sea,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,0,1,0,0,1,0,,,,,,False,True,0.0,0
236,Beveren,Belgium,51.22,4.25,12,land north sea,True,True,0.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,,,,,,False,True,0.0,0
238,Beziers,France,43.35,3.25,53,river mediterranean,False,True,2000.0,4000.0,6000.0,4000.0,6000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
239,Bialystok,Poland,53.15,23.15,120,land baltic,False,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,1,0,0,,,,,,False,True,0.0,0
240,Biancavilla,Italy,37.63,14.87,513,land mediterranean,False,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
241,Biberach,Germany,48.1,9.97,238,river black sea,True,True,0.0,2000.0,2000.0,1000.0,3000.0,1,0,0,0,0,0,0,1218.0,1485.0,400.0,B02,Biberach,True,False,,1
242,Bielefeld,Germany,52.02,8.52,118,land north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,,1233.0,1015.0,,Bielefeld,True,True,0.0,0
243,Biella,Italy,45.57,8.05,420,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
244,Bielsko Biala,Poland,49.82,19.03,262,land baltic,False,True,0.0,0.0,1000.0,1000.0,1000.0,0,0,1,0,1,0,0,,,,,,False,False,,0
246,Billom,France,45.73,3.35,345,land north sea,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,,,,,False,False,,0
248,Binche,Belgium,50.4,4.17,92,land north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,,,,,,False,True,0.0,0
249,Bingen,Germany,49.97,7.9,89,river north sea,True,True,1000.0,2000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,,1575.0,-11.0,B07,Bingen,True,True,0.0,1
251,Bisacquino,Italy,37.7,13.25,744,land mediterranean,False,True,0.0,2000.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
252,Bisceglie,Italy,41.23,16.52,26,med,False,True,0.0,1000.0,1000.0,1000.0,3000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
255,Bitonto,Italy,41.12,16.68,122,land mediterranean,False,True,2000.0,3000.0,4000.0,3000.0,6000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
256,Bivona,Italy,37.62,13.43,503,land mediterranean,False,True,0.0,1000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
259,Blois,France,47.58,1.33,70,river north sea,False,True,2000.0,4000.0,5000.0,3000.0,4000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
260,Bochnia,Poland,50.98,20.42,230,land baltic,False,True,0.0,1000.0,1000.0,2000.0,3000.0,0,0,1,0,1,0,0,,,,,,False,True,0.0,0
261,Bochum,Germany,51.47,7.08,100,land north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,,1298.0,900.0,,Bochum,True,True,0.0,0
265,Bologna,Italy,44.5,11.33,155,land mediterranean,False,True,5000.0,35000.0,40000.0,45000.0,50000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
267,Bolzano,Italy,46.52,11.37,262,river mediterranean,False,True,2000.0,3000.0,4000.0,3000.0,4000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
268,Bonifacio,France,41.38,9.17,70,med,False,True,1000.0,4000.0,3000.0,7000.0,1000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
269,Bonn,Germany,50.73,7.08,54,river north sea,True,True,2000.0,4000.0,5000.0,3000.0,3000.0,1,0,0,0,0,1,0,1244.0,1166.0,50.0,,Bonn,True,True,0.0,1
