cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,in_via,staple_year,fair_year
0,Aachen,Germany,50.78,6.08,176,land north sea,True,True,9000.0,13000.0,18000.0,10000.0,18000.0,0,0,1,0,0,1,0,True,,
1,Aalborg,Denmark,57.5,9.85,1,north sea,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,1,0,0,0,1,0,True,,
2,Aalst,Belgium,50.93,4.03,17,river north sea,True,True,2000.0,3000.0,4000.0,4000.0,5000.0,1,0,0,0,0,1,0,True,,
3,Aarhus,Denmark,56.17,10.22,1,north sea,False,True,2000.0,2000.0,3000.0,2000.0,3000.0,0,1,0,0,0,1,0,True,,1200.0
4,Abbeville,France,50.1,1.83,7,river north sea,False,True,2000.0,3000.0,5000.0,3000.0,5000.0,1,0,0,0,0,1,0,True,,
50,Alkmaar,Netherlands,52.63,4.73,3,river north sea,True,True,1000.0,2000.0,3000.0,2000.0,5000.0,1,0,0,0,0,1,0,True,1347.0,1132.0
55,Almere,Netherlands,52.37,5.22,-3,river north sea,True,True,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,True,,
61,Altenburg,Germany,50.98,12.43,227,river north sea,True,True,1000.0,2000.0,1000.0,3000.0,3000.0,1,0,0,0,0,1,0,True,,1419.0
62,Altona,Germany,56.57,9.93,10,north sea + river,True,True,0.0,0.0,0.0,0.0,2000.0,1,1,0,0,0,1,0,True,,
66,Amberg,Germany,49.45,11.87,373,river north sea,True,True,1000.0,1000.0,3000.0,3000.0,4000.0,1,0,0,0,0,1,0,True,,
69,Amersfoort,Netherlands,52.15,5.4,3,river north sea,True,True,1000.0,2000.0,3000.0,2000.0,7000.0,1,0,0,0,0,1,0,True,,1331.0
70,Amiens,France,49.9,2.3,25,river north sea,False,True,5000.0,7000.0,9000.0,6000.0,20000.0,1,0,0,0,0,1,0,True,,
71,Amsterdam,Netherlands,52.37,4.9,2,north sea,True,True,0.0,1000.0,1000.0,3000.0,12000.0,0,1,0,0,0,1,0,True,1323.0,1400.0
74,Andernach,Germany,50.43,7.4,60,river north sea,True,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,True,,
82,Anklam,Germany,53.85,13.68,6,river baltic,True,True,0.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,1,0,0,True,1579.0,
86,Ansbach,Germany,49.28,10.6,406,river north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,,
89,Antwerpen,Belgium,51.22,4.42,3,north sea + river,True,True,2000.0,3000.0,7000.0,15000.0,30000.0,1,1,0,0,0,1,0,True,1259.0,1298.0
91,Apeldoorn,Netherlands,52.22,5.97,16,land north sea,True,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,
101,Ardooie,Belgium,50.98,3.2,21,land north sea,True,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,True,,
110,Arlon,Belgium,49.68,5.82,421,river north sea,True,True,1000.0,2000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,,
113,Armentieres (Armenti̬res),France,50.68,2.88,11,river north sea,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,,
114,Arnhem,Netherlands,51.98,5.92,13,river north sea,True,True,2000.0,2000.0,2000.0,3000.0,6000.0,1,0,0,0,0,1,0,True,1437.0,1240.0
117,Arras,France,50.28,2.78,86,river north sea,False,True,13000.0,20000.0,30000.0,10000.0,11000.0,1,0,0,0,0,1,0,True,,
120,Aschaffenburg,Germany,49.98,9.15,138,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
121,Aschersleben,Germany,51.75,11.45,114,land north sea,True,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,
131,Ath,Belgium,50.63,3.78,32,river north sea,True,True,1000.0,2000.0,4000.0,3000.0,5000.0,1,0,0,0,0,1,0,True,1458.0,
154,Bad Hersfeld,Germany,50.87,9.7,212,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,,
156,Bad Kreuznach,Germany,49.87,7.85,104,river north sea,True,True,2000.0,2000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,True,,
167,Bailleul,France,50.73,2.73,14,land north sea,False,True,2000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,
173,Bamberg,Germany,49.88,10.88,293,river north sea,True,True,4000.0,8000.0,8000.0,5000.0,7000.0,1,0,0,0,0,1,0,True,,
183,Barmen,Germany,51.28,7.22,191,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
191,Bautzen,Germany,51.18,14.48,205,river north sea,True,True,3000.0,7000.0,3000.0,5000.0,5000.0,1,0,0,0,0,1,0,True,,
194,Bayreuth,Germany,49.95,11.58,343,river north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,,
200,Beckum,Germany,51.75,8.03,100,land north sea,True,True,1000.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,
225,Bergen op Zoom,Netherlands,51.5,4.28,10,north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,1,0,0,0,1,0,True,1388.0,1337.0
227,Bergisch-Gladbach,Germany,51.0,7.13,100,land north sea,True,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,0,1,0,True,,
228,Bergues,France,50.97,2.43,1,land north sea,False,True,2000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,
229,Berlin,Germany,52.52,13.4,35,river north sea,True,True,2000.0,3000.0,4000.0,5000.0,9000.0,1,0,0,0,0,1,0,True,1337.0,1400.0
232,Bernburg,Germany,51.8,11.73,85,river north sea,True,True,2000.0,2000.0,2000.0,1000.0,3000.0,1,0,0,0,0,1,0,True,,
235,Bethune,France,50.53,2.63,18,land north sea,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,0,1,0,0,1,0,True,,
236,Beveren,Belgium,51.22,4.25,12,land north sea,True,True,1000.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,True,,
239,Bialystok,Poland,53.15,23.15,120,land baltic,False,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,1,0,0,True,,
242,Bielefeld,Germany,52.02,8.52,118,land north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,True,,1338.0
248,Binche,Belgium,50.4,4.17,92,land north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,
249,Bingen,Germany,49.97,7.9,89,river north sea,True,True,1000.0,2000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
260,Bochnia,Poland,50.98,20.42,230,land baltic,False,True,0.0,1000.0,1000.0,2000.0,3000.0,0,0,1,0,1,0,0,True,,
261,Bochum,Germany,51.47,7.08,100,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,1581.0
269,Bonn,Germany,50.73,7.08,54,river north sea,True,True,3000.0,4000.0,5000.0,3000.0,3000.0,1,0,0,0,0,1,0,True,,
280,Bottrop,Germany,51.52,6.92,55,land north sea,True,True,0.0,0.0,0.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,1423.0
281,Boulogne,France,50.72,1.62,74,north sea,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,0,1,0,0,0,1,0,True,,
283,Bourbourg,France,50.95,2.2,1,land north sea,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,
