cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop800,pop900,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,l800,l1000,l1200,l1300,l1400,l1500,elev_z
27,Alassio,Italy,44.0,8.17,6,med,False,True,0.0,1000.0,1000.0,1000.0,2000.0,2000.0,1000.0,1000.0,0,1,0,0,0,0,1,,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,6.907755278982137,-0.8819886831969274
28,Alatri,Italy,41.72,13.35,502,land mediterranean,False,True,0.0,0.0,0.0,1000.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,1.5653349385044102
29,Alba,Italy,44.7,8.03,172,river mediterranean,False,True,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,1,6.907755278982137,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,-0.06292472915978611
32,Albi,France,43.93,2.15,169,river north sea,False,True,2000.0,3000.0,4000.0,6000.0,7000.0,10000.0,7000.0,8000.0,1,0,0,0,0,1,0,7.600902459542082,8.294049640102028,8.85366542803745,9.210340371976184,8.85366542803745,8.987196820661973,-0.07772708977491517
36,Alcamo,Italy,37.98,12.97,235,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,3000.0,6000.0,0,0,1,0,0,0,1,,6.907755278982137,6.907755278982137,6.907755278982137,8.006367567650246,8.699514748210191,0.24792484375792415
43,Alencon,France,48.43,0.08,134,river north sea,False,True,1000.0,1000.0,2000.0,2000.0,3000.0,4000.0,3000.0,4000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,8.006367567650246,8.294049640102028,8.006367567650246,8.294049640102028,-0.25042129695142085
44,Ales,France,44.13,4.08,116,river mediterranean,False,True,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,2000.0,1,0,0,0,0,0,1,,,,6.907755278982137,6.907755278982137,7.600902459542082,-0.33923546064219523
45,Alessandria,Italy,44.9,8.62,95,river mediterranean,False,True,0.0,0.0,0.0,0.0,10000.0,10000.0,7000.0,8000.0,1,0,0,0,0,0,1,,,9.210340371976184,9.210340371976184,8.85366542803745,8.987196820661973,-0.44285198494809863
48,Alghero,Italy,40.57,8.32,7,med,False,True,0.0,0.0,0.0,1000.0,1000.0,2000.0,1000.0,2000.0,0,1,0,0,0,0,1,,,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,-0.8770545629918843
50,Alkmaar,Netherlands,52.63,4.73,3,river north sea,True,True,0.0,0.0,1000.0,1000.0,2000.0,3000.0,2000.0,5000.0,1,0,0,0,0,1,0,,6.907755278982137,7.600902459542082,8.006367567650246,7.600902459542082,8.517193191416238,-0.8967910438120564
