cid,city,year,lpop,has_staple,has_fair,ever_staple,ever_fair,staple_year,fair_year,on_river,on_coast
0,Aachen,1200,9.472704636443673,0,0,0,0,,,0,0
0,Aachen,1300,9.798127036878302,0,0,0,0,,,0,0
0,Aachen,1400,9.210340371976184,0,0,0,0,,,0,0
0,Aachen,1500,9.798127036878302,0,0,0,0,,,0,0
1,Aalborg,1200,6.907755278982137,0,0,0,0,,,0,1
1,Aalborg,1300,7.600902459542082,0,0,0,0,,,0,1
1,Aalborg,1400,6.907755278982137,0,0,0,0,,,0,1
1,Aalborg,1500,7.600902459542082,0,0,0,0,,,0,1
2,Aalst,1200,8.006367567650246,0,0,0,0,,,1,0
2,Aalst,1300,8.294049640102028,0,0,0,0,,,1,0
2,Aalst,1400,8.294049640102028,0,0,0,0,,,1,0
2,Aalst,1500,8.517193191416238,0,0,0,0,,,1,0
3,Aarhus,1200,7.600902459542082,0,1,0,1,,1200.0,0,1
3,Aarhus,1300,8.006367567650246,0,1,0,1,,1200.0,0,1
3,Aarhus,1400,7.600902459542082,0,1,0,1,,1200.0,0,1
3,Aarhus,1500,8.006367567650246,0,1,0,1,,1200.0,0,1
4,Abbeville,1200,8.006367567650246,0,0,0,0,,,1,0
4,Abbeville,1300,8.517193191416238,0,0,0,0,,,1,0
4,Abbeville,1400,8.006367567650246,0,0,0,0,,,1,0
4,Abbeville,1500,8.517193191416238,0,0,0,0,,,1,0
50,Alkmaar,1200,7.600902459542082,0,1,1,1,1347.0,1132.0,1,0
50,Alkmaar,1300,8.006367567650246,0,1,1,1,1347.0,1132.0,1,0
50,Alkmaar,1400,7.600902459542082,1,1,1,1,1347.0,1132.0,1,0
50,Alkmaar,1500,8.517193191416238,1,1,1,1,1347.0,1132.0,1,0
61,Altenburg,1200,7.600902459542082,0,0,0,1,,1419.0,1,0
61,Altenburg,1300,6.907755278982137,0,0,0,1,,1419.0,1,0
61,Altenburg,1400,8.006367567650246,0,0,0,1,,1419.0,1,0
61,Altenburg,1500,8.006367567650246,0,1,0,1,,1419.0,1,0
62,Altona,1500,7.600902459542082,0,0,0,0,,,1,1
66,Amberg,1200,6.907755278982137,0,0,0,0,,,1,0
66,Amberg,1300,8.006367567650246,0,0,0,0,,,1,0
66,Amberg,1400,8.006367567650246,0,0,0,0,,,1,0
66,Amberg,1500,8.294049640102028,0,0,0,0,,,1,0
69,Amersfoort,1200,7.600902459542082,0,0,0,1,,1331.0,1,0
69,Amersfoort,1300,8.006367567650246,0,0,0,1,,1331.0,1,0
69,Amersfoort,1400,7.600902459542082,0,1,0,1,,1331.0,1,0
69,Amersfoort,1500,8.85366542803745,0,1,0,1,,1331.0,1,0
70,Amiens,1200,8.85366542803745,0,0,0,0,,,1,0
70,Amiens,1300,9.104979856318357,0,0,0,0,,,1,0
70,Amiens,1400,8.699514748210191,0,0,0,0,,,1,0
70,Amiens,1500,9.903487552536127,0,0,0,0,,,1,0
71,Amsterdam,1200,6.907755278982137,0,0,1,1,1323.0,1400.0,0,1
71,Amsterdam,1300,6.907755278982137,0,0,1,1,1323.0,1400.0,0,1
71,Amsterdam,1400,8.006367567650246,1,1,1,1,1323.0,1400.0,0,1
71,Amsterdam,1500,9.392661928770137,1,1,1,1,1323.0,1400.0,0,1
74,Andernach,1200,8.006367567650246,0,0,0,0,,,1,0
74,Andernach,1300,8.006367567650246,0,0,0,0,,,1,0
74,Andernach,1400,7.600902459542082,0,0,0,0,,,1,0
74,Andernach,1500,8.006367567650246,0,0,0,0,,,1,0
82,Anklam,1200,6.907755278982137,0,0,1,0,1579.0,,1,0
82,Anklam,1300,7.600902459542082,0,0,1,0,1579.0,,1,0
82,Anklam,1400,6.907755278982137,0,0,1,0,1579.0,,1,0
82,Anklam,1500,7.600902459542082,0,0,1,0,1579.0,,1,0
86,Ansbach,1200,6.907755278982137,0,0,0,0,,,1,0
86,Ansbach,1300,6.907755278982137,0,0,0,0,,,1,0
86,Ansbach,1400,6.907755278982137,0,0,0,0,,,1,0
86,Ansbach,1500,7.600902459542082,0,0,0,0,,,1,0
89,Antwerpen,1200,8.006367567650246,0,0,1,1,1259.0,1298.0,1,1
89,Antwerpen,1300,8.85366542803745,1,1,1,1,1259.0,1298.0,1,1
89,Antwerpen,1400,9.615805480084347,1,1,1,1,1259.0,1298.0,1,1
89,Antwerpen,1500,10.308952660644293,1,1,1,1,1259.0,1298.0,1,1
91,Apeldoorn,1200,7.600902459542082,0,0,0,0,,,0,0
91,Apeldoorn,1300,7.600902459542082,0,0,0,0,,,0,0
91,Apeldoorn,1400,6.907755278982137,0,0,0,0,,,0,0
91,Apeldoorn,1500,6.907755278982137,0,0,0,0,,,0,0
101,Ardooie,1200,7.600902459542082,0,0,0,0,,,0,0
101,Ardooie,1300,7.600902459542082,0,0,0,0,,,0,0
101,Ardooie,1400,6.907755278982137,0,0,0,0,,,0,0
101,Ardooie,1500,7.600902459542082,0,0,0,0,,,0,0
110,Arlon,1200,7.600902459542082,0,0,0,0,,,1,0
110,Arlon,1300,6.907755278982137,0,0,0,0,,,1,0
110,Arlon,1400,6.907755278982137,0,0,0,0,,,1,0
110,Arlon,1500,7.600902459542082,0,0,0,0,,,1,0
113,Armentieres (Armenti̬res),1200,7.600902459542082,0,0,0,0,,,1,0
113,Armentieres (Armenti̬res),1300,7.600902459542082,0,0,0,0,,,1,0
113,Armentieres (Armenti̬res),1400,6.907755278982137,0,0,0,0,,,1,0
113,Armentieres (Armenti̬res),1500,7.600902459542082,0,0,0,0,,,1,0
114,Arnhem,1200,7.600902459542082,0,0,1,1,1437.0,1240.0,1,0
114,Arnhem,1300,7.600902459542082,0,1,1,1,1437.0,1240.0,1,0
114,Arnhem,1400,8.006367567650246,0,1,1,1,1437.0,1240.0,1,0
114,Arnhem,1500,8.699514748210191,1,1,1,1,1437.0,1240.0,1,0
117,Arras,1200,9.903487552536127,0,0,0,0,,,1,0
117,Arras,1300,10.308952660644293,0,0,0,0,,,1,0
117,Arras,1400,9.210340371976184,0,0,0,0,,,1,0
117,Arras,1500,9.305650551780507,0,0,0,0,,,1,0
120,Aschaffenburg,1200,6.907755278982137,0,0,0,0,,,1,0
120,Aschaffenburg,1300,7.600902459542082,0,0,0,0,,,1,0
120,Aschaffenburg,1400,6.907755278982137,0,0,0,0,,,1,0
120,Aschaffenburg,1500,6.907755278982137,0,0,0,0,,,1,0
121,Aschersleben,1200,7.600902459542082,0,0,0,0,,,0,0
121,Aschersleben,1300,7.600902459542082,0,0,0,0,,,0,0
121,Aschersleben,1400,6.907755278982137,0,0,0,0,,,0,0
121,Aschersleben,1500,6.907755278982137,0,0,0,0,,,0,0
131,Ath,1200,7.600902459542082,0,0,1,0,1458.0,,1,0
131,Ath,1300,8.294049640102028,0,0,1,0,1458.0,,1,0
131,Ath,1400,8.006367567650246,0,0,1,0,1458.0,,1,0
131,Ath,1500,8.517193191416238,1,0,1,0,1458.0,,1,0
154,Bad Hersfeld,1200,6.907755278982137,0,0,0,0,,,1,0
154,Bad Hersfeld,1300,7.600902459542082,0,0,0,0,,,1,0
154,Bad Hersfeld,1400,6.907755278982137,0,0,0,0,,,1,0
154,Bad Hersfeld,1500,7.600902459542082,0,0,0,0,,,1,0
